Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,B365>2.5,B365<2.5,HST,AST,HomeXG,AwayXG
2020-11-27,10:30:00,CS Constantine,WA Tlemcen,0.0,0.0,D,1.35,3.95,7.25,1.95,1.69,4.0,4.0,1.45,1.32
2020-11-27,10:30:00,NA Hussein Dey,MC Oran,1.0,1.0,D,2.45,2.55,3.2,3.15,1.26,,,0.0,0.0
2020-11-27,11:00:00,RC Relizane,Paradou AC,1.0,1.0,D,3.05,2.65,2.45,2.8,1.34,6.0,7.0,1.79,2.15
2020-11-27,12:00:00,JS Kabylie,CA Bordj Bou Arreridj,0.0,0.0,D,1.44,3.45,7.0,2.25,1.51,3.0,3.0,1.25,1.03
2020-11-28,10:30:00,NC Magra,ASO Chlef,3.0,2.0,H,2.25,2.75,3.2,2.9,1.31,10.0,4.0,2.23,0.88
2020-11-28,10:30:00,Olympique Médéa,JS Saoura,0.0,1.0,A,4.7,2.95,1.77,2.55,1.4,4.0,5.0,1.18,1.28
2020-11-28,11:00:00,US Biskra,JSM Skikda,1.0,0.0,H,1.87,2.8,4.55,2.6,1.38,9.0,3.0,1.82,1.1
2020-11-28,12:00:00,USM Alger,ES Sétif,0.0,2.0,A,2.2,2.75,3.35,2.55,1.4,3.0,6.0,1.39,1.23
2020-12-04,10:00:00,Aïn M'lila,NC Magra,2.0,1.0,H,1.69,2.95,5.5,2.4,1.44,7.0,4.0,1.71,1.09
2020-12-04,10:00:00,CA Bordj Bou Arreridj,USM Bel Abbès,1.0,1.0,D,1.38,3.8,7.0,2.2,1.54,5.0,3.0,1.56,0.49
2020-12-04,11:00:00,Paradou AC,CS Constantine,2.0,2.0,D,1.8,3.1,4.5,2.7,1.44,4.0,4.0,1.42,1.29
2020-12-04,12:00:00,MC Oran,JS Kabylie,0.0,0.0,D,2.25,2.65,3.45,2.85,1.32,4.0,0.0,1.81,0.81
2020-12-05,10:00:00,JS Saoura,USM Alger,2.0,2.0,D,1.34,4.05,7.0,2.1,1.59,,,0.0,0.0
2020-12-05,10:00:00,US Biskra,NA Hussein Dey,0.0,0.0,D,1.65,3.2,5.0,2.5,1.42,0.0,4.0,1.36,1.24
2020-12-05,11:00:00,ES Sétif,RC Relizane,1.0,1.0,D,1.24,4.8,9.75,2.0,1.67,5.0,2.0,1.72,1.04
2020-12-05,12:00:00,ASO Chlef,WA Tlemcen,1.0,0.0,H,1.87,2.85,4.35,2.55,1.4,2.0,4.0,0.87,1.7
2020-12-08,11:00:00,USM Bel Abbès,MC Alger,1.0,2.0,A,4.2,3.1,1.8,2.18,1.64,5.0,3.0,1.51,1.08
2020-12-11,10:00:00,RC Relizane,JS Saoura,0.0,0.0,D,2.5,2.5,3.1,2.85,1.31,3.0,2.0,0.93,1.22
2020-12-11,10:00:00,JSM Skikda,CA Bordj Bou Arreridj,1.0,0.0,H,2.45,2.65,3.05,2.8,1.33,3.0,3.0,0.81,0.76
2020-12-11,10:00:00,Olympique Médéa,MC Oran,1.0,1.0,D,2.4,2.7,3.0,2.75,1.34,8.0,4.0,1.72,1.4
2020-12-11,10:30:00,NA Hussein Dey,Aïn M'lila,1.0,1.0,D,1.69,2.95,5.5,2.6,1.39,4.0,5.0,1.55,1.4
2020-12-11,11:00:00,JS Kabylie,CR Belouizdad,0.0,3.0,A,1.95,3.05,3.65,2.65,1.37,4.0,8.0,1.24,1.64
2020-12-11,11:00:00,Paradou AC,MC Alger,1.0,1.0,D,2.55,2.75,2.75,2.45,1.43,3.0,4.0,1.03,1.44
2020-12-12,11:00:00,WA Tlemcen,USM Alger,0.0,0.0,D,3.0,2.5,2.65,2.5,1.5,3.0,2.0,1.42,1.06
2020-12-12,10:00:00,NC Magra,US Biskra,0.0,0.0,D,2.05,2.55,4.3,2.9,1.3,4.0,0.0,1.24,0.47
2020-12-12,10:00:00,USM Bel Abbès,ES Sétif,0.0,2.0,A,4.25,3.15,1.77,2.25,1.51,0.0,3.0,1.51,1.23
2020-12-12,10:30:00,CS Constantine,ASO Chlef,0.0,0.0,D,1.44,3.6,6.5,2.25,1.5,2.0,0.0,1.17,0.27
2020-12-15,11:00:00,MC Alger,Olympique Médéa,3.0,0.0,H,1.48,3.5,6.25,2.35,1.47,6.0,7.0,1.6,1.86
2020-12-15,11:00:00,Aïn M'lila,CR Belouizdad,0.0,0.0,D,3.0,2.65,2.45,2.75,1.34,3.0,2.0,1.19,0.75
2020-12-17,11:00:00,ES Sétif,NC Magra,2.0,0.0,H,,,,2.1,1.7,6.0,3.0,1.67,1.63
2020-12-18,11:00:00,CA Bordj Bou Arreridj,RC Relizane,0.0,1.0,A,1.77,2.9,4.95,2.85,1.32,2.0,2.0,1.67,0.75
2020-12-18,11:00:00,MC Oran,WA Tlemcen,2.0,1.0,H,1.56,3.5,5.25,2.25,1.62,5.0,3.0,1.67,1.06
2020-12-18,11:00:00,ASO Chlef,JS Kabylie,0.0,2.0,A,2.25,2.55,3.6,3.0,1.29,0.0,3.0,0.87,0.81
2020-12-19,10:30:00,Aïn M'lila,JSM Skikda,3.0,0.0,H,1.54,3.25,6.0,2.45,1.43,8.0,3.0,1.85,1.34
2020-12-19,10:30:00,JS Saoura,USM Bel Abbès,2.0,0.0,H,,,,,,,,0.0,0.49
2020-12-19,10:30:00,USM Alger,Olympique Médéa,1.0,3.0,A,1.34,4.65,6.0,1.95,1.71,3.0,4.0,1.2,0.94
2020-12-19,10:30:00,CR Belouizdad,NA Hussein Dey,2.0,0.0,H,1.51,3.5,5.5,2.05,1.62,5.0,0.0,1.28,0.79
2020-12-19,10:30:00,US Biskra,Paradou AC,1.0,1.0,D,2.6,2.55,2.95,2.85,1.32,3.0,3.0,1.31,1.27
2020-12-23,10:30:00,RC Relizane,MC Alger,0.0,1.0,A,2.9,2.7,2.5,2.55,1.39,5.0,4.0,1.21,0.86
2020-12-23,10:30:00,NC Magra,JS Saoura,0.0,2.0,A,3.1,2.55,2.5,2.85,1.32,3.0,5.0,1.11,1.55
2020-12-23,10:30:00,JSM Skikda,ASO Chlef,1.0,4.0,A,2.25,2.55,3.5,3.1,1.27,5.0,5.0,1.58,1.05
2020-12-23,10:30:00,CS Constantine,USM Alger,2.0,1.0,H,2.0,2.7,4.0,2.35,1.48,5.0,2.0,1.65,1.0
2020-12-23,10:30:00,Paradou AC,CA Bordj Bou Arreridj,3.0,2.0,H,1.44,3.65,6.5,2.35,1.47,5.0,4.0,1.36,0.89
2020-12-23,11:00:00,USM Bel Abbès,MC Oran,1.0,1.0,D,3.1,2.9,2.25,2.4,1.45,2.0,4.0,0.8,1.53
2020-12-23,11:00:00,WA Tlemcen,US Biskra,0.0,0.0,D,,,,,,,,1.42,0.47
2020-12-27,10:30:00,US Biskra,JS Kabylie,1.0,1.0,D,2.85,2.6,2.65,2.85,1.32,4.0,5.0,1.29,1.24
2020-12-27,10:30:00,NC Magra,Olympique Médéa,1.0,3.0,A,2.65,2.45,3.0,2.9,1.31,7.0,6.0,2.02,1.58
2020-12-27,11:00:00,WA Tlemcen,JSM Skikda,0.0,0.0,D,1.59,3.35,5.25,2.25,1.5,0.0,2.0,0.94,0.58
2020-12-27,11:00:00,ES Sétif,Paradou AC,1.0,0.0,H,1.67,3.2,4.8,2.2,1.54,5.0,3.0,1.22,0.78
2020-12-27,11:00:00,ASO Chlef,USM Bel Abbès,4.0,1.0,H,1.67,3.1,5.25,2.45,1.43,,,0.87,0.49
2020-12-27,11:00:00,MC Oran,RC Relizane,1.0,0.0,H,2.85,2.6,2.65,2.7,1.36,6.0,4.0,1.73,1.27
2020-12-27,11:00:00,Aïn M'lila,CA Bordj Bou Arreridj,1.0,0.0,H,1.74,2.95,4.9,2.7,1.36,4.0,2.0,1.72,1.21
2020-12-27,11:00:00,USM Alger,NA Hussein Dey,3.0,0.0,H,1.51,3.25,6.25,2.4,1.45,10.0,2.0,1.88,0.58
2020-12-31,10:30:00,CR Belouizdad,JSM Skikda,3.0,2.0,H,1.29,4.7,7.75,1.91,1.71,5.0,4.0,1.13,0.75
2020-12-31,11:00:00,JS Kabylie,Aïn M'lila,1.0,0.0,H,1.67,3.0,5.5,2.75,1.34,6.0,2.0,1.42,1.16
2021-01-01,10:30:00,NA Hussein Dey,ES Sétif,0.0,1.0,A,4.0,3.3,1.74,2.5,1.42,0.0,6.0,0.7,1.63
2021-01-01,11:00:00,MC Alger,CS Constantine,1.0,0.0,H,1.71,3.15,4.55,2.25,1.51,3.0,4.0,1.2,1.86
2021-01-08,10:30:00,CS Constantine,Aïn M'lila,0.0,1.0,A,1.71,3.1,4.75,2.45,1.43,6.0,4.0,1.99,1.14
2021-01-08,10:30:00,NA Hussein Dey,ASO Chlef,1.0,0.0,H,2.05,2.85,3.6,2.55,1.4,3.0,3.0,1.28,0.97
2021-01-08,10:30:00,JSM Skikda,JS Saoura,1.0,0.0,H,2.85,2.8,2.45,2.45,1.43,3.0,5.0,1.36,1.28
2021-01-09,10:00:00,Olympique Médéa,WA Tlemcen,2.0,1.0,H,1.67,3.0,5.5,2.45,1.43,7.0,6.0,1.72,1.48
2021-01-09,10:30:00,CA Bordj Bou Arreridj,ES Sétif,1.0,5.0,A,4.4,2.85,1.87,2.45,1.43,3.0,10.0,1.45,2.14
2021-01-09,10:30:00,RC Relizane,US Biskra,2.0,0.0,H,1.87,2.7,4.85,2.8,1.33,5.0,0.0,1.39,0.92
2021-01-09,11:00:00,USM Bel Abbès,NC Magra,1.0,0.0,H,2.45,2.65,3.0,2.45,1.43,4.0,0.0,1.16,1.36
2021-01-11,10:00:00,Paradou AC,CR Belouizdad,1.0,1.0,D,3.8,2.6,2.15,2.4,1.44,6.0,6.0,1.3,1.68
2021-01-11,10:30:00,JS Kabylie,USM Alger,1.0,2.0,A,2.15,2.7,3.65,2.45,1.43,2.0,3.0,1.1,1.01
2021-01-11,11:00:00,MC Alger,MC Oran,1.0,1.0,D,1.45,3.45,6.75,2.3,1.48,4.0,3.0,1.32,1.19
2021-01-14,10:00:00,JSM Skikda,CS Constantine,0.0,0.0,D,3.15,2.45,2.55,2.55,1.39,2.0,3.0,0.88,1.37
2021-01-15,10:00:00,US Biskra,USM Bel Abbès,0.0,1.0,A,1.36,3.95,7.0,2.15,1.56,5.0,2.0,1.48,0.64
2021-01-15,10:30:00,JS Saoura,NA Hussein Dey,2.0,1.0,H,1.32,4.05,8.5,2.5,1.43,5.0,2.0,1.65,0.68
2021-01-15,10:30:00,Aïn M'lila,Olympique Médéa,1.0,3.0,A,1.5,3.25,6.75,2.5,1.41,5.0,5.0,1.29,1.0
