Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,B365>2.5,B365<2.5,HST,AST,HomeXG,AwayXG
2025-05-24,15:30:00,San Miguel,Club Atlético Güemes,1.0,1.0,D,1.76,3.0,6.51,2.94,1.36,2.0,2.0,1.25,0.55
2025-05-25,15:30:00,All Boys,Alvarado,0.0,1.0,A,1.99,2.88,3.7,2.88,1.33,8.0,4.0,2.42,0.9
2025-08-30,13:10:00,Tristán Suárez,All Boys,2.0,0.0,H,1.94,2.9,4.58,3.1,1.33,2.0,1.0,0.97,1.45
2025-07-12,15:15:00,Deportivo Morón,Agropecuario,1.0,1.0,D,1.75,3.1,4.6,2.45,1.44,5.0,2.0,1.58,0.63
2025-07-12,13:00:00,All Boys,Quilmes,0.0,0.0,D,2.35,2.65,3.35,3.5,1.3,,,1.17,1.13
2025-09-01,19:10:00,Defensores de Belgrano,Colón,1.0,0.0,H,1.79,3.36,4.42,,,4.0,0.0,1.17,0.81
2025-09-06,13:30:00,Atlanta,Club Atlético Güemes,1.0,0.0,H,1.86,2.9,4.2,2.89,1.36,4.0,4.0,1.11,1.45
2025-05-25,17:00:00,Central Norte,Defensores de Belgrano,2.0,1.0,H,2.75,2.75,2.6,3.21,1.3,6.0,3.0,1.29,1.1
2025-07-12,17:10:00,Estudiantes Caseros,Gimnasia Jujuy,0.0,0.0,D,2.55,2.46,3.5,3.2,1.3,4.0,2.0,1.27,1.0
2025-07-12,15:30:00,Defensores Unidos,Gimnasia Mendoza,0.0,1.0,A,4.9,3.15,1.73,2.62,1.42,0.0,2.0,0.86,0.72
2025-07-12,15:30:00,Temperley,Central Norte,1.0,0.0,H,1.73,2.9,5.5,3.1,1.33,2.0,0.0,1.09,0.89
2025-05-31,18:00:00,Estudiantes Río Cuarto,Central Norte,1.0,0.0,H,1.57,3.3,7.52,2.62,1.41,3.0,2.0,1.45,1.19
2025-06-01,15:30:00,Defensores de Belgrano,Gimnasia Mendoza,0.0,2.0,A,2.08,2.98,3.3,3.27,1.29,0.0,3.0,0.66,0.88
2025-05-31,15:30:00,Estudiantes Caseros,Club Atlético Mitre,2.0,0.0,H,1.89,2.93,4.0,3.15,1.31,3.0,0.0,0.52,0.3
2025-08-31,15:30:00,Almagro,Quilmes,2.0,2.0,D,2.53,2.51,3.36,4.0,1.25,11.0,5.0,2.86,1.28
2025-06-01,15:30:00,Alvarado,Arsenal de Sarandí,0.0,2.0,A,1.59,3.39,5.1,2.37,1.48,6.0,6.0,1.56,1.43
2025-06-01,15:30:00,Talleres Remedios,Almirante Brown,1.0,2.0,A,2.39,2.72,3.01,3.0,1.34,5.0,3.0,1.49,1.02
2025-06-01,16:00:00,Patronato,Ferro Carril Oeste,3.0,0.0,H,1.98,3.13,3.37,2.25,1.53,9.0,2.0,1.85,1.62
2025-06-01,15:30:00,San Telmo,Agropecuario,3.0,3.0,D,1.95,3.1,3.53,2.37,1.48,7.0,4.0,2.15,1.04
2025-06-01,15:30:00,Defensores Unidos,Colón,0.0,1.0,A,3.0,2.92,2.25,2.59,1.44,3.0,5.0,0.82,1.67
2025-08-31,21:15:00,Deportivo Morón,Estudiantes Caseros,1.0,1.0,D,2.2,2.6,3.6,3.05,1.32,1.0,1.0,1.16,1.11
2025-05-31,21:30:00,San Martín Tucumán,San Miguel,0.0,1.0,A,2.3,2.6,3.25,3.4,1.33,0.0,2.0,0.81,0.76
2025-05-31,15:30:00,Deportivo Morón,Chaco For Ever,2.0,1.0,H,2.07,2.9,3.41,3.34,1.28,7.0,7.0,1.83,1.74
2025-06-01,14:30:00,Chacarita Juniors,Gimnasia Jujuy,0.0,1.0,A,1.89,3.09,3.73,2.89,1.36,2.0,6.0,0.96,1.57
2025-07-13,15:00:00,Alvarado,San Miguel,0.0,0.0,D,3.95,2.86,2.0,3.4,1.29,5.0,6.0,1.9,2.05
2025-07-13,14:00:00,Deportivo Madryn,Almagro,2.0,1.0,H,1.47,3.8,7.5,2.55,1.5,3.0,2.0,1.52,1.2
2025-07-13,13:40:00,Colón,Almirante Brown,1.0,0.0,H,1.65,3.17,5.1,2.62,1.42,5.0,2.0,1.22,0.88
2025-08-31,16:00:00,Patronato,Atlanta,0.0,0.0,D,2.37,2.8,3.15,2.98,1.36,6.0,6.0,1.38,1.47
2025-06-01,15:30:00,Deportivo Madryn,Colegiales,3.0,1.0,H,1.89,2.83,4.2,2.8,1.38,7.0,6.0,1.99,1.78
2025-09-07,17:00:00,Central Norte,Agropecuario,0.0,2.0,A,2.26,2.95,3.4,2.98,1.38,6.0,5.0,1.75,1.26
2025-09-01,14:00:00,Agropecuario,Almirante Brown,3.0,1.0,H,2.4,2.81,3.5,2.96,1.4,15.0,3.0,2.47,1.12
2025-09-05,15:30:00,Defensores Unidos,Deportivo Morón,0.0,1.0,A,3.55,2.7,2.2,3.4,1.3,0.0,7.0,0.68,2.14
2025-09-05,20:05:00,Estudiantes Caseros,Nueva Chicago,2.0,0.0,H,1.59,2.91,6.5,2.8,1.44,2.0,0.0,0.63,0.19
2025-09-05,19:00:00,Colegiales,San Martín Tucumán,2.0,0.0,H,3.15,2.7,2.9,3.14,1.3,6.0,5.0,1.47,1.63
2025-09-05,20:00:00,Temperley,Talleres Remedios,1.0,0.0,H,1.64,2.9,5.5,2.98,1.36,3.0,3.0,0.94,0.84
2025-05-30,22:00:00,Gimnasia y Tiro,Racing Córdoba,2.0,0.0,H,2.4,2.57,3.5,3.81,1.22,4.0,0.0,0.6,0.04
2025-06-02,19:00:00,Nueva Chicago,Temperley,0.0,1.0,A,2.5,2.64,2.7,3.2,1.34,5.0,4.0,1.77,1.08
2025-09-07,16:00:00,Club Atlético Mitre,Defensores de Belgrano,1.0,2.0,A,2.1,2.59,4.1,3.14,1.3,6.0,6.0,1.45,1.34
2025-10-04,15:30:00,All Boys,Los Andes,0.0,0.0,D,2.03,2.63,4.0,3.34,1.28,,,1.1,1.16
2025-09-07,19:00:00,Chaco For Ever,Chacarita Juniors,0.0,0.0,D,2.06,2.64,3.8,3.14,1.36,6.0,3.0,2.01,1.24
2025-09-07,18:00:00,Racing Córdoba,Patronato,1.0,0.0,H,2.2,2.86,3.59,2.7,1.36,8.0,1.0,2.17,0.66
2025-09-05,20:00:00,All Boys,Gimnasia y Tiro,1.0,1.0,D,2.78,2.6,2.98,3.5,1.25,1.0,1.0,1.05,0.82
2025-09-08,19:00:00,Quilmes,Ferro Carril Oeste,0.0,0.0,D,2.15,2.76,3.65,3.0,1.33,2.0,1.0,0.89,0.98
2025-09-08,15:00:00,Alvarado,Deportivo Maipú,0.0,0.0,D,2.65,2.65,3.05,3.4,1.36,1.0,5.0,1.11,1.65
2025-09-07,16:15:00,Deportivo Madryn,Los Andes,1.0,0.0,H,1.63,3.35,7.2,2.7,1.4,3.0,3.0,1.47,0.98
2025-09-05,15:30:00,San Miguel,Almagro,1.0,1.0,D,1.71,2.9,5.53,2.88,1.33,4.0,4.0,1.7,1.77
2025-09-08,19:00:00,Colón,Estudiantes Río Cuarto,0.0,1.0,A,2.3,2.87,2.97,2.95,1.27,4.0,6.0,1.35,1.38
2025-07-12,19:00:00,San Martín Tucumán,Los Andes,1.0,0.0,H,1.72,3.3,4.6,3.04,1.33,3.0,0.0,1.09,0.57
2025-05-31,13:30:00,Tristán Suárez,Quilmes,0.0,0.0,D,2.2,2.7,3.4,2.97,1.33,4.0,5.0,1.22,1.75
2025-05-31,15:00:00,Club Atlético Güemes,Almagro,1.0,1.0,D,1.84,3.08,3.99,2.85,1.37,4.0,2.0,1.88,0.91
2025-07-13,15:00:00,Deportivo Maipú,Ferro Carril Oeste,2.0,1.0,H,1.9,2.89,4.0,2.75,1.4,7.0,3.0,1.77,1.43
2025-07-12,15:05:00,Colegiales,Atlanta,2.0,0.0,H,3.35,2.65,2.2,3.0,1.32,6.0,7.0,1.46,2.4
2025-05-31,19:30:00,Los Andes,All Boys,1.0,1.0,D,2.25,2.63,4.15,3.34,1.29,2.0,2.0,0.83,0.76
2025-09-13,15:30:00,Estudiantes Caseros,Defensores Unidos,3.0,0.0,H,1.45,3.57,6.7,2.69,1.41,17.0,2.0,3.06,0.73
2025-09-13,16:30:00,Deportivo Morón,Temperley,0.0,1.0,A,1.93,2.84,3.99,3.34,1.28,4.0,1.0,1.21,0.71
2025-09-14,15:30:00,Talleres Remedios,Colón,2.0,0.0,H,2.62,2.8,2.8,2.7,1.4,2.0,0.0,1.33,0.75
2025-06-01,15:30:00,Deportivo Maipú,Atlanta,0.0,1.0,A,2.2,2.89,3.14,2.85,1.37,7.0,5.0,1.69,1.71
2025-08-28,20:00:00,Quilmes,Alvarado,0.0,0.0,D,1.87,3.2,4.15,2.7,1.44,3.0,4.0,1.28,1.31
2025-07-13,15:30:00,Club Atlético Mitre,Chaco For Ever,1.0,0.0,H,2.17,2.6,3.38,3.25,1.3,4.0,0.0,1.22,0.68
2025-09-08,13:00:00,Arsenal de Sarandí,Tristán Suárez,0.0,0.0,D,2.25,2.73,3.5,2.59,1.4,4.0,1.0,1.52,0.58
2025-02-06,21:10:00,Colón,Temperley,0.0,0.0,D,1.76,3.08,5.6,3.09,1.32,4.0,3.0,1.8,1.05
2025-02-07,17:00:00,Arsenal de Sarandí,All Boys,0.0,0.0,D,2.7,2.63,3.13,3.27,1.29,,,0.0,0.0
2025-02-07,19:00:00,Nueva Chicago,San Telmo,0.0,2.0,A,1.91,3.0,4.7,3.04,1.33,6.0,4.0,2.29,1.34
2025-02-07,21:30:00,Chaco For Ever,Estudiantes Caseros,0.0,1.0,A,2.88,2.7,2.83,3.21,1.3,3.0,3.0,1.3,0.93
2025-02-08,17:00:00,Los Andes,Patronato,1.0,3.0,A,2.72,2.83,2.87,2.94,1.35,3.0,7.0,1.25,1.62
2025-02-08,17:00:00,Almagro,San Martín Tucumán,0.0,0.0,D,4.2,2.89,2.06,3.09,1.32,,,0.0,0.0
2025-02-08,17:00:00,San Miguel,Tristán Suárez,2.0,1.0,H,2.35,2.69,3.67,3.04,1.33,6.0,4.0,1.73,1.53
2025-02-08,17:00:00,Quilmes,Gimnasia y Tiro,1.0,1.0,D,2.01,2.86,4.5,3.09,1.32,2.0,4.0,0.9,1.05
2025-02-08,17:00:00,Colegiales,Alvarado,0.0,0.0,D,2.86,2.63,2.93,3.15,1.31,3.0,3.0,1.14,1.19
2025-02-08,20:30:00,Gimnasia Mendoza,Estudiantes Río Cuarto,1.0,1.0,D,2.12,2.77,4.2,3.21,1.3,4.0,4.0,1.48,1.24
2025-02-09,17:00:00,Central Norte,Talleres Remedios,1.0,0.0,H,2.3,2.9,3.2,3.15,1.31,5.0,0.0,1.71,0.4
2025-02-09,17:00:00,Gimnasia Jujuy,Defensores de Belgrano,0.0,0.0,D,1.93,2.85,5.0,3.21,1.3,3.0,2.0,1.44,0.67
2025-02-09,19:00:00,Racing Córdoba,Deportivo Maipú,0.0,1.0,A,1.71,3.35,5.4,2.65,1.42,0.0,2.0,0.78,0.73
2025-02-09,19:15:00,Almirante Brown,Deportivo Morón,1.0,1.0,D,2.11,2.94,3.91,3.04,1.33,2.0,5.0,0.88,1.33
2025-02-09,20:00:00,Club Atlético Mitre,Defensores Unidos,0.0,1.0,A,1.55,3.53,7.1,2.69,1.41,0.0,3.0,1.17,0.64
2025-02-09,21:30:00,Ferro Carril Oeste,Club Atlético Güemes,0.0,0.0,D,1.93,2.97,4.7,2.89,1.36,,,0.0,0.0
2025-02-10,19:00:00,Atlanta,Deportivo Madryn,1.0,0.0,H,2.37,3.03,3.14,2.5,1.47,3.0,3.0,1.13,0.71
2025-02-10,21:30:00,Agropecuario,Chacarita Juniors,0.0,1.0,A,1.9,3.16,4.4,2.4,1.48,0.0,2.0,0.0,0.0
