Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,B365>2.5,B365<2.5,HST,AST,HomeXG,AwayXG
2020-09-11,13:30:00,Rapid Wien,Admira,4.0,1.0,H,1.45,4.7,6.0,1.56,2.35,8.0,2.0,2.33,0.91
2020-09-11,15:30:00,LASK Linz,Austria Wien,1.0,0.0,H,1.56,4.35,5.25,1.59,2.3,9.0,5.0,2.28,1.47
2020-09-12,12:00:00,Rheindorf Altach,Hartberg,1.0,1.0,D,2.05,3.9,3.15,1.57,2.35,3.0,4.0,1.59,0.91
2020-09-13,09:30:00,Ried,Wattens,3.0,2.0,H,2.0,3.8,3.4,1.67,2.15,7.0,7.0,0.0,0.0
2020-09-13,09:30:00,St. Pölten,Sturm Graz,0.0,0.0,D,3.55,3.7,1.95,1.8,1.95,6.0,2.0,0.0,0.0
2020-09-13,12:00:00,Wolfsberger AC,Salzburg,1.0,3.0,A,6.8,5.4,1.37,1.34,3.15,3.0,5.0,0.66,1.49
2020-09-19,12:00:00,Salzburg,Rheindorf Altach,4.0,1.0,H,1.1,11.0,16.25,1.2,4.35,8.0,0.0,1.98,1.35
2020-09-19,12:00:00,Wattens,LASK Linz,1.0,1.0,D,6.65,4.75,1.42,1.54,2.4,2.0,4.0,0.6,1.87
2020-09-19,12:00:00,Sturm Graz,Rapid Wien,1.0,1.0,D,4.05,4.05,1.74,1.62,2.25,4.0,0.0,1.35,1.09
2020-09-20,09:30:00,Hartberg,Wolfsberger AC,0.0,2.0,A,3.95,4.25,1.74,1.48,2.6,2.0,8.0,1.18,1.71
2020-09-20,09:30:00,Admira,St. Pölten,0.0,5.0,A,2.8,3.45,2.4,1.8,2.0,5.0,12.0,1.56,2.39
2020-09-20,12:00:00,Austria Wien,Ried,2.0,1.0,H,1.91,3.95,3.55,1.54,2.4,6.0,3.0,1.85,1.05
2020-09-26,12:00:00,St. Pölten,Rapid Wien,1.0,2.0,A,4.2,3.75,1.8,1.59,2.3,5.0,7.0,1.43,1.67
2020-09-26,12:00:00,Ried,Salzburg,1.0,3.0,A,11.5,7.0,1.2,1.25,3.75,5.0,9.0,1.13,2.91
