Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,B365>2.5,B365<2.5,HST,AST,HomeXG,AwayXG
2021-03-12,11:30:00,Isloch,Slavia,1.0,0.0,H,2.2,3.0,3.0,1.91,1.71,6.0,0.0,1.72,1.35
2021-03-13,08:00:00,FC Energetik-BGU Minsk,Smorgon,3.0,0.0,H,1.55,3.74,5.1,1.13,5.1,5.0,6.0,1.44,1.45
2021-03-13,10:00:00,Ruh Brest,Gomel,1.0,1.0,D,,,,2.0,1.81,4.0,10.0,1.24,2.33
2021-03-13,11:45:00,Dinamo Minsk,Torpedo BelAZ,3.0,0.0,H,1.69,3.65,4.0,2.0,1.62,7.0,2.0,1.97,1.21
2021-03-13,14:45:00,Shakhtyor,Minsk,1.0,0.0,H,1.17,5.75,10.25,1.67,1.95,10.0,2.0,2.54,0.84
2021-03-14,09:00:00,Sputnik,Dinamo Brest,0.0,4.0,A,4.8,3.6,1.65,2.05,1.7,5.0,11.0,0.86,2.2
2021-03-14,11:00:00,Neman Grodno,Vitebsk,0.0,0.0,D,2.0,2.9,4.0,2.33,1.53,0.0,3.0,1.14,0.95
2021-03-14,13:00:00,BATE,Slutsk,3.0,0.0,H,1.12,6.5,21.0,1.5,2.41,4.0,2.0,1.71,1.04
2021-03-19,12:00:00,Slavia,Torpedo BelAZ,0.0,1.0,A,3.2,3.0,2.1,1.77,1.83,2.0,5.0,1.03,1.62
2021-03-19,15:15:00,Isloch,Smorgon,2.0,0.0,H,1.48,4.33,5.0,1.6,2.2,3.0,3.0,1.46,1.45
2021-03-20,08:00:00,FC Energetik-BGU Minsk,Shakhtyor,1.0,2.0,A,6.0,3.85,1.45,1.8,1.9,3.0,3.0,1.03,1.44
2021-03-20,10:00:00,Vitebsk,Dinamo Minsk,0.0,0.0,D,5.25,3.3,1.65,2.2,1.58,4.0,2.0,1.28,1.01
2021-03-20,12:00:00,Dinamo Brest,BATE,0.0,0.0,D,3.15,3.68,2.07,1.74,2.12,4.0,4.0,1.16,1.74
2021-03-20,14:00:00,Minsk,Ruh Brest,2.0,2.0,D,4.04,3.84,1.76,1.68,2.06,3.0,4.0,0.92,1.25
