Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,B365>2.5,B365<2.5,HST,AST,HomeXG,AwayXG
2020-08-21,14:00:00,KMSK Deinze,Union Saint-Gilloise,0.0,2.0,A,2.9,3.05,2.3,1.95,1.69,7.0,7.0,1.67,1.76
2020-08-22,15:45:00,RWDM,Club Brugge II,2.0,0.0,H,1.67,3.6,4.2,2.1,1.7,2.0,2.0,0.0,0.0
2020-08-23,11:00:00,KVC Westerlo,Lierse Kempenzonen,0.0,0.0,D,1.34,4.15,7.25,1.87,1.77,9.0,5.0,2.61,1.12
2020-08-24,15:00:00,Lommel United,RFC Seraing,3.0,5.0,A,1.87,3.2,3.8,2.15,1.59,7.0,10.0,2.0,2.02
2020-08-28,15:00:00,RFC Seraing,KMSK Deinze,3.0,2.0,H,3.15,3.35,2.05,1.87,1.77,4.0,5.0,1.43,1.35
2020-08-29,15:45:00,Lierse Kempenzonen,RWDM,4.0,2.0,H,2.7,3.0,2.45,2.15,1.59,7.0,9.0,1.69,1.98
2020-08-30,11:00:00,Union Saint-Gilloise,KVC Westerlo,0.0,0.0,D,1.74,3.55,3.85,1.77,1.87,3.0,0.0,1.23,0.46
2020-08-30,15:00:00,Club Brugge II,Lommel United,2.0,2.0,D,,,,,,5.0,3.0,0.0,0.0
2020-09-11,15:00:00,Lommel United,Lierse Kempenzonen,3.0,2.0,H,2.0,3.4,3.15,1.69,2.0,7.0,6.0,1.99,1.08
2020-09-12,15:45:00,KMSK Deinze,RWDM,1.0,0.0,H,1.8,3.25,3.75,1.76,2.17,5.0,3.0,1.31,1.11
2020-09-13,11:00:00,Club Brugge II,Union Saint-Gilloise,1.0,1.0,D,4.5,3.9,1.6,2.09,1.81,2.0,14.0,0.61,3.11
2020-09-13,15:00:00,RFC Seraing,KVC Westerlo,0.0,2.0,A,3.1,3.3,2.05,1.87,1.77,6.0,5.0,1.5,1.43
2020-09-18,15:00:00,RWDM,Lommel United,0.0,1.0,A,2.3,3.25,2.7,1.78,2.02,2.0,5.0,1.49,1.4
2020-09-19,15:45:00,Union Saint-Gilloise,RFC Seraing,3.0,2.0,H,1.47,3.9,5.65,1.74,1.91,5.0,6.0,1.62,1.39
2020-09-20,11:00:00,Lierse Kempenzonen,Club Brugge II,2.0,1.0,H,1.92,3.66,3.78,1.83,1.96,6.0,5.0,1.47,1.01
2020-09-26,15:45:00,RWDM,Union Saint-Gilloise,3.0,1.0,H,4.4,3.85,1.61,1.67,2.0,6.0,5.0,1.26,1.65
