Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,B365>2.5,B365<2.5,HST,AST,HomeXG,AwayXG
2020-08-01,12:30:00,Sloboda Tuzla,Radnik Bijeljina,1.0,1.0,D,3.0,2.8,2.3,2.25,1.49,4.0,3.0,0.99,1.22
2020-08-01,13:00:00,Borac Banja Luka,Mladost Doboj Kakanj,6.0,0.0,H,1.17,5.65,10.75,1.67,1.95,10.0,4.0,2.41,1.22
2020-08-01,15:00:00,Zrinjski,Olimpik Sarajevo,1.0,0.0,H,1.22,5.05,10.0,1.87,1.74,7.0,2.0,1.78,0.64
2020-08-01,15:30:00,Željezničar,Velež,3.0,0.0,H,1.36,3.8,7.25,1.95,1.67,5.0,7.0,1.1,1.94
2020-08-02,12:30:00,Krupa na Vrbasu,Sarajevo,0.0,2.0,A,5.15,2.9,1.71,2.0,1.65,3.0,5.0,0.76,0.97
2020-08-02,15:00:00,Široki Brijeg,FK Tuzla City,1.0,0.0,H,2.05,3.0,3.35,2.2,1.51,7.0,3.0,1.67,1.4
2020-08-07,14:00:00,Borac Banja Luka,Sloboda Tuzla,2.0,0.0,H,,,,,,9.0,3.0,2.48,0.98
2020-08-07,12:00:00,Radnik Bijeljina,Željezničar,0.0,2.0,A,,,,,,2.0,6.0,1.02,1.79
2020-08-08,12:00:00,Mladost Doboj Kakanj,Sarajevo,2.0,2.0,D,20.0,10.5,1.01,1.26,3.15,3.0,10.0,0.76,2.6
2020-08-08,12:30:00,Olimpik Sarajevo,Široki Brijeg,1.0,2.0,A,3.3,2.75,2.2,2.25,1.5,3.0,3.0,0.79,0.83
2020-08-08,14:00:00,Velež,Zrinjski,2.0,0.0,H,2.5,2.85,2.7,2.25,1.5,6.0,6.0,1.76,1.48
2020-08-08,15:30:00,FK Tuzla City,Krupa na Vrbasu,1.0,0.0,H,1.67,3.0,5.25,2.3,1.48,7.0,0.0,2.23,0.27
2020-08-11,12:00:00,Željezničar,Borac Banja Luka,2.0,1.0,H,1.59,3.45,4.9,1.74,1.87,4.0,4.0,1.63,1.09
2020-08-11,14:00:00,Široki Brijeg,Velež,2.0,2.0,D,1.74,3.15,4.35,1.95,1.69,7.0,8.0,2.03,1.57
2020-08-12,12:00:00,Sarajevo,FK Tuzla City,1.0,0.0,H,1.42,3.65,6.7,2.15,1.56,4.0,4.0,1.06,1.63
2020-08-12,12:30:00,Sloboda Tuzla,Mladost Doboj Kakanj,3.0,0.0,H,1.57,3.45,5.1,2.05,1.61,9.0,3.0,2.2,0.99
2020-08-12,12:30:00,Krupa na Vrbasu,Olimpik Sarajevo,1.0,0.0,H,1.77,3.05,4.35,2.15,1.54,6.0,4.0,2.08,1.29
2020-08-12,14:00:00,Zrinjski,Radnik Bijeljina,0.0,0.0,D,1.36,3.8,6.95,2.2,1.51,3.0,2.0,1.12,0.76
2020-08-15,12:00:00,Mladost Doboj Kakanj,FK Tuzla City,2.0,5.0,A,,,,,,8.0,8.0,1.64,1.77
2020-08-15,14:00:00,Velež,Krupa na Vrbasu,2.0,0.0,H,1.57,3.55,4.85,,,11.0,0.0,2.72,0.32
2020-08-15,14:00:00,Sloboda Tuzla,Željezničar,0.0,2.0,A,5.5,3.95,1.45,,,4.0,4.0,1.29,1.59
2020-08-16,12:00:00,Borac Banja Luka,Zrinjski,1.0,0.0,H,,,,,,5.0,2.0,1.22,1.23
2020-08-16,14:00:00,Radnik Bijeljina,Široki Brijeg,1.0,1.0,D,2.25,3.3,2.65,,,4.0,4.0,1.41,1.42
2020-08-21,14:00:00,Željezničar,Mladost Doboj Kakanj,0.0,1.0,A,1.11,8.0,13.0,1.44,2.7,6.0,4.0,2.4,1.09
2020-08-22,13:55:00,Široki Brijeg,Borac Banja Luka,3.0,0.0,H,1.62,3.4,4.4,1.77,1.83,6.0,3.0,1.79,1.37
2020-08-22,16:05:00,Zrinjski,Sloboda Tuzla,1.0,0.0,H,1.26,4.4,9.5,2.15,1.56,11.0,0.0,2.5,0.88
2020-08-23,12:00:00,Krupa na Vrbasu,Radnik Bijeljina,1.0,1.0,D,2.4,2.95,2.7,2.15,1.56,6.0,5.0,2.24,1.57
2020-08-23,12:00:00,FK Tuzla City,Olimpik Sarajevo,3.0,2.0,H,1.38,3.85,7.0,1.95,1.69,7.0,4.0,1.86,1.03
2020-08-23,14:00:00,Sarajevo,Velež,1.0,1.0,D,,,,2.1,1.59,3.0,5.0,1.4,1.26
2020-08-29,11:30:00,Mladost Doboj Kakanj,Olimpik Sarajevo,1.0,0.0,H,2.45,2.8,2.8,2.15,1.56,4.0,2.0,1.19,1.16
2020-08-29,14:00:00,Velež,FK Tuzla City,1.0,1.0,D,1.91,3.0,3.7,2.25,1.49,3.0,3.0,1.0,0.87
2020-08-29,15:00:00,Sloboda Tuzla,Široki Brijeg,3.0,0.0,H,3.35,2.9,2.1,2.2,1.53,5.0,2.0,1.19,1.3
2020-08-31,13:00:00,Radnik Bijeljina,Sarajevo,0.0,2.0,A,3.9,2.95,1.87,1.95,1.69,,,1.22,1.79
2020-08-31,15:10:00,Borac Banja Luka,Krupa na Vrbasu,3.0,1.0,H,1.1,7.0,14.5,1.49,2.3,7.0,5.0,2.19,1.23
2020-09-11,15:00:00,Sarajevo,Borac Banja Luka,4.0,2.0,H,1.67,3.4,4.4,1.87,1.71,10.0,4.0,2.59,1.4
