Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,B365>2.5,B365<2.5,HST,AST,HomeXG,AwayXG
2021-05-28,16:00:00,Brasil de Pelotas,Londrina,0.0,0.0,D,3.2,3.12,2.35,2.4,1.51,6.0,4.0,2.36,1.5
2021-05-28,19:00:00,Guarani,Vitória,1.0,1.0,D,2.05,3.05,3.2,2.0,1.62,9.0,4.0,2.68,1.53
2021-05-28,21:30:00,Vila Nova,Botafogo,1.0,1.0,D,3.25,2.9,2.1,2.3,1.48,4.0,6.0,0.97,2.21
2021-05-28,21:30:00,Náutico,CSA,1.0,0.0,H,1.87,3.0,3.8,2.1,1.59,8.0,2.0,2.65,1.03
2021-05-29,11:00:00,Vasco da Gama,Operário PR,0.0,2.0,A,1.73,3.4,5.0,2.15,1.62,5.0,9.0,1.77,2.3
2021-05-29,16:00:00,CRB,Remo,2.0,2.0,D,2.15,3.1,3.3,2.32,1.55,3.0,4.0,1.38,1.3
2021-05-29,16:30:00,Confiança,Cruzeiro,3.0,1.0,H,3.15,3.04,2.43,2.55,1.45,7.0,5.0,1.77,1.48
2021-05-29,18:15:00,Coritiba,Avaí,2.0,0.0,H,2.45,2.75,2.8,2.3,1.48,4.0,6.0,1.46,1.83
2021-05-30,11:00:00,Brusque,Ponte Preta,2.0,1.0,H,2.32,3.15,3.02,2.19,1.6,5.0,2.0,2.04,1.07
2021-05-31,20:00:00,Sampaio Corrêa,Goiás,0.0,0.0,D,3.0,2.85,2.25,2.25,1.5,2.0,4.0,1.14,1.62
2021-06-01,19:00:00,Operário PR,Guarani,2.0,5.0,A,2.25,2.75,3.15,2.35,1.45,6.0,9.0,1.9,1.64
2021-06-04,17:30:00,Goiás,Confiança,2.0,0.0,H,1.91,2.9,4.0,2.35,1.44,6.0,7.0,1.81,1.82
2021-06-05,11:00:00,Londrina,Brusque,0.0,1.0,A,2.41,2.65,3.85,2.75,1.4,6.0,6.0,1.99,1.36
2021-06-05,16:30:00,CSA,Sampaio Corrêa,0.0,0.0,D,1.87,3.45,3.92,2.23,1.58,7.0,3.0,2.24,1.22
2021-06-05,19:00:00,Remo,Brasil de Pelotas,1.0,0.0,H,1.77,3.1,4.1,2.35,1.45,3.0,2.0,1.59,0.95
2021-06-05,21:00:00,Botafogo,Coritiba,2.0,0.0,H,2.3,2.75,3.05,2.7,1.43,7.0,3.0,1.9,1.34
2021-06-06,16:00:00,Ponte Preta,Vasco da Gama,1.0,1.0,D,3.01,3.09,2.57,2.5,1.48,4.0,2.0,1.3,1.06
2021-06-06,18:15:00,Cruzeiro,CRB,3.0,4.0,A,1.67,3.25,4.45,2.2,1.51,10.0,6.0,2.81,1.51
2021-06-06,20:30:00,Avaí,Vila Nova,1.0,1.0,D,1.8,3.05,4.15,2.3,1.49,8.0,3.0,2.42,0.98
2021-06-07,20:00:00,Vitória,Náutico,0.0,1.0,A,3.05,2.7,2.3,2.3,1.47,10.0,3.0,2.87,1.52
2021-06-11,19:00:00,Sampaio Corrêa,Ponte Preta,1.0,0.0,H,3.15,2.8,2.2,2.25,1.5,3.0,2.0,1.16,0.7
2021-06-11,21:30:00,Guarani,Náutico,1.0,3.0,A,2.45,2.75,2.8,2.25,1.5,5.0,5.0,1.69,1.59
2021-06-12,16:30:00,CRB,Confiança,3.0,2.0,H,2.15,3.25,3.1,2.28,1.58,6.0,4.0,1.81,1.13
2021-06-12,19:00:00,Brasil de Pelotas,Vasco da Gama,1.0,2.0,A,3.65,2.75,2.05,2.3,1.48,3.0,5.0,1.08,1.67
2021-06-12,19:00:00,Vila Nova,CSA,1.0,0.0,H,2.7,2.55,2.75,2.35,1.45,4.0,4.0,1.5,1.81
2021-06-12,21:00:00,Cruzeiro,Goiás,1.0,1.0,D,1.87,3.0,3.8,2.15,1.54,7.0,8.0,2.0,1.99
2021-06-13,16:00:00,Avaí,Brusque,1.0,2.0,A,2.15,3.1,3.6,2.35,1.53,4.0,6.0,2.09,1.56
