Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,B365>2.5,B365<2.5,HST,AST,HomeXG,AwayXG
2021-04-03,15:00:00,Puerto Montt,Copiapó,1.0,0.0,H,2.1,2.83,3.58,2.14,1.74,6.0,5.0,1.4,1.9
2021-04-04,12:00:00,Deportes Iquique,Coquimbo Unido,2.0,3.0,A,2.15,3.1,3.05,2.05,1.74,5.0,6.0,1.72,1.63
2021-04-04,12:00:00,Deportes Temuco,San Luis,2.0,2.0,D,1.9,3.3,3.9,,,,,0.0,0.0
2021-04-04,12:00:00,Cobreloa,Barnechea,1.0,2.0,A,1.85,3.25,4.33,2.05,1.75,3.0,3.0,1.68,0.9
2021-04-04,12:00:00,Magallanes,San Marcos,1.0,3.0,A,2.3,2.9,2.95,2.25,1.61,3.0,4.0,1.31,0.98
2021-04-06,21:00:00,Rangers,Unión San Felipe,3.0,1.0,H,2.35,2.98,2.87,2.1,1.7,7.0,9.0,1.36,1.85
2021-04-12,18:00:00,Univ. Concepción,Santiago Morning,3.0,3.0,D,1.95,3.0,4.0,2.05,1.75,6.0,8.0,1.44,1.67
2021-04-17,12:00:00,Unión San Felipe,Puerto Montt,2.0,3.0,A,2.09,3.04,3.86,2.31,1.64,6.0,6.0,1.54,1.55
2021-04-17,13:00:00,Barnechea,Coquimbo Unido,0.0,1.0,A,3.22,2.94,2.18,2.03,1.82,0.0,3.0,0.42,1.2
2021-04-18,18:00:00,San Marcos,Cobreloa,0.0,0.0,D,2.34,3.02,2.85,2.0,1.75,,,0.0,0.0
2021-04-18,19:00:00,San Luis,Rangers,0.0,1.0,A,2.7,3.07,2.42,2.0,1.85,3.0,6.0,1.63,1.39
2021-04-18,19:00:00,Deportes Santa Cruz,Univ. Concepción,2.0,2.0,D,3.32,3.17,2.03,1.95,1.8,4.0,7.0,1.09,1.56
2021-04-19,16:30:00,Santiago Morning,Magallanes,1.0,2.0,A,2.17,3.05,2.9,1.73,2.1,2.0,7.0,1.17,1.75
2021-04-19,19:00:00,Copiapó,Deportes Temuco,1.0,1.0,D,2.3,3.2,2.7,2.0,1.65,6.0,6.0,1.65,1.63
2021-04-25,13:00:00,Deportes Iquique,San Marcos,1.0,2.0,A,1.61,3.45,4.85,1.95,1.67,2.0,7.0,1.2,1.59
2021-04-25,21:30:00,Coquimbo Unido,Magallanes,1.0,1.0,D,1.62,3.45,4.7,1.91,1.71,3.0,2.0,1.13,1.57
2021-04-26,12:00:00,Cobreloa,Univ. Concepción,2.0,4.0,A,2.36,3.0,2.65,2.0,1.8,8.0,6.0,2.31,1.26
2021-04-26,13:00:00,Deportes Temuco,Unión San Felipe,3.0,0.0,H,2.0,3.15,3.35,2.0,1.75,6.0,2.0,1.84,1.14
2021-04-26,13:00:00,Puerto Montt,San Luis,2.0,1.0,H,2.0,3.45,3.1,1.9,1.83,4.0,3.0,1.18,0.81
2021-04-26,16:30:00,Santiago Morning,Deportes Santa Cruz,1.0,3.0,A,1.82,3.25,3.6,1.8,1.95,7.0,6.0,1.91,1.54
2021-04-26,19:00:00,Rangers,Copiapó,2.0,3.0,A,1.8,3.35,3.75,1.87,1.74,9.0,6.0,2.06,1.88
2021-05-01,21:30:00,Univ. Concepción,Rangers,3.0,2.0,H,2.05,3.1,3.4,1.78,2.08,9.0,6.0,1.95,2.12
2021-05-02,21:30:00,Deportes Santa Cruz,Puerto Montt,1.0,0.0,H,3.12,3.39,2.12,1.75,2.13,3.0,4.0,1.72,1.58
2021-05-03,12:00:00,Magallanes,Deportes Temuco,0.0,3.0,A,2.25,3.25,2.8,1.78,2.08,6.0,6.0,1.69,1.4
2021-05-03,13:00:00,Barnechea,Deportes Iquique,3.0,1.0,H,2.8,3.1,2.3,1.87,1.74,5.0,4.0,1.3,2.47
2021-05-03,13:00:00,Copiapó,Santiago Morning,2.0,2.0,D,1.91,3.05,3.8,2.0,1.65,5.0,8.0,1.45,1.72
2021-05-03,16:30:00,San Luis,Unión San Felipe,1.0,2.0,A,2.2,3.2,2.9,1.95,1.75,5.0,5.0,2.15,1.33
2021-05-03,19:00:00,Cobreloa,Coquimbo Unido,1.0,1.0,D,2.6,3.15,2.4,1.83,1.77,4.0,4.0,1.16,1.34
2021-05-09,13:00:00,Deportes Iquique,San Luis,0.0,0.0,D,2.0,3.35,3.4,1.83,1.89,5.0,4.0,1.56,1.08
2021-05-09,21:30:00,Unión San Felipe,Cobreloa,0.0,0.0,D,2.3,3.15,2.85,1.92,1.81,5.0,3.0,1.42,1.25
2021-05-10,13:00:00,Puerto Montt,Magallanes,1.0,1.0,D,2.1,3.2,3.2,2.0,1.82,7.0,7.0,1.44,1.41
2021-05-10,13:00:00,Santiago Morning,San Marcos,3.0,0.0,H,2.4,3.25,2.62,1.85,1.98,7.0,3.0,1.84,1.29
2021-05-10,13:00:00,Coquimbo Unido,Univ. Concepción,1.0,0.0,H,1.91,3.25,3.6,1.67,2.07,5.0,6.0,1.34,1.88
2021-05-10,19:00:00,Deportes Temuco,Deportes Santa Cruz,0.0,1.0,A,1.95,3.3,3.5,1.78,2.05,2.0,7.0,1.78,1.51
2021-05-10,21:30:00,Rangers,Barnechea,2.0,0.0,H,1.95,3.3,3.5,1.87,1.95,8.0,2.0,2.63,0.78
2021-05-18,12:00:00,Barnechea,Puerto Montt,0.0,1.0,A,2.52,3.05,2.52,2.01,1.79,6.0,3.0,1.77,1.4
2021-05-18,13:00:00,Copiapó,Deportes Iquique,0.0,2.0,A,2.4,3.0,2.75,1.91,1.69,4.0,5.0,1.68,1.2
2021-05-18,13:00:00,Cobreloa,Santiago Morning,2.0,2.0,D,1.91,3.25,3.55,1.62,2.0,7.0,5.0,1.85,0.92
2021-05-18,13:30:00,San Marcos,Deportes Temuco,1.0,2.0,A,2.5,2.9,2.65,2.2,1.51,2.0,5.0,1.95,1.2
2021-05-18,16:30:00,Magallanes,Rangers,0.0,1.0,A,2.56,3.25,2.56,1.76,1.96,4.0,4.0,1.5,1.3
2021-05-18,19:00:00,Univ. Concepción,Unión San Felipe,0.0,0.0,D,1.8,3.4,3.65,1.71,1.91,4.0,4.0,1.71,1.25
2021-05-18,21:30:00,Deportes Santa Cruz,Coquimbo Unido,1.0,7.0,A,8.25,6.5,1.18,1.18,3.95,3.0,12.0,0.85,2.77
2021-05-23,13:00:00,Deportes Iquique,Magallanes,1.0,1.0,D,1.8,3.3,3.85,1.8,1.77,2.0,2.0,0.66,1.14
2021-05-23,19:00:00,Puerto Montt,Univ. Concepción,2.0,2.0,D,2.15,2.9,3.25,2.1,1.57,4.0,6.0,1.45,1.67
2021-05-24,12:00:00,Coquimbo Unido,San Marcos,1.0,0.0,H,1.52,3.57,6.55,1.89,1.82,5.0,4.0,1.6,1.62
2021-05-24,16:30:00,Santiago Morning,Rangers,0.0,0.0,D,2.33,3.05,2.6,1.87,1.87,4.0,4.0,0.91,1.05
