Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,B365>2.5,B365<2.5,HST,AST,HomeXG,AwayXG
2021-03-27,11:00:00,Curicó Unido,Melipilla,2.0,0.0,H,2.62,2.9,2.68,2.35,1.55,7.0,5.0,1.7,1.81
2021-03-27,16:00:00,Everton,O'Higgins,1.0,1.0,D,1.9,3.23,3.4,2.02,1.74,7.0,4.0,1.93,1.1
2021-03-27,18:30:00,Colo-Colo,Unión La Calera,0.0,0.0,D,2.35,3.2,3.0,2.0,1.8,4.0,5.0,1.92,1.69
2021-03-27,21:00:00,Unión Española,Santiago Wanderers,3.0,1.0,H,1.8,3.65,4.2,1.8,2.0,7.0,4.0,1.96,1.47
2021-03-28,10:45:00,Palestino,Antofagasta,2.0,4.0,A,1.74,3.35,5.0,1.91,1.87,7.0,8.0,2.04,1.96
2021-03-28,17:00:00,Huachipato,Cobresal,0.0,0.0,D,1.95,3.64,3.86,1.91,1.8,4.0,3.0,1.71,1.32
2021-03-28,19:30:00,Ñublense,Universidad Católica,0.0,1.0,A,3.95,3.05,2.05,2.25,1.61,6.0,2.0,1.94,1.03
2021-03-30,20:00:00,Audax Italiano,La Serena,2.0,1.0,H,2.6,3.0,2.8,2.0,1.77,8.0,3.0,2.22,1.1
2021-04-02,16:00:00,Antofagasta,Everton,1.0,2.0,A,2.37,2.78,2.92,2.09,1.73,6.0,6.0,2.04,1.62
2021-04-02,19:00:00,Unión La Calera,Unión Española,1.0,0.0,H,2.3,2.9,2.9,2.01,1.83,8.0,4.0,1.69,1.63
2021-04-03,11:00:00,Melipilla,Ñublense,1.0,1.0,D,2.7,2.92,2.4,2.09,1.66,4.0,6.0,1.59,2.34
2021-04-03,18:00:00,Universidad Chile,Huachipato,1.0,1.0,D,2.05,3.48,3.68,2.04,1.72,3.0,4.0,1.21,1.51
2021-04-03,20:30:00,Cobresal,Colo-Colo,1.0,2.0,A,2.6,3.42,2.68,1.99,1.77,7.0,5.0,2.29,1.82
2021-04-04,18:00:00,La Serena,Curicó Unido,2.0,0.0,H,2.0,3.3,3.9,1.65,2.2,6.0,3.0,1.5,1.2
2021-04-04,20:15:00,Universidad Católica,Palestino,2.0,1.0,H,2.15,3.3,3.4,1.93,1.83,7.0,2.0,1.7,1.25
2021-04-04,22:30:00,O'Higgins,Audax Italiano,0.0,0.0,D,2.4,3.0,3.2,1.67,2.15,3.0,4.0,1.14,1.32
2021-04-10,17:00:00,Unión Española,Melipilla,0.0,2.0,A,1.78,3.45,3.7,1.88,1.92,8.0,7.0,2.3,1.53
2021-04-10,19:30:00,Audax Italiano,Universidad Católica,1.0,0.0,H,3.7,3.45,1.78,1.78,1.92,4.0,2.0,1.19,1.0
2021-04-11,16:00:00,La Serena,Universidad Chile,0.0,0.0,D,3.0,3.05,2.35,1.67,2.15,6.0,6.0,1.67,1.92
2021-04-11,18:30:00,Santiago Wanderers,Unión La Calera,1.0,2.0,A,3.0,3.05,2.35,1.87,1.9,4.0,3.0,1.76,1.2
2021-04-11,21:00:00,Colo-Colo,O'Higgins,1.0,2.0,A,1.97,3.25,3.7,1.6,2.25,3.0,4.0,1.73,1.29
2021-04-12,13:00:00,Ñublense,Cobresal,3.0,1.0,H,2.39,3.05,2.74,2.03,1.73,10.0,2.0,2.38,1.11
2021-04-12,16:00:00,Palestino,Everton,1.0,1.0,D,2.25,3.05,2.95,2.0,1.76,6.0,4.0,1.6,1.74
2021-04-12,18:15:00,Curicó Unido,Antofagasta,1.0,1.0,D,2.18,3.27,2.89,1.95,1.8,11.0,4.0,2.53,1.11
2021-04-16,16:30:00,Melipilla,Palestino,0.0,1.0,A,3.6,2.85,2.08,2.05,1.73,4.0,3.0,1.45,1.38
2021-04-16,19:00:00,Huachipato,Ñublense,5.0,3.0,H,2.05,3.15,3.15,1.98,1.73,12.0,5.0,2.87,1.4
2021-04-16,21:30:00,Universidad Católica,Curicó Unido,2.0,1.0,H,1.35,4.25,7.0,1.85,1.9,3.0,7.0,1.01,2.2
2021-04-17,19:00:00,O'Higgins,La Serena,0.0,0.0,D,2.1,3.3,3.5,1.67,2.15,5.0,3.0,1.63,1.41
2021-04-17,21:30:00,Unión La Calera,Audax Italiano,1.0,1.0,D,2.05,3.4,3.5,1.91,1.85,3.0,8.0,1.18,2.13
2021-04-18,12:00:00,Cobresal,Santiago Wanderers,2.0,1.0,H,1.53,4.25,5.5,1.83,1.95,7.0,5.0,1.82,1.43
2021-04-18,16:00:00,Everton,Colo-Colo,0.0,2.0,A,2.4,3.0,2.75,2.1,1.67,2.0,3.0,1.25,1.64
