Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,B365>2.5,B365<2.5,HST,AST,HomeXG,AwayXG
2021-04-24,08:30:00,Wuhan Three Towns,BIT,3.0,1.0,H,1.05,9.5,15.0,1.37,2.6,4.0,2.0,1.32,0.78
2021-04-24,08:35:00,Zibo Cuju,Zhejiang FC,0.0,4.0,A,11.0,6.5,1.14,1.48,2.3,5.0,6.0,1.37,1.63
2021-04-25,04:00:00,Nanjing City,Nantong Zhiyun,1.0,1.0,D,2.3,2.95,2.9,2.3,1.47,2.0,2.0,0.9,0.98
2021-04-25,05:00:00,Sichuan Jiuniu,Shaanxi Chang'an,0.0,1.0,A,3.4,3.0,2.05,2.2,1.51,0.0,3.0,0.28,0.66
2021-04-25,08:35:00,Meizhou Hakka,Xinjiang Tianshan,2.0,1.0,H,1.1,7.5,13.0,1.5,2.25,3.0,2.0,0.77,0.47
2021-04-25,08:35:00,Kunshan,Beijing BG,2.0,2.0,D,1.32,4.1,8.5,2.0,1.65,3.0,3.0,1.65,0.73
2021-04-26,04:30:00,Suzhou Dongwu,Heilongjiang Lava Spring,3.0,1.0,H,4.4,3.0,1.8,2.35,1.45,4.0,2.0,0.86,0.88
2021-04-26,08:35:00,Jiangxi Liansheng,Chengdu Better City FC,2.0,4.0,A,6.5,4.3,1.34,1.83,1.77,4.0,6.0,0.95,1.63
2021-04-26,08:35:00,Shenyang Urban,Guizhou Zhicheng,0.0,1.0,A,4.1,3.3,1.74,2.0,1.65,2.0,5.0,0.0,0.0
2021-04-29,05:00:00,Xinjiang Tianshan,Zibo Cuju,3.0,2.0,H,2.75,2.75,2.55,2.46,1.49,5.0,3.0,1.09,0.76
2021-04-29,08:35:00,Zhejiang FC,Sichuan Jiuniu,0.0,0.0,D,1.18,5.8,15.0,1.38,2.81,2.0,0.0,0.62,0.34
2021-04-30,04:00:00,Beijing BG,Jiangxi Liansheng,0.0,1.0,A,1.8,3.4,3.75,2.05,1.75,0.0,2.0,0.43,1.4
2021-04-30,07:00:00,Shaanxi Chang'an,Meizhou Hakka,0.0,1.0,A,5.0,3.6,1.57,2.28,1.58,0.0,4.0,0.21,0.95
2021-04-30,08:35:00,Chengdu Better City FC,Nanjing City,2.0,0.0,H,1.22,5.5,10.0,1.62,2.25,4.0,0.0,1.17,0.53
