Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,B365>2.5,B365<2.5,HST,AST,HomeXG,AwayXG
2021-04-20,09:00:00,Chongqing Dangdai Lifan,Shandong Luneng,0.0,2.0,A,6.5,4.05,1.49,1.8,2.0,0.0,6.0,0.36,1.77
2021-04-20,09:00:00,Guangzhou Evergrande,Guangzhou R&F,2.0,2.0,D,1.27,5.75,9.0,1.51,2.5,9.0,3.0,2.35,0.67
2021-04-21,07:00:00,Qingdao Huanghai,Shijiazhuang Ever Bright,2.0,1.0,H,3.05,3.15,2.35,2.05,1.74,4.0,7.0,1.28,2.36
2021-04-21,09:00:00,Henan Jianye,Shenzhen,1.0,2.0,A,4.7,3.95,1.65,1.91,1.91,5.0,3.0,1.28,1.14
2021-04-22,07:00:00,Dalian Yifang,Changchun Yatai,1.0,2.0,A,5.0,3.95,1.62,1.87,1.91,8.0,5.0,2.0,1.39
2021-04-22,09:00:00,Tianjin Teda,Shanghai SIPG,1.0,6.0,A,14.0,7.75,1.15,1.42,2.8,2.0,9.0,0.46,2.84
2021-04-23,07:00:00,Hebei CFFC,Wuhan Zall,1.0,1.0,D,2.7,3.15,2.6,2.0,1.77,5.0,5.0,1.14,1.32
2021-04-23,09:00:00,Shanghai Shenhua,Beijing Guoan,2.0,1.0,H,2.85,3.4,2.35,1.65,2.2,8.0,3.0,1.95,0.78
2021-04-26,07:00:00,Shenzhen,Qingdao Huanghai,0.0,0.0,D,1.36,4.55,8.25,1.8,2.0,6.0,6.0,2.56,1.08
2021-04-26,09:00:00,Guangzhou R&F,Chongqing Dangdai Lifan,3.0,1.0,H,1.91,3.45,4.0,1.69,2.1,6.0,8.0,1.1,2.12
2021-04-27,04:35:00,Shandong Luneng,Guangzhou Evergrande,1.0,0.0,H,3.0,3.25,2.3,1.8,1.95,6.0,3.0,1.8,1.0
2021-04-27,09:00:00,Shijiazhuang Ever Bright,Henan Jianye,0.0,0.0,D,2.15,3.41,3.54,2.01,1.78,2.0,0.0,0.91,0.56
2021-04-28,07:00:00,Shanghai SIPG,Beijing Guoan,3.0,1.0,H,1.67,3.75,4.75,1.75,1.95,5.0,7.0,1.18,2.14
2021-04-28,09:00:00,Dalian Yifang,Hebei CFFC,0.0,1.0,A,7.0,3.95,1.48,1.8,1.95,2.0,3.0,1.44,1.15
2021-04-29,07:00:00,Wuhan Zall,Shanghai Shenhua,1.0,3.0,A,3.4,3.1,2.05,2.1,1.7,3.0,7.0,0.85,1.65
2021-04-29,09:00:00,Changchun Yatai,Tianjin Teda,0.0,0.0,D,1.22,5.5,12.0,1.57,2.3,4.0,3.0,1.76,0.68
2021-05-02,07:00:00,Henan Jianye,Shandong Luneng,1.0,1.0,D,6.0,3.95,1.53,1.8,2.0,2.0,3.0,0.86,1.06
2021-05-02,09:00:00,Guangzhou Evergrande,Shenzhen,2.0,0.0,H,1.74,3.6,4.55,1.87,1.91,2.0,3.0,1.05,1.85
2021-05-03,07:00:00,Qingdao Huanghai,Guangzhou R&F,0.0,1.0,A,3.3,3.5,1.87,2.0,1.75,2.0,4.0,0.67,1.13
2021-05-03,09:00:00,Chongqing Dangdai Lifan,Shijiazhuang Ever Bright,2.0,2.0,D,2.82,3.12,2.61,2.0,1.8,7.0,3.0,1.49,0.95
2021-05-04,07:00:00,Changchun Yatai,Wuhan Zall,0.0,0.0,D,2.7,3.2,2.6,2.2,1.65,4.0,3.0,1.63,0.9
2021-05-04,09:00:00,Beijing Guoan,Dalian Yifang,2.0,0.0,H,1.15,7.5,15.0,1.56,2.4,6.0,2.0,1.76,0.75
2021-05-05,07:00:00,Tianjin Teda,Hebei CFFC,0.0,1.0,A,7.0,4.25,1.43,1.8,2.0,3.0,3.0,0.83,1.5
2021-05-05,09:00:00,Shanghai Shenhua,Shanghai SIPG,1.0,1.0,D,2.9,3.25,2.4,1.8,2.0,6.0,4.0,1.75,1.28
