Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,B365>2.5,B365<2.5,HST,AST,HomeXG,AwayXG
2020-08-14,15:00:00,Varaždin,Gorica,1.0,5.0,A,3.05,3.25,2.2,1.91,1.83,4.0,11.0,1.34,2.65
2020-08-15,12:55:00,Rijeka,Šibenik,2.0,1.0,H,1.17,6.15,10.75,1.56,2.2,6.0,8.0,2.05,1.8
2020-08-15,15:05:00,Osijek,Slaven Koprivnica,0.0,0.0,D,1.41,3.9,6.65,1.87,1.77,2.0,3.0,0.97,1.81
2020-08-16,12:55:00,Hajduk Split,Istra 1961,2.0,0.0,H,1.1,7.5,14.75,1.45,2.45,5.0,2.0,1.2,0.79
2020-08-16,15:05:00,Dinamo Zagreb,Lokomotiva Zagreb,6.0,0.0,H,1.18,5.7,11.5,1.65,2.0,12.0,3.0,2.63,1.1
2020-08-21,12:55:00,Lokomotiva Zagreb,Rijeka,1.0,0.0,H,4.6,4.0,1.56,1.67,2.0,2.0,7.0,0.65,1.91
2020-08-21,15:05:00,Istra 1961,Dinamo Zagreb,0.0,1.0,A,11.75,5.8,1.17,1.59,2.1,4.0,3.0,0.87,1.08
2020-08-22,12:55:00,Slaven Koprivnica,Gorica,1.0,2.0,A,2.45,2.9,2.8,2.1,1.59,5.0,5.0,1.54,1.81
2020-08-22,15:05:00,Šibenik,Varaždin,0.0,1.0,A,2.55,3.1,2.5,2.0,1.65,4.0,7.0,1.57,1.76
2020-08-23,12:55:00,Osijek,Hajduk Split,1.0,2.0,A,2.3,2.95,2.95,1.95,1.71,3.0,4.0,1.53,1.41
2020-08-28,15:00:00,Gorica,Šibenik,3.0,2.0,H,1.43,4.0,6.0,1.8,1.83,9.0,11.0,2.51,2.45
2020-08-29,12:55:00,Rijeka,Istra 1961,2.0,1.0,H,1.24,5.1,9.5,1.59,2.1,7.0,0.0,1.9,0.46
2020-08-29,15:05:00,Hajduk Split,Slaven Koprivnica,2.0,2.0,D,1.42,4.15,5.9,1.59,2.1,5.0,3.0,1.79,0.97
2020-08-30,12:55:00,Varaždin,Lokomotiva Zagreb,1.0,1.0,D,2.55,3.1,2.5,2.0,1.67,6.0,4.0,1.92,1.09
2020-08-30,15:05:00,Dinamo Zagreb,Osijek,4.0,1.0,H,1.74,3.2,4.45,2.05,1.65,6.0,9.0,1.32,2.26
2020-09-11,15:00:00,Slaven Koprivnica,Šibenik,0.0,0.0,D,1.49,3.8,5.55,1.74,1.91,2.0,5.0,1.33,1.76
2020-09-12,12:00:00,Osijek,Rijeka,3.0,0.0,H,2.05,3.25,3.05,1.71,1.91,6.0,2.0,1.41,1.34
2020-09-12,14:05:00,Hajduk Split,Dinamo Zagreb,1.0,2.0,A,3.05,3.1,2.15,1.69,1.95,6.0,10.0,1.48,2.21
2020-09-13,12:00:00,Istra 1961,Varaždin,0.0,1.0,A,2.25,3.0,3.0,1.95,1.71,,,0.87,1.76
2020-09-13,14:05:00,Lokomotiva Zagreb,Gorica,1.0,2.0,A,2.55,3.35,2.4,1.59,2.1,,,0.65,2.23
2020-09-18,13:00:00,Šibenik,Lokomotiva Zagreb,3.0,2.0,H,4.55,3.65,1.62,1.87,1.77,10.0,5.0,2.16,1.26
2020-09-19,12:00:00,Gorica,Istra 1961,2.0,2.0,D,1.43,3.9,6.4,1.87,1.77,8.0,8.0,2.38,1.84
2020-09-19,14:05:00,Dinamo Zagreb,Slaven Koprivnica,3.0,3.0,D,1.18,5.6,11.0,1.65,2.05,11.0,7.0,2.03,1.47
2020-09-20,14:05:00,Varaždin,Osijek,0.0,1.0,A,4.7,3.75,1.59,1.91,1.74,2.0,6.0,0.73,2.03
2020-09-26,12:00:00,Istra 1961,Šibenik,1.0,0.0,H,2.0,3.1,3.4,2.1,1.61,5.0,4.0,1.8,1.48
2020-09-26,14:05:00,Osijek,Gorica,2.0,1.0,H,1.47,4.0,5.55,1.83,1.8,3.0,2.0,1.71,1.05
2020-09-27,14:05:00,Hajduk Split,Varaždin,2.0,0.0,H,1.29,4.6,8.75,1.8,1.83,5.0,3.0,2.12,0.76
2020-10-02,13:00:00,Lokomotiva Zagreb,Istra 1961,0.0,0.0,D,1.83,3.25,3.85,1.91,1.74,3.0,2.0,1.07,0.75
2020-10-03,12:00:00,Šibenik,Osijek,0.0,2.0,A,7.5,5.15,1.27,1.69,1.95,3.0,7.0,1.24,1.86
2020-10-03,14:05:00,Gorica,Hajduk Split,2.0,1.0,H,2.9,3.3,2.15,1.69,2.0,5.0,10.0,1.7,2.85
2020-10-04,12:00:00,Varaždin,Dinamo Zagreb,1.0,2.0,A,8.25,4.6,1.29,1.69,1.95,4.0,9.0,0.98,1.86
