Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,B365>2.5,B365<2.5,HST,AST,HomeXG,AwayXG
2025-07-18,14:00:00,Pardubice,Viktoria Plzeň,1.0,5.0,A,,,,,,2.0,6.0,0.0,0.0
2025-07-19,12:00:00,Bohemians 1905,Baník Ostrava,1.0,0.0,H,,,,,,4.0,5.0,0.0,0.0
2025-07-19,12:00:00,Karviná,Dukla Praha,2.0,0.0,H,,,,,,4.0,2.0,0.0,0.0
2025-07-19,12:00:00,Teplice,Zlín,1.0,3.0,A,,,,,,5.0,3.0,0.0,0.0
2025-07-19,15:00:00,Jablonec,Sparta Praha,1.0,1.0,D,,,,,,4.0,4.0,0.0,0.0
2025-07-20,10:00:00,Slovácko,Sigma Olomouc,0.0,1.0,A,,,,,,3.0,3.0,0.0,0.0
2025-07-20,12:00:00,Mladá Boleslav,Slovan Liberec,3.0,3.0,D,,,,,,7.0,5.0,0.0,0.0
2025-07-20,15:00:00,Slavia Praha,Hradec Králové,2.0,2.0,D,,,,,,5.0,4.0,0.0,0.0
2025-07-26,12:00:00,Sigma Olomouc,Dukla Praha,0.0,0.0,D,,,,,,1.0,1.0,0.0,0.0
2025-07-26,12:00:00,Hradec Králové,Karviná,1.0,2.0,A,,,,,,3.0,9.0,0.0,0.0
2025-07-26,12:00:00,Viktoria Plzeň,Jablonec,1.0,1.0,D,,,,,,3.0,6.0,0.0,0.0
2025-07-26,12:00:00,Zlín,Slovácko,1.0,1.0,D,,,,,,3.0,2.0,0.0,0.0
2025-07-26,15:00:00,Bohemians 1905,Slavia Praha,0.0,2.0,A,,,,,,1.0,6.0,0.0,0.0
