Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,B365>2.5,B365<2.5,HST,AST,HomeXG,AwayXG
2020-08-21,13:00:00,Ústí nad Labem,Varnsdorf,0.0,0.0,D,1.87,3.15,3.7,1.83,1.77,6.0,3.0,1.75,1.24
2020-08-22,05:15:00,Slavoj Vyšehrad,Dukla Praha,0.0,3.0,A,4.05,3.8,1.65,1.47,2.35,0.0,8.0,0.6,1.84
2020-08-22,12:00:00,Třinec,Líšeň,2.0,3.0,A,2.25,3.15,2.75,1.67,1.95,6.0,10.0,1.63,1.94
2020-08-22,12:00:00,Prostějov,Blansko,1.0,1.0,D,2.5,3.15,2.5,1.65,2.0,5.0,5.0,1.16,1.29
2020-08-23,12:00:00,Táborsko,Viktoria Žižkov,1.0,3.0,A,4.05,3.75,1.65,1.56,2.15,3.0,6.0,1.18,1.96
2020-08-26,12:00:00,Hradec Králové,Vlašim,1.0,0.0,H,1.31,4.55,7.25,1.67,1.95,9.0,5.0,2.72,1.04
2020-08-29,06:00:00,Chrudim,Táborsko,1.0,0.0,H,1.65,3.7,4.15,1.59,2.1,4.0,2.0,1.6,1.02
2020-08-29,12:00:00,Líšeň,Blansko,4.0,1.0,H,1.91,3.25,3.35,1.69,1.91,12.0,7.0,2.77,1.82
2020-08-29,12:00:00,Dukla Praha,Prostějov,0.0,0.0,D,1.17,5.8,10.25,1.47,2.35,7.0,5.0,2.05,1.38
2020-08-30,05:00:00,Viktoria Žižkov,Slavoj Vyšehrad,3.0,0.0,H,1.29,4.85,7.25,1.49,2.25,6.0,4.0,1.88,1.04
2020-08-30,12:00:00,Varnsdorf,Třinec,1.0,0.0,H,1.95,3.15,3.4,1.8,1.8,6.0,4.0,1.53,1.83
2020-08-30,12:00:00,Vysočina Jihlava,Hradec Králové,3.0,4.0,A,2.6,3.05,2.45,1.87,1.74,6.0,7.0,1.62,1.94
2020-08-30,12:00:00,Vlašim,Ústí nad Labem,5.0,2.0,H,2.25,3.0,2.9,1.95,1.67,11.0,4.0,2.02,0.65
2020-09-10,13:00:00,Ústí nad Labem,Vysočina Jihlava,2.0,0.0,H,2.9,3.4,2.05,1.43,2.45,6.0,5.0,1.49,1.73
2020-09-11,12:00:00,Blansko,Dukla Praha,1.0,0.0,H,4.1,3.7,1.65,1.57,2.1,5.0,3.0,1.49,1.4
2020-09-11,13:00:00,Hradec Králové,Chrudim,1.0,0.0,H,1.3,4.85,7.0,1.56,2.15,8.0,4.0,1.85,1.56
2020-09-12,12:00:00,Líšeň,Varnsdorf,1.0,1.0,D,1.69,3.75,3.75,1.48,2.3,3.0,4.0,1.48,1.4
2020-09-12,12:00:00,Prostějov,Viktoria Žižkov,0.0,2.0,A,3.7,3.7,1.71,1.57,2.1,5.0,5.0,1.33,1.5
2020-09-18,13:00:00,Vysočina Jihlava,Líšeň,1.0,1.0,D,1.95,3.5,3.0,1.47,2.35,4.0,5.0,1.59,1.49
2020-09-19,11:30:00,Viktoria Žižkov,Hradec Králové,0.0,2.0,A,1.87,3.4,3.35,1.74,1.87,4.0,6.0,1.17,1.68
2020-09-19,11:30:00,Dukla Praha,Třinec,3.0,1.0,H,1.22,5.35,8.25,1.5,2.25,13.0,3.0,2.37,1.26
2020-09-20,11:30:00,Táborsko,Ústí nad Labem,0.0,2.0,A,1.95,3.3,3.25,1.83,1.77,5.0,4.0,1.74,1.27
2020-09-20,11:30:00,Varnsdorf,Blansko,1.0,1.0,D,2.4,3.0,2.7,2.15,1.51,5.0,4.0,1.29,1.05
2020-09-22,11:30:00,Chrudim,Vysočina Jihlava,1.0,2.0,A,2.3,3.35,2.55,1.54,2.15,3.0,3.0,1.32,1.2
2020-09-25,13:00:00,Hradec Králové,Slavoj Vyšehrad,0.0,0.0,D,1.14,6.25,11.75,1.53,2.2,8.0,4.0,2.56,0.89
2020-09-26,11:30:00,Líšeň,Vlašim,1.0,0.0,H,1.56,3.5,5.15,1.74,1.87,3.0,5.0,1.32,1.43
2020-09-26,11:30:00,Prostějov,Táborsko,1.0,1.0,D,1.91,3.2,3.55,1.83,1.77,5.0,4.0,1.35,1.11
2020-09-26,11:30:00,Třinec,Vysočina Jihlava,0.0,5.0,A,2.25,3.15,2.8,1.71,1.91,5.0,6.0,1.34,1.24
2020-09-26,13:00:00,Ústí nad Labem,Chrudim,1.0,1.0,D,1.77,3.45,3.6,1.8,1.8,7.0,6.0,1.79,1.61
2020-09-27,05:15:00,Blansko,Viktoria Žižkov,1.0,2.0,A,2.8,3.15,2.2,1.71,1.91,3.0,6.0,0.94,1.53
2020-09-27,11:30:00,Varnsdorf,Dukla Praha,2.0,2.0,D,4.15,3.2,1.74,1.95,1.67,5.0,4.0,1.11,1.75
2020-10-02,13:00:00,Vysočina Jihlava,Prostějov,1.0,2.0,A,1.48,3.95,5.25,1.57,2.1,5.0,5.0,1.69,1.28
2020-10-03,11:00:00,Dukla Praha,Líšeň,2.0,2.0,D,1.5,3.6,5.55,1.66,2.26,5.0,5.0,1.42,1.16
2020-10-03,11:00:00,Chrudim,Varnsdorf,2.0,0.0,H,1.65,3.5,4.25,1.95,1.85,4.0,2.0,1.18,1.01
2020-10-03,11:00:00,Slavoj Vyšehrad,Ústí nad Labem,1.0,3.0,A,2.1,3.15,3.0,1.9,1.92,6.0,8.0,1.37,1.7
2020-10-04,11:00:00,Táborsko,Hradec Králové,1.0,1.0,D,4.7,3.6,1.57,2.03,1.8,2.0,4.0,1.17,1.68
2020-10-04,11:00:00,Vlašim,Blansko,2.0,2.0,D,2.0,3.0,3.45,1.95,1.87,7.0,7.0,1.57,1.85
2020-11-07,10:00:00,Ústí nad Labem,Viktoria Žižkov,2.0,1.0,H,3.5,3.35,1.87,1.62,2.05,4.0,4.0,1.25,1.39
2020-11-07,10:00:00,Líšeň,Chrudim,1.0,0.0,H,1.87,3.35,3.5,1.59,2.1,4.0,5.0,1.07,1.64
2020-11-07,10:00:00,Třinec,Hradec Králové,1.0,2.0,A,4.3,3.35,1.69,1.74,1.91,4.0,5.0,0.98,1.55
2020-11-07,10:00:00,Prostějov,Slavoj Vyšehrad,3.0,0.0,H,1.77,3.35,3.9,1.74,1.91,7.0,2.0,1.6,0.57
2020-11-08,06:15:00,Dukla Praha,Vysočina Jihlava,3.0,3.0,D,1.62,3.5,4.6,1.57,2.15,6.0,6.0,1.48,1.53
2020-11-08,07:00:00,Blansko,Táborsko,0.0,2.0,A,1.8,3.35,3.75,1.74,1.91,2.0,3.0,0.84,1.43
2020-11-08,10:00:00,Varnsdorf,Vlašim,0.0,2.0,A,2.45,3.05,2.6,1.83,1.8,2.0,7.0,1.05,1.55
2020-11-11,10:00:00,Slavoj Vyšehrad,Táborsko,0.0,2.0,A,2.2,3.3,2.8,1.83,1.8,2.0,6.0,1.04,1.66
2020-11-12,10:00:00,Třinec,Vlašim,3.0,3.0,D,2.0,3.2,3.25,1.87,1.74,8.0,6.0,2.03,1.33
2020-11-14,10:00:00,Chrudim,Slavoj Vyšehrad,3.0,0.0,H,1.5,3.85,5.25,1.67,2.0,6.0,4.0,1.98,1.42
2020-11-15,10:00:00,Viktoria Žižkov,Třinec,0.0,2.0,A,1.24,5.5,8.5,1.49,2.3,2.0,5.0,1.2,1.73
2020-11-17,09:30:00,Vlašim,Prostějov,1.0,3.0,A,2.0,3.1,3.45,1.91,1.74,4.0,7.0,1.86,1.97
2020-11-20,09:30:00,Vysočina Jihlava,Blansko,1.0,4.0,A,1.77,3.4,3.85,1.69,1.95,4.0,6.0,1.44,1.94
2020-11-21,09:30:00,Hradec Králové,Ústí nad Labem,5.0,1.0,H,1.51,3.6,5.5,1.95,1.69,7.0,4.0,1.83,1.08
2020-11-21,09:30:00,Táborsko,Varnsdorf,1.0,2.0,A,1.87,3.15,3.75,1.95,1.71,3.0,4.0,1.37,1.24
2020-11-21,09:30:00,Chrudim,Prostějov,1.0,2.0,A,1.95,3.1,3.45,1.91,1.71,2.0,5.0,1.46,1.48
