Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,B365>2.5,B365<2.5,HST,AST,HomeXG,AwayXG
2020-09-11,14:00:00,SønderjyskE,Midtjylland,2.0,0.0,H,4.85,3.7,1.69,1.8,1.95,6.0,3.0,1.38,1.66
2020-09-13,09:00:00,Horsens,Randers,0.0,3.0,A,2.8,3.4,2.45,1.91,1.87,5.0,8.0,1.85,1.93
2020-09-13,09:00:00,Lyngby,AaB,0.0,0.0,D,3.1,3.5,2.2,1.74,2.05,2.0,3.0,0.99,1.39
2020-09-13,11:00:00,Brøndby,Nordsjælland,3.0,2.0,H,2.0,3.55,3.5,1.62,2.25,7.0,4.0,1.57,1.06
2020-09-13,13:00:00,OB,København,3.0,2.0,H,3.55,3.5,2.0,1.8,2.0,9.0,7.0,1.66,1.78
2020-09-14,14:00:00,AGF,Vejle,4.0,2.0,H,1.65,3.75,5.25,1.83,1.95,10.0,4.0,1.96,0.91
2020-09-19,10:30:00,Midtjylland,Lyngby,1.0,0.0,H,1.29,5.65,9.0,1.48,2.6,8.0,2.0,1.87,0.74
2020-09-20,09:00:00,OB,Nordsjælland,1.0,1.0,D,2.15,3.55,3.2,1.62,2.25,6.0,3.0,1.63,0.88
2020-09-20,09:00:00,København,Brøndby,1.0,2.0,A,1.91,3.7,3.8,1.71,2.1,10.0,4.0,1.95,1.24
2020-09-20,11:00:00,Randers,AGF,1.0,1.0,D,2.85,3.4,2.4,1.77,2.0,7.0,3.0,2.1,0.9
2020-09-20,13:00:00,Vejle,SønderjyskE,4.0,1.0,H,2.7,3.3,2.55,1.95,1.8,8.0,3.0,1.54,1.06
2020-09-21,14:00:00,AaB,Horsens,1.0,0.0,H,1.59,4.15,5.2,1.8,1.95,6.0,3.0,2.26,1.03
2020-09-26,12:00:00,Midtjylland,Randers,1.0,0.0,H,1.71,3.65,4.75,1.8,2.0,8.0,5.0,1.68,1.98
2020-09-27,09:00:00,AGF,OB,4.0,2.0,H,2.02,3.3,3.38,1.86,1.95,5.0,4.0,1.18,2.04
2020-09-27,09:00:00,SønderjyskE,AaB,3.0,1.0,H,3.1,3.5,2.2,1.87,1.87,5.0,5.0,1.3,1.26
2020-09-27,11:00:00,Brøndby,Horsens,2.0,1.0,H,1.45,4.35,6.65,1.65,2.2,3.0,6.0,1.23,1.72
2020-09-27,13:00:00,Vejle,København,2.0,2.0,D,4.1,3.75,1.8,1.69,2.1,8.0,4.0,2.41,0.92
2020-09-28,14:00:00,Nordsjælland,Lyngby,4.0,1.0,H,1.71,4.0,4.35,1.54,2.4,10.0,4.0,2.66,1.07
2020-10-02,14:00:00,Randers,Brøndby,1.0,2.0,A,2.75,3.45,2.45,1.74,2.05,7.0,6.0,1.95,1.56
2020-10-04,09:00:00,OB,Vejle,0.0,1.0,A,1.87,3.75,3.85,1.62,2.25,2.0,8.0,0.7,1.95
2020-10-04,09:00:00,Lyngby,SønderjyskE,2.0,2.0,D,3.15,3.45,2.2,1.77,2.0,4.0,9.0,1.37,2.13
2020-10-04,11:00:00,AaB,AGF,1.0,1.0,D,2.64,3.6,2.5,1.7,2.13,3.0,6.0,1.06,1.29
2020-10-04,13:00:00,Horsens,Midtjylland,2.0,2.0,D,6.5,4.15,1.49,1.67,2.15,6.0,9.0,1.75,2.83
2020-10-04,15:00:00,København,Nordsjælland,3.0,2.0,H,1.91,3.9,3.45,1.5,2.5,12.0,7.0,3.13,1.35
2020-10-17,11:00:00,Midtjylland,OB,3.0,1.0,H,1.69,3.85,4.75,1.77,2.0,10.0,4.0,2.83,0.99
2020-10-18,09:00:00,AGF,Horsens,3.0,0.0,H,1.49,4.4,6.05,1.67,2.15,8.0,2.0,2.36,0.94
2020-10-18,09:00:00,Vejle,Lyngby,3.0,2.0,H,1.69,3.9,4.55,1.77,2.0,7.0,3.0,1.87,0.79
2020-10-18,11:00:00,SønderjyskE,Brøndby,2.0,0.0,H,3.0,3.35,2.35,1.77,2.0,5.0,2.0,1.2,1.43
2020-10-18,13:00:00,København,AaB,1.0,2.0,A,1.74,3.9,4.25,1.65,2.2,4.0,6.0,1.53,1.47
2020-10-19,14:00:00,Nordsjælland,Randers,1.0,0.0,H,2.3,3.7,2.8,1.61,2.25,3.0,3.0,1.32,0.89
2020-10-23,14:00:00,Lyngby,OB,0.0,3.0,A,4.3,3.95,1.74,1.65,2.2,5.0,7.0,1.43,1.55
2020-10-24,13:00:00,Brøndby,Midtjylland,2.0,3.0,A,3.3,3.45,2.15,1.77,2.0,7.0,8.0,1.63,1.97
2020-10-25,10:00:00,Horsens,Nordsjælland,1.0,1.0,D,3.6,3.9,1.91,1.62,2.25,5.0,6.0,1.27,2.24
2020-10-25,12:00:00,Randers,SønderjyskE,1.0,2.0,A,2.1,3.6,3.3,1.74,2.05,4.0,3.0,2.66,0.62
