Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,B365>2.5,B365<2.5,HST,AST,HomeXG,AwayXG
2020-12-11,09:30:00,ENPPI,Aswan FC,0.0,1.0,A,1.95,3.2,3.75,2.35,1.57,0.0,2.0,0.94,0.89
2020-12-11,12:00:00,El Geish,El Gounah,1.0,1.0,D,2.1,3.1,3.3,2.5,1.5,4.0,3.0,1.76,1.12
2020-12-11,14:30:00,El Entag El Harby,Ceramica Cleopatra,0.0,2.0,A,2.38,2.9,3.0,2.35,1.57,5.0,5.0,1.53,1.74
2020-12-12,09:30:00,National Bank of Egypt,Wadi Degla,1.0,1.0,D,3.2,2.9,2.25,2.5,1.5,2.0,2.0,0.75,0.64
2020-12-12,12:00:00,Pyramids FC,Al Ittihad,1.0,2.0,A,1.55,3.75,5.75,2.1,1.7,6.0,4.0,1.74,1.06
2020-12-12,14:30:00,Al Mokawloon,Zamalek,0.0,2.0,A,3.75,3.25,1.91,2.3,1.6,0.0,7.0,1.01,1.67
2020-12-13,12:00:00,Al Masry,Ismaily SC,0.0,0.0,D,2.45,3.2,2.6,2.7,1.44,2.0,4.0,1.31,1.05
2020-12-13,14:30:00,Al Ahly,Misr Lel Makasa,3.0,1.0,H,1.37,4.3,7.75,2.0,1.8,7.0,2.0,1.68,0.89
2020-12-14,14:30:00,Smouha SC,Ghazl El Mehalla,1.0,1.0,D,1.53,3.5,6.5,2.4,1.53,3.0,4.0,1.31,1.24
2020-12-16,09:30:00,Aswan FC,El Geish,2.0,1.0,H,2.88,3.0,2.3,2.6,1.48,6.0,4.0,1.28,1.7
2020-12-16,12:00:00,Ceramica Cleopatra,National Bank of Egypt,3.0,1.0,H,2.3,2.81,3.23,2.55,1.54,6.0,4.0,1.26,1.34
2020-12-16,14:30:00,Wadi Degla,Al Mokawloon,2.0,1.0,H,2.75,3.0,2.38,2.5,1.5,7.0,7.0,1.6,1.74
2020-12-17,09:30:00,El Gounah,Al Masry,1.0,1.0,D,3.25,3.1,2.15,2.7,1.44,6.0,4.0,1.7,1.08
