Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,B365>2.5,B365<2.5,HST,AST,HomeXG,AwayXG
2021-03-13,08:00:00,Tallinna FC Levadia,Vaprus,5.0,0.0,H,1.1,9.0,14.33,1.2,4.33,10.0,2.0,2.75,0.43
2021-03-13,11:00:00,Kuressaare,Viljandi JK Tulevik,2.0,3.0,A,2.45,3.65,2.25,1.65,2.2,4.0,9.0,0.92,2.01
2021-03-14,08:00:00,Paide,Trans,5.0,1.0,H,1.15,6.4,12.0,1.3,3.21,7.0,3.0,2.01,1.3
2021-03-20,08:00:00,Kuressaare,Tammeka,1.0,3.0,A,2.95,3.8,1.9,1.54,2.32,4.0,7.0,1.14,1.34
2021-03-20,11:00:00,Tallinna FC Levadia,Legion,4.0,3.0,H,1.25,6.45,9.6,1.28,3.34,7.0,4.0,1.55,1.43
2021-03-20,14:00:00,Trans,Vaprus,1.0,1.0,D,1.49,4.4,5.65,1.63,2.3,6.0,4.0,1.69,1.11
2021-03-21,10:00:00,Viljandi JK Tulevik,Paide,0.0,1.0,A,8.75,6.25,1.17,1.29,3.0,4.0,9.0,1.32,2.48
2021-03-28,07:00:00,Legion,Nõmme Kalju,0.0,1.0,A,3.75,3.5,1.71,1.65,2.0,8.0,4.0,2.11,1.57
2021-04-03,07:00:00,Nõmme Kalju,Trans,0.0,1.0,A,1.46,3.88,5.03,1.67,2.07,4.0,2.0,1.71,0.63
2021-04-04,07:00:00,Legion,Paide,1.0,1.0,D,4.6,3.8,1.55,1.65,2.1,5.0,6.0,1.54,1.77
2021-04-04,09:00:00,Viljandi JK Tulevik,Tallinna FC Levadia,0.0,4.0,A,10.0,4.6,1.3,1.4,2.73,0.0,9.0,0.57,1.79
2021-04-07,11:30:00,Kuressaare,Nõmme Kalju,0.0,2.0,A,6.85,4.84,1.38,1.54,2.32,4.0,8.0,1.21,2.13
2021-04-07,13:30:00,Trans,Legion,0.0,0.0,D,3.25,3.4,2.0,1.7,2.02,3.0,2.0,1.31,1.11
2021-04-10,07:00:00,Paide,Kuressaare,1.0,0.0,H,1.09,8.75,17.16,1.28,3.6,8.0,3.0,2.74,1.03
2021-04-11,07:00:00,Trans,Viljandi JK Tulevik,6.0,2.0,H,2.1,3.15,3.4,1.84,1.98,13.0,5.0,2.4,1.15
2021-04-11,07:00:00,Vaprus,Tammeka,1.0,2.0,A,5.0,3.95,1.55,1.63,2.14,3.0,9.0,0.99,2.17
2021-04-11,09:00:00,Nõmme Kalju,Tallinna FC Levadia,0.0,1.0,A,3.8,3.8,1.82,1.56,2.28,4.0,11.0,1.15,2.55
2021-04-11,13:00:00,Legion,Tallinna FC Flora,1.0,2.0,A,10.0,6.25,1.2,1.6,2.2,3.0,6.0,1.36,2.08
2021-04-16,13:00:00,Tammeka,Viljandi JK Tulevik,1.0,1.0,D,1.91,3.4,3.83,1.75,1.96,7.0,6.0,2.05,1.27
2021-04-16,13:00:00,Legion,Kuressaare,1.0,0.0,H,1.35,5.05,7.05,1.65,2.11,9.0,3.0,1.97,1.16
2021-04-17,10:00:00,Tallinna FC Flora,Trans,5.0,0.0,H,1.14,6.25,13.0,1.5,2.4,9.0,5.0,2.31,1.29
2021-04-18,09:00:00,Tallinna FC Levadia,Paide,0.0,4.0,A,1.77,3.7,3.4,1.61,2.05,5.0,7.0,1.83,1.65
2021-04-18,13:00:00,Nõmme Kalju,Vaprus,0.0,1.0,A,1.09,7.5,13.0,1.44,2.4,7.0,4.0,2.35,0.92
2021-04-20,12:45:00,Viljandi JK Tulevik,Tallinna FC Flora,3.0,3.0,D,14.46,8.97,1.07,1.38,2.81,5.0,12.0,1.06,2.7
2021-04-20,13:00:00,Tammeka,Legion,0.0,1.0,A,2.95,3.2,2.1,1.8,1.8,7.0,3.0,1.73,0.88
2021-04-21,11:30:00,Kuressaare,Vaprus,2.0,1.0,H,2.15,3.2,2.8,1.74,1.83,5.0,2.0,0.9,0.34
2021-04-21,13:30:00,Paide,Nõmme Kalju,2.0,1.0,H,1.49,3.8,5.25,1.77,1.83,6.0,6.0,1.94,2.05
2021-04-21,14:00:00,Tallinna FC Levadia,Trans,3.0,2.0,H,1.14,6.5,9.75,1.38,2.6,4.0,5.0,1.5,1.44
2021-04-24,10:00:00,Legion,Viljandi JK Tulevik,2.0,1.0,H,1.85,3.55,3.6,1.75,1.96,3.0,4.0,1.1,1.17
2021-04-25,07:00:00,Trans,Kuressaare,2.0,0.0,H,1.56,3.75,4.5,1.7,2.1,5.0,5.0,1.12,1.24
2021-04-25,07:00:00,Vaprus,Paide,1.0,3.0,A,8.75,5.5,1.19,1.36,3.1,3.0,5.0,0.84,1.91
