Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,B365>2.5,B365<2.5,HST,AST,HomeXG,AwayXG
2021-03-06,12:00:00,EB - Streymur,ÍF,1.0,1.0,D,1.95,3.75,1.78,1.53,2.4,5.0,3.0,2.06,1.35
2021-03-07,12:00:00,07 Vestur,B36,0.0,2.0,A,8.75,7.5,1.04,1.4,2.88,0.0,9.0,0.99,2.09
2021-03-07,12:00:00,HB,NSÍ,5.0,2.0,H,1.32,4.0,3.1,1.44,2.7,11.0,7.0,2.13,1.27
2021-03-07,12:00:00,Víkingur,TB / FCS / Royn,1.0,0.0,H,1.07,5.25,6.75,1.53,2.4,8.0,2.0,2.17,0.66
2021-03-07,13:00:00,B68,KÍ,0.0,4.0,A,10.5,7.5,1.01,1.33,3.4,,,0.0,0.0
2021-03-13,12:00:00,07 Vestur,B68,3.0,2.0,H,1.6,3.6,2.2,1.6,2.3,6.0,5.0,1.93,2.36
2021-03-14,12:00:00,HB,B36,0.0,0.0,D,1.19,4.33,4.2,1.53,2.4,2.0,6.0,1.08,1.7
2021-03-14,12:00:00,EB - Streymur,Víkingur,0.0,0.0,D,4.4,4.75,1.17,1.44,2.7,0.0,5.0,0.31,1.7
2021-03-14,12:00:00,KÍ,NSÍ,2.0,0.0,H,1.5,4.5,2.4,1.57,2.35,,,0.0,1.27
2021-03-14,13:00:00,ÍF,TB / FCS / Royn,3.0,1.0,H,,,,,,,,0.0,0.66
2021-03-19,16:00:00,Víkingur,HB,2.0,1.0,H,6.0,5.0,1.34,1.45,2.56,5.0,4.0,1.52,2.13
2021-03-20,12:00:00,ÍF,07 Vestur,3.0,1.0,H,,,,,,,,0.0,0.0
2021-03-20,12:00:00,B36,B68,0.0,0.0,D,1.07,8.0,6.75,1.25,4.0,,,0.0,2.36
2021-03-20,13:00:00,TB / FCS / Royn,KÍ,0.0,5.0,A,,,,,,,,0.0,0.0
2021-03-20,13:00:00,NSÍ,EB - Streymur,3.0,0.0,H,1.09,6.5,6.25,1.25,4.0,,,0.0,0.0
2021-04-11,11:00:00,KÍ,EB - Streymur,3.0,0.0,H,,,,,,,,0.0,0.0
2021-04-11,11:00:00,NSÍ,ÍF,3.0,0.0,H,,,,,,,,0.0,1.35
2021-04-11,10:00:00,B36,Víkingur,1.0,1.0,D,1.42,3.5,2.7,1.51,2.34,5.0,4.0,2.11,1.48
2021-04-11,12:00:00,B68,TB / FCS / Royn,2.0,2.0,D,1.94,3.59,3.64,,,6.0,6.0,1.58,1.51
2021-04-11,13:00:00,HB,07 Vestur,7.0,0.0,H,1.02,9.0,10.0,1.3,3.5,10.0,0.0,3.07,0.55
2021-04-14,12:00:00,TB / FCS / Royn,07 Vestur,2.0,4.0,A,1.26,4.2,3.3,1.53,2.4,5.0,9.0,1.2,1.71
2021-04-14,14:30:00,EB - Streymur,B68,3.0,2.0,H,,,,,,,,1.18,2.36
2021-04-14,15:00:00,Víkingur,KÍ,1.0,2.0,A,5.5,4.5,1.11,1.7,2.1,2.0,10.0,0.96,2.45
2021-04-14,15:00:00,NSÍ,B36,4.0,2.0,H,,,,,,,,0.0,1.9
2021-04-14,15:00:00,HB,ÍF,6.0,1.0,H,1.01,7.5,10.5,1.25,4.0,17.0,4.0,4.1,1.23
2021-04-25,11:00:00,ÍF,KÍ,1.0,4.0,A,,,,,,,,0.0,2.45
2021-04-25,11:00:00,TB / FCS / Royn,HB,0.0,4.0,A,,,,,,,,1.2,2.13
2021-04-25,11:00:00,B36,EB - Streymur,2.0,1.0,H,1.16,6.0,8.5,1.29,3.0,6.0,11.0,1.85,2.2
2021-04-25,12:00:00,B68,NSÍ,1.0,2.0,A,,,,,,,,1.58,1.27
2021-04-25,13:00:00,07 Vestur,Víkingur,2.0,4.0,A,4.1,4.75,1.2,1.29,3.6,6.0,7.0,1.69,1.7
2021-04-28,12:00:00,TB / FCS / Royn,B36,0.0,4.0,A,,,,,,,,1.2,1.9
2021-04-28,15:00:00,NSÍ,Víkingur,1.0,1.0,D,1.32,3.6,3.1,1.62,2.25,4.0,3.0,1.33,1.23
2021-04-28,15:00:00,07 Vestur,EB - Streymur,1.0,3.0,A,1.88,3.4,1.82,1.48,2.6,8.0,11.0,2.0,2.09
2021-04-28,15:00:00,KÍ,HB,2.0,2.0,D,1.55,3.8,2.25,1.6,2.3,6.0,7.0,1.93,2.27
2021-04-28,15:00:00,B68,ÍF,3.0,1.0,H,,,,,,,,1.58,1.29
2021-05-02,11:00:00,NSÍ,TB / FCS / Royn,3.0,0.0,H,,,,,,,,1.33,1.08
2021-05-02,11:00:00,EB - Streymur,HB,0.0,3.0,A,2.5,3.8,2.1,1.35,2.7,,,1.18,2.2
2021-05-02,11:00:00,B36,ÍF,2.0,2.0,D,1.05,6.5,7.5,1.4,2.88,10.0,4.0,3.66,1.11
2021-05-02,12:00:00,B68,Víkingur,0.0,6.0,A,5.0,4.75,1.14,1.5,2.5,3.0,14.0,0.77,3.06
2021-05-02,12:00:00,07 Vestur,KÍ,0.0,5.0,A,10.5,11.0,1.01,1.22,4.2,2.0,13.0,0.83,2.63
2021-05-08,13:30:00,NSÍ,07 Vestur,1.0,1.0,D,1.01,9.0,11.0,1.25,4.0,9.0,5.0,2.81,1.61
2021-05-09,11:00:00,KÍ,B36,4.0,0.0,H,1.57,4.33,4.0,1.44,2.7,9.0,4.0,2.25,1.45
2021-05-09,11:00:00,TB / FCS / Royn,EB - Streymur,1.0,1.0,D,,,,,,,,1.2,2.15
2021-05-09,11:00:00,HB,B68,1.0,0.0,H,,,,,,,,2.6,2.36
2021-05-09,11:00:00,Víkingur,ÍF,5.0,1.0,H,1.36,5.0,5.5,1.19,4.5,7.0,6.0,1.88,1.48
2021-05-13,11:00:00,EB - Streymur,HB,0.0,1.0,A,,,,,,,,1.18,2.2
2021-05-16,11:00:00,ÍF,EB - Streymur,2.0,1.0,H,,,,,,,,0.0,2.15
2021-05-13,11:00:00,07 Vestur,KÍ,0.0,9.0,A,17.0,11.0,1.06,1.21,3.93,2.0,15.0,0.51,3.43
2021-05-13,11:00:00,TB / FCS / Royn,NSÍ,0.0,2.0,A,,,,,,,,1.2,1.27
2021-05-13,11:00:00,ÍF,B36,0.0,5.0,A,,,,,,,,0.0,1.75
