Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,B365>2.5,B365<2.5,HST,AST,HomeXG,AwayXG
2021-04-24,09:00:00,HJK,Honka,4.0,2.0,H,1.5,3.75,5.8,1.85,1.87,9.0,7.0,2.16,1.44
2021-04-24,11:00:00,Inter Turku,KuPS,1.0,0.0,H,3.35,3.3,2.2,2.15,1.69,3.0,2.0,0.95,1.03
2021-05-02,12:30:00,KuPS,HJK,0.0,0.0,D,2.92,3.35,2.45,2.0,1.8,4.0,2.0,1.35,0.85
2021-05-03,12:30:00,Oulu,Ilves,0.0,2.0,A,3.35,3.0,2.3,2.25,1.62,2.0,8.0,1.07,2.17
2021-05-03,12:30:00,HIFK,Haka,2.0,0.0,H,2.3,3.3,3.0,1.87,1.93,4.0,6.0,1.26,1.52
2021-05-03,12:30:00,SJK,KTP,1.0,1.0,D,1.37,4.8,8.0,1.83,1.95,6.0,4.0,2.24,1.15
2021-05-03,12:30:00,Lahti,Inter Turku,2.0,1.0,H,3.3,3.15,2.25,2.1,1.71,4.0,8.0,0.81,1.9
2021-05-03,12:30:00,Honka,Mariehamn,0.0,2.0,A,1.74,3.55,5.0,1.91,1.83,5.0,3.0,1.76,1.12
2021-05-07,12:30:00,KTP,Honka,1.0,3.0,A,4.8,3.65,1.74,1.95,1.83,5.0,4.0,1.06,1.27
2021-05-07,12:30:00,SJK,HIFK,1.0,1.0,D,2.07,3.4,3.25,2.05,1.77,7.0,3.0,1.6,1.07
2021-05-09,10:00:00,Inter Turku,Haka,2.0,1.0,H,1.5,3.85,6.5,1.62,2.16,7.0,4.0,1.72,1.31
2021-05-09,12:30:00,Mariehamn,Oulu,3.0,1.0,H,2.0,3.4,3.35,1.91,1.78,6.0,5.0,1.49,1.49
2021-05-11,12:30:00,Ilves,HJK,0.0,3.0,A,5.45,3.55,1.48,2.02,1.71,10.0,5.0,2.01,1.17
2021-05-11,12:30:00,Lahti,KuPS,2.0,4.0,A,3.4,3.05,2.1,2.15,1.62,6.0,6.0,1.23,1.34
2021-05-14,12:30:00,KuPS,Mariehamn,2.0,0.0,H,1.4,4.65,7.25,1.8,2.0,7.0,2.0,1.92,1.44
2021-05-14,12:30:00,Honka,Inter Turku,1.0,2.0,A,3.4,3.25,2.2,2.25,1.61,4.0,6.0,1.09,1.6
2021-05-14,12:30:00,Haka,KTP,0.0,3.0,A,1.67,3.75,5.0,1.95,1.83,4.0,5.0,1.99,0.99
2021-05-15,11:00:00,Oulu,SJK,0.0,2.0,A,4.4,3.2,1.96,2.25,1.57,0.0,4.0,0.13,0.87
2021-05-15,11:00:00,HIFK,Ilves,1.0,1.0,D,3.14,3.14,2.44,2.3,1.55,3.0,4.0,0.79,1.21
2021-05-17,12:30:00,HJK,Lahti,2.0,0.0,H,1.36,4.95,8.0,1.57,2.35,7.0,3.0,1.92,0.93
2021-05-22,09:00:00,Inter Turku,KTP,2.0,1.0,H,1.25,6.0,10.75,1.65,2.2,6.0,3.0,1.73,1.13
2021-05-22,11:00:00,Lahti,Honka,1.0,0.0,H,2.9,3.1,2.35,2.04,1.64,10.0,3.0,1.79,0.71
2021-05-22,11:00:00,SJK,HJK,0.0,2.0,A,5.25,3.6,1.6,1.95,1.8,6.0,3.0,1.16,1.67
2021-05-22,13:00:00,Ilves,KuPS,3.0,2.0,H,4.33,3.2,1.75,2.1,1.7,5.0,8.0,1.15,2.21
2021-05-23,12:30:00,Mariehamn,Haka,0.0,3.0,A,2.35,3.3,3.05,1.87,1.91,0.0,4.0,0.08,0.92
2021-05-23,12:30:00,Oulu,HIFK,1.0,2.0,A,3.65,3.0,2.2,2.65,1.47,5.0,6.0,1.2,1.71
2021-05-28,12:00:00,HJK,Oulu,3.0,1.0,H,1.08,8.0,20.0,1.42,2.65,6.0,5.0,1.64,1.03
2021-05-28,12:30:00,Ilves,KTP,2.0,0.0,H,1.5,4.05,6.75,1.91,1.87,6.0,3.0,2.0,0.95
2021-05-29,09:00:00,Honka,SJK,0.0,1.0,A,2.45,3.15,3.0,2.3,1.61,0.0,3.0,0.76,1.24
2021-05-29,11:00:00,KuPS,Haka,1.0,2.0,A,1.39,4.55,8.0,1.8,2.0,3.0,3.0,0.49,0.49
2021-05-29,11:00:00,HIFK,Inter Turku,1.0,4.0,A,4.2,3.4,1.85,1.99,1.8,5.0,11.0,1.65,1.78
2021-05-30,12:30:00,Mariehamn,Lahti,0.0,3.0,A,2.85,3.35,2.45,1.8,2.0,2.0,7.0,1.5,1.98
2021-06-10,12:00:00,Inter Turku,Mariehamn,3.0,0.0,H,1.36,5.3,8.0,1.56,2.27,4.0,0.0,1.21,0.79
2021-06-10,12:30:00,KTP,HIFK,0.0,2.0,A,2.78,3.45,2.5,1.92,1.79,3.0,5.0,1.29,1.62
2021-06-10,12:30:00,Lahti,Ilves,3.0,1.0,H,2.7,3.15,2.7,2.05,1.74,8.0,3.0,1.62,1.72
2021-06-10,12:30:00,SJK,KuPS,0.0,1.0,A,2.76,3.33,2.58,2.11,1.65,5.0,3.0,1.34,1.07
2021-06-10,12:30:00,Haka,HJK,1.0,2.0,A,4.63,4.13,1.69,1.72,2.01,6.0,7.0,1.63,1.83
2021-06-11,12:30:00,Oulu,Honka,0.0,2.0,A,4.7,3.3,1.83,2.3,1.59,0.0,4.0,0.73,1.05
2021-06-14,12:30:00,Mariehamn,HJK,0.0,1.0,A,8.25,5.5,1.32,1.53,2.45,5.0,5.0,1.46,1.77
2021-06-14,12:30:00,KuPS,Inter Turku,1.0,0.0,H,2.2,3.25,3.4,2.05,1.74,6.0,0.0,1.71,0.89
2021-06-14,12:30:00,SJK,Ilves,1.0,0.0,H,2.2,3.0,3.2,2.2,1.6,5.0,2.0,1.34,1.29
2021-06-15,12:00:00,HIFK,Honka,1.0,0.0,H,3.15,3.1,2.42,2.25,1.57,7.0,2.0,1.65,1.35
