Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,B365>2.5,B365<2.5,HST,AST,HomeXG,AwayXG
2020-08-21,15:00:00,Orléans,Laval,0.0,1.0,A,2.15,2.85,3.25,2.15,1.54,4.0,3.0,1.58,0.95
2020-08-21,15:00:00,Quevilly Rouen,Boulogne,0.0,1.0,A,3.25,2.8,2.15,2.2,1.51,0.0,4.0,0.72,1.15
2020-08-21,15:00:00,Annecy,Le Mans,3.0,3.0,D,2.7,2.7,2.6,2.1,1.57,5.0,7.0,1.09,1.17
2020-08-21,15:00:00,Créteil,Bastia-Borgo,0.0,0.0,D,2.1,2.85,3.45,2.15,1.54,7.0,3.0,1.37,1.12
2020-08-21,15:00:00,Cholet,Bourg-en-Bresse,0.0,0.0,D,2.8,2.9,2.35,1.8,1.8,4.0,3.0,1.13,1.14
2020-08-21,15:00:00,Avranches,Concarneau,0.0,2.0,A,2.4,2.75,2.95,2.25,1.5,,,0.0,0.0
2020-08-21,15:00:00,Stade Briochin,Sète,2.0,1.0,H,2.45,2.8,2.8,1.91,1.69,4.0,6.0,0.8,1.58
2020-08-21,15:00:00,Lyon Duchère,Villefranche,2.0,2.0,D,2.45,2.9,2.75,2.05,1.59,5.0,5.0,1.1,1.49
2020-08-24,15:45:00,Red Star,Bastia,3.0,5.0,A,2.7,2.75,2.55,2.45,1.42,4.0,6.0,0.92,1.11
2020-08-28,15:00:00,Villefranche,Cholet,0.0,0.0,D,1.87,3.2,3.6,2.1,1.59,6.0,2.0,1.44,0.94
2020-08-28,15:00:00,Sète,Lyon Duchère,3.0,1.0,H,3.3,2.9,2.1,2.1,1.59,5.0,5.0,1.25,1.44
2020-08-28,15:00:00,Laval,Avranches,1.0,3.0,A,2.0,2.8,3.8,2.45,1.42,,,0.0,0.0
2020-08-28,15:00:00,Concarneau,Stade Briochin,0.0,0.0,D,1.69,3.15,4.6,2.25,1.5,3.0,4.0,0.98,0.79
2020-08-28,15:00:00,Créteil,Orléans,1.0,0.0,H,2.75,2.65,2.6,2.2,1.53,4.0,9.0,1.0,2.06
2020-08-28,15:00:00,Le Mans,Quevilly Rouen,2.0,2.0,D,1.74,3.15,4.4,2.1,1.59,13.0,4.0,2.33,1.08
2020-08-28,15:00:00,Boulogne,Red Star,1.0,1.0,D,1.87,2.9,4.0,2.3,1.48,2.0,4.0,0.91,0.99
2020-08-31,15:45:00,Bastia-Borgo,Bastia,0.0,0.0,D,4.45,2.95,1.77,1.83,1.77,0.0,3.0,0.64,1.36
2020-09-01,15:00:00,Cholet,Sète,3.0,1.0,H,2.2,2.85,3.15,2.25,1.49,6.0,4.0,1.54,0.99
2020-09-01,15:00:00,Avranches,Créteil,2.0,0.0,H,2.45,2.55,3.1,2.55,1.39,3.0,3.0,0.91,0.79
2020-09-01,15:00:00,Stade Briochin,Laval,0.0,2.0,A,2.75,2.75,2.5,2.3,1.48,4.0,4.0,1.86,1.01
2020-09-01,15:00:00,Lyon Duchère,Concarneau,1.0,2.0,A,2.5,2.7,2.8,2.35,1.47,4.0,2.0,1.37,0.64
2020-09-01,15:45:00,Red Star,Le Mans,0.0,0.0,D,2.45,2.85,2.7,2.1,1.57,0.0,0.0,0.9,0.98
2020-09-03,15:00:00,Orléans,Bastia-Borgo,3.0,0.0,H,1.87,2.9,4.3,2.4,1.44,11.0,4.0,2.36,1.27
2020-09-03,15:30:00,Bastia,Boulogne,0.0,1.0,A,2.15,2.85,3.25,2.35,1.47,3.0,3.0,1.45,0.96
2020-09-04,15:00:00,Sète,Annecy,0.0,0.0,D,2.25,2.85,3.1,2.25,1.49,4.0,2.0,1.16,1.08
2020-09-04,15:00:00,Laval,Lyon Duchère,3.0,1.0,H,2.85,2.7,2.5,2.3,1.48,5.0,3.0,1.36,0.97
2020-09-04,15:00:00,Créteil,Stade Briochin,2.0,1.0,H,2.35,2.75,2.95,2.3,1.48,6.0,6.0,1.25,1.21
2020-09-04,15:00:00,Villefranche,Quevilly Rouen,0.0,1.0,A,1.77,3.0,4.55,2.2,1.51,6.0,8.0,1.44,1.55
2020-09-07,16:00:00,Le Mans,Bastia,1.0,3.0,A,2.95,2.75,2.4,2.1,1.57,6.0,8.0,2.15,1.76
2020-09-11,15:00:00,Avranches,Bastia-Borgo,0.0,2.0,A,2.2,2.75,3.3,2.2,1.51,4.0,7.0,1.09,1.57
2020-09-11,15:00:00,Red Star,Villefranche,0.0,2.0,A,2.15,2.75,3.35,2.25,1.5,2.0,4.0,0.87,1.17
2020-09-11,15:00:00,Boulogne,Le Mans,0.0,0.0,D,2.15,2.85,3.3,2.25,1.5,3.0,2.0,1.16,0.99
2020-09-11,15:00:00,Lyon Duchère,Créteil,0.0,0.0,D,1.87,2.95,4.1,2.25,1.5,4.0,8.0,1.31,1.51
2020-09-11,15:00:00,Cholet,Laval,1.0,1.0,D,2.45,2.75,2.85,2.15,1.54,4.0,6.0,1.43,1.44
2020-09-11,15:30:00,Bastia,Bourg-en-Bresse,3.0,1.0,H,1.91,2.95,3.75,2.05,1.61,10.0,2.0,2.18,0.92
2020-09-18,15:00:00,Villefranche,Bastia,0.0,3.0,A,2.85,2.75,2.45,2.25,1.5,6.0,8.0,1.84,1.29
2020-09-18,15:00:00,Avranches,Stade Briochin,2.0,1.0,H,3.05,2.8,2.3,2.35,1.47,7.0,6.0,1.47,1.76
2020-09-18,15:00:00,Concarneau,Quevilly Rouen,1.0,1.0,D,2.15,2.9,3.15,2.25,1.5,2.0,3.0,0.56,0.89
2020-09-18,15:00:00,Créteil,Cholet,1.0,0.0,H,2.75,2.8,2.45,2.25,1.5,5.0,2.0,1.37,1.08
2020-09-18,15:00:00,Bourg-en-Bresse,Boulogne,3.0,3.0,D,3.05,2.75,2.3,2.3,1.48,7.0,5.0,1.73,1.18
2020-09-18,15:00:00,Bastia-Borgo,Le Mans,1.0,1.0,D,3.15,2.75,2.25,2.3,1.48,5.0,7.0,1.52,1.58
2020-09-18,15:00:00,Orléans,Lyon Duchère,1.0,1.0,D,2.85,2.75,2.45,2.2,1.53,5.0,5.0,1.26,1.17
2020-09-21,15:45:00,Laval,Annecy,2.0,1.0,H,2.1,2.9,3.35,2.25,1.49,6.0,2.0,1.43,1.32
2020-09-25,15:00:00,Annecy,Créteil,0.0,0.0,D,2.1,2.8,3.4,2.4,1.44,4.0,6.0,1.46,1.48
2020-09-25,15:00:00,Quevilly Rouen,Laval,0.0,0.0,D,2.35,2.75,2.95,2.25,1.5,,,0.72,1.13
2020-09-25,15:00:00,Red Star,Concarneau,2.0,0.0,H,2.4,2.7,3.05,2.5,1.4,6.0,0.0,1.42,0.35
2020-09-25,15:00:00,Stade Briochin,Bastia-Borgo,2.0,1.0,H,1.77,3.05,4.35,2.25,1.5,7.0,3.0,1.63,1.33
2020-09-25,15:00:00,Lyon Duchère,Avranches,0.0,0.0,D,2.05,2.8,3.65,2.15,1.56,5.0,5.0,1.17,1.58
