Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,B365>2.5,B365<2.5,HST,AST,HomeXG,AwayXG
2020-09-18,12:45:00,Kaiserslautern,Dynamo Dresden,0.0,1.0,A,2.7,3.45,2.4,1.87,1.87,6.0,2.0,2.22,0.92
2020-09-19,09:00:00,Bayern München II,Türkgücü-Ataspor,2.0,2.0,D,2.4,3.5,2.7,1.8,1.95,6.0,6.0,1.85,1.95
2020-09-19,09:00:00,Hansa Rostock,MSV Duisburg,3.0,1.0,H,2.0,3.55,3.45,1.87,1.87,10.0,3.0,2.1,1.14
2020-09-19,09:00:00,Meppen,1860 München,1.0,3.0,A,2.95,3.45,2.25,1.8,2.0,2.0,8.0,0.72,2.08
2020-09-19,09:00:00,Zwickau,Unterhaching,2.0,1.0,H,2.4,3.3,2.85,1.74,2.05,5.0,3.0,1.4,1.0
2020-09-19,09:00:00,Wehen Wiesbaden,Verl,0.0,0.0,D,1.71,3.8,4.3,1.69,2.1,3.0,2.0,1.5,1.09
2020-09-19,09:00:00,VfB Lübeck,Saarbrucken,1.0,1.0,D,2.5,3.35,2.7,1.83,1.95,5.0,2.0,1.49,1.24
2020-09-20,08:00:00,Ingolstadt,Uerdingen,2.0,1.0,H,1.77,3.7,4.25,1.91,1.87,4.0,6.0,1.36,1.49
2020-09-20,09:00:00,Magdeburg,Hallescher FC,0.0,2.0,A,2.1,3.25,3.4,2.0,1.74,3.0,7.0,1.34,1.69
2020-09-21,14:00:00,Waldhof Mannheim,Viktoria Köln,2.0,2.0,D,2.6,3.6,2.4,1.61,2.25,8.0,5.0,1.99,1.43
2020-09-25,14:00:00,Unterhaching,VfB Lübeck,1.0,0.0,H,2.45,3.35,2.7,1.83,1.95,7.0,2.0,1.85,1.22
2020-09-26,09:00:00,Hallescher FC,Ingolstadt,0.0,2.0,A,2.9,3.15,2.4,1.91,1.83,0.0,4.0,1.28,1.38
2020-09-26,09:00:00,1860 München,Magdeburg,1.0,1.0,D,1.69,3.85,4.45,1.87,1.87,7.0,5.0,2.55,1.26
2020-09-26,09:00:00,Verl,Bayern München II,3.0,0.0,H,2.55,3.5,2.5,1.77,2.0,6.0,3.0,1.64,0.87
2020-09-26,09:00:00,MSV Duisburg,Zwickau,1.0,1.0,D,1.74,3.8,4.25,1.69,2.1,5.0,6.0,1.46,1.64
2020-09-26,09:00:00,Viktoria Köln,Wehen Wiesbaden,0.0,2.0,A,2.6,3.45,2.5,1.62,2.25,6.0,5.0,1.66,1.4
2020-09-26,09:00:00,Saarbrucken,Hansa Rostock,2.0,0.0,H,3.05,3.45,2.2,1.8,1.95,4.0,0.0,0.63,0.01
2020-09-27,08:00:00,Dynamo Dresden,Waldhof Mannheim,1.0,1.0,D,1.62,4.25,4.5,1.67,2.15,3.0,9.0,1.56,1.89
2020-09-27,09:00:00,Türkgücü-Ataspor,Kaiserslautern,3.0,0.0,H,2.3,3.35,2.95,1.91,1.87,7.0,2.0,1.61,1.21
2020-09-28,14:00:00,Uerdingen,Meppen,0.0,2.0,A,2.3,3.5,2.8,1.74,2.05,5.0,4.0,1.58,0.78
2020-10-02,14:00:00,Bayern München II,Dynamo Dresden,3.0,0.0,H,2.65,3.45,2.45,1.71,2.1,6.0,7.0,1.61,1.88
2020-10-03,09:00:00,Waldhof Mannheim,Türkgücü-Ataspor,4.0,4.0,D,3.3,3.35,2.1,1.8,2.0,9.0,6.0,2.33,1.29
2020-10-03,09:00:00,Ingolstadt,Unterhaching,0.0,1.0,A,1.83,3.3,4.45,1.87,1.87,2.0,4.0,1.24,1.4
2020-10-03,09:00:00,VfB Lübeck,MSV Duisburg,1.0,1.0,D,2.5,3.35,2.65,1.83,1.91,3.0,6.0,1.14,2.21
2020-10-03,09:00:00,Magdeburg,Viktoria Köln,0.0,2.0,A,2.35,3.25,2.95,1.74,2.05,3.0,3.0,1.41,1.42
2020-10-03,09:00:00,Meppen,Verl,1.0,2.0,A,2.5,3.2,2.7,1.8,2.0,5.0,6.0,1.74,1.61
2020-10-03,09:00:00,Zwickau,1860 München,1.0,2.0,A,3.1,3.35,2.2,1.8,1.95,4.0,6.0,1.68,1.57
2020-10-04,08:00:00,Hansa Rostock,Uerdingen,0.0,0.0,D,1.8,3.35,4.45,1.87,1.91,2.0,0.0,1.25,0.58
2020-10-04,09:00:00,Saarbrucken,Hallescher FC,4.0,0.0,H,2.2,3.4,3.05,1.74,2.05,12.0,3.0,2.3,1.09
2020-10-05,14:00:00,Wehen Wiesbaden,Kaiserslautern,2.0,2.0,D,2.05,3.4,3.4,1.8,2.0,4.0,7.0,1.22,1.43
2020-10-10,09:00:00,Kaiserslautern,Waldhof Mannheim,1.0,1.0,D,2.05,3.45,3.35,1.69,2.1,4.0,6.0,1.55,1.51
2020-10-10,09:00:00,1860 München,VfB Lübeck,4.0,1.0,H,1.74,3.95,4.05,1.77,2.0,8.0,7.0,2.06,1.73
2020-10-10,09:00:00,Uerdingen,Bayern München II,1.0,1.0,D,2.65,3.75,2.35,1.74,2.05,5.0,3.0,1.5,1.29
2020-10-10,09:00:00,Verl,Hansa Rostock,2.0,3.0,A,2.95,2.9,2.55,2.05,1.74,9.0,4.0,2.04,1.24
2020-10-10,09:00:00,Türkgücü-Ataspor,Wehen Wiesbaden,0.0,0.0,D,2.3,3.4,2.85,1.71,2.1,2.0,3.0,1.37,2.04
