Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,B365>2.5,B365<2.5,HST,AST,HomeXG,AwayXG
2020-08-01,15:00:00,Kaposvári Rákóczi,Nyíregyháza Spartacus,0.0,1.0,A,1.87,3.35,3.3,1.77,1.83,4.0,6.0,1.61,1.28
2020-08-02,12:30:00,Soroksár SC,DEAC,1.0,0.0,H,1.43,3.65,5.85,1.71,1.91,6.0,3.0,1.77,0.58
2020-08-02,12:45:00,Debrecen,Budaörs,1.0,0.0,H,1.31,4.35,7.0,1.61,2.05,8.0,2.0,2.34,0.9
2020-08-02,14:00:00,Ajka,Győri ETO,2.0,1.0,H,2.6,3.25,2.25,1.74,1.87,8.0,4.0,1.97,1.12
2020-08-02,14:00:00,Szolnoki MÁV,Szentlőrinc SE,1.0,0.0,H,1.91,3.2,3.4,1.95,1.69,,,0.0,0.0
2020-08-02,14:00:00,Siófok,Szombathelyi Haladás,1.0,5.0,A,2.8,3.1,2.2,1.8,1.8,7.0,10.0,1.49,2.02
2020-08-02,14:00:00,Gyirmót,Csákvári TK,3.0,0.0,H,2.0,3.3,2.95,1.74,1.87,7.0,5.0,1.84,1.79
2020-08-02,14:00:00,Pécsi MFC,Dorogi,4.0,0.0,H,2.0,3.25,3.0,1.8,1.8,6.0,5.0,1.29,1.37
2020-08-02,14:00:00,Szeged 2011,Békéscsaba,1.0,2.0,A,2.1,3.2,2.85,1.91,1.71,,,0.0,0.0
2020-08-02,15:00:00,Vasas,Kazincbarcika,1.0,1.0,D,1.21,5.35,8.0,1.49,2.25,7.0,4.0,2.31,0.98
2020-08-05,09:45:00,Békéscsaba,Vasas,1.0,1.0,D,3.55,3.3,1.83,1.85,1.95,8.0,6.0,2.08,1.69
2020-08-05,12:00:00,DEAC,Debrecen,0.0,3.0,A,9.0,5.0,1.25,1.44,2.7,2.0,8.0,0.74,2.89
2020-08-05,12:30:00,Szentlőrinc SE,Gyirmót,2.0,0.0,H,3.4,3.3,1.87,2.0,1.8,7.0,4.0,1.5,1.37
2020-08-05,12:30:00,Budaörs,Siófok,3.0,2.0,H,1.95,3.2,3.25,1.85,1.95,4.0,6.0,1.88,1.58
2020-08-05,12:30:00,Dorogi,Soroksár SC,1.0,0.0,H,2.35,3.15,2.55,2.05,1.75,4.0,6.0,0.99,1.67
2020-08-05,14:00:00,Nyíregyháza Spartacus,Pécsi MFC,2.0,0.0,H,1.91,3.3,3.2,1.85,1.95,3.0,2.0,0.87,1.32
2020-08-05,14:00:00,Győri ETO,Kaposvári Rákóczi,1.0,1.0,D,2.15,3.15,2.8,2.0,1.8,3.0,7.0,1.76,1.89
2020-08-05,14:00:00,Szombathelyi Haladás,Szolnoki MÁV,1.0,1.0,D,1.8,3.25,3.65,1.95,1.85,9.0,5.0,1.92,1.32
2020-08-05,14:00:00,Csákvári TK,Szeged 2011,1.0,1.0,D,2.15,3.1,2.9,2.0,1.8,6.0,5.0,1.79,1.91
2020-08-05,14:00:00,Ajka,Kazincbarcika,3.0,1.0,H,2.15,3.2,3.0,1.82,1.98,8.0,5.0,1.7,1.06
2020-08-08,13:15:00,Pécsi MFC,Győri ETO,2.0,2.0,D,2.3,3.2,2.55,1.74,1.87,9.0,5.0,2.36,1.15
2020-08-09,12:30:00,DEAC,Dorogi,1.0,2.0,A,3.25,3.15,1.95,1.95,1.67,4.0,6.0,1.28,1.45
2020-08-09,12:30:00,Soroksár SC,Nyíregyháza Spartacus,0.0,1.0,A,2.3,3.05,2.7,1.71,1.91,4.0,4.0,1.78,1.32
2020-08-09,12:45:00,Siófok,Debrecen,1.0,1.0,D,6.05,4.1,1.36,1.65,2.0,4.0,4.0,1.29,1.89
2020-08-09,14:00:00,Szolnoki MÁV,Budaörs,1.0,0.0,H,2.1,3.0,3.0,2.0,1.62,4.0,4.0,1.27,1.27
2020-08-09,14:00:00,Gyirmót,Szombathelyi Haladás,2.0,1.0,H,2.55,2.95,2.45,1.95,1.67,5.0,5.0,1.81,1.24
2020-08-09,14:00:00,Kaposvári Rákóczi,Kazincbarcika,1.0,1.0,D,1.87,3.3,3.4,1.83,1.77,4.0,4.0,1.66,1.26
2020-08-09,14:00:00,Vasas,Csákvári TK,2.0,1.0,H,1.33,4.2,6.5,1.5,2.25,6.0,5.0,1.95,1.33
2020-08-09,14:00:00,Ajka,Békéscsaba,0.0,1.0,A,1.83,3.25,3.55,1.91,1.71,4.0,2.0,1.53,0.71
2020-08-09,14:00:00,Szeged 2011,Szentlőrinc SE,1.0,1.0,D,1.65,3.4,4.3,2.0,1.65,4.0,4.0,1.54,1.61
2020-08-16,12:30:00,Budaörs,Gyirmót,1.0,3.0,A,2.7,3.25,2.2,1.8,2.0,7.0,5.0,2.18,1.26
2020-08-16,14:00:00,Szombathelyi Haladás,Szeged 2011,2.0,0.0,H,1.67,3.4,4.1,2.1,1.7,9.0,3.0,2.26,0.96
2020-08-16,12:30:00,Debrecen,Szolnoki MÁV,3.0,0.0,H,1.38,4.3,5.5,1.48,2.6,10.0,3.0,2.19,0.79
2020-08-16,12:30:00,Szentlőrinc SE,Vasas,1.0,5.0,A,4.05,3.7,1.61,1.57,2.35,6.0,8.0,1.34,1.72
2020-08-16,14:00:00,Siófok,DEAC,3.0,2.0,H,1.53,3.75,4.7,1.7,2.1,7.0,4.0,1.97,1.23
