Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,B365>2.5,B365<2.5,HST,AST,HomeXG,AwayXG
2021-04-30,17:00:00,Valur,ÍA,2.0,0.0,H,1.06,8.0,7.25,1.25,3.8,4.0,0.0,0.67,0.16
2021-05-01,14:00:00,HK,KA,0.0,0.0,D,1.9,3.6,1.8,1.65,2.2,,,0.0,0.0
2021-05-01,16:15:00,Stjarnan,Leiknir Reykjavík,0.0,0.0,D,1.28,4.33,3.3,1.4,2.88,10.0,3.0,2.13,0.8
2021-05-01,16:15:00,Fylkir,FH,0.0,2.0,A,2.7,3.75,1.42,1.44,2.7,0.0,5.0,0.39,1.64
2021-05-02,16:15:00,Víkingur Reykjavík,Keflavík,1.0,0.0,H,1.33,4.0,3.2,1.48,2.6,2.0,0.0,0.53,0.28
2021-05-02,16:15:00,Breidablik,KR,0.0,2.0,A,1.54,3.75,2.45,1.44,2.7,0.0,4.0,1.16,1.43
2021-05-07,15:00:00,KR,KA,1.0,3.0,A,1.3,3.75,3.25,1.8,2.0,4.0,8.0,1.94,1.98
2021-05-08,16:15:00,ÍA,Víkingur Reykjavík,1.0,1.0,D,3.0,4.0,1.38,1.5,2.5,2.0,2.0,0.45,0.39
2021-05-08,16:15:00,Leiknir Reykjavík,Breidablik,3.0,3.0,D,7.0,5.5,1.07,1.48,2.6,7.0,8.0,1.54,2.23
2021-05-08,16:15:00,HK,Fylkir,2.0,2.0,D,1.57,3.6,2.25,1.7,2.1,6.0,6.0,1.92,1.51
2021-05-09,16:15:00,FH,Valur,1.0,1.0,D,2.25,3.8,1.57,1.62,2.25,3.0,2.0,1.55,0.97
2021-05-09,16:15:00,Keflavík,Stjarnan,2.0,0.0,H,2.6,3.6,1.49,1.65,2.2,7.0,3.0,1.22,1.08
2021-05-12,14:30:00,KA,Leiknir Reykjavík,3.0,0.0,H,1.18,4.2,4.6,1.6,2.3,9.0,4.0,1.85,0.98
2021-05-12,16:15:00,Fylkir,KR,1.0,1.0,D,4.3,3.85,1.65,1.55,2.32,4.0,8.0,1.49,2.01
2021-05-13,16:15:00,Breidablik,Keflavík,4.0,0.0,H,1.3,4.8,8.0,1.54,2.32,5.0,0.0,1.66,1.01
2021-05-13,16:15:00,FH,ÍA,5.0,1.0,H,1.3,4.6,8.5,1.57,2.25,,,1.55,0.16
2021-05-13,16:15:00,Stjarnan,Víkingur Reykjavík,2.0,3.0,A,2.6,3.3,2.35,1.57,2.25,5.0,7.0,1.66,1.74
2021-05-13,16:15:00,Valur,HK,3.0,2.0,H,1.28,5.0,9.0,1.45,2.55,8.0,7.0,2.53,2.04
2021-05-16,16:15:00,Leiknir Reykjavík,Fylkir,3.0,0.0,H,3.19,3.75,2.0,1.48,2.47,6.0,5.0,1.3,1.53
2021-05-16,16:15:00,Víkingur Reykjavík,Breidablik,3.0,0.0,H,2.93,3.65,2.15,1.5,2.41,4.0,5.0,1.47,1.65
2021-05-17,15:30:00,Keflavík,KA,1.0,4.0,A,3.4,3.75,2.0,1.54,2.35,4.0,7.0,1.5,1.56
2021-05-17,16:15:00,KR,Valur,2.0,3.0,A,2.7,3.5,2.45,2.38,1.6,5.0,4.0,2.27,1.43
2021-05-17,16:15:00,HK,FH,1.0,3.0,A,3.3,3.5,1.97,1.55,2.32,6.0,5.0,2.02,1.66
2021-05-17,16:15:00,ÍA,Stjarnan,0.0,0.0,D,4.1,3.8,1.8,1.57,2.28,3.0,3.0,0.87,1.08
2021-05-21,15:00:00,KA,Víkingur Reykjavík,0.0,1.0,A,2.5,3.25,2.7,1.81,1.95,3.0,6.0,1.36,1.61
2021-05-21,15:00:00,HK,ÍA,1.0,3.0,A,1.95,3.55,3.5,2.25,1.65,10.0,6.0,2.65,1.4
2021-05-21,16:15:00,Breidablik,Stjarnan,4.0,0.0,H,1.51,4.2,5.5,2.4,1.57,6.0,4.0,2.14,1.59
2021-05-21,17:00:00,Fylkir,Keflavík,4.0,2.0,H,2.15,3.5,3.05,1.5,2.4,7.0,6.0,1.87,1.49
2021-05-21,17:15:00,Valur,Leiknir Reykjavík,1.0,0.0,H,1.3,5.5,8.25,1.42,2.8,8.0,3.0,2.11,1.01
2021-05-22,13:00:00,FH,KR,0.0,2.0,A,1.7,3.4,2.05,1.6,2.3,2.0,4.0,1.69,1.38
2021-05-24,16:15:00,ÍA,Breidablik,2.0,3.0,A,4.1,3.85,1.7,1.54,2.35,4.0,5.0,0.7,1.07
2021-05-24,16:15:00,Keflavík,Valur,1.0,2.0,A,5.8,4.33,1.4,1.45,2.56,6.0,8.0,1.72,2.45
2021-05-24,16:15:00,Stjarnan,KA,0.0,1.0,A,2.75,3.15,2.38,1.86,1.86,7.0,7.0,2.04,1.81
2021-05-25,16:15:00,Leiknir Reykjavík,FH,2.0,1.0,H,4.7,4.3,1.57,1.45,2.55,5.0,5.0,1.12,1.91
2021-05-25,16:15:00,KR,HK,1.0,1.0,D,1.49,4.5,5.3,1.45,2.55,8.0,4.0,2.3,1.44
2021-05-25,16:15:00,Víkingur Reykjavík,Fylkir,2.0,2.0,D,1.78,4.0,3.7,1.5,2.4,6.0,3.0,1.35,0.72
2021-05-30,16:15:00,Fylkir,Stjarnan,1.0,1.0,D,2.45,3.5,2.5,1.6,2.25,6.0,2.0,2.3,1.04
2021-05-30,16:15:00,KR,ÍA,3.0,1.0,H,1.4,4.5,6.0,1.57,2.35,7.0,5.0,2.31,1.23
2021-05-30,16:15:00,HK,Leiknir Reykjavík,2.0,1.0,H,2.0,3.25,3.0,1.6,2.25,5.0,5.0,1.44,1.98
2021-06-07,17:00:00,Valur,Víkingur Reykjavík,1.0,1.0,D,1.7,4.1,3.7,1.55,2.33,4.0,6.0,1.43,2.06
2021-06-12,11:00:00,Breidablik,Fylkir,2.0,0.0,H,1.52,4.1,5.2,1.36,2.9,3.0,0.0,1.02,0.82
2021-06-12,14:00:00,Stjarnan,Valur,2.0,1.0,H,2.75,3.75,1.43,1.57,2.35,5.0,7.0,1.74,2.32
2021-06-12,14:00:00,Víkingur Reykjavík,FH,2.0,0.0,H,1.75,3.6,2.0,1.62,2.25,9.0,0.0,2.2,0.96
2021-06-14,16:15:00,Leiknir Reykjavík,KR,0.0,2.0,A,4.9,4.3,1.5,1.91,1.81,3.0,4.0,1.25,1.8
2021-06-16,15:00:00,ÍA,KA,0.0,2.0,A,3.8,3.7,1.75,1.4,2.75,4.0,5.0,1.31,1.79
