Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,B365>2.5,B365<2.5,HST,AST,HomeXG,AwayXG
2020-11-06,10:00:00,Zob Ahan,Foolad,2.0,2.0,D,2.95,2.8,2.5,2.65,1.39,3.0,3.0,0.8,0.95
2020-11-06,10:00:00,Saipa,Persepolis,0.0,0.0,D,4.6,2.8,1.91,2.65,1.39,2.0,6.0,0.67,1.83
2020-11-06,10:10:00,Aluminium Arak,Nassaji Mazandaran,0.0,3.0,A,3.4,2.65,2.3,2.6,1.42,2.0,5.0,0.97,1.15
2020-11-06,10:15:00,Tractor Sazi,Naft Masjed Soleyman,0.0,0.0,D,1.91,3.0,4.1,2.7,1.44,2.0,0.0,1.52,0.46
2020-11-07,09:20:00,Padideh Khorasan,Machine Sazi,3.0,0.0,H,1.71,3.15,4.75,2.6,1.42,6.0,2.0,1.51,1.12
2020-11-07,09:50:00,Gol Gohar,Sepahan,3.0,1.0,H,3.95,2.75,2.05,2.7,1.38,6.0,4.0,1.28,1.23
2020-11-07,10:00:00,Esteghlal,Mes Rafsanjan,2.0,0.0,H,1.24,4.4,14.0,2.3,1.51,6.0,3.0,1.64,1.07
2020-11-17,10:10:00,Sanat Naft,Paykan,2.0,1.0,H,2.55,2.6,3.05,2.45,1.47,4.0,3.0,1.41,1.21
2020-11-19,09:40:00,Nassaji Mazandaran,Tractor Sazi,1.0,1.0,D,3.95,2.4,2.35,2.95,1.32,4.0,9.0,0.92,2.05
2020-11-19,09:50:00,Sepahan,Aluminium Arak,1.0,0.0,H,1.15,6.0,14.0,2.2,1.57,4.0,3.0,1.98,0.94
2020-11-19,10:05:00,Naft Masjed Soleyman,Saipa,1.0,1.0,D,2.45,2.65,3.1,3.05,1.3,3.0,2.0,0.99,0.57
2020-11-20,09:40:00,Mes Rafsanjan,Gol Gohar,0.0,2.0,A,3.3,2.4,2.6,2.65,1.39,2.0,4.0,1.27,1.16
2020-11-20,10:05:00,Machine Sazi,Zob Ahan,1.0,1.0,D,2.8,2.85,2.55,2.35,1.5,2.0,2.0,1.21,0.74
2020-11-20,10:10:00,Foolad,Esteghlal,2.0,1.0,H,2.95,2.4,2.9,2.7,1.38,5.0,3.0,1.32,0.89
2020-11-21,09:50:00,Persepolis,Sanat Naft,1.0,0.0,H,1.53,3.25,6.75,2.3,1.51,5.0,0.0,1.68,0.45
2020-11-22,10:10:00,Paykan,Padideh Khorasan,1.0,0.0,H,3.65,2.6,2.25,2.8,1.36,,,0.0,0.0
2020-11-25,09:40:00,Gol Gohar,Foolad,1.0,1.0,D,3.0,2.4,2.85,2.8,1.36,2.0,3.0,0.7,1.13
2020-11-25,09:45:00,Esteghlal,Machine Sazi,1.0,0.0,H,1.33,3.75,9.75,2.25,1.54,3.0,4.0,1.52,1.12
2020-11-25,09:50:00,Saipa,Nassaji Mazandaran,1.0,0.0,H,2.85,2.3,3.1,2.75,1.37,4.0,5.0,0.75,1.66
2020-11-25,10:00:00,Aluminium Arak,Mes Rafsanjan,0.0,0.0,D,2.4,2.8,3.05,2.45,1.44,0.0,3.0,0.6,1.15
2020-11-26,09:15:00,Padideh Khorasan,Sanat Naft,1.0,1.0,D,2.1,2.75,3.9,2.6,1.4,2.0,2.0,0.91,0.88
2020-11-26,09:50:00,Zob Ahan,Paykan,1.0,1.0,D,2.05,2.6,4.45,2.65,1.39,4.0,3.0,1.02,0.85
2020-11-26,10:05:00,Naft Masjed Soleyman,Persepolis,0.0,0.0,D,7.0,3.1,1.56,2.55,1.43,3.0,2.0,1.02,1.08
2020-11-27,08:45:00,Tractor Sazi,Sepahan,0.0,1.0,A,2.4,2.8,3.05,2.6,1.48,7.0,5.0,1.96,1.4
2020-11-30,09:45:00,Persepolis,Padideh Khorasan,3.0,0.0,H,1.69,3.0,5.5,2.65,1.39,6.0,4.0,1.68,0.85
2020-11-30,10:00:00,Machine Sazi,Gol Gohar,0.0,1.0,A,2.15,3.15,3.15,2.4,1.48,4.0,6.0,1.29,1.47
2020-11-30,10:05:00,Foolad,Aluminium Arak,0.0,0.0,D,1.33,4.0,9.0,2.55,1.43,0.0,0.0,0.23,0.03
2020-12-01,09:40:00,Nassaji Mazandaran,Naft Masjed Soleyman,1.0,0.0,H,3.35,2.15,2.9,2.85,1.34,5.0,3.0,1.25,1.23
2020-12-01,09:45:00,Paykan,Esteghlal,0.0,0.0,D,4.5,2.85,1.87,2.2,1.57,0.0,3.0,0.42,1.43
2020-12-01,09:50:00,Sepahan,Saipa,1.0,1.0,D,1.47,3.6,6.5,2.4,1.49,4.0,3.0,1.12,0.84
2020-12-01,10:10:00,Sanat Naft,Zob Ahan,1.0,0.0,H,2.95,2.35,2.95,3.2,1.27,3.0,0.0,1.06,0.46
2020-12-02,09:40:00,Mes Rafsanjan,Tractor Sazi,0.0,1.0,A,3.6,2.8,2.15,2.75,1.43,4.0,3.0,1.72,1.4
2020-12-06,08:30:00,Naft Masjed Soleyman,Sepahan,3.0,1.0,H,4.0,2.55,2.15,2.7,1.37,6.0,8.0,1.44,1.86
2020-12-06,08:30:00,Zob Ahan,Padideh Khorasan,0.0,2.0,A,3.6,2.45,2.4,2.85,1.34,6.0,6.0,1.62,1.22
