Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,B365>2.5,B365<2.5,HST,AST,HomeXG,AwayXG
2020-08-29,13:00:00,Ashdod,Ironi Kiryat Shmona,0.0,2.0,A,2.0,3.15,3.35,2.1,1.59,3.0,4.0,1.31,0.97
2020-08-29,13:45:00,Bnei Sakhnin,Bnei Yehuda,0.0,3.0,A,2.8,3.05,2.35,2.2,1.56,2.0,7.0,0.91,1.47
2020-08-29,14:30:00,Hapoel Kfar Saba,Hapoel Tel Aviv,2.0,1.0,H,3.1,2.9,2.25,2.4,1.45,5.0,2.0,1.5,0.98
2020-08-30,14:00:00,Hapoel Be'er Sheva,Maccabi Netanya,3.0,2.0,H,1.71,3.4,4.25,2.0,1.67,3.0,8.0,0.76,1.36
2020-08-30,14:15:00,Hapoel Haifa,Beitar Jerusalem,0.0,1.0,A,3.45,3.05,2.05,2.0,1.65,6.0,4.0,1.6,1.27
2020-08-30,14:30:00,Hapoel Hadera,Maccabi Haifa,1.0,2.0,A,7.25,3.9,1.38,1.91,1.74,7.0,5.0,1.58,1.42
2020-08-30,15:00:00,Maccabi Tel Aviv,Maccabi Petah Tikva,1.0,2.0,A,1.22,5.35,10.0,1.87,1.77,10.0,4.0,2.86,1.12
2020-09-12,12:00:00,Ironi Kiryat Shmona,Hapoel Haifa,1.0,1.0,D,2.3,2.8,3.1,2.05,1.62,7.0,5.0,1.53,1.29
2020-09-12,13:00:00,Maccabi Petah Tikva,Hapoel Kfar Saba,2.0,0.0,H,2.25,3.15,2.85,2.15,1.59,5.0,4.0,1.25,1.82
2020-09-12,14:30:00,Bnei Yehuda,Maccabi Tel Aviv,2.0,2.0,D,5.3,3.45,1.57,2.0,1.69,3.0,3.0,1.02,1.26
2020-09-13,14:30:00,Hapoel Tel Aviv,Ashdod,0.0,2.0,A,2.7,2.95,2.5,2.3,1.51,5.0,6.0,1.76,1.59
2020-09-13,15:00:00,Maccabi Haifa,Hapoel Be'er Sheva,3.0,1.0,H,1.74,3.35,4.2,1.74,1.91,10.0,7.0,2.32,1.75
2020-09-14,14:00:00,Maccabi Netanya,Bnei Sakhnin,7.0,0.0,H,1.83,3.5,3.55,1.91,1.74,10.0,10.0,2.0,1.89
2020-09-21,13:00:00,Ashdod,Maccabi Petah Tikva,1.0,0.0,H,2.1,3.15,3.2,2.1,1.59,6.0,4.0,1.65,1.33
2020-09-21,14:00:00,Hapoel Kfar Saba,Bnei Yehuda,3.0,1.0,H,2.9,3.25,2.2,1.91,1.74,6.0,7.0,1.64,1.51
2020-10-25,16:00:00,Maccabi Tel Aviv,Hapoel Be'er Sheva,0.0,0.0,D,1.83,3.15,4.0,2.15,1.57,0.0,2.0,1.22,0.77
2020-10-31,11:15:00,Maccabi Petah Tikva,Hapoel Haifa,2.0,0.0,H,2.3,2.9,3.15,2.2,1.57,3.0,6.0,0.81,2.32
2020-10-31,12:15:00,Maccabi Netanya,Hapoel Kfar Saba,3.0,0.0,H,2.0,3.0,3.75,2.1,1.62,6.0,4.0,1.27,1.22
2020-10-31,13:15:00,Ironi Kiryat Shmona,Hapoel Hadera,1.0,1.0,D,2.15,3.0,3.3,2.3,1.51,7.0,3.0,1.84,0.84
2020-10-31,14:50:00,Hapoel Tel Aviv,Beitar Jerusalem,1.0,1.0,D,4.25,3.15,1.8,2.15,1.59,4.0,5.0,1.16,1.62
2020-11-01,15:30:00,Bnei Yehuda,Ashdod,1.0,0.0,H,2.55,2.9,2.75,2.1,1.62,7.0,3.0,1.36,1.06
2020-11-02,15:15:00,Hapoel Be'er Sheva,Bnei Sakhnin,2.0,2.0,D,1.29,4.75,8.25,1.87,1.8,8.0,8.0,1.98,1.51
2020-11-02,16:00:00,Maccabi Haifa,Maccabi Tel Aviv,2.0,2.0,D,2.65,3.0,2.55,2.15,1.61,7.0,4.0,1.48,1.26
2020-11-04,15:00:00,Beitar Jerusalem,Hapoel Hadera,4.0,0.0,H,1.51,3.8,5.5,2.05,1.67,10.0,2.0,2.17,1.11
2020-11-07,10:00:00,Maccabi Netanya,Hapoel Haifa,2.0,1.0,H,2.05,3.1,3.45,1.95,1.71,4.0,6.0,1.29,1.74
2020-11-07,13:45:00,Maccabi Haifa,Ashdod,2.0,1.0,H,1.34,4.25,7.5,1.71,1.95,8.0,6.0,1.95,1.62
2020-11-07,15:30:00,Bnei Yehuda,Beitar Jerusalem,1.0,0.0,H,3.2,3.2,2.1,1.95,1.71,4.0,3.0,0.96,2.04
2020-11-08,14:00:00,Maccabi Petah Tikva,Ironi Kiryat Shmona,0.0,1.0,A,2.5,2.95,2.7,2.15,1.61,3.0,4.0,1.08,1.59
2020-11-08,15:15:00,Bnei Sakhnin,Maccabi Tel Aviv,1.0,2.0,A,8.75,4.35,1.31,1.83,1.83,4.0,5.0,1.0,1.27
2020-11-08,15:45:00,Hapoel Be'er Sheva,Hapoel Kfar Saba,0.0,0.0,D,1.51,3.55,6.0,1.91,1.74,4.0,3.0,1.3,1.12
2020-11-09,15:30:00,Hapoel Tel Aviv,Hapoel Hadera,1.0,0.0,H,2.45,2.8,2.9,2.35,1.5,3.0,0.0,1.22,0.93
2020-11-21,10:00:00,Hapoel Tel Aviv,Maccabi Petah Tikva,0.0,0.0,D,2.4,3.0,2.85,2.25,1.54,3.0,2.0,1.39,0.74
2020-11-21,11:45:00,Ironi Kiryat Shmona,Bnei Yehuda,2.0,0.0,H,2.55,2.85,2.8,2.15,1.61,8.0,9.0,1.96,2.14
2020-11-21,13:45:00,Ashdod,Hapoel Be'er Sheva,2.0,0.0,H,3.3,3.1,2.1,2.0,1.69,6.0,2.0,1.48,1.05
2020-11-21,14:00:00,Hapoel Kfar Saba,Bnei Sakhnin,0.0,1.0,A,2.0,3.25,3.35,2.0,1.69,0.0,2.0,1.08,0.92
2020-11-21,14:50:00,Hapoel Haifa,Maccabi Haifa,2.0,1.0,H,5.75,3.8,1.49,1.87,1.8,4.0,6.0,0.92,1.73
2020-11-22,15:00:00,Hapoel Hadera,Maccabi Tel Aviv,0.0,1.0,A,8.25,4.3,1.33,1.91,1.77,2.0,5.0,0.57,1.47
2020-11-22,15:45:00,Beitar Jerusalem,Maccabi Netanya,1.0,1.0,D,2.05,3.3,3.25,1.87,1.8,6.0,4.0,1.63,1.16
2020-11-24,13:00:00,Hapoel Haifa,Bnei Yehuda,2.0,1.0,H,2.45,3.0,2.75,2.15,1.59,5.0,4.0,1.15,1.07
2020-11-24,14:00:00,Ironi Kiryat Shmona,Hapoel Tel Aviv,1.0,0.0,H,2.3,2.75,3.25,3.0,1.31,4.0,4.0,1.26,1.51
2020-11-24,15:00:00,Hapoel Kfar Saba,Maccabi Haifa,3.0,2.0,H,6.75,3.75,1.43,1.77,1.91,4.0,10.0,1.0,2.18
2020-11-25,13:00:00,Hapoel Hadera,Bnei Sakhnin,4.0,0.0,H,2.45,2.95,2.8,2.25,1.54,7.0,4.0,1.4,1.18
2020-11-25,14:00:00,Ashdod,Maccabi Netanya,4.0,0.0,H,2.5,3.0,2.7,2.05,1.67,11.0,3.0,2.12,1.01
2020-11-25,15:00:00,Beitar Jerusalem,Maccabi Petah Tikva,1.0,2.0,A,1.69,3.5,4.3,2.1,1.62,5.0,3.0,1.81,1.04
2020-11-28,10:00:00,Maccabi Petah Tikva,Hapoel Hadera,1.0,0.0,H,2.3,3.05,2.95,2.2,1.57,3.0,3.0,1.08,1.51
2020-11-28,12:20:00,Bnei Sakhnin,Ashdod,1.0,0.0,H,3.45,3.15,2.0,2.1,1.62,4.0,3.0,0.85,0.63
2020-11-28,14:50:00,Bnei Yehuda,Hapoel Tel Aviv,1.0,0.0,H,2.5,2.85,2.8,2.3,1.53,3.0,5.0,1.29,1.55
2020-11-29,15:00:00,Maccabi Netanya,Ironi Kiryat Shmona,0.0,0.0,D,2.25,3.0,3.05,2.1,1.62,3.0,4.0,0.93,1.94
2020-11-29,15:45:00,Maccabi Tel Aviv,Hapoel Kfar Saba,3.0,0.0,H,1.32,4.5,7.75,1.91,1.74,7.0,2.0,1.48,0.93
2020-11-30,15:00:00,Hapoel Be'er Sheva,Hapoel Haifa,2.0,2.0,D,2.1,3.05,3.35,2.2,1.56,6.0,8.0,1.74,1.96
2020-11-30,15:45:00,Maccabi Haifa,Beitar Jerusalem,2.0,0.0,H,1.8,3.75,3.6,1.87,1.8,11.0,4.0,2.03,1.21
2020-12-05,10:00:00,Ironi Kiryat Shmona,Maccabi Haifa,0.0,3.0,A,5.0,3.7,1.56,1.83,1.83,2.0,10.0,0.95,2.06
2020-12-05,12:20:00,Maccabi Petah Tikva,Bnei Yehuda,1.0,0.0,H,2.4,3.0,2.85,2.25,1.53,4.0,2.0,1.43,0.5
2020-12-05,13:45:00,Hapoel Haifa,Bnei Sakhnin,0.0,2.0,A,2.0,3.05,3.75,2.0,1.69,2.0,6.0,0.94,1.4
2020-12-05,14:50:00,Hapoel Tel Aviv,Maccabi Netanya,0.0,0.0,D,2.45,2.9,2.85,2.15,1.59,3.0,3.0,0.97,1.45
2020-12-06,15:00:00,Hapoel Hadera,Hapoel Kfar Saba,1.0,1.0,D,2.5,3.05,2.65,2.05,1.67,3.0,5.0,1.14,1.32
2020-12-07,15:00:00,Ashdod,Maccabi Tel Aviv,3.0,2.0,H,5.75,3.45,1.56,2.1,1.62,5.0,6.0,1.11,1.78
2020-12-07,15:45:00,Beitar Jerusalem,Hapoel Be'er Sheva,1.0,2.0,A,2.25,3.05,3.0,2.05,1.65,5.0,5.0,1.27,1.47
2020-12-08,12:00:00,Bnei Sakhnin,Maccabi Haifa,0.0,3.0,A,6.5,3.9,1.43,1.77,1.91,6.0,8.0,1.51,1.64
2020-12-09,15:00:00,Hapoel Haifa,Hapoel Tel Aviv,2.0,0.0,H,2.4,2.9,2.95,2.45,1.47,9.0,3.0,2.1,1.25
2020-12-12,10:00:00,Hapoel Kfar Saba,Ashdod,0.0,1.0,A,2.95,3.05,2.3,2.05,1.67,0.0,6.0,1.08,1.72
2020-12-12,12:20:00,Bnei Yehuda,Hapoel Hadera,0.0,3.0,A,2.15,3.0,3.25,2.3,1.51,6.0,6.0,1.88,1.57
2020-12-12,14:50:00,Maccabi Netanya,Maccabi Petah Tikva,3.0,2.0,H,2.3,3.1,2.85,2.15,1.59,5.0,7.0,1.16,1.61
2020-12-13,15:00:00,Hapoel Be'er Sheva,Ironi Kiryat Shmona,2.0,1.0,H,1.95,3.2,3.6,2.15,1.61,6.0,7.0,1.3,2.12
2020-12-13,15:45:00,Maccabi Tel Aviv,Hapoel Haifa,4.0,3.0,H,1.27,4.8,8.75,1.83,1.83,8.0,5.0,2.34,1.27
2020-12-14,15:45:00,Maccabi Haifa,Hapoel Tel Aviv,1.0,0.0,H,1.2,5.75,10.25,1.77,1.91,6.0,4.0,1.89,1.33
2020-12-16,15:00:00,Hapoel Hadera,Hapoel Be'er Sheva,2.0,2.0,D,3.65,3.05,2.0,2.05,1.65,6.0,7.0,1.34,1.67
2020-12-16,15:45:00,Maccabi Tel Aviv,Maccabi Netanya,2.0,2.0,D,1.36,4.5,6.5,1.91,1.8,7.0,7.0,1.83,1.34
2020-12-17,15:00:00,Beitar Jerusalem,Ironi Kiryat Shmona,1.0,0.0,H,,,,2.6,1.48,4.0,3.0,1.3,1.16
