Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,B365>2.5,B365<2.5,HST,AST,HomeXG,AwayXG
2020-08-27,14:30:00,Hapoel Acre,Hapoel Ramat Gan,1.0,1.0,D,3.0,2.95,2.15,2.2,1.51,5.0,10.0,1.12,2.29
2020-08-27,14:30:00,Hapoel Iksal,Hapoel Katamon,3.0,3.0,D,3.15,3.15,2.0,2.1,1.57,,,0.0,0.0
2020-08-27,14:30:00,Kafr Qasim,Ironi Ramat HaSharon,0.0,3.0,A,1.87,3.2,3.5,1.95,1.67,4.0,8.0,1.19,1.52
2020-08-27,14:30:00,Hapoel Ra'anana,Hapoel Umm al-Fahm,0.0,1.0,A,2.15,3.05,2.9,2.15,1.56,2.0,3.0,1.33,1.14
2020-08-31,13:00:00,Sektzia Nes Tziona,Maccabi Ahi Nazareth,1.0,1.0,D,2.85,3.35,2.05,1.69,1.91,12.0,4.0,2.31,1.28
2020-08-31,13:00:00,Hapoel Nazareth Illit,Beitar Tel Aviv Ramla,2.0,1.0,H,2.0,3.25,3.05,1.83,1.77,5.0,4.0,1.89,1.04
2020-08-31,14:30:00,Hapoel Petah Tikva,Hapoel Afula,1.0,1.0,D,1.39,3.9,5.9,1.91,1.71,3.0,4.0,1.07,1.18
2020-09-03,13:30:00,Hapoel Umm al-Fahm,Hapoel Acre,1.0,0.0,H,1.87,3.0,3.75,2.4,1.44,4.0,2.0,1.02,1.03
2020-09-03,13:30:00,Hapoel Afula,Hapoel Nazareth Illit,3.0,4.0,A,3.3,3.25,1.91,1.83,1.77,7.0,5.0,1.69,1.34
2020-09-03,13:30:00,Maccabi Ahi Nazareth,Hapoel Iksal,0.0,0.0,D,1.69,3.35,4.1,1.91,1.71,3.0,6.0,1.09,1.25
2020-09-07,13:30:00,Hapoel Rishon LeZion,Hapoel Petah Tikva,0.0,2.0,A,2.45,3.05,2.5,2.15,1.54,,,0.0,0.0
2020-09-07,13:30:00,Hapoel Katamon,Kafr Qasim,0.0,0.0,D,1.69,3.25,4.25,2.1,1.57,5.0,2.0,1.32,0.75
2020-09-07,13:30:00,Hapoel Ramat Gan,Sektzia Nes Tziona,3.0,0.0,H,1.91,3.15,3.35,2.1,1.59,7.0,4.0,1.44,1.18
2020-09-10,14:30:00,Hapoel Umm al-Fahm,Beitar Tel Aviv Ramla,1.0,3.0,A,2.1,3.2,2.95,1.95,1.67,3.0,7.0,1.12,2.03
2020-09-10,14:30:00,Hapoel Kfar Shalem,Hapoel Katamon,0.0,2.0,A,2.95,2.95,2.2,2.2,1.53,7.0,8.0,1.59,2.13
2020-09-10,14:30:00,Hapoel Iksal,Hapoel Ramat Gan,1.0,0.0,H,3.2,3.15,1.95,1.87,1.71,5.0,5.0,1.35,1.7
2020-09-10,14:30:00,Hapoel Petah Tikva,Ironi Ramat HaSharon,0.0,2.0,A,2.2,3.0,2.85,2.2,1.53,4.0,9.0,1.25,2.1
2020-09-10,14:30:00,Sektzia Nes Tziona,Hapoel Acre,3.0,3.0,D,2.05,3.1,3.05,2.05,1.61,10.0,5.0,2.4,1.03
2020-09-14,13:00:00,Kafr Qasim,Maccabi Ahi Nazareth,1.0,1.0,D,2.35,3.0,2.65,2.15,1.56,7.0,4.0,1.67,1.1
2020-09-14,13:00:00,Hapoel Nazareth Illit,Hapoel Rishon LeZion,1.0,0.0,H,1.57,3.5,4.65,1.83,1.77,6.0,3.0,1.72,1.01
2020-09-14,13:45:00,Hapoel Ra'anana,Hapoel Afula,1.0,1.0,D,1.83,3.15,3.65,2.05,1.59,6.0,6.0,1.77,1.74
2020-09-17,14:30:00,Sektzia Nes Tziona,Hapoel Iksal,1.0,1.0,D,2.2,3.2,2.65,1.87,1.74,2.0,4.0,0.72,1.23
2020-09-17,14:30:00,Hapoel Katamon,Hapoel Petah Tikva,3.0,1.0,H,2.05,3.3,3.1,2.25,1.61,9.0,4.0,2.2,1.1
2020-09-17,14:30:00,Hapoel Ramat Gan,Kafr Qasim,3.0,0.0,H,2.05,3.15,3.4,2.0,1.8,5.0,6.0,1.63,1.63
2020-09-17,14:30:00,Hapoel Acre,Beitar Tel Aviv Ramla,1.0,1.0,D,2.7,3.25,2.2,1.83,1.77,6.0,4.0,1.35,1.27
2020-09-17,14:30:00,Hapoel Afula,Hapoel Umm al-Fahm,1.0,1.0,D,3.0,3.05,2.1,2.15,1.54,2.0,4.0,1.14,1.16
2020-09-17,14:30:00,Hapoel Rishon LeZion,Hapoel Ra'anana,1.0,1.0,D,2.95,3.1,2.1,2.1,1.56,2.0,3.0,1.13,1.31
2020-09-17,14:30:00,Ironi Ramat HaSharon,Hapoel Nazareth Illit,1.0,0.0,H,2.6,3.2,2.2,1.91,1.71,2.0,5.0,0.78,1.49
2020-09-17,14:30:00,Maccabi Ahi Nazareth,Hapoel Kfar Shalem,3.0,0.0,H,1.87,3.1,3.65,2.15,1.56,7.0,7.0,1.7,1.84
