Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,B365>2.5,B365<2.5,HST,AST,HomeXG,AwayXG
2021-08-28,12:30:00,FeralpiSalò,Fiorenzuola,1.0,2.0,A,1.24,3.6,3.4,2.0,1.8,10.0,4.0,2.71,1.1
2021-08-28,12:30:00,Südtirol,Virtus Verona,1.0,0.0,H,1.22,3.6,3.6,2.2,1.65,7.0,0.0,2.08,0.77
2021-08-28,12:30:00,Renate,Calcio Padova,0.0,3.0,A,2.15,3.0,1.55,2.05,1.75,6.0,6.0,1.74,1.8
2021-08-28,15:30:00,Triestina,Seregno,0.0,0.0,D,1.5,3.7,6.25,2.03,1.7,2.0,2.0,1.08,0.86
2021-08-28,15:30:00,Legnago Salus,Mantova,1.0,1.0,D,2.4,2.75,2.75,2.2,1.53,3.0,3.0,1.08,1.22
2021-08-29,12:30:00,Piacenza,Trento,0.0,0.0,D,1.21,3.6,3.85,2.08,1.73,3.0,4.0,1.1,0.87
2021-08-29,12:30:00,Pro Patria,AlbinoLeffe,1.0,2.0,A,1.68,2.88,2.02,2.5,1.5,2.0,8.0,0.97,2.17
2021-08-29,12:30:00,Pro Vercelli,Lecco,1.0,0.0,H,1.42,3.1,2.63,2.15,1.67,4.0,3.0,1.45,1.19
2021-08-29,12:30:00,Giana Erminio,Pro Sesto,1.0,0.0,H,1.61,3.0,2.15,2.35,1.57,3.0,3.0,1.0,1.26
2021-08-29,12:30:00,Pergolettese,Juventus II,1.0,2.0,A,1.68,3.0,2.02,2.08,1.73,4.0,5.0,1.38,1.15
2021-09-04,12:30:00,Trento,Pro Patria,3.0,0.0,H,1.95,3.0,1.68,2.2,1.65,8.0,6.0,2.33,1.81
2021-09-04,12:30:00,AlbinoLeffe,Südtirol,1.0,1.0,D,1.75,2.9,1.88,2.2,1.65,3.0,5.0,0.91,1.68
2021-09-04,12:30:00,Fiorenzuola,Renate,2.0,2.0,D,1.82,3.0,1.82,2.15,1.67,3.0,3.0,0.68,0.74
2021-09-04,12:30:00,Lecco,Legnago Salus,4.0,1.0,H,1.45,3.2,2.4,2.3,1.6,7.0,6.0,1.74,1.74
2021-09-04,12:30:00,Mantova,Giana Erminio,1.0,1.0,D,1.65,3.0,2.0,2.5,1.5,3.0,3.0,0.89,0.72
2021-09-04,12:30:00,Calcio Padova,Pergolettese,2.0,1.0,H,1.12,4.0,4.8,1.9,1.9,4.0,3.0,1.29,0.67
2021-09-04,12:30:00,Pro Sesto,Pro Vercelli,1.0,2.0,A,1.62,3.0,2.05,2.25,1.62,3.0,11.0,1.27,2.44
2021-09-04,12:30:00,Seregno,FeralpiSalò,1.0,3.0,A,2.05,3.0,1.62,2.25,1.62,5.0,5.0,1.44,1.62
2021-09-11,12:30:00,Pergolettese,Pro Sesto,2.0,1.0,H,1.7,2.9,1.95,2.4,1.53,5.0,4.0,1.9,1.03
2021-09-11,12:30:00,Legnago Salus,Calcio Padova,0.0,4.0,A,2.5,3.4,1.38,2.3,1.6,3.0,6.0,1.14,1.44
2021-09-11,15:30:00,Giana Erminio,Lecco,0.0,1.0,A,2.2,3.0,1.55,2.5,1.5,6.0,8.0,1.47,2.17
2021-09-12,12:30:00,Pro Vercelli,Seregno,1.0,0.0,H,1.18,3.8,4.0,2.1,1.7,3.0,4.0,1.35,1.14
2021-09-12,12:30:00,Renate,Virtus Verona,3.0,1.0,H,1.55,3.3,2.3,2.5,1.5,10.0,7.0,2.24,1.76
2021-09-12,12:30:00,Südtirol,Trento,2.0,0.0,H,1.25,3.6,3.3,2.0,1.8,6.0,3.0,1.44,0.96
2021-09-12,15:30:00,Fiorenzuola,AlbinoLeffe,0.0,2.0,A,3.2,2.95,2.1,2.33,1.54,5.0,7.0,1.37,1.34
2021-09-12,15:30:00,Pro Patria,Juventus II,1.0,0.0,H,2.63,2.95,2.48,2.33,1.54,3.0,4.0,1.1,1.19
2021-09-12,15:30:00,FeralpiSalò,Mantova,1.0,1.0,D,2.2,2.85,3.15,2.4,1.5,3.0,5.0,1.43,1.63
2021-09-13,16:00:00,Triestina,Piacenza,2.0,2.0,D,1.83,3.05,3.75,2.05,1.61,5.0,6.0,1.68,1.84
2021-09-18,12:30:00,Pro Sesto,Fiorenzuola,0.0,0.0,D,1.62,3.0,2.05,2.1,1.7,3.0,5.0,1.28,1.56
2021-09-19,09:30:00,Trento,Giana Erminio,1.0,0.0,H,2.5,2.6,2.8,2.25,1.5,2.0,0.0,0.41,0.1
2021-09-19,09:30:00,Südtirol,Pergolettese,1.0,0.0,H,1.57,3.35,4.95,2.0,1.62,2.0,2.0,1.01,0.78
2021-09-19,09:30:00,Piacenza,Pro Patria,1.0,1.0,D,2.0,2.95,3.25,2.1,1.56,3.0,2.0,1.47,0.46
2021-09-19,09:30:00,Calcio Padova,Triestina,2.0,0.0,H,1.49,3.45,6.0,2.05,1.61,4.0,4.0,1.01,1.31
2021-09-19,12:30:00,Seregno,Renate,0.0,1.0,A,2.1,3.0,1.68,2.2,1.53,5.0,7.0,2.28,1.49
2021-09-19,12:30:00,Lecco,FeralpiSalò,1.0,0.0,H,1.4,3.0,2.75,2.1,1.56,2.0,4.0,0.89,1.74
2021-09-19,12:30:00,AlbinoLeffe,Mantova,1.0,0.0,H,1.45,3.25,2.65,2.2,1.51,2.0,3.0,0.94,1.56
2021-09-19,12:30:00,Juventus II,Pro Vercelli,0.0,2.0,A,1.68,3.1,2.1,2.35,1.45,3.0,3.0,1.53,1.06
2021-09-19,15:30:00,Virtus Verona,Legnago Salus,1.0,1.0,D,1.72,3.0,2.05,2.6,1.48,6.0,4.0,1.54,1.36
2021-09-22,11:30:00,Juventus II,Triestina,2.0,1.0,H,2.55,2.95,2.95,1.57,2.3,4.0,6.0,1.21,1.99
2021-09-22,15:30:00,Virtus Verona,Piacenza,1.0,1.0,D,2.05,3.0,1.62,2.4,1.53,5.0,3.0,1.4,1.34
2021-09-26,09:30:00,Pro Vercelli,Trento,1.0,1.0,D,1.69,3.25,4.25,2.41,1.58,2.0,3.0,1.48,0.68
2021-09-26,09:30:00,FeralpiSalò,Juventus II,3.0,2.0,H,2.1,3.0,3.0,2.39,1.59,8.0,5.0,2.61,1.99
2021-09-26,09:30:00,Triestina,Lecco,2.0,0.0,H,1.95,3.0,3.35,2.18,1.7,5.0,3.0,1.36,0.95
2021-09-26,12:30:00,Renate,Pro Sesto,3.0,0.0,H,1.2,3.6,4.33,2.28,1.54,9.0,4.0,2.05,1.26
2021-09-26,12:30:00,Pergolettese,Virtus Verona,2.0,2.0,D,1.9,3.0,1.83,2.44,1.57,5.0,5.0,1.84,0.99
2021-09-26,12:30:00,Pro Patria,Calcio Padova,1.0,2.0,A,3.1,3.5,1.33,2.33,1.62,6.0,4.0,1.57,1.51
2021-09-26,12:30:00,Mantova,Piacenza,2.0,1.0,H,1.83,3.0,1.95,2.25,1.66,4.0,3.0,1.59,0.8
2021-09-26,12:30:00,Giana Erminio,AlbinoLeffe,0.0,1.0,A,1.71,3.0,2.1,2.29,1.64,2.0,3.0,0.83,1.2
2021-09-26,12:30:00,Fiorenzuola,Seregno,2.0,3.0,A,1.44,3.3,2.65,2.21,1.68,3.0,8.0,0.82,1.92
2021-09-29,12:30:00,Juventus II,Giana Erminio,0.0,1.0,A,1.62,3.1,2.1,1.57,2.3,4.0,4.0,1.74,0.83
