Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,B365>2.5,B365<2.5,HST,AST,HomeXG,AwayXG
2025-09-06,11:00:00,Imperia,Città di Varese,1.0,3.0,A,3.4,3.45,2.03,1.95,1.75,5.0,6.0,1.32,1.4
2025-09-07,10:00:00,Gozzano,Asti,0.0,1.0,A,,,,,,,,0.0,0.0
2025-09-07,10:00:00,Ligorna,Celle Varazze,3.0,2.0,H,1.63,3.75,4.5,1.95,1.85,6.0,4.0,1.91,1.23
2025-09-07,10:00:00,Valenzana,NovaRomentin,2.0,1.0,H,,,,,,,,0.0,0.0
2025-09-07,10:00:00,Lavagnese,AS Biellese 1902,2.0,1.0,H,,,,,,,,0.0,0.0
2025-09-07,10:00:00,Club Milano,Derthona,2.0,3.0,A,2.0,3.2,3.1,1.95,1.85,7.0,8.0,1.68,1.82
2025-09-07,10:00:00,Sestri Levante,Saluzzo,2.0,5.0,A,,,,,,,,0.0,0.0
2025-09-07,10:00:00,Vado,Sanremo,2.0,0.0,H,1.71,3.45,4.2,2.0,1.8,3.0,5.0,1.55,1.77
2025-09-07,10:00:00,Chisola,Cairese,3.0,0.0,H,,,,,,,,0.0,0.0
2025-09-14,10:00:00,Sanremo,Ligorna,1.0,1.0,D,3.15,3.05,2.25,2.38,1.52,,,1.77,1.91
2025-09-14,10:00:00,Derthona,Sestri Levante,1.0,3.0,A,2.55,3.2,2.55,2.0,1.68,5.0,6.0,1.34,1.62
2025-09-14,10:00:00,Saluzzo,Imperia,2.0,1.0,H,1.95,3.15,3.8,1.8,1.91,,,0.0,1.32
2025-09-14,10:00:00,Cairese,Lavagnese,1.0,1.0,D,3.95,3.2,1.95,2.1,1.65,,,0.0,0.0
2025-09-14,10:00:00,Città di Varese,Chisola,1.0,0.0,H,1.95,3.15,3.8,2.27,1.56,,,1.4,0.0
2025-09-14,10:00:00,NovaRomentin,Gozzano,2.0,1.0,H,1.63,3.55,5.25,1.94,1.77,,,0.0,0.0
2025-09-14,10:00:00,Celle Varazze,Club Milano,0.0,3.0,A,,,,,,,,1.23,1.68
2025-09-14,10:00:00,Asti,Vado,0.0,2.0,A,3.5,3.1,1.93,2.05,1.68,1.0,2.0,0.68,0.72
