Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,B365>2.5,B365<2.5,HST,AST,HomeXG,AwayXG
2025-09-06,10:00:00,Chievo,Scanzorosciate,2.0,1.0,H,1.25,4.5,10.0,1.85,1.95,4.0,4.0,1.8,1.24
2025-09-07,10:00:00,Breno,Castellanzese,0.0,0.0,D,2.05,3.0,3.4,2.05,1.65,,,0.0,0.0
2025-09-07,10:00:00,Caldiero Terme,Pavia,3.0,0.0,H,,,,,,,,0.0,0.0
2025-09-07,10:00:00,Real Calepina,Villa Valle,1.0,3.0,A,3.2,3.1,2.05,2.0,1.65,,,0.0,0.0
2025-09-07,10:00:00,Virtus Ciserano Bergamo,Casatese,1.0,1.0,D,,,,,,,,0.0,0.0
2025-09-07,10:00:00,Oltrepò,Voghera,1.0,0.0,H,2.38,3.2,2.7,1.95,1.8,9.0,4.0,1.87,0.88
2025-09-07,10:00:00,Folgore Caratese,Varesina,2.0,1.0,H,1.95,3.3,3.25,1.75,1.85,,,0.0,0.0
2025-09-07,10:00:00,Sondrio,Brusaporto,1.0,2.0,A,,,,,,,,0.0,0.0
2025-09-13,10:00:00,Leon,Virtus Ciserano Bergamo,1.0,1.0,D,3.35,3.7,1.86,1.4,2.75,3.0,2.0,0.83,1.02
2025-09-14,10:00:00,Varesina,Oltrepò,2.0,3.0,A,,,,,,,,0.0,1.87
2025-09-14,10:00:00,Voghera,Breno,0.0,0.0,D,,,,,,,,0.88,0.0
2025-09-14,10:00:00,Casatese,Chievo,1.0,3.0,A,1.97,3.15,3.75,2.1,1.66,,,0.0,1.8
2025-09-14,10:00:00,Scanzorosciate,Sondrio,1.0,0.0,H,,,,,,,,1.24,0.0
2025-09-14,10:00:00,Pavia,Milan II,1.0,2.0,A,,,,,,,,0.0,0.0
2025-09-14,10:00:00,Brusaporto,Real Calepina,0.0,3.0,A,1.9,3.3,3.7,2.1,1.7,,,0.0,0.0
2025-09-14,10:00:00,Castellanzese,Caldiero Terme,0.0,0.0,D,3.8,3.3,1.85,1.99,1.71,9.0,5.0,2.03,1.84
2025-09-14,10:00:00,Villa Valle,Folgore Caratese,1.0,2.0,A,,,,,,,,0.0,0.0
2025-09-17,10:00:00,Milan II,Leon,2.0,2.0,D,,,,,,3.0,8.0,0.92,1.74
2025-09-20,10:00:00,Caldiero Terme,Casatese,1.0,1.0,D,,,,,,,,1.84,0.0
2025-09-20,10:00:00,Virtus Ciserano Bergamo,Scanzorosciate,2.0,0.0,H,2.05,3.15,3.65,2.1,1.65,,,1.02,1.24
2025-09-21,10:00:00,Oltrepò,Pavia,0.0,1.0,A,1.78,3.4,3.8,2.1,1.7,5.0,3.0,1.38,1.07
2025-09-21,10:00:00,Breno,Leon,2.0,2.0,D,,,,,,,,0.0,1.28
2025-09-21,10:00:00,Real Calepina,Voghera,2.0,2.0,D,1.8,3.5,4.03,2.05,1.75,4.0,3.0,0.99,1.0
2025-09-21,10:00:00,Milan II,Chievo,3.0,2.0,H,2.25,3.18,2.95,2.03,1.69,6.0,3.0,1.71,0.88
2025-09-21,10:00:00,Folgore Caratese,Castellanzese,2.0,1.0,H,1.63,3.4,4.4,2.05,1.75,3.0,5.0,1.16,1.17
2025-09-21,10:00:00,Sondrio,Varesina,0.0,2.0,A,3.1,3.1,2.1,1.85,1.75,,,0.0,0.0
2025-09-24,10:00:00,Varesina,Real Calepina,0.0,2.0,A,1.98,3.35,3.85,1.9,1.9,3.0,5.0,1.28,1.67
2025-09-24,10:00:00,Leon,Caldiero Terme,0.0,0.0,D,2.62,2.75,2.65,2.12,1.64,2.0,0.0,0.67,0.38
2025-09-24,10:00:00,Castellanzese,Oltrepò,2.0,2.0,D,2.35,3.0,2.7,2.15,1.65,7.0,5.0,2.03,1.34
2025-09-24,10:00:00,Scanzorosciate,Brusaporto,0.0,3.0,A,,,,,,,,1.24,0.0
2025-09-24,10:00:00,Villa Valle,Sondrio,3.0,0.0,H,1.62,3.84,4.51,2.07,1.72,5.0,1.0,1.47,0.7
2025-09-24,10:00:00,Voghera,Folgore Caratese,0.0,1.0,A,3.35,3.3,2.07,2.05,1.68,,,0.94,1.16
2025-09-24,10:00:00,Pavia,Breno,2.0,5.0,A,,,,,,,,1.07,0.0
