Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,B365>2.5,B365<2.5,HST,AST,HomeXG,AwayXG
2025-09-07,10:00:00,Este,Obermais,3.0,0.0,H,1.5,3.78,5.81,1.9,1.9,9.0,5.0,2.11,1.66
2025-09-07,10:00:00,Campodarsego,Clodiense,1.0,1.0,D,,,,,,,,0.0,0.0
2025-09-07,10:00:00,Adriese,Luparense,1.0,1.0,D,2.6,2.91,2.37,2.1,1.7,4.0,1.0,1.11,0.72
2025-09-07,10:00:00,Mestre,San Luigi,2.0,2.0,D,,,,,,,,0.0,0.0
2025-09-07,10:00:00,Portosummaga,Treviso,2.0,4.0,A,3.7,3.45,1.82,2.05,1.75,3.0,6.0,0.79,1.72
2025-09-07,10:00:00,Bassano Virtus,Legnago Salus,0.0,2.0,A,,,,,,,,0.0,0.0
2025-09-07,10:00:00,Calvi Noale,Brian Lignano,1.0,4.0,A,2.13,3.45,3.45,2.2,1.65,4.0,8.0,1.41,2.2
2025-09-07,10:00:00,Conegliano,Cjarlins Muzane,0.0,1.0,A,,,,,,,,0.0,0.0
2025-09-07,10:00:00,Vigasio,Altavilla,1.0,0.0,H,1.62,3.7,4.35,1.95,1.85,2.0,4.0,0.5,1.35
2025-09-13,10:00:00,Altavilla,Este,2.0,2.0,D,,,,,,,,1.35,2.11
2025-09-13,10:00:00,Brian Lignano,Campodarsego,1.0,3.0,A,3.1,3.0,2.35,2.4,1.5,,,2.2,0.0
2025-09-14,10:00:00,Obermais,Mestre,0.0,1.0,A,,,,,,,,1.66,0.0
2025-09-14,10:00:00,San Luigi,Conegliano,2.0,0.0,H,1.9,3.25,3.6,2.0,1.8,6.0,3.0,1.42,1.17
2025-09-14,10:00:00,Clodiense,Bassano Virtus,2.0,0.0,H,,,,,,,,0.0,0.0
2025-09-14,10:00:00,Treviso,Vigasio,2.0,1.0,H,,,,,,,,1.72,0.5
2025-09-14,10:00:00,Legnago Salus,Adriese,0.0,0.0,D,,,,,,,,0.0,1.11
2025-09-14,10:00:00,Cjarlins Muzane,Calvi Noale,3.0,2.0,H,,,,,,,,0.0,1.41
2025-09-14,12:00:00,Luparense,Portosummaga,0.0,0.0,D,1.8,2.72,5.35,2.2,1.65,2.0,0.0,1.13,0.51
2025-09-20,10:00:00,Cjarlins Muzane,Brian Lignano,1.0,0.0,H,1.99,3.0,3.4,1.98,1.63,,,0.0,2.2
2025-09-20,10:00:00,Adriese,Treviso,1.0,3.0,A,2.3,3.04,2.99,,,3.0,6.0,0.79,1.39
2025-09-20,10:00:00,Este,San Luigi,1.0,0.0,H,,,,,,,,2.11,1.42
2025-09-20,10:00:00,Campodarsego,Legnago Salus,2.0,3.0,A,,,,,,,,0.0,0.0
2025-09-20,10:00:00,Calvi Noale,Clodiense,0.0,1.0,A,,,,,,,,1.41,0.0
2025-09-20,10:30:00,Bassano Virtus,Luparense,1.0,0.0,H,3.02,2.95,2.48,,,,,0.0,0.92
2025-09-20,11:00:00,Mestre,Conegliano,1.0,0.0,H,1.72,3.65,4.4,1.78,1.92,3.0,2.0,1.27,1.05
2025-09-21,10:00:00,Vigasio,Obermais,2.0,1.0,H,1.67,3.5,4.33,2.05,1.75,3.0,1.0,1.12,0.68
2025-09-21,10:00:00,Portosummaga,Altavilla,1.0,1.0,D,1.83,3.3,3.75,2.3,1.6,1.0,3.0,0.52,1.52
2025-09-24,10:00:00,Legnago Salus,Brian Lignano,1.0,2.0,A,1.65,3.65,4.9,1.98,1.72,7.0,4.0,1.83,1.4
2025-09-24,10:00:00,Conegliano,Vigasio,2.0,2.0,D,,,,,,,,1.11,0.81
2025-09-24,10:00:00,Obermais,Adriese,1.0,0.0,H,3.89,3.32,1.85,2.1,1.7,2.0,2.0,0.82,1.05
2025-09-24,10:00:00,Altavilla,Bassano Virtus,2.0,0.0,H,,,,,,,,1.44,0.0
2025-09-24,10:00:00,San Luigi,Portosummaga,1.0,1.0,D,2.05,3.0,3.7,2.37,1.53,3.0,5.0,1.53,1.49
2025-09-24,10:00:00,Mestre,Este,1.0,1.0,D,2.29,3.05,3.15,2.26,1.65,7.0,9.0,1.66,1.95
2025-09-24,11:00:00,Treviso,Campodarsego,2.0,0.0,H,1.68,3.9,4.4,2.07,1.67,8.0,1.0,2.2,0.7
2025-09-24,12:00:00,Luparense,Calvi Noale,2.0,1.0,H,2.02,3.08,3.57,2.25,1.58,3.0,6.0,1.17,1.44
2025-09-24,13:30:00,Clodiense,Cjarlins Muzane,1.0,3.0,A,2.45,3.1,2.6,2.07,1.67,10.0,2.0,2.41,1.05
2025-09-28,10:00:00,Portosummaga,Obermais,1.0,1.0,D,,,,,,,,0.83,1.05
2025-09-28,10:00:00,Vigasio,San Luigi,1.0,1.0,D,,,,,,,,0.81,1.48
2025-09-28,10:00:00,Adriese,Altavilla,0.0,0.0,D,,,,,,,,0.98,1.44
2025-09-28,10:00:00,Este,Conegliano,1.0,1.0,D,1.88,3.45,3.8,1.95,1.75,,,2.03,1.11
2025-09-28,10:00:00,Campodarsego,Luparense,3.0,0.0,H,2.5,3.0,2.55,2.23,1.57,8.0,5.0,1.98,1.44
2025-09-28,10:00:00,Bassano Virtus,Treviso,1.0,1.0,D,2.95,3.35,2.25,2.07,1.67,,,0.0,1.77
2025-09-28,10:00:00,Calvi Noale,Legnago Salus,1.0,2.0,A,3.25,3.2,2.0,1.96,1.71,9.0,7.0,1.84,1.61
2025-09-28,10:00:00,Cjarlins Muzane,Mestre,1.0,0.0,H,2.05,3.25,3.5,2.15,1.63,,,1.05,1.47
2025-09-29,15:00:00,Brian Lignano,Clodiense,3.0,2.0,H,2.11,3.09,2.92,,,,,1.8,2.41
2025-10-04,10:00:00,Luparense,Clodiense,2.0,2.0,D,1.98,3.35,3.6,2.13,1.64,,,1.11,2.41
2025-10-04,10:00:00,Treviso,Brian Lignano,1.0,0.0,H,1.64,3.34,4.32,1.92,1.79,4.0,5.0,1.37,1.27
2025-10-05,10:00:00,Conegliano,Adriese,2.0,0.0,H,3.25,3.35,2.1,2.05,1.68,,,1.11,0.98
2025-10-05,10:00:00,Obermais,Campodarsego,1.0,0.0,H,3.7,3.35,1.95,2.15,1.63,,,1.05,1.34
2025-10-05,10:00:00,Mestre,Portosummaga,3.0,0.0,H,1.95,3.15,3.9,,,6.0,2.0,1.38,0.63
2025-10-05,10:00:00,Legnago Salus,Cjarlins Muzane,2.0,2.0,D,2.7,3.4,2.4,2.05,1.68,4.0,0.0,0.96,0.45
2025-10-05,10:00:00,San Luigi,Bassano Virtus,0.0,3.0,A,2.29,3.09,2.64,2.35,1.57,1.0,5.0,0.59,1.79
2025-10-05,10:00:00,Altavilla,Calvi Noale,0.0,0.0,D,2.08,3.1,2.96,2.1,1.7,3.0,1.0,1.97,0.92
2025-10-05,10:00:00,Este,Vigasio,1.0,1.0,D,2.05,3.2,3.02,2.15,1.7,1.0,2.0,0.92,0.93
2025-10-12,10:00:00,Cjarlins Muzane,Este,0.0,0.0,D,1.87,3.7,3.65,1.75,1.95,,,0.75,1.66
2025-10-12,10:00:00,Adriese,San Luigi,2.0,1.0,H,1.84,3.18,3.55,2.37,1.53,11.0,8.0,2.5,1.53
