Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,B365>2.5,B365<2.5,HST,AST,HomeXG,AwayXG
2025-09-07,10:00:00,Progresso,Pro Sesto,0.0,1.0,A,2.42,3.0,2.7,2.1,1.7,3.0,3.0,1.04,0.66
2025-09-07,10:00:00,Correggese,Cittadella Vis Modena,1.0,2.0,A,2.45,3.05,2.7,2.0,1.65,3.0,9.0,1.07,1.85
2025-09-07,10:00:00,Piacenza,Desenzano Calvina,1.0,0.0,H,1.91,3.25,3.5,2.1,1.7,2.0,1.0,0.49,0.81
2025-09-07,10:00:00,Lentigione,Crema,3.0,0.0,H,1.53,3.75,5.5,1.9,1.8,9.0,4.0,2.37,0.97
2025-09-07,10:00:00,Tuttocuoio,Coriano,2.0,2.0,D,1.57,3.7,5.0,1.9,1.9,5.0,5.0,1.55,1.24
2025-09-07,10:00:00,Pro Palazzolo,Rovato Vertova,0.0,2.0,A,1.4,4.45,6.5,1.8,2.0,3.0,4.0,1.86,0.95
2025-09-07,10:00:00,Sant'Angelo,Trevigliese,2.0,1.0,H,,,,,,,,0.0,0.0
2025-09-07,10:00:00,Pistoiese,Imolese,1.0,1.0,D,1.83,3.3,4.3,2.15,1.63,,,0.0,0.0
2025-09-07,10:00:00,Sangiuliano City,Sasso Marconi,2.0,1.0,H,,,,,,,,0.0,0.0
2025-09-13,15:00:00,Imolese,Sangiuliano City,0.0,1.0,A,,,,,,,,0.0,0.0
2025-09-14,10:00:00,Cittadella Vis Modena,Piacenza,2.0,1.0,H,3.1,3.1,2.16,2.2,1.65,2.0,2.0,0.78,1.33
2025-09-14,10:00:00,Desenzano Calvina,Pro Palazzolo,1.0,1.0,D,2.28,3.15,2.9,2.2,1.65,3.0,3.0,0.78,0.84
2025-09-14,10:00:00,Trevigliese,Progresso,4.0,3.0,H,,,,,,,,0.0,1.04
2025-09-14,10:00:00,Coriano,Correggese,0.0,1.0,A,1.89,3.4,3.74,2.0,1.8,2.0,2.0,0.79,1.14
2025-09-14,10:00:00,Rovato Vertova,Pistoiese,0.0,1.0,A,3.9,3.25,1.87,2.1,1.7,5.0,4.0,1.08,1.56
2025-09-14,10:00:00,Crema,Tuttocuoio,2.0,0.0,H,,,,,,,,0.97,1.55
2025-09-14,10:00:00,Pro Sesto,Lentigione,3.0,1.0,H,3.25,3.0,2.15,2.23,1.6,3.0,1.0,0.91,0.77
2025-09-14,11:30:00,Sasso Marconi,Sant'Angelo,2.0,1.0,H,2.75,3.1,2.3,1.95,1.7,3.0,6.0,0.97,2.03
2025-09-20,10:00:00,Correggese,Rovato Vertova,1.0,1.0,D,,,,,,,,1.1,1.02
2025-09-20,10:00:00,Lentigione,Cittadella Vis Modena,1.0,0.0,H,1.83,3.3,4.3,1.93,1.77,,,1.57,1.31
2025-09-20,10:00:00,Pro Palazzolo,Sangiuliano City,1.0,1.0,D,1.79,3.9,3.55,1.95,1.65,1.0,1.0,1.35,0.0
2025-09-20,10:00:00,Piacenza,Imolese,0.0,0.0,D,1.98,3.24,3.5,2.15,1.66,5.0,1.0,1.77,0.5
2025-09-20,10:00:00,Progresso,Coriano,1.0,1.0,D,2.27,3.3,2.75,2.35,1.57,6.0,1.0,1.5,0.61
2025-09-20,12:00:00,Pistoiese,Sasso Marconi,3.0,0.0,H,1.41,3.9,6.75,2.1,1.7,6.0,0.0,2.11,0.72
2025-09-20,12:00:00,Tuttocuoio,Desenzano Calvina,0.0,3.0,A,3.11,3.21,1.99,2.37,1.53,1.0,7.0,0.82,1.64
