Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,B365>2.5,B365<2.5,HST,AST,HomeXG,AwayXG
2025-09-07,10:00:00,Real Monterotondo Scalo,Flaminia,2.0,4.0,A,2.85,3.25,2.26,1.9,1.7,10.0,7.0,1.86,1.81
2025-09-07,10:00:00,Montespaccato,Scafatese,0.0,2.0,A,8.0,4.4,1.33,1.95,1.8,0.0,8.0,1.03,2.31
2025-09-07,10:00:00,Budoni,Monastir,0.0,2.0,A,2.35,3.25,2.7,1.95,1.7,0.0,4.0,0.45,1.12
2025-09-07,10:00:00,Cassino,Ischia,2.0,0.0,H,,,,,,,,0.0,0.0
2025-09-07,10:00:00,CynthiAlbalonga,Olbia,1.0,1.0,D,,,,,,,,0.0,0.0
2025-09-07,10:00:00,USD Palmese,Anzio,2.0,2.0,D,,,,,,5.0,3.0,1.66,1.03
2025-09-07,10:00:00,Valmontone,Atletico Lodigiani,1.0,1.0,D,2.09,3.2,3.16,2.07,1.72,5.0,5.0,1.25,1.27
2025-09-07,10:30:00,Nocerina,Trastevere,1.0,1.0,D,1.7,3.65,4.6,1.95,1.75,9.0,4.0,1.91,1.01
2025-09-07,11:30:00,Sarrabus Ogliastra,Latte Dolce,0.0,0.0,D,2.2,3.05,3.25,1.73,1.99,,,0.0,0.0
2025-09-13,11:00:00,Trastevere,USD Palmese,1.0,1.0,D,1.7,3.95,4.2,1.45,2.37,3.0,2.0,1.29,2.21
2025-09-14,06:00:00,Ischia,Budoni,1.0,2.0,A,,,,,,,,0.0,0.45
2025-09-14,10:00:00,Latte Dolce,Real Monterotondo Scalo,1.0,0.0,H,1.75,3.35,4.1,2.05,1.68,3.0,1.0,1.4,0.79
2025-09-14,10:00:00,Monastir,Montespaccato,2.0,0.0,H,1.63,3.6,4.4,1.9,1.78,5.0,4.0,2.02,1.18
2025-09-14,10:00:00,Flaminia,Cassino,2.0,0.0,H,,,,,,,,1.81,0.0
2025-09-14,10:00:00,Olbia,Valmontone,1.0,1.0,D,,,,,,,,0.0,1.25
2025-09-14,10:00:00,Scafatese,Nocerina,1.0,1.0,D,2.3,3.35,2.9,1.95,1.75,,,2.31,1.91
2025-09-14,10:00:00,Atletico Lodigiani,Sarrabus Ogliastra,0.0,1.0,A,,,,,,,,1.27,0.0
2025-09-14,11:00:00,Anzio,CynthiAlbalonga,0.0,0.0,D,,,,,,,,1.03,0.0
2025-09-20,09:00:00,USD Palmese,Olbia,0.0,2.0,A,,,,,,,,1.94,0.0
2025-09-20,09:30:00,Budoni,Trastevere,0.0,2.0,A,,,,,,,,0.45,1.15
2025-09-20,10:00:00,Cassino,Scafatese,1.0,3.0,A,,,,,,,,0.0,2.31
2025-09-20,10:00:00,Real Monterotondo Scalo,Monastir,1.0,0.0,H,2.55,3.22,2.73,2.09,1.58,1.0,3.0,1.0,1.17
2025-09-20,10:30:00,Nocerina,CynthiAlbalonga,1.0,2.0,A,1.42,3.9,6.25,2.2,1.65,5.0,4.0,2.19,1.27
2025-09-20,11:30:00,Atletico Lodigiani,Latte Dolce,1.0,2.0,A,,,,,,,,1.27,1.4
2025-09-21,10:00:00,Montespaccato,Anzio,1.0,2.0,A,3.25,3.2,2.0,2.1,1.7,9.0,3.0,2.31,1.32
2025-09-21,10:00:00,Valmontone,Flaminia,1.0,1.0,D,,,,,,,,1.25,1.81
2025-09-21,10:00:00,Sarrabus Ogliastra,Ischia,1.0,1.0,D,2.25,3.1,2.87,2.25,1.61,7.0,1.0,1.97,0.65
2025-09-24,09:00:00,Ischia,Real Monterotondo Scalo,1.0,2.0,A,,,,,,,,0.65,1.21
2025-09-24,10:00:00,Scafatese,Budoni,0.0,0.0,D,1.22,5.2,8.1,1.85,1.95,3.0,0.0,1.6,0.69
2025-09-24,10:00:00,Flaminia,Sarrabus Ogliastra,2.0,2.0,D,,,,,,,,1.81,1.97
2025-09-24,10:00:00,Trastevere,Montespaccato,2.0,1.0,H,1.7,3.65,3.75,2.05,1.75,14.0,7.0,3.18,1.74
2025-09-24,10:00:00,CynthiAlbalonga,USD Palmese,3.0,3.0,D,,,,,,,,1.27,1.94
2025-09-24,10:00:00,Anzio,Nocerina,0.0,1.0,A,4.75,3.75,1.58,,,,,1.17,2.05
2025-09-24,10:00:00,Olbia,Atletico Lodigiani,2.0,1.0,H,,,,,,,,0.0,1.27
2025-09-24,10:00:00,Latte Dolce,Valmontone,0.0,1.0,A,2.14,2.88,3.05,1.85,1.95,5.0,2.0,1.34,1.22
2025-09-24,10:00:00,Monastir,Cassino,2.0,1.0,H,2.6,3.05,2.55,2.45,1.48,11.0,6.0,2.31,1.49
2025-09-28,09:30:00,Nocerina,Olbia,2.0,1.0,H,1.68,3.4,4.3,1.98,1.73,9.0,1.0,2.81,0.59
2025-09-28,09:30:00,Atletico Lodigiani,Ischia,1.0,1.0,D,,,,,,,,1.27,0.65
2025-09-28,09:30:00,Sarrabus Ogliastra,Scafatese,0.0,4.0,A,4.8,3.5,1.61,1.95,1.75,0.0,4.0,1.97,1.96
2025-09-28,10:00:00,Montespaccato,USD Palmese,1.0,0.0,H,,,,,,,,1.57,1.94
2025-09-28,10:00:00,Real Monterotondo Scalo,Trastevere,1.0,3.0,A,2.09,3.18,2.87,2.0,1.8,5.0,7.0,1.4,1.55
2025-09-28,10:00:00,Budoni,CynthiAlbalonga,1.0,1.0,D,2.8,3.3,2.35,2.05,1.68,,,0.57,1.27
2025-09-28,10:00:00,Cassino,Anzio,1.0,1.0,D,,,,,,,,1.49,1.17
2025-09-28,10:00:00,Latte Dolce,Flaminia,1.0,0.0,H,2.6,3.2,2.45,1.94,1.76,4.0,10.0,0.9,2.24
2025-09-28,11:00:00,Valmontone,Monastir,2.0,0.0,H,2.37,3.25,2.7,2.2,1.59,2.0,0.0,0.3,0.15
2025-10-05,10:00:00,Trastevere,Cassino,1.0,0.0,H,2.15,3.1,3.1,2.0,1.8,7.0,2.0,2.04,1.15
2025-10-05,10:00:00,CynthiAlbalonga,Montespaccato,3.0,2.0,H,1.77,3.4,4.1,2.11,1.62,,,1.27,1.57
2025-10-05,10:00:00,Olbia,Latte Dolce,1.0,6.0,A,1.95,3.4,3.2,1.73,1.97,4.0,8.0,1.4,1.85
2025-10-05,10:00:00,Scafatese,Real Monterotondo Scalo,2.0,0.0,H,1.5,3.9,6.2,1.95,1.75,,,1.96,1.26
2025-10-05,10:00:00,Ischia,Valmontone,0.0,2.0,A,,,,,,,,0.65,0.92
2025-10-05,10:00:00,Monastir,Sarrabus Ogliastra,2.0,3.0,A,1.83,3.35,3.8,1.9,1.9,11.0,5.0,1.87,1.5
2025-10-05,10:00:00,USD Palmese,Nocerina,0.0,1.0,A,,,,,,,,1.94,2.31
2025-10-05,10:00:00,Flaminia,Atletico Lodigiani,0.0,0.0,D,2.05,3.35,3.4,2.05,1.68,,,2.03,1.27
2025-10-05,10:00:00,Anzio,Budoni,0.0,5.0,A,2.2,3.4,2.85,1.92,1.79,4.0,9.0,1.24,2.11
2025-10-12,09:30:00,Flaminia,Ischia,4.0,0.0,H,1.75,3.5,4.0,1.98,1.74,,,2.03,0.65
2025-10-12,09:30:00,Budoni,Nocerina,3.0,2.0,H,4.1,3.5,1.73,1.89,1.82,,,1.08,2.31
2025-10-12,10:00:00,Cassino,USD Palmese,1.0,2.0,A,1.8,3.38,4.05,1.95,1.75,,,1.32,1.94
2025-10-12,10:00:00,Atletico Lodigiani,Scafatese,1.0,2.0,A,3.75,3.45,1.8,1.77,1.94,,,1.27,1.96
2025-10-12,10:00:00,Real Monterotondo Scalo,CynthiAlbalonga,0.0,1.0,A,2.32,3.32,2.66,1.83,1.8,,,1.26,1.27
2025-10-12,10:00:00,Montespaccato,Olbia,1.0,1.0,D,3.0,3.4,2.2,,,,,1.57,1.0
2025-10-12,10:00:00,Valmontone,Trastevere,1.0,3.0,A,2.2,3.28,2.95,2.0,1.8,6.0,8.0,1.98,1.91
2025-10-12,10:00:00,Sarrabus Ogliastra,Anzio,3.0,2.0,H,2.0,3.25,3.3,1.83,1.88,7.0,3.0,1.78,1.17
2025-10-12,11:00:00,Latte Dolce,Monastir,1.0,2.0,A,1.72,3.5,4.53,2.2,1.65,2.0,7.0,0.96,1.58
2025-10-19,06:00:00,Ischia,Latte Dolce,2.0,0.0,H,10.0,4.9,1.3,,,,,0.65,1.29
2025-10-19,09:30:00,USD Palmese,Budoni,0.0,0.0,D,2.17,3.4,3.05,2.0,1.72,,,1.94,1.08
2025-10-19,10:00:00,Monastir,Atletico Lodigiani,0.0,0.0,D,1.97,3.16,3.36,2.35,1.57,6.0,7.0,2.0,1.68
2025-10-19,10:00:00,Trastevere,Sarrabus Ogliastra,2.0,2.0,D,1.65,3.6,4.4,1.9,1.9,9.0,5.0,1.95,1.29
2025-10-19,10:00:00,Nocerina,Montespaccato,1.0,1.0,D,1.3,4.4,8.5,2.0,1.8,1.0,1.0,2.31,1.57
2025-10-19,10:00:00,Scafatese,Valmontone,4.0,1.0,H,1.55,3.75,5.7,1.98,1.72,,,1.96,1.19
2025-10-19,10:00:00,Olbia,Flaminia,3.0,1.0,H,5.2,3.5,1.61,,,,,1.0,2.03
2025-10-19,10:00:00,Anzio,Real Monterotondo Scalo,1.0,0.0,H,2.25,3.3,3.0,2.17,1.62,,,1.19,1.26
2025-10-19,10:00:00,CynthiAlbalonga,Cassino,2.0,0.0,H,2.65,3.0,2.55,,,,,1.27,1.32
2025-10-26,07:00:00,Ischia,Monastir,2.0,1.0,H,2.29,3.2,2.94,2.05,1.66,,,0.65,1.53
2025-10-26,10:00:00,Sarrabus Ogliastra,USD Palmese,2.0,0.0,H,2.65,3.3,2.3,1.8,2.0,5.0,9.0,1.37,1.97
2025-10-26,10:30:00,Flaminia,Scafatese,1.0,2.0,A,3.38,2.9,2.05,1.95,1.72,6.0,3.0,1.22,0.78
2025-10-26,10:30:00,Atletico Lodigiani,Anzio,1.0,0.0,H,2.0,3.5,3.35,1.9,1.8,,,1.48,1.19
2025-10-26,10:30:00,Valmontone,CynthiAlbalonga,3.0,0.0,H,2.5,3.12,2.5,1.95,1.85,4.0,2.0,1.21,1.44
2025-10-26,10:30:00,Cassino,Montespaccato,0.0,2.0,A,1.48,3.75,6.2,,,,,1.32,1.57
2025-10-26,10:30:00,Real Monterotondo Scalo,Nocerina,1.0,3.0,A,3.9,3.65,1.82,1.85,1.85,5.0,1.0,1.2,1.07
2025-10-26,10:30:00,Latte Dolce,Trastevere,1.0,2.0,A,2.25,3.15,2.95,1.9,1.9,7.0,8.0,2.12,1.84
