Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,B365>2.5,B365<2.5,HST,AST,HomeXG,AwayXG
2025-09-07,10:00:00,Francavilla,Manfredonia,3.0,2.0,H,1.91,3.1,3.6,2.25,1.61,4.0,2.0,1.31,1.5
2025-09-07,10:00:00,Sarnese,Pompei,0.0,0.0,D,,,,,,,,0.0,0.0
2025-09-07,10:00:00,Puteolana,Gravina,3.0,1.0,H,,,,,,,,0.0,0.0
2025-09-07,10:30:00,Real Acerrana,Martina Franca,0.0,1.0,A,4.1,3.4,1.72,2.05,1.75,0.0,1.0,0.48,1.82
2025-09-07,10:30:00,Nardò,Paganese,1.0,2.0,A,2.5,3.08,2.5,2.0,1.8,4.0,5.0,1.39,0.92
2025-09-07,11:00:00,Heraclea,Aversa Normanna,1.0,0.0,H,,,,,,,,0.0,0.0
2025-09-07,11:30:00,Città di Fasano,Afragolese,2.0,0.0,H,1.35,4.5,5.81,1.8,1.8,6.0,5.0,1.59,1.0
2025-09-07,12:00:00,Virtus Francavilla,Barletta,2.0,2.0,D,2.08,3.15,3.15,2.05,1.75,6.0,7.0,1.72,1.97
2025-09-07,12:00:00,Fidelis Andria,Ferrandina,2.0,0.0,H,5.8,1.14,9.25,,,3.0,1.0,0.71,0.31
2025-09-14,10:00:00,Ferrandina,Real Acerrana,1.0,1.0,D,,,,,,,,0.31,0.48
2025-09-14,10:00:00,Pompei,Francavilla,0.0,0.0,D,2.44,3.15,2.55,2.1,1.7,0.0,3.0,0.62,1.09
2025-09-14,10:00:00,Afragolese,Sarnese,2.0,3.0,A,4.0,3.55,1.72,1.88,1.81,5.0,4.0,1.64,1.19
2025-09-14,11:00:00,Paganese,Heraclea,0.0,1.0,A,1.67,3.55,4.6,2.05,1.75,4.0,1.0,1.71,0.98
2025-09-14,11:00:00,Gravina,Città di Fasano,1.0,2.0,A,,,,,,,,0.0,1.59
2025-09-14,11:00:00,Barletta,Fidelis Andria,1.0,1.0,D,2.55,3.35,2.55,2.05,1.68,2.0,1.0,0.96,0.47
2025-09-14,11:00:00,Aversa Normanna,Puteolana,1.0,1.0,D,,,,,,,,0.0,0.0
2025-09-14,11:00:00,Manfredonia,Virtus Francavilla,2.0,5.0,A,,,,,,,,1.5,1.72
2025-09-14,13:00:00,Martina Franca,Nardò,3.0,0.0,H,1.59,3.72,4.97,2.1,1.7,4.0,4.0,1.66,1.29
2025-09-19,14:00:00,Fidelis Andria,Paganese,1.0,0.0,H,1.85,3.25,4.3,2.35,1.46,1.0,1.0,1.04,0.58
2025-09-20,10:00:00,Pompei,Manfredonia,0.0,0.0,D,2.5,3.18,2.58,2.37,1.53,1.0,3.0,1.17,1.62
2025-09-20,10:30:00,Puteolana,Afragolese,2.0,2.0,D,,,,,,,,0.0,1.32
2025-09-20,11:00:00,Sarnese,Barletta,2.0,1.0,H,,,,,,,,1.19,1.47
2025-09-20,13:00:00,Real Acerrana,Aversa Normanna,1.0,1.0,D,2.12,3.5,3.16,2.5,1.5,4.0,2.0,1.26,0.96
2025-09-20,15:45:00,Heraclea,Città di Fasano,0.0,1.0,A,,,,,,,,0.98,1.59
2025-09-21,10:00:00,Francavilla,Ferrandina,2.0,0.0,H,,,,,,,,1.2,0.31
2025-09-21,10:00:00,Nardò,Gravina,1.0,1.0,D,2.14,3.1,3.1,2.2,1.65,6.0,2.0,1.6,0.53
2025-09-21,12:00:00,Virtus Francavilla,Martina Franca,1.0,1.0,D,2.62,3.05,2.48,2.4,1.51,2.0,7.0,0.65,2.34
2025-09-24,10:00:00,Afragolese,Pompei,1.0,0.0,H,2.63,2.58,2.9,2.5,1.5,6.0,2.0,1.54,0.97
2025-09-24,10:00:00,Città di Fasano,Puteolana,4.0,0.0,H,1.63,3.46,4.63,1.96,1.85,10.0,5.0,2.23,1.45
2025-09-24,10:00:00,Aversa Normanna,Nardò,0.0,1.0,A,2.55,3.3,2.48,1.95,1.75,,,0.96,1.42
2025-09-24,10:30:00,Gravina,Heraclea,1.0,1.0,D,1.97,3.5,3.38,,,,,0.53,0.98
2025-09-24,11:00:00,Ferrandina,Virtus Francavilla,2.0,1.0,H,3.4,3.25,2.1,1.87,1.83,4.0,2.0,0.89,1.24
2025-09-24,11:00:00,Manfredonia,Sarnese,4.0,2.0,H,3.05,3.15,2.3,1.9,1.8,5.0,3.0,1.14,1.31
2025-09-24,12:00:00,Barletta,Francavilla,0.0,0.0,D,1.65,3.35,3.95,1.88,1.82,4.0,3.0,1.67,0.59
