Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,B365>2.5,B365<2.5,HST,AST,HomeXG,AwayXG
2025-09-07,10:00:00,Gelbison,Sambiase,2.0,0.0,H,,,,,,,,0.0,0.0
2025-09-07,10:00:00,Savoia,Gela,0.0,0.0,D,,,,,,,,0.0,0.0
2025-09-07,10:00:00,Vibonese,Paternò,2.0,1.0,H,1.2,5.75,12.0,1.57,2.25,,,0.0,0.0
2025-09-07,10:00:00,Ragusa,Enna,1.0,1.0,D,2.0,3.1,3.4,2.15,1.57,,,0.0,0.0
2025-09-07,10:00:00,Messina,AC Palermo,0.0,0.0,D,,,,,,,,0.0,0.0
2025-09-07,11:00:00,CastrumFavara,Reggina,2.0,1.0,H,7.0,3.95,1.44,1.75,1.96,,,0.0,0.0
2025-09-07,11:00:00,Nissa,Milazzo,1.0,1.0,D,,,,,,,,0.0,0.0
2025-09-07,11:00:00,Igea Virtus,Sancataldese,3.0,2.0,H,1.86,3.2,4.0,2.18,1.61,,,0.0,0.0
2025-09-07,11:00:00,Vigor Lamezia,Acireale,1.0,0.0,H,2.25,3.2,3.1,2.0,1.72,2.0,0.0,0.58,0.42
2025-09-14,10:00:00,Reggina,Nissa,1.0,0.0,H,1.43,4.25,5.7,1.61,2.25,3.0,1.0,1.27,0.86
2025-09-14,10:00:00,Sambiase,CastrumFavara,1.0,1.0,D,1.8,3.32,4.12,2.0,1.8,3.0,2.0,1.09,0.99
2025-09-14,10:00:00,Milazzo,Igea Virtus,2.0,2.0,D,,,,,,,,0.0,0.0
2025-09-14,10:00:00,Paternò,Gelbison,0.0,0.0,D,,,,,,,,0.0,0.0
2025-09-14,10:00:00,Acireale,Savoia,1.0,1.0,D,,,,,,,,0.42,0.0
2025-09-14,10:30:00,Gela,Ragusa,2.0,0.0,H,,,,,,,,0.0,0.0
2025-09-14,11:00:00,Enna,Vibonese,2.0,2.0,D,,,,,,,,0.0,0.0
2025-09-14,11:00:00,AC Palermo,Vigor Lamezia,2.0,1.0,H,2.13,3.2,3.3,2.15,1.63,4.0,2.0,1.4,1.02
2025-09-14,11:00:00,Sancataldese,Messina,1.0,3.0,A,,,,,,,,0.0,0.0
2025-09-20,10:00:00,Vigor Lamezia,Enna,1.0,0.0,H,2.43,3.3,2.75,2.35,1.57,,,0.8,0.0
2025-09-21,10:00:00,Gelbison,Nissa,1.0,2.0,A,1.96,3.42,3.38,2.0,1.8,3.0,3.0,1.5,1.02
2025-09-21,10:00:00,Savoia,Paternò,4.0,1.0,H,1.72,3.28,4.48,2.07,1.72,8.0,3.0,1.98,0.88
2025-09-21,10:00:00,Messina,Gela,0.0,2.0,A,,,,,,,,0.0,0.0
2025-09-21,10:00:00,Vibonese,Reggina,0.0,0.0,D,4.0,3.25,1.84,1.95,1.65,3.0,3.0,0.78,1.26
2025-09-21,10:00:00,Ragusa,Sambiase,1.0,2.0,A,3.2,3.1,2.25,2.3,1.55,,,0.0,1.09
2025-09-21,11:00:00,Igea Virtus,Acireale,3.0,0.0,H,1.95,3.5,3.45,1.8,1.85,,,0.0,0.42
2025-09-21,11:00:00,CastrumFavara,Milazzo,1.0,0.0,H,,,,,,,,0.99,0.0
2025-09-21,11:00:00,Sancataldese,AC Palermo,1.0,1.0,D,,,,,,,,0.0,1.4
2025-09-24,10:00:00,Nissa,CastrumFavara,3.0,2.0,H,,,,,,,,0.94,0.99
2025-09-24,10:00:00,Acireale,Messina,1.0,2.0,A,,,,,,,,0.42,0.0
2025-09-24,10:00:00,Paternò,Ragusa,0.0,0.0,D,,,,,,,,0.88,0.0
2025-09-24,10:00:00,Gela,Vigor Lamezia,3.0,0.0,H,,,,,,,,0.0,0.8
2025-09-24,10:00:00,Enna,Savoia,0.0,3.0,A,,,,,,,,0.0,1.98
2025-09-24,11:00:00,AC Palermo,Igea Virtus,2.0,2.0,D,2.7,2.7,2.7,1.85,1.95,3.0,3.0,0.94,1.07
2025-09-24,11:00:00,Sambiase,Vibonese,3.0,0.0,H,2.3,3.4,2.85,2.15,1.62,3.0,1.0,0.86,0.74
2025-09-24,13:00:00,Milazzo,Sancataldese,1.0,0.0,H,,,,,,,,0.0,0.0
2025-09-24,15:30:00,Reggina,Gelbison,2.0,3.0,A,1.8,3.25,4.0,1.85,1.85,7.0,6.0,2.18,1.48
2025-09-28,10:00:00,Vibonese,CastrumFavara,1.0,0.0,H,1.52,3.66,5.0,1.95,1.85,4.0,1.0,1.38,0.69
2025-09-28,10:00:00,Gelbison,Milazzo,1.0,1.0,D,1.41,3.9,6.75,1.93,1.77,2.0,3.0,1.06,1.19
2025-09-28,10:00:00,Ragusa,Nissa,0.0,0.0,D,2.95,3.0,2.4,1.95,1.75,,,0.0,0.94
2025-09-28,10:00:00,Savoia,Reggina,1.0,1.0,D,,,,,,,,1.98,1.57
2025-09-28,10:00:00,Messina,Paternò,0.0,1.0,A,,,,,,,,0.0,0.88
2025-09-28,10:00:00,Vigor Lamezia,Sambiase,0.0,0.0,D,3.2,3.2,2.2,2.24,1.51,2.0,6.0,1.15,1.54
2025-09-28,11:00:00,Igea Virtus,Enna,2.0,2.0,D,2.13,3.2,3.3,2.15,1.63,,,1.07,0.0
2025-09-28,11:00:00,Sancataldese,Gela,1.0,0.0,H,,,,,,,,0.0,0.0
2025-09-28,11:00:00,AC Palermo,Acireale,2.0,1.0,H,2.06,2.97,3.38,2.25,1.58,12.0,4.0,3.03,1.29
2025-10-05,10:00:00,Nissa,Vibonese,1.0,1.0,D,2.6,3.5,2.45,1.82,1.88,,,0.94,0.97
2025-10-05,10:00:00,Enna,Messina,2.0,2.0,D,,,,,,,,0.0,0.0
2025-10-05,10:00:00,CastrumFavara,Gelbison,0.0,0.0,D,3.3,3.6,2.0,1.88,1.82,,,0.84,1.35
2025-10-05,10:00:00,Sambiase,Savoia,1.0,1.0,D,2.41,2.97,2.57,2.05,1.64,7.0,1.0,1.55,0.44
2025-10-05,10:00:00,Acireale,Sancataldese,1.0,1.0,D,,,,,,,,0.85,0.0
2025-10-05,10:00:00,Paternò,Vigor Lamezia,1.0,0.0,H,,,,,,,,0.88,0.91
2025-10-05,10:00:00,Reggina,Ragusa,2.0,0.0,H,1.37,4.4,8.0,1.9,1.8,4.0,1.0,1.51,0.52
2025-10-05,11:00:00,Milazzo,AC Palermo,2.0,1.0,H,,,,,,,,1.19,1.79
2025-10-05,11:00:00,Gela,Igea Virtus,1.0,2.0,A,2.34,3.25,2.7,2.05,1.66,,,0.0,1.07
2025-10-12,10:00:00,Ragusa,Gelbison,0.0,0.0,D,3.75,3.55,1.88,1.95,1.75,,,0.52,1.35
2025-10-12,10:00:00,Messina,Reggina,1.0,0.0,H,4.46,3.29,1.64,2.2,1.6,1.0,5.0,0.38,1.79
2025-10-12,10:00:00,Savoia,CastrumFavara,1.0,0.0,H,1.55,3.4,6.4,2.05,1.75,5.0,4.0,1.58,1.11
2025-10-12,10:00:00,Vigor Lamezia,Nissa,0.0,1.0,A,2.17,2.95,2.94,2.37,1.53,3.0,4.0,1.01,0.81
2025-10-12,10:00:00,Vibonese,Milazzo,3.0,1.0,H,1.6,3.47,4.43,2.13,1.64,7.0,2.0,1.72,0.94
2025-10-12,10:00:00,Acireale,Gela,2.0,1.0,H,2.19,3.35,2.9,2.05,1.66,,,0.85,0.0
2025-10-12,11:00:00,AC Palermo,Enna,2.0,2.0,D,2.05,3.45,3.35,2.05,1.68,8.0,5.0,1.88,0.88
2025-10-12,11:00:00,Sancataldese,Paternò,3.0,0.0,H,2.15,3.1,3.4,2.37,1.45,,,0.0,0.88
2025-10-12,11:00:00,Igea Virtus,Sambiase,1.0,2.0,A,2.8,3.3,2.4,2.03,1.7,,,1.07,1.26
