Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,B365>2.5,B365<2.5,HST,AST,HomeXG,AwayXG
2021-06-26,15:00:00,Mount Pleasant Academy FC,Tivoli Gardens,0.0,0.0,D,,,,,,,,0.0,0.0
2021-06-26,15:00:00,Arnett Gardens,UWI,0.0,0.0,D,,,,,,,,0.0,0.0
2021-06-26,17:30:00,Cavalier,Humble Lions,2.0,0.0,H,,,,,,,,0.0,0.0
2021-06-28,17:30:00,Waterhouse,Harbour View,1.0,1.0,D,,,,,,,,0.0,0.0
2021-06-27,13:00:00,Portmore United,Dunbeholden,2.0,0.0,H,2.2,3.1,3.0,2.4,1.57,,,0.0,0.0
2021-06-28,15:00:00,Vere United,Molynes United,0.0,0.0,D,,,,,,,,0.0,0.0
2021-07-03,15:00:00,Humble Lions,Mount Pleasant Academy FC,0.0,1.0,A,,,,,,,,0.0,0.0
2021-07-03,17:30:00,Dunbeholden,Waterhouse,0.0,2.0,A,,,,,,,,0.0,0.0
2021-07-03,17:30:00,Molynes United,UWI,0.0,0.0,D,,,,,,,,0.0,0.0
2021-07-06,15:00:00,Tivoli Gardens,Arnett Gardens,1.0,0.0,H,,,,,,,,0.0,0.0
2021-07-05,17:30:00,Harbour View,Cavalier,1.0,1.0,D,,,,,,,,0.0,0.0
2021-07-06,17:30:00,Vere United,Portmore United,1.0,0.0,H,,,,,,,,0.0,0.0
2021-07-10,15:00:00,Portmore United,Molynes United,1.0,0.0,H,,,,,,,,0.0,0.0
2021-07-10,17:30:00,Mount Pleasant Academy FC,Harbour View,0.0,2.0,A,,,,,,,,0.0,0.0
2021-07-11,13:00:00,UWI,Tivoli Gardens,0.0,0.0,D,,,,,,,,0.0,0.0
2021-07-11,15:00:00,Cavalier,Dunbeholden,0.0,1.0,A,,,,,,,,0.0,0.0
2021-07-11,17:30:00,Waterhouse,Vere United,0.0,0.0,D,,,,,,,,0.0,0.0
2021-07-12,17:30:00,Arnett Gardens,Humble Lions,2.0,1.0,H,,,,,,,,0.0,0.0
2021-07-17,15:00:00,Arnett Gardens,Cavalier,0.0,3.0,A,,,,,,,,0.0,0.0
2021-07-17,17:30:00,Harbour View,Dunbeholden,2.0,0.0,H,,,,,,,,0.0,0.0
2021-07-18,15:00:00,Humble Lions,Vere United,1.0,3.0,A,,,,,,,,0.0,0.0
2021-07-18,17:30:00,Molynes United,Mount Pleasant Academy FC,2.0,2.0,D,,,,,,,,0.0,0.0
2021-07-19,17:30:00,Tivoli Gardens,Portmore United,1.0,3.0,A,,,,,,,,0.0,0.0
2021-07-19,17:30:00,UWI,Waterhouse,0.0,0.0,D,,,,,,,,0.0,0.0
2021-07-24,15:00:00,Vere United,Harbour View,3.0,2.0,H,,,,,,,,0.0,0.0
2021-07-24,15:00:00,Cavalier,UWI,0.0,0.0,D,,,,,,,,0.0,0.0
2021-07-24,17:30:00,Dunbeholden,Molynes United,3.0,1.0,H,,,,,,,,0.0,0.0
2021-07-25,15:00:00,Portmore United,Humble Lions,3.0,0.0,H,,,,,,,,0.0,0.0
2021-07-25,17:30:00,Mount Pleasant Academy FC,Arnett Gardens,1.0,0.0,H,,,,,,,,0.0,0.0
2021-07-26,17:30:00,Waterhouse,Tivoli Gardens,1.0,1.0,D,1.69,3.8,3.55,2.0,1.62,,,0.0,0.0
2021-07-31,15:00:00,Humble Lions,Waterhouse,2.0,1.0,H,,,,,,,,0.0,0.0
2021-07-31,17:30:00,Harbour View,Portmore United,1.0,1.0,D,,,,,,,,0.0,0.0
2021-08-01,10:30:00,Dunbeholden,Vere United,2.0,1.0,H,,,,,,,,0.0,0.0
2021-08-01,13:00:00,Tivoli Gardens,Cavalier,1.0,1.0,D,,,,,,,,0.0,0.0
2021-08-02,13:00:00,Molynes United,Arnett Gardens,1.0,1.0,D,,,,,,,,0.0,0.0
2021-08-02,17:30:00,UWI,Mount Pleasant Academy FC,0.0,0.0,D,,,,,,,,0.0,0.0
2021-08-07,15:00:00,Dunbeholden,UWI,0.0,0.0,D,,,,,,,,0.0,0.0
2021-08-07,15:00:00,Harbour View,Tivoli Gardens,1.0,3.0,A,,,,,,,,0.0,0.0
2021-08-07,17:30:00,Humble Lions,Molynes United,0.0,1.0,A,,,,,,,,0.0,0.0
2021-08-08,13:00:00,Portmore United,Mount Pleasant Academy FC,0.0,1.0,A,,,,,,,,0.0,0.0
2021-08-09,15:00:00,Waterhouse,Cavalier,2.0,2.0,D,,,,,,,,0.0,0.0
2021-08-09,17:30:00,Vere United,Arnett Gardens,1.0,0.0,H,,,,,,,,0.0,0.0
2021-08-14,15:00:00,Molynes United,Cavalier,1.0,3.0,A,,,,,,,,0.0,0.0
2021-08-14,17:30:00,Mount Pleasant Academy FC,Waterhouse,0.0,2.0,A,,,,,,,,0.0,0.0
2021-09-03,17:30:00,Mount Pleasant Academy FC,Vere United,0.0,0.0,D,,,,,,,,0.0,0.0
2021-08-15,15:00:00,Humble Lions,Harbour View,2.0,0.0,H,,,,,,,,0.0,0.0
2021-08-15,17:30:00,Arnett Gardens,Portmore United,3.0,1.0,H,,,,,,,,0.0,0.0
2021-08-16,17:30:00,UWI,Vere United,0.0,0.0,D,,,,,,,,0.0,0.0
2021-08-16,17:30:00,Tivoli Gardens,Dunbeholden,1.0,1.0,D,,,,,,,,0.0,0.0
2021-08-23,15:00:00,Portmore United,UWI,0.0,0.0,D,,,,,,,,0.0,0.0
2021-08-27,12:00:00,Harbour View,Molynes United,1.0,0.0,H,,,,,,,,0.0,0.0
2021-08-27,15:00:00,Dunbeholden,Humble Lions,2.0,1.0,H,,,,,,,,0.0,0.0
