Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,B365>2.5,B365<2.5,HST,AST,HomeXG,AwayXG
2025-10-29,10:00:00,Ulinzi Stars,Bidco United,1.0,2.0,A,2.33,2.91,3.13,2.74,1.35,5.0,7.0,1.77,1.5
2025-10-25,08:00:00,Homeboyz,Ulinzi Stars,3.0,1.0,H,1.92,2.55,6.0,2.7,1.36,3.0,1.0,1.31,0.74
2025-10-28,09:00:00,Sofapaka,TransMara Sugar,0.0,0.0,D,,,,2.3,1.55,,,1.63,1.73
2025-11-22,09:00:00,Homeboyz,Posta Rangers,0.0,0.0,D,,,,,,,,1.26,1.17
2025-11-22,10:00:00,Gor Mahia,Tusker,0.0,0.0,D,,,,,,,,1.33,1.58
2025-10-26,00:00:00,KCB,Nairobi United,0.0,0.0,D,,,,,,,,1.06,1.18
2025-10-26,00:00:00,Bandari,Police,0.0,0.0,D,,,,,,,,1.53,1.27
2025-11-04,09:00:00,Nairobi United,Bandari,0.0,0.0,D,,,,,,,,1.76,1.02
2025-10-29,08:00:00,APS Bomet,Homeboyz,1.0,2.0,A,4.1,3.56,1.74,2.29,1.62,1.0,10.0,0.83,2.39
2025-10-15,08:00:00,Shabana,Posta Rangers,1.0,2.0,A,1.95,3.0,4.5,1.77,1.69,2.0,3.0,1.68,1.47
2025-10-15,09:00:00,Murang'a SEAL,Sofapaka,1.0,2.0,A,2.38,3.05,2.68,2.22,1.59,4.0,5.0,1.69,1.58
2025-11-08,08:00:00,Posta Rangers,TransMara Sugar,0.0,0.0,D,,,,2.08,1.65,,,1.33,1.73
2025-10-26,09:00:00,Murang'a SEAL,Tusker,0.0,1.0,A,3.35,2.7,2.32,2.52,1.4,2.0,2.0,1.37,1.37
2025-10-24,08:00:00,TransMara Sugar,Bidco United,0.0,0.0,D,2.2,2.89,3.24,2.59,1.39,0.0,2.0,1.52,1.35
2025-11-15,10:00:00,Mathare United,Homeboyz,2.0,0.0,H,4.44,2.95,1.86,2.62,1.38,6.0,3.0,1.54,1.71
2025-09-21,09:00:00,Murang'a SEAL,Ulinzi Stars,0.0,1.0,A,2.73,2.83,2.63,2.6,1.47,2.0,7.0,1.17,2.55
2025-09-21,10:00:00,Gor Mahia,Bidco United,0.0,1.0,A,1.51,3.47,6.6,2.37,1.53,3.0,5.0,1.55,1.4
2025-09-21,08:00:00,Shabana,APS Bomet,4.0,2.0,H,1.83,3.0,4.25,2.6,1.47,9.0,8.0,1.85,1.8
2025-09-21,12:00:00,Police,TransMara Sugar,0.0,0.0,D,,,,,,,,0.0,0.0
2025-09-20,09:00:00,Kariobangi Sharks,Bandari,0.0,0.0,D,2.1,2.75,3.6,2.85,1.34,4.0,1.0,1.03,0.99
2025-09-21,12:00:00,Homeboyz,Nairobi United,0.0,0.0,D,,,,,,,,0.0,0.0
2025-09-22,10:00:00,Mathare United,Posta Rangers,1.0,2.0,A,2.26,2.8,3.08,2.37,1.53,3.0,3.0,1.28,1.38
2025-11-02,10:00:00,Gor Mahia,Ulinzi Stars,1.0,1.0,D,1.63,3.25,6.5,2.92,1.31,3.0,4.0,1.1,1.21
2025-10-25,10:00:00,Leopards,KCB,2.0,1.0,H,2.4,2.4,3.75,2.46,1.36,3.0,3.0,0.9,1.21
2025-10-29,08:00:00,Shabana,Leopards,0.0,0.0,D,1.6,3.4,5.5,2.33,1.53,,,1.88,1.52
2025-11-22,07:00:00,Sofapaka,Ulinzi Stars,0.0,0.0,D,,,,,,,,1.65,1.51
2025-09-19,12:00:00,Tusker,KCB,0.0,2.0,A,2.06,3.21,3.1,2.15,1.67,6.0,6.0,1.52,1.63
2025-10-26,08:00:00,Shabana,Mathare United,0.0,1.0,A,1.53,3.5,5.5,2.41,1.47,5.0,2.0,2.1,1.19
2025-10-26,10:00:00,Gor Mahia,Posta Rangers,3.0,0.0,H,1.45,3.54,6.1,2.17,1.6,4.0,0.0,1.34,0.64
2025-11-01,10:00:00,Kariobangi Sharks,Shabana,0.0,0.0,D,3.37,2.6,2.22,2.83,1.33,3.0,5.0,1.19,1.47
2025-11-02,08:00:00,Bidco United,APS Bomet,0.0,0.0,D,2.06,2.56,3.81,2.5,1.5,1.0,2.0,1.12,0.81
2025-11-02,09:00:00,Leopards,Mathare United,2.0,0.0,H,1.8,3.15,4.75,2.55,1.44,2.0,0.0,1.38,1.07
2025-09-24,10:00:00,Ulinzi Stars,Kariobangi Sharks,0.0,0.0,D,2.37,2.54,3.52,2.5,1.5,0.0,2.0,1.42,1.0
2025-11-02,08:00:00,Homeboyz,Tusker,1.0,1.0,D,2.07,2.73,3.44,2.75,1.44,5.0,2.0,1.51,0.92
2025-09-27,10:00:00,Sofapaka,Gor Mahia,0.0,2.0,A,3.62,2.73,2.03,2.7,1.36,0.0,6.0,1.15,1.83
2025-11-01,09:00:00,Nairobi United,Sofapaka,0.0,3.0,A,1.9,3.3,3.6,2.53,1.43,5.0,4.0,1.76,1.49
2025-09-27,08:00:00,TransMara Sugar,Homeboyz,0.0,0.0,D,3.25,2.6,2.4,2.7,1.36,1.0,1.0,0.67,0.87
2025-11-09,08:00:00,Ulinzi Stars,Shabana,0.0,1.0,A,2.93,2.57,2.49,2.75,1.4,3.0,3.0,1.42,1.06
2025-09-20,10:00:00,Leopards,Sofapaka,1.0,1.0,D,2.35,2.65,3.3,2.62,1.44,5.0,2.0,1.59,1.29
2025-11-07,10:00:00,Bidco United,Tusker,0.0,1.0,A,2.9,2.66,2.55,3.23,1.27,2.0,5.0,1.26,1.51
2025-09-28,09:00:00,Bandari,Shabana,0.0,1.0,A,4.5,2.47,2.31,3.06,1.3,1.0,4.0,1.37,1.75
