Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,B365>2.5,B365<2.5,HST,AST,HomeXG,AwayXG
2025-08-29,11:30:00,Grobiņa,FS Jelgava,3.0,2.0,H,2.73,3.47,2.24,1.95,1.75,7.0,7.0,2.15,2.26
2025-08-25,11:30:00,Liepāja,Super Nova,0.0,3.0,A,1.66,3.74,3.99,1.65,2.0,4.0,5.0,2.75,0.85
2025-08-30,10:00:00,Tukums,BFC Daugavpils,0.0,1.0,A,3.0,3.25,2.05,1.72,2.07,1.0,8.0,0.7,2.8
2025-10-18,08:00:00,FS Jelgava,BFC Daugavpils,0.0,0.0,D,2.23,3.72,2.48,1.9,1.8,0.0,3.0,0.57,1.42
2025-09-20,08:00:00,Tukums,Metta - LU,3.0,2.0,H,1.95,3.4,3.2,1.67,2.02,3.0,6.0,1.32,1.51
2025-10-18,09:00:00,Grobiņa,Super Nova,0.0,0.0,D,2.23,3.72,2.48,1.79,1.91,3.0,3.0,1.1,1.6
2025-10-19,09:00:00,Metta - LU,Riga,0.0,1.0,A,15.0,9.5,1.1,1.2,3.7,5.0,4.0,1.09,1.26
2025-10-20,12:00:00,Auda,Liepāja,1.0,2.0,A,2.3,3.4,2.73,1.78,2.04,7.0,2.0,2.37,0.69
2025-09-13,10:00:00,Rīgas FS,FS Jelgava,1.0,4.0,A,1.19,6.2,8.9,1.44,2.63,14.0,7.0,3.55,1.28
2025-09-13,12:00:00,Riga,Auda,5.0,0.0,H,1.17,6.25,13.3,1.6,2.25,10.0,1.0,2.91,0.54
2025-10-24,12:00:00,Riga,Tukums,0.0,0.0,D,1.03,14.8,34.0,1.19,4.33,5.0,3.0,2.48,0.89
2025-10-19,07:00:00,Tukums,Rīgas FS,2.0,4.0,A,10.0,6.0,1.18,1.33,3.04,3.0,7.0,0.95,1.8
2025-10-26,11:00:00,Rīgas FS,Grobiņa,4.0,0.0,H,1.18,5.5,9.6,1.38,2.89,12.0,2.0,2.88,0.83
2025-10-26,08:00:00,Metta - LU,Auda,3.0,2.0,H,4.45,3.8,1.63,1.65,2.15,5.0,6.0,1.19,1.99
2025-10-25,10:00:00,Liepāja,FS Jelgava,2.0,2.0,D,1.66,3.74,3.99,1.81,1.89,5.0,8.0,1.44,1.5
2025-08-30,08:00:00,Super Nova,Riga,2.0,6.0,A,12.0,6.7,1.14,1.43,2.5,3.0,11.0,1.01,3.27
2025-09-15,11:30:00,BFC Daugavpils,Grobiņa,3.0,2.0,H,1.86,3.47,3.39,1.79,1.91,6.0,4.0,1.63,1.76
2025-09-14,13:00:00,Liepāja,Tukums,4.0,1.0,H,1.27,5.36,7.3,1.53,2.4,9.0,2.0,2.42,1.18
2025-09-14,10:00:00,Metta - LU,Super Nova,2.0,1.0,H,2.45,3.25,2.6,1.8,1.95,5.0,1.0,2.02,1.37
2025-10-04,10:00:00,Super Nova,FS Jelgava,0.0,1.0,A,3.75,3.25,1.85,2.05,1.7,8.0,5.0,2.0,1.65
2025-10-25,08:00:00,BFC Daugavpils,Super Nova,2.0,2.0,D,1.89,3.57,3.23,1.6,2.2,5.0,7.0,1.56,1.32
2025-11-20,13:00:00,Grobiņa,JDFS Alberts,0.0,0.0,D,1.67,3.9,4.0,1.62,2.25,3.0,1.0,1.12,0.52
