Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,B365>2.5,B365<2.5,HST,AST,HomeXG,AwayXG
2025-08-30,11:00:00,Banga,Žalgiris,0.0,0.0,D,,,,1.87,1.64,2.0,5.0,0.83,2.5
2025-08-30,13:00:00,Sūduva,Hegelmann Litauen,2.0,1.0,H,2.45,3.31,2.45,1.85,1.85,4.0,3.0,1.36,0.98
2025-08-27,13:00:00,Kauno Žalgiris,Hegelmann Litauen,2.0,1.0,H,2.01,3.6,3.25,1.67,2.15,2.0,1.0,1.68,1.31
2025-08-30,11:00:00,Banga,Kauno Žalgiris,0.0,0.0,D,,,,,,,,1.33,1.54
2025-08-31,12:25:00,Žalgiris,Panevėžys,2.0,1.0,H,,,,,,3.0,1.0,1.77,1.23
2025-10-18,09:00:00,Banga,Panevėžys,2.0,2.0,D,2.98,2.88,2.29,1.94,1.76,6.0,8.0,1.33,1.51
2025-10-18,10:00:00,Dainava,Žalgiris,1.0,1.0,D,6.3,4.2,1.38,1.85,1.85,6.0,4.0,1.06,1.32
2025-10-18,12:25:00,Džiugas Telšiai,Sūduva,0.0,0.0,D,2.7,3.0,2.45,2.0,1.65,3.0,4.0,0.89,1.08
2025-10-18,12:00:00,Trakai,Hegelmann Litauen,2.0,0.0,H,5.0,4.31,1.51,1.64,2.08,3.0,7.0,0.73,2.11
2025-09-12,14:00:00,Džiugas Telšiai,Dainava,1.0,1.0,D,1.72,3.25,4.15,2.1,1.7,6.0,2.0,1.75,0.61
2025-10-22,12:30:00,FA Šiauliai,Banga,1.0,3.0,A,1.63,3.65,4.55,1.76,1.86,8.0,5.0,1.94,1.39
2025-10-22,13:00:00,Panevėžys,Trakai,0.0,1.0,A,1.36,4.5,4.5,1.63,2.23,4.0,5.0,1.42,1.37
2025-10-22,13:00:00,Kauno Žalgiris,Žalgiris,1.0,2.0,A,2.2,3.4,2.6,1.65,2.2,10.0,3.0,2.18,1.09
2025-09-12,13:00:00,Sūduva,Panevėžys,1.0,1.0,D,1.86,3.22,3.44,2.18,1.63,4.0,4.0,1.29,1.12
2025-10-23,13:00:00,Sūduva,Dainava,2.0,1.0,H,1.37,4.4,7.5,1.77,2.04,5.0,2.0,1.2,0.49
2025-10-23,12:30:00,Hegelmann Litauen,Džiugas Telšiai,4.0,1.0,H,1.65,3.5,5.91,1.75,1.86,8.0,2.0,1.89,0.78
2025-10-27,14:00:00,Sūduva,Kauno Žalgiris,1.0,0.0,H,3.25,3.25,2.05,1.96,1.85,6.0,2.0,2.1,0.61
2025-08-24,13:00:00,Hegelmann Litauen,Žalgiris,2.0,2.0,D,1.95,3.55,3.5,1.72,1.99,4.0,7.0,1.44,1.81
2025-09-14,10:00:00,Kauno Žalgiris,Trakai,6.0,1.0,H,1.19,6.5,11.0,1.55,2.25,15.0,2.0,2.73,0.58
2025-09-14,12:25:00,FA Šiauliai,Hegelmann Litauen,0.0,1.0,A,2.8,3.44,2.2,1.68,2.0,1.0,3.0,0.74,0.92
2025-10-27,14:00:00,Dainava,Hegelmann Litauen,0.0,2.0,A,5.11,3.5,1.55,1.85,1.83,11.0,11.0,2.03,2.09
2025-10-26,09:00:00,Trakai,Banga,2.0,2.0,D,2.56,3.34,2.5,1.91,1.84,2.0,4.0,0.66,1.41
2025-10-26,11:00:00,Džiugas Telšiai,Panevėžys,1.0,4.0,A,2.63,3.15,2.5,2.1,1.74,6.0,6.0,1.55,1.0
2025-10-26,13:25:00,Žalgiris,FA Šiauliai,1.0,0.0,H,1.55,4.05,4.8,1.53,2.38,4.0,4.0,1.3,1.42
2025-08-17,13:00:00,Džiugas Telšiai,Kauno Žalgiris,1.0,2.0,A,5.0,3.45,1.7,2.13,1.63,2.0,5.0,1.04,1.23
2025-09-19,13:30:00,Dainava,FA Šiauliai,0.0,3.0,A,3.72,3.53,1.83,1.78,1.92,3.0,14.0,1.15,2.67
2025-09-19,13:30:00,Trakai,Žalgiris,0.0,2.0,A,6.4,4.6,1.38,1.57,2.25,2.0,3.0,0.61,0.95
2025-02-28,14:30:00,Dainava,Kauno Žalgiris,1.0,3.0,A,5.3,3.68,1.64,1.98,1.77,6.0,12.0,1.0,2.38
2025-03-01,10:30:00,Banga,Hegelmann Litauen,2.0,0.0,H,3.3,3.2,2.0,1.85,1.8,5.0,2.0,0.96,1.23
2025-03-01,12:30:00,Trakai,Sūduva,3.0,4.0,A,2.45,3.1,2.6,2.1,1.61,8.0,8.0,1.66,1.99
2025-03-02,09:00:00,Panevėžys,FA Šiauliai,1.0,3.0,A,2.14,3.13,3.21,2.15,1.67,4.0,4.0,0.97,1.07
2025-03-02,13:25:00,Žalgiris,Džiugas Telšiai,2.0,1.0,H,1.15,6.4,12.5,1.62,2.25,12.0,6.0,3.57,1.79
2025-03-07,14:30:00,Trakai,Žalgiris,3.0,3.0,D,14.0,7.2,1.16,1.53,2.25,9.0,4.0,2.35,1.66
2025-03-08,10:00:00,FA Šiauliai,Dainava,2.0,2.0,D,1.71,3.61,4.8,1.95,1.7,5.0,5.0,1.63,1.2
2025-03-08,12:00:00,Kauno Žalgiris,Džiugas Telšiai,1.0,2.0,A,1.44,4.3,7.0,1.87,1.87,4.0,3.0,1.14,0.72
