Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,B365>2.5,B365<2.5,HST,AST,HomeXG,AwayXG
2021-03-05,10:00:00,Johor Darul Ta'zim,Kedah,2.0,0.0,H,1.34,4.35,6.0,1.56,2.15,4.0,0.0,1.16,0.1
2021-03-06,10:00:00,Melaka United,Sabah,1.0,1.0,D,1.53,4.2,4.5,1.55,2.32,4.0,2.0,1.28,0.6
2021-03-06,10:00:00,Pulau Pinang,Kuala Lumpur,1.0,0.0,H,2.06,3.3,3.11,1.84,1.86,6.0,3.0,2.03,1.05
2021-03-06,10:00:00,UiTM,Terengganu,1.0,2.0,A,2.51,3.2,2.51,1.84,1.86,5.0,5.0,1.3,1.23
2021-03-06,10:00:00,Selangor,Pahang,3.0,1.0,H,1.75,3.6,3.83,1.64,2.12,9.0,2.0,2.04,0.72
2021-03-07,10:00:00,Perak,MISC,0.0,0.0,D,1.49,3.45,5.75,1.67,1.95,2.0,0.0,0.94,0.41
2021-03-09,10:00:00,Kedah,Sabah,2.0,0.0,H,1.55,3.95,5.0,1.58,2.2,3.0,0.0,0.78,0.47
2021-03-09,10:00:00,Terengganu,Selangor,3.0,1.0,H,2.0,3.6,3.1,2.3,1.57,4.0,2.0,0.82,0.68
2021-03-09,10:00:00,Johor Darul Ta'zim,Pulau Pinang,2.0,0.0,H,1.3,4.75,8.0,1.47,2.5,4.0,2.0,1.23,0.37
2021-03-10,10:00:00,MISC,Melaka United,2.0,2.0,D,3.05,3.25,2.0,1.77,1.83,3.0,3.0,0.95,0.91
2021-03-10,10:00:00,Pahang,Perak,0.0,2.0,A,2.15,3.2,2.85,1.67,1.95,5.0,4.0,1.5,0.94
2021-03-10,10:00:00,Kuala Lumpur,UiTM,1.0,0.0,H,2.1,3.45,2.8,1.67,1.95,7.0,5.0,1.9,1.72
2021-03-12,10:00:00,Pulau Pinang,Kedah,1.0,1.0,D,3.15,3.1,2.05,1.67,1.95,7.0,10.0,1.71,2.09
2021-03-13,09:15:00,Sabah,MISC,0.0,1.0,A,2.75,3.4,2.2,1.9,1.9,2.0,3.0,0.94,0.65
