Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,B365>2.5,B365<2.5,HST,AST,HomeXG,AwayXG
2020-08-14,15:00:00,Dečić,Budućnost,2.0,0.0,H,6.0,3.75,1.5,1.8,2.0,7.0,4.0,1.69,1.23
2020-08-15,12:30:00,FK Jezero Plav,Rudar,1.0,0.0,H,,,,,,,,0.0,0.0
2020-08-15,15:00:00,Mladost Lješkopolje,Mladost,2.0,0.0,H,1.95,2.7,4.33,2.6,1.48,5.0,3.0,1.55,0.75
2020-08-15,15:00:00,Zeta,Iskra,0.0,1.0,A,3.25,2.6,2.38,2.6,1.48,0.0,4.0,0.46,1.42
2020-08-15,15:00:00,Sutjeska,Petrovac,3.0,3.0,D,1.36,4.33,10.0,1.85,1.95,15.0,10.0,3.0,1.68
2020-08-22,12:30:00,FK Jezero Plav,Zeta,1.0,1.0,D,3.25,2.88,2.2,2.4,1.53,4.0,6.0,1.17,1.18
2020-08-23,13:30:00,Rudar,Mladost,3.0,1.0,H,2.65,3.05,2.3,2.1,1.59,7.0,4.0,1.68,1.19
2020-08-23,13:30:00,Petrovac,Mladost Lješkopolje,0.0,1.0,A,3.62,2.92,2.04,2.4,1.53,2.0,5.0,0.94,1.57
2020-08-23,13:30:00,Iskra,Dečić,0.0,0.0,D,1.32,4.2,6.9,1.91,1.69,4.0,4.0,1.13,1.1
2020-08-23,13:30:00,Budućnost,Sutjeska,1.0,0.0,H,1.96,3.25,3.42,1.93,1.87,6.0,0.0,1.69,0.6
2020-08-29,15:00:00,Mladost,Petrovac,2.0,2.0,D,2.55,3.0,2.45,2.0,1.62,4.0,7.0,1.26,1.98
2020-08-29,15:00:00,Mladost Lješkopolje,Budućnost,4.0,0.0,H,4.08,2.93,2.01,2.0,1.73,9.0,2.0,1.6,1.37
2020-08-29,15:00:00,Dečić,FK Jezero Plav,0.0,0.0,D,1.77,3.15,4.18,2.4,1.5,7.0,3.0,2.04,1.2
2020-09-12,13:00:00,Rudar,Petrovac,1.0,0.0,H,2.15,3.05,2.9,2.05,1.59,4.0,10.0,1.39,2.69
2020-09-12,12:15:00,FK Jezero Plav,Sutjeska,0.0,2.0,A,,,,,,7.0,3.0,1.59,1.26
2020-09-12,13:00:00,Iskra,Mladost Lješkopolje,1.0,1.0,D,2.1,3.0,3.3,2.25,1.61,3.0,12.0,0.79,1.98
2020-09-12,15:00:00,Budućnost,Mladost,3.0,1.0,H,1.19,5.45,9.5,1.69,1.91,5.0,3.0,1.5,0.81
2020-09-12,15:00:00,Zeta,Dečić,0.0,2.0,A,1.71,3.2,4.15,2.15,1.56,2.0,7.0,1.15,1.53
2020-09-16,14:00:00,Zeta,Rudar,2.0,1.0,H,2.0,3.1,3.2,2.15,1.67,8.0,6.0,1.91,1.49
2020-09-16,14:00:00,Sutjeska,Iskra,3.0,2.0,H,1.81,3.15,4.02,2.18,1.57,16.0,9.0,2.84,1.74
2020-09-20,13:00:00,Sutjeska,Zeta,0.0,2.0,A,1.16,5.85,10.25,1.87,1.71,0.0,2.0,0.39,0.39
2020-09-20,14:00:00,Mladost Lješkopolje,FK Jezero Plav,1.0,0.0,H,1.44,3.75,7.0,2.15,1.66,3.0,3.0,1.45,1.27
2020-09-20,15:00:00,Dečić,Rudar,4.0,1.0,H,2.4,3.0,2.55,2.15,1.56,9.0,5.0,2.19,1.31
2020-09-20,15:00:00,Mladost,Iskra,1.0,1.0,D,3.55,3.05,1.91,2.05,1.59,3.0,4.0,0.95,1.45
2020-09-26,10:30:00,FK Jezero Plav,Mladost,1.0,0.0,H,2.1,2.8,3.6,2.3,1.6,,,1.38,0.91
2020-09-27,12:00:00,Rudar,Budućnost,1.0,2.0,A,5.3,3.85,1.44,1.69,1.91,3.0,8.0,1.04,1.85
2020-09-27,13:00:00,Dečić,Sutjeska,1.0,1.0,D,2.8,3.6,2.0,2.4,1.44,,,1.98,0.93
2020-09-27,13:00:00,Iskra,Petrovac,1.0,0.0,H,1.59,3.15,5.25,2.25,1.49,3.0,3.0,1.1,0.81
2020-09-27,14:00:00,Zeta,Mladost Lješkopolje,1.0,0.0,H,2.87,2.77,2.49,2.45,1.49,3.0,5.0,1.21,1.13
2020-09-30,10:30:00,Petrovac,FK Jezero Plav,0.0,1.0,A,2.1,2.85,3.25,2.2,1.51,3.0,3.0,1.91,0.99
2020-09-30,11:00:00,Sutjeska,Rudar,2.0,0.0,H,1.29,4.5,7.25,1.71,1.91,7.0,4.0,1.69,0.82
2020-09-30,12:00:00,Mladost,Zeta,1.0,0.0,H,3.3,3.15,2.05,1.65,2.14,,,1.11,0.78
2020-09-30,13:00:00,Mladost Lješkopolje,Dečić,1.0,1.0,D,1.87,3.27,3.7,2.24,1.65,2.0,4.0,1.2,1.08
2020-09-30,14:00:00,Budućnost,Iskra,1.0,0.0,H,,,,1.8,2.0,13.0,0.0,2.62,0.51
2020-10-04,10:00:00,FK Jezero Plav,Budućnost,0.0,2.0,A,5.1,3.65,1.5,1.83,1.77,0.0,6.0,0.61,1.58
2020-10-04,11:00:00,Rudar,Iskra,4.0,0.0,H,2.9,3.0,2.15,2.05,1.59,9.0,3.0,2.16,1.55
2020-10-04,11:00:00,Sutjeska,Mladost Lješkopolje,3.0,0.0,H,1.91,3.25,3.5,2.6,1.47,4.0,2.0,1.18,0.72
2020-10-04,13:00:00,Zeta,Petrovac,1.0,0.0,H,1.87,2.55,4.65,2.35,1.45,9.0,2.0,2.43,0.8
2020-10-04,15:00:00,Dečić,Mladost,3.0,0.0,H,1.44,3.75,7.0,1.85,1.95,9.0,2.0,2.07,0.79
2020-10-17,10:00:00,Petrovac,Dečić,1.0,1.0,D,3.4,3.35,1.83,1.91,1.71,6.0,7.0,1.63,1.34
2020-10-17,10:00:00,Budućnost,Zeta,1.0,0.0,H,1.41,3.9,5.65,1.87,1.74,5.0,3.0,1.18,0.91
