Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,B365>2.5,B365<2.5,HST,AST,HomeXG,AwayXG
2020-08-28,13:45:00,Utrecht II,Eindhoven,1.0,2.0,A,2.35,3.8,2.6,1.43,2.7,4.0,5.0,1.71,1.67
2020-08-28,16:00:00,Cambuur,NEC,2.0,0.0,H,1.51,4.75,4.95,1.43,2.75,3.0,3.0,1.67,1.65
2020-08-29,11:30:00,PSV II,Excelsior,1.0,6.0,A,3.75,4.15,1.77,1.42,2.8,2.0,9.0,0.94,2.05
2020-08-29,13:45:00,Oss,Helmond Sport,1.0,2.0,A,2.0,3.5,3.4,1.74,2.05,4.0,8.0,1.5,2.16
2020-08-29,16:00:00,NAC Breda,AZ II,6.0,1.0,H,1.34,5.25,7.25,1.42,2.8,12.0,7.0,2.46,1.73
2020-08-30,07:15:00,Telstar,Volendam,2.0,2.0,D,3.15,3.8,2.0,1.56,2.35,5.0,5.0,1.25,1.97
2020-08-30,09:30:00,Ajax II,Roda JC,0.0,4.0,A,1.61,4.45,4.45,1.36,3.24,4.0,6.0,1.36,1.71
2020-08-30,11:45:00,Dordrecht,Go Ahead Eagles,0.0,0.0,D,3.3,3.85,1.95,1.47,2.6,0.0,7.0,0.83,2.14
2020-08-30,15:00:00,Almere City,MVV,0.0,0.0,D,1.47,4.5,5.9,1.49,2.55,4.0,6.0,1.79,1.82
2020-08-31,15:00:00,De Graafschap,Den Bosch,4.0,2.0,H,1.25,6.05,8.75,1.38,2.95,7.0,6.0,1.82,1.46
2020-09-05,11:30:00,Eindhoven,Telstar,2.0,3.0,A,2.55,3.7,2.4,1.56,2.4,4.0,4.0,1.3,1.49
2020-09-05,13:45:00,MVV,Cambuur,1.0,7.0,A,5.85,4.55,1.45,1.49,2.55,3.0,14.0,1.26,2.94
2020-09-05,16:00:00,Roda JC,Oss,3.0,0.0,H,1.45,4.35,6.15,1.57,2.35,6.0,4.0,2.02,1.65
2020-09-06,07:15:00,Excelsior,Almere City,4.0,6.0,A,2.05,3.45,3.3,1.41,2.85,10.0,10.0,2.45,2.53
2020-09-06,11:45:00,Den Bosch,Dordrecht,2.0,1.0,H,1.77,4.1,3.8,1.47,2.6,6.0,4.0,2.33,1.22
2020-09-06,15:00:00,Helmond Sport,NAC Breda,0.0,2.0,A,7.25,4.75,1.36,1.45,2.65,5.0,6.0,1.63,1.78
2020-09-11,13:45:00,Volendam,Utrecht II,0.0,1.0,A,1.53,4.65,4.95,1.35,3.1,11.0,6.0,3.23,1.28
2020-09-11,13:45:00,Dordrecht,Excelsior,1.0,3.0,A,4.55,4.5,1.57,1.36,3.05,6.0,9.0,2.03,2.44
2020-09-11,13:45:00,Eindhoven,Helmond Sport,0.0,0.0,D,2.0,3.55,3.4,1.54,2.4,4.0,5.0,1.32,1.7
2020-09-11,16:00:00,NEC,Ajax II,2.0,1.0,H,2.04,3.93,3.08,1.4,2.88,6.0,8.0,1.36,1.69
2020-09-11,16:00:00,Cambuur,Go Ahead Eagles,0.0,2.0,A,1.31,5.6,7.75,1.4,2.85,5.0,3.0,1.85,0.78
2020-09-11,16:00:00,AZ II,PSV II,1.0,4.0,A,1.99,3.92,3.2,1.4,2.88,4.0,9.0,1.46,1.6
2020-09-12,11:30:00,De Graafschap,Roda JC,4.0,0.0,H,1.71,4.05,4.1,1.44,2.7,8.0,4.0,1.36,1.33
2020-09-13,15:00:00,Telstar,MVV,1.0,2.0,A,1.71,3.95,4.2,1.51,2.45,8.0,5.0,2.88,1.15
2020-09-14,13:45:00,Ajax II,PSV II,1.0,2.0,A,1.38,4.8,7.25,1.28,3.58,5.0,4.0,2.31,1.06
2020-09-14,15:00:00,NAC Breda,Den Bosch,2.0,1.0,H,1.31,5.45,7.75,1.43,2.75,6.0,4.0,2.35,1.21
2020-09-14,16:00:00,Utrecht II,AZ II,1.0,2.0,A,2.28,3.65,2.75,1.41,2.84,2.0,4.0,1.25,1.69
2020-09-15,13:45:00,Almere City,Oss,3.0,0.0,H,1.36,5.1,7.0,1.44,2.7,6.0,3.0,1.87,1.09
2020-09-15,16:00:00,Volendam,NEC,1.0,3.0,A,2.05,3.9,2.95,1.43,2.7,12.0,6.0,3.01,1.33
2020-09-18,13:45:00,PSV II,Eindhoven,1.0,2.0,A,2.6,3.8,2.35,1.49,2.55,3.0,10.0,1.3,2.4
2020-09-18,13:45:00,Helmond Sport,Volendam,0.0,1.0,A,3.65,4.2,1.77,1.38,2.95,4.0,6.0,1.77,2.22
2020-09-18,16:00:00,Roda JC,Dordrecht,4.0,0.0,H,1.33,5.2,7.75,1.43,2.7,8.0,5.0,2.11,1.86
