Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,B365>2.5,B365<2.5,HST,AST,HomeXG,AwayXG
2020-09-06,07:15:00,PEC Zwolle W,ADO Den Haag W,1.0,0.0,H,2.8,3.9,1.91,1.4,2.88,7.0,5.0,1.8,1.3
2020-09-06,07:15:00,Ajax W,Twente W,3.0,1.0,H,2.3,3.55,2.4,1.7,2.1,6.0,4.0,1.67,1.25
2020-09-06,09:30:00,Excelsior Barendrecht W,Heerenveen W,0.0,2.0,A,12.0,8.0,1.1,1.22,4.2,2.0,5.0,0.79,1.91
2020-09-11,14:30:00,Alkmaar W,Ajax W,0.0,4.0,A,7.5,5.65,1.21,1.27,3.1,2.0,7.0,0.93,2.11
2020-09-11,14:30:00,Twente W,PEC Zwolle W,2.0,2.0,D,1.29,5.15,6.3,1.32,2.85,9.0,6.0,1.9,1.15
2020-09-11,14:30:00,ADO Den Haag W,Excelsior Barendrecht W,1.0,0.0,H,1.17,6.3,8.5,1.28,3.6,10.0,4.0,2.61,0.86
2020-09-13,07:15:00,Heerenveen W,PSV W,1.0,2.0,A,8.75,6.25,1.16,1.31,2.85,2.0,5.0,1.52,1.48
2020-09-29,14:30:00,PSV W,Alkmaar W,5.0,1.0,H,1.03,17.0,21.0,1.11,6.5,11.0,7.0,2.32,1.63
2020-10-02,14:30:00,Excelsior Barendrecht W,Twente W,0.0,3.0,A,18.25,12.5,1.01,1.07,5.5,2.0,6.0,0.84,1.54
2020-10-02,14:30:00,PEC Zwolle W,Alkmaar W,0.0,0.0,D,1.41,4.4,5.05,1.32,2.8,,,1.8,1.63
2020-10-02,14:30:00,ADO Den Haag W,Heerenveen W,3.0,1.0,H,2.5,3.7,2.15,1.47,2.35,7.0,10.0,1.65,2.2
2020-10-04,07:15:00,Ajax W,PSV W,2.0,0.0,H,2.5,4.0,2.2,1.67,2.15,5.0,3.0,1.26,1.0
2020-10-09,14:30:00,Alkmaar W,Excelsior Barendrecht W,1.0,1.0,D,1.53,4.5,3.9,1.34,2.75,5.0,6.0,1.88,1.64
2020-10-09,14:30:00,PSV W,PEC Zwolle W,5.0,2.0,H,1.16,6.2,8.75,1.25,3.25,13.0,8.0,2.37,1.67
2020-10-09,14:30:00,Heerenveen W,Ajax W,1.0,2.0,A,6.9,5.6,1.23,1.29,2.95,7.0,8.0,1.21,1.78
2020-10-11,07:15:00,Twente W,ADO Den Haag W,0.0,2.0,A,1.44,4.5,5.0,1.36,3.1,4.0,5.0,1.72,1.55
2020-10-30,15:30:00,Twente W,Heerenveen W,3.0,0.0,H,1.83,3.75,3.15,1.37,2.65,,,1.81,2.05
2020-10-30,15:30:00,ADO Den Haag W,Alkmaar W,2.0,2.0,D,1.32,4.8,5.75,1.28,3.0,10.0,4.0,2.51,1.0
2020-10-30,15:30:00,PEC Zwolle W,Ajax W,1.0,4.0,A,5.75,4.95,1.31,1.34,2.75,9.0,12.0,1.66,2.28
2020-11-01,08:15:00,Excelsior Barendrecht W,PSV W,0.0,6.0,A,26.0,17.0,1.03,1.12,6.25,5.0,15.0,1.14,3.52
2020-11-06,15:30:00,PEC Zwolle W,Heerenveen W,1.0,1.0,D,2.3,3.6,2.4,1.39,2.6,11.0,4.0,3.12,1.25
2020-11-06,15:30:00,Alkmaar W,Twente W,0.0,4.0,A,6.75,5.25,1.25,1.24,3.35,6.0,10.0,1.25,2.18
2020-11-06,15:30:00,Ajax W,Excelsior Barendrecht W,1.0,0.0,H,1.01,15.0,20.0,1.04,6.5,11.0,3.0,2.56,0.48
2020-11-08,08:15:00,PSV W,ADO Den Haag W,1.0,0.0,H,1.25,5.5,7.25,1.24,3.35,10.0,4.0,2.77,1.29
2020-11-13,15:30:00,Excelsior Barendrecht W,PEC Zwolle W,2.0,1.0,H,5.5,4.85,1.34,1.24,3.35,3.0,8.0,0.62,2.33
2020-11-13,15:30:00,ADO Den Haag W,Ajax W,0.0,3.0,A,5.5,4.35,1.4,1.5,2.3,3.0,8.0,0.61,2.53
2020-11-13,15:30:00,Heerenveen W,Alkmaar W,3.0,2.0,H,1.41,4.65,4.75,1.32,2.8,11.0,7.0,2.26,1.58
2020-11-15,10:30:00,Twente W,PSV W,3.0,2.0,H,3.05,3.3,2.0,1.39,2.6,8.0,8.0,1.17,1.19
2020-11-20,15:30:00,ADO Den Haag W,PEC Zwolle W,3.0,0.0,H,2.2,3.6,2.55,1.34,2.75,3.0,6.0,1.85,1.72
2020-11-20,15:30:00,Heerenveen W,Excelsior Barendrecht W,3.0,0.0,H,1.32,5.0,5.75,1.28,3.0,8.0,2.0,1.66,0.99
2020-11-20,15:30:00,Alkmaar W,PSV W,1.0,2.0,A,13.0,8.5,1.07,1.19,3.75,0.0,4.0,1.35,1.8
2020-11-22,08:15:00,Twente W,Ajax W,2.0,1.0,H,3.1,3.7,1.87,1.36,2.65,7.0,10.0,1.41,1.9
2020-12-11,15:30:00,Excelsior Barendrecht W,ADO Den Haag W,2.0,2.0,D,7.5,5.75,1.21,1.26,3.1,9.0,9.0,1.88,2.37
2020-12-11,15:30:00,PEC Zwolle W,Twente W,1.0,4.0,A,5.5,5.5,1.3,1.31,2.9,6.0,8.0,1.4,1.73
2020-12-20,08:15:00,Ajax W,Alkmaar W,1.0,0.0,H,1.04,13.0,11.0,1.22,3.4,2.0,0.0,1.83,1.4
2020-12-20,10:30:00,PSV W,Heerenveen W,2.0,0.0,H,1.3,5.25,6.0,1.3,2.9,10.0,4.0,2.24,1.11
2021-03-02,15:30:00,Alkmaar W,PEC Zwolle W,0.0,3.0,A,4.2,4.05,1.54,1.44,2.7,5.0,14.0,1.37,2.65
2021-03-05,15:30:00,Excelsior Barendrecht W,Alkmaar W,0.0,3.0,A,2.15,3.8,2.5,1.44,2.7,5.0,7.0,1.35,1.86
2021-03-05,15:30:00,Ajax W,Heerenveen W,1.0,1.0,D,1.17,6.5,8.5,1.36,3.1,7.0,5.0,2.34,1.48
2021-03-05,15:30:00,ADO Den Haag W,Twente W,0.0,0.0,D,3.25,4.15,1.71,1.48,2.6,6.0,6.0,2.01,1.51
2021-03-07,08:15:00,PEC Zwolle W,PSV W,0.0,1.0,A,9.75,6.75,1.14,1.27,3.15,7.0,5.0,1.64,1.24
2021-03-09,15:30:00,Twente W,Excelsior Barendrecht W,7.0,0.0,H,1.02,12.0,38.0,1.17,5.0,18.0,2.0,3.5,0.52
2021-03-09,15:30:00,Heerenveen W,ADO Den Haag W,3.0,3.0,D,2.35,3.75,2.38,1.45,2.68,8.0,13.0,1.45,2.3
2021-03-12,15:30:00,PSV W,Excelsior Barendrecht W,3.0,0.0,H,1.02,14.0,23.0,1.1,7.0,10.0,0.0,2.46,0.12
2021-03-12,15:30:00,Alkmaar W,ADO Den Haag W,1.0,4.0,A,4.8,4.45,1.43,1.44,2.7,5.0,10.0,1.06,2.55
2021-03-12,15:30:00,Heerenveen W,Twente W,2.0,6.0,A,7.25,5.5,1.22,1.46,2.52,4.0,12.0,1.03,2.48
2021-03-14,08:15:00,Ajax W,PEC Zwolle W,0.0,1.0,A,1.13,9.0,11.0,1.36,3.1,6.0,4.0,1.92,1.35
2021-03-17,16:00:00,PSV W,Ajax W,2.0,1.0,H,2.0,3.35,3.0,1.85,1.95,8.0,3.0,1.91,1.07
2021-03-21,08:15:00,Excelsior Barendrecht W,Ajax W,1.0,4.0,A,25.0,14.0,1.01,1.3,3.5,3.0,14.0,0.67,3.24
2021-03-21,08:15:00,Twente W,Alkmaar W,9.0,0.0,H,1.02,10.25,17.0,1.2,3.8,21.0,4.0,3.54,1.06
2021-03-21,08:15:00,ADO Den Haag W,PSV W,1.0,1.0,D,6.75,4.45,1.3,1.45,2.35,7.0,8.0,1.5,1.93
2021-03-21,08:15:00,Heerenveen W,PEC Zwolle W,0.0,1.0,A,2.0,3.8,2.7,1.37,2.6,2.0,5.0,0.96,1.5
2021-03-28,07:15:00,PEC Zwolle W,Excelsior Barendrecht W,2.0,2.0,D,1.1,7.5,11.0,1.29,3.0,7.0,5.0,1.96,1.27
2021-03-28,07:15:00,Ajax W,ADO Den Haag W,1.0,0.0,H,1.33,4.5,6.0,1.47,2.3,12.0,5.0,2.4,1.39
2021-03-28,07:15:00,Alkmaar W,Heerenveen W,4.0,3.0,H,4.4,4.4,1.47,1.41,2.5,11.0,7.0,2.8,1.41
2021-03-30,14:30:00,PSV W,Twente W,1.0,2.0,A,2.2,3.7,2.5,1.42,2.45,7.0,8.0,1.55,1.83
2021-04-23,14:30:00,ADO Den Haag W,Twente W,1.0,1.0,D,3.8,3.65,1.67,1.57,2.1,5.0,4.0,1.35,1.32
2021-04-23,14:30:00,PEC Zwolle W,Heerenveen W,1.0,1.0,D,1.67,4.15,3.4,1.39,2.55,11.0,3.0,2.46,0.66
2021-04-25,07:15:00,PSV W,Ajax W,3.0,1.0,H,1.95,3.6,2.95,1.47,2.35,6.0,6.0,1.36,1.54
2021-04-30,14:30:00,Ajax W,ADO Den Haag W,2.0,0.0,H,1.65,4.2,3.75,1.73,2.08,8.0,0.0,2.43,0.66
2021-04-30,14:30:00,Alkmaar W,PEC Zwolle W,3.0,3.0,D,5.0,4.33,1.5,1.36,3.1,9.0,8.0,1.61,2.45
2021-05-02,07:15:00,Twente W,PSV W,2.0,1.0,H,2.7,3.75,2.05,1.59,2.05,9.0,10.0,1.95,1.64
