Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,B365>2.5,B365<2.5,HST,AST,HomeXG,AwayXG
2021-05-20,13:00:00,Ullensaker - Kisa IL,Åsane,0.0,1.0,A,2.3,3.85,2.7,1.43,2.75,4.0,2.0,1.18,1.05
2021-05-15,10:30:00,Aalesund,Bryne,2.0,1.0,H,1.44,4.25,6.75,1.49,2.55,8.0,6.0,2.05,1.78
2021-05-15,13:00:00,HamKam,Stjørdals-Blink,3.0,0.0,H,1.59,4.65,4.4,1.47,2.6,8.0,6.0,1.61,1.44
2021-05-15,13:00:00,Jerv,KFUM,1.0,1.0,D,2.25,3.6,2.9,1.67,2.15,4.0,2.0,1.53,0.73
2021-05-15,13:00:00,Ranheim,Grorud,1.0,0.0,H,1.35,5.5,7.0,1.37,3.0,5.0,0.0,1.66,0.68
2021-05-15,13:00:00,Åsane,Fredrikstad,2.0,3.0,A,2.5,3.8,2.45,1.43,2.8,6.0,7.0,1.34,1.79
2021-05-15,13:00:00,Sogndal,Ullensaker - Kisa IL,1.0,1.0,D,1.38,4.9,6.75,1.53,2.45,2.0,3.0,0.81,1.32
2021-05-15,13:00:00,Strømmen,Raufoss,1.0,1.0,D,2.65,3.8,2.35,1.45,2.65,3.0,8.0,0.76,1.59
2021-05-15,15:00:00,Sandnes Ulf,Start,1.0,2.0,A,2.85,3.5,2.3,1.65,2.2,7.0,9.0,2.61,2.16
2021-05-19,13:00:00,Stjørdals-Blink,Sogndal,2.0,1.0,H,4.35,3.9,1.71,1.77,2.0,5.0,2.0,1.22,1.37
2021-05-19,13:00:00,Bryne,Ranheim,5.0,2.0,H,2.85,3.6,2.3,1.62,2.25,7.0,7.0,1.3,2.17
2021-05-19,13:00:00,KFUM,HamKam,0.0,2.0,A,2.6,3.5,2.55,1.77,2.05,4.0,4.0,1.78,1.18
2021-05-19,13:00:00,Raufoss,Aalesund,4.0,2.0,H,2.5,3.75,2.5,1.57,2.35,9.0,5.0,1.64,1.47
2021-05-19,13:00:00,Start,Jerv,2.0,4.0,A,1.57,4.1,5.25,1.57,2.3,5.0,10.0,1.93,2.56
2021-05-20,13:00:00,Fredrikstad,Sandnes Ulf,2.0,1.0,H,1.59,4.35,4.65,1.45,2.65,5.0,7.0,1.42,1.6
2021-05-20,13:00:00,Grorud,Strømmen,1.0,0.0,H,2.3,3.5,2.85,1.57,2.35,4.0,2.0,1.18,1.14
2021-05-23,13:00:00,Aalesund,KFUM,1.0,0.0,H,1.87,3.65,3.9,1.67,2.15,8.0,3.0,2.46,1.18
2021-05-25,13:00:00,HamKam,Grorud,2.0,2.0,D,1.49,4.4,5.75,1.61,2.3,4.0,5.0,1.81,1.14
2021-05-25,13:00:00,Strømmen,Bryne,0.0,2.0,A,2.8,3.4,2.4,1.65,2.2,5.0,6.0,1.32,1.72
2021-05-25,13:00:00,Åsane,Raufoss,2.0,1.0,H,2.55,3.65,2.45,1.5,2.55,4.0,5.0,1.41,1.33
2021-05-25,13:00:00,Jerv,Stjørdals-Blink,2.0,1.0,H,1.67,4.25,4.25,1.54,2.45,5.0,6.0,1.45,1.5
2021-05-26,14:00:00,Sogndal,Fredrikstad,1.0,2.0,A,1.95,3.85,3.4,1.61,2.25,4.0,7.0,1.53,2.3
2021-05-26,14:00:00,Sandnes Ulf,Ullensaker - Kisa IL,2.0,1.0,H,1.95,3.8,3.45,1.65,2.2,6.0,4.0,1.7,1.0
2021-05-29,10:30:00,Stjørdals-Blink,Åsane,0.0,1.0,A,2.5,3.55,2.55,1.53,2.45,5.0,3.0,1.22,1.37
2021-05-29,10:30:00,Raufoss,Grorud,2.0,4.0,A,1.69,4.05,4.3,1.61,2.3,9.0,7.0,2.62,1.28
2021-05-29,10:30:00,Sogndal,Sandnes Ulf,2.0,2.0,D,1.77,3.95,3.95,1.62,2.25,6.0,5.0,2.52,1.7
2021-05-29,10:30:00,Bryne,HamKam,1.0,1.0,D,2.35,3.6,2.75,1.71,2.1,4.0,5.0,1.7,1.48
