Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,B365>2.5,B365<2.5,HST,AST,HomeXG,AwayXG
2021-05-22,09:00:00,Sandviken Women,Kolbotn,1.0,0.0,H,1.14,6.75,10.0,1.28,3.05,8.0,3.0,2.32,0.75
2021-05-22,08:00:00,Klepp,Arna-Bjørnar Women,4.0,1.0,H,2.57,3.56,2.43,1.63,2.14,6.0,6.0,1.35,1.77
2021-05-22,10:00:00,Trondheims-Ørn,Stabæk Women,2.0,0.0,H,1.3,5.4,7.25,1.4,2.88,9.0,3.0,2.01,1.11
2021-05-22,12:00:00,Vålerenga Women,Avaldsnes,5.0,3.0,H,1.33,5.0,6.0,1.44,2.51,10.0,7.0,2.67,1.8
2021-05-29,10:00:00,Sandviken Women,Avaldsnes,3.0,0.0,H,1.21,6.0,8.0,1.38,2.6,7.0,0.0,2.3,0.37
2021-05-29,10:00:00,Vålerenga Women,Lyn W,4.0,0.0,H,1.25,5.75,7.25,1.3,2.95,7.0,4.0,1.57,1.09
2021-05-29,11:00:00,Trondheims-Ørn,Kolbotn,3.0,0.0,H,1.11,9.0,13.0,1.3,3.5,10.0,3.0,2.26,0.95
2021-05-29,11:00:00,Lillestrøm W,Arna-Bjørnar Women,5.0,2.0,H,1.25,4.8,9.0,1.35,2.84,,,0.0,1.77
2021-05-30,10:00:00,Klepp,Stabæk Women,1.0,0.0,H,2.2,3.5,2.65,1.5,2.25,6.0,4.0,1.21,1.27
2021-06-02,14:00:00,Lillestrøm W,Lyn W,3.0,2.0,H,1.36,4.55,6.0,1.5,2.25,,,0.0,1.09
2021-06-05,10:00:00,Lyn W,Klepp,2.0,0.0,H,2.4,3.45,2.45,1.71,1.91,9.0,4.0,2.11,1.2
2021-06-05,10:00:00,Kolbotn,Vålerenga Women,1.0,2.0,A,8.75,6.75,1.17,1.36,2.65,3.0,5.0,0.98,1.24
2021-06-05,10:00:00,Arna-Bjørnar Women,Trondheims-Ørn,0.0,2.0,A,13.0,6.5,1.18,1.44,2.7,5.0,8.0,1.14,1.83
2021-06-05,10:00:00,Avaldsnes,Lillestrøm W,2.0,3.0,A,3.5,3.75,1.77,1.69,1.95,4.0,5.0,1.44,1.62
2021-06-05,11:00:00,Stabæk Women,Sandviken Women,1.0,2.0,A,11.0,6.0,1.22,1.28,3.21,4.0,7.0,0.93,1.57
2021-06-19,10:00:00,Kolbotn,Stabæk Women,1.0,2.0,A,2.25,3.45,2.65,1.71,1.91,9.0,7.0,2.08,1.86
2021-06-22,10:00:00,Klepp,Lillestrøm W,1.0,5.0,A,6.75,4.5,1.32,1.57,2.1,6.0,9.0,1.37,1.96
2021-06-22,13:00:00,Trondheims-Ørn,Avaldsnes,1.0,0.0,H,1.22,6.0,11.0,,,4.0,0.0,1.57,0.57
2021-06-22,14:00:00,Sandviken Women,Lyn W,5.0,0.0,H,1.13,7.0,10.75,1.32,2.85,9.0,0.0,1.49,0.11
2021-06-22,14:00:00,Vålerenga Women,Arna-Bjørnar Women,2.0,0.0,H,1.15,6.75,9.75,1.28,3.05,6.0,2.0,1.68,0.66
2021-06-25,15:00:00,Arna-Bjørnar Women,Sandviken Women,1.0,1.0,D,8.75,5.8,1.25,1.29,3.15,2.0,7.0,0.81,2.13
2021-06-26,10:00:00,Vålerenga Women,Klepp,7.0,0.0,H,1.11,7.5,11.0,1.28,3.05,10.0,3.0,2.64,0.7
2021-06-26,10:00:00,Avaldsnes,Kolbotn,3.0,1.0,H,1.37,4.75,5.5,1.39,2.55,7.0,3.0,2.12,1.3
2021-06-26,10:00:00,Lillestrøm W,Trondheims-Ørn,0.0,3.0,A,2.75,3.75,2.25,1.55,2.3,3.0,6.0,1.13,1.26
2021-06-26,10:00:00,Lyn W,Stabæk Women,2.0,2.0,D,2.65,3.75,2.3,,,6.0,4.0,1.38,1.21
2021-06-30,12:00:00,Kolbotn,Arna-Bjørnar Women,1.0,0.0,H,2.25,3.3,2.65,1.6,2.2,9.0,5.0,1.47,1.44
2021-06-30,13:00:00,Sandviken Women,Lillestrøm W,4.0,1.0,H,1.8,3.9,3.3,1.57,2.1,6.0,3.0,2.09,0.94
2021-06-30,14:00:00,Avaldsnes,Lyn W,0.0,1.0,A,1.47,5.0,4.85,,,,,1.78,0.6
2021-06-30,14:00:00,Stabæk Women,Vålerenga Women,0.0,5.0,A,6.5,5.25,1.31,1.33,2.75,3.0,11.0,0.68,2.74
2021-06-30,14:00:00,Trondheims-Ørn,Klepp,2.0,1.0,H,1.02,9.5,51.0,,,8.0,2.0,2.28,0.65
2021-07-03,10:00:00,Lyn W,Kolbotn,0.0,1.0,A,2.0,3.5,3.0,1.5,2.25,4.0,4.0,1.48,0.86
2021-07-03,10:00:00,Lillestrøm W,Stabæk Women,4.0,0.0,H,1.26,5.5,7.5,1.45,2.35,14.0,5.0,2.85,1.16
2021-07-03,10:00:00,Arna-Bjørnar Women,Avaldsnes,3.0,0.0,H,2.6,3.45,2.25,1.51,2.2,11.0,0.0,2.94,1.18
2021-07-04,10:00:00,Klepp,Sandviken Women,1.0,3.0,A,11.0,7.25,1.12,1.32,2.85,3.0,12.0,0.69,2.91
2021-07-04,15:00:00,Vålerenga Women,Trondheims-Ørn,1.0,2.0,A,2.2,3.6,2.6,1.55,2.3,4.0,6.0,1.67,1.76
2021-07-10,08:00:00,Stabæk Women,Arna-Bjørnar Women,0.0,3.0,A,2.5,3.5,2.4,1.77,1.89,3.0,10.0,1.3,1.62
2021-07-10,10:00:00,Avaldsnes,Klepp,3.0,0.0,H,1.61,4.0,4.1,1.47,2.3,11.0,6.0,2.43,1.41
2021-07-10,10:00:00,Kolbotn,Lillestrøm W,1.0,2.0,A,6.5,4.9,1.32,1.36,2.65,3.0,5.0,0.76,1.41
2021-07-10,10:00:00,Sandviken Women,Vålerenga Women,3.0,0.0,H,2.15,3.3,2.85,1.71,1.87,5.0,5.0,1.09,1.09
2021-07-10,11:00:00,Lyn W,Trondheims-Ørn,1.0,2.0,A,9.5,5.75,1.22,1.53,2.43,3.0,3.0,1.05,0.98
2021-07-15,13:00:00,Avaldsnes,Stabæk Women,1.0,1.0,D,1.61,3.95,4.05,1.39,2.55,,,2.0,1.32
2021-07-14,14:45:00,Lillestrøm W,Vålerenga Women,1.0,1.0,D,2.8,3.8,2.0,1.45,2.35,5.0,4.0,1.58,1.7
2021-07-17,10:00:00,Trondheims-Ørn,Sandviken Women,0.0,2.0,A,,,,,,,,2.03,2.21
2021-07-17,10:00:00,Arna-Bjørnar Women,Lyn W,3.0,1.0,H,1.8,3.7,3.4,1.77,1.89,,,1.63,0.6
2021-07-17,10:00:00,Kolbotn,Klepp,3.0,0.0,H,1.69,3.75,3.85,1.5,2.25,8.0,2.0,1.8,0.68
2021-08-07,10:00:00,Arna-Bjørnar Women,Lillestrøm W,3.0,4.0,A,5.6,4.26,1.53,1.55,2.23,4.0,8.0,1.02,2.0
2021-08-07,10:00:00,Lyn W,Sandviken Women,1.0,2.0,A,11.69,6.55,1.21,1.33,2.93,6.0,6.0,1.25,1.3
2021-08-07,10:00:00,Stabæk Women,Trondheims-Ørn,2.0,5.0,A,11.0,6.5,1.18,1.45,2.68,4.0,8.0,1.06,1.87
2021-08-07,10:00:00,Vålerenga Women,Kolbotn,3.0,0.0,H,1.25,6.1,8.9,1.27,3.27,10.0,14.0,2.24,2.6
2021-08-07,11:00:00,Klepp,Avaldsnes,0.0,4.0,A,4.74,4.24,1.59,1.5,2.35,2.0,10.0,0.8,2.33
2021-08-14,08:00:00,Lyn W,Arna-Bjørnar Women,1.0,1.0,D,2.85,3.4,2.3,1.57,2.26,10.0,4.0,2.57,1.02
2021-08-14,10:00:00,Avaldsnes,Vålerenga Women,1.0,1.0,D,5.5,4.2,1.42,1.48,2.6,6.0,5.0,1.63,1.54
2021-08-14,10:00:00,Lillestrøm W,Klepp,2.0,0.0,H,1.05,13.0,26.0,1.2,3.8,10.0,3.0,3.22,0.67
2021-08-14,11:00:00,Sandviken Women,Trondheims-Ørn,2.0,0.0,H,,,,,,,,1.86,1.54
2021-08-15,09:00:00,Stabæk Women,Kolbotn,0.0,1.0,A,2.55,3.5,2.15,1.51,2.2,5.0,4.0,1.74,1.15
2021-08-29,10:00:00,Kolbotn,Avaldsnes,2.0,2.0,D,3.0,3.4,1.95,1.49,2.25,12.0,12.0,2.06,2.99
2021-09-04,10:00:00,Trondheims-Ørn,Vålerenga Women,2.0,1.0,H,,,,,,,,2.03,1.66
2021-08-28,09:00:00,Klepp,Lyn W,1.0,1.0,D,3.65,3.45,1.74,1.62,2.0,2.0,3.0,0.68,1.19
2021-08-28,10:00:00,Vålerenga Women,Sandviken Women,0.0,1.0,A,2.6,3.35,2.2,1.56,2.1,6.0,6.0,1.51,1.39
2021-10-17,09:00:00,Avaldsnes,Sandviken Women,0.0,1.0,A,7.23,5.17,1.32,1.43,2.54,2.0,9.0,0.68,2.44
2021-08-29,10:00:00,Arna-Bjørnar Women,Stabæk Women,1.0,0.0,H,1.62,3.65,4.0,1.45,2.35,4.0,8.0,0.83,2.16
2021-09-04,10:00:00,Lillestrøm W,Kolbotn,5.0,2.0,H,1.21,5.75,9.5,1.4,2.5,10.0,4.0,2.04,1.01
2021-09-04,10:00:00,Lyn W,Avaldsnes,3.0,1.0,H,2.5,3.35,2.25,1.48,2.3,10.0,8.0,2.23,1.85
2021-09-04,13:00:00,Sandviken Women,Arna-Bjørnar Women,4.0,0.0,H,1.15,7.0,12.0,1.36,2.65,7.0,4.0,1.79,0.74
2021-09-25,10:00:00,Kolbotn,Sandviken Women,1.0,3.0,A,8.45,5.3,1.23,1.38,2.72,6.0,5.0,1.09,1.75
2021-09-25,09:00:00,Arna-Bjørnar Women,Klepp,3.0,1.0,H,1.41,4.35,5.53,1.46,2.45,8.0,7.0,1.9,1.61
2021-09-25,10:00:00,Stabæk Women,Lyn W,2.0,1.0,H,2.3,3.4,2.56,1.55,2.23,8.0,3.0,2.37,1.1
2021-09-25,10:00:00,Avaldsnes,Trondheims-Ørn,0.0,1.0,A,5.5,4.2,1.44,1.52,2.3,,,1.91,1.54
2021-09-26,11:00:00,Vålerenga Women,Lillestrøm W,2.0,1.0,H,1.95,3.76,3.3,1.53,2.35,4.0,7.0,1.59,1.6
