Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,B365>2.5,B365<2.5,HST,AST,HomeXG,AwayXG
2021-01-07,11:00:00,Nizwa,Saham,1.0,2.0,A,,,,,,,,0.0,0.0
2020-12-18,09:40:00,Al-Rustaq,Bahla,2.0,0.0,H,,,,,,,,0.0,0.0
2020-12-17,11:00:00,Nizwa,Al-Nahda,2.0,1.0,H,,,,,,,,0.0,0.0
2020-12-17,11:00:00,Al Musannah,Al Seeb,0.0,4.0,A,13.0,5.0,1.25,1.73,2.08,0.0,6.0,0.71,1.45
2020-12-17,11:00:00,Saham,Al Nasr,1.0,2.0,A,,,,,,,,0.0,0.0
2020-12-17,13:15:00,Al Ittihad,Dhofar,1.0,4.0,A,7.0,4.0,1.4,1.9,1.9,2.0,7.0,0.74,1.9
2020-12-18,11:00:00,Sohar,Oman Club,2.0,1.0,H,1.91,3.2,3.6,2.1,1.7,,,0.0,0.0
2020-12-18,13:00:00,Al Suwaiq,Muscat,1.0,0.0,H,,,,,,,,0.0,0.0
2020-12-22,10:15:00,Dhofar,Sohar,2.0,0.0,H,1.5,3.7,6.0,,,5.0,0.0,1.83,0.34
2020-12-22,11:00:00,Nizwa,Al Musannah,0.0,1.0,A,,,,,,,,0.0,0.0
2020-12-22,12:30:00,Al-Nahda,Saham,2.0,0.0,H,,,,,,,,0.0,0.0
2020-12-22,12:30:00,Al Seeb,Al Ittihad,0.0,0.0,D,1.22,5.3,9.75,,,6.0,2.0,2.04,0.55
2020-12-23,09:40:00,Muscat,Bahla,1.0,1.0,D,2.15,3.1,2.95,2.15,1.67,5.0,6.0,1.46,1.86
2020-12-23,12:30:00,Al Nasr,Al Suwaiq,1.0,1.0,D,2.0,3.25,3.3,2.2,1.65,4.0,6.0,1.0,1.98
2020-12-23,13:00:00,Oman Club,Al-Rustaq,1.0,0.0,H,2.34,3.07,2.96,2.2,1.6,3.0,2.0,1.06,1.11
2020-12-27,11:00:00,Al-Rustaq,Dhofar,0.0,2.0,A,4.8,3.6,1.54,2.1,1.61,0.0,6.0,0.61,1.87
2020-12-27,13:15:00,Al Seeb,Nizwa,3.0,0.0,H,1.25,4.6,7.5,1.54,2.3,7.0,2.0,1.92,0.59
2020-12-27,13:15:00,Saham,Al Musannah,1.0,5.0,A,2.35,3.05,2.55,2.1,1.65,,,0.0,0.0
2020-12-28,11:00:00,Sohar,Al Ittihad,1.0,1.0,D,,,,,,,,0.0,0.55
2020-12-28,11:00:00,Bahla,Al Nasr,0.0,0.0,D,2.35,3.05,2.65,2.25,1.63,,,0.0,0.0
2020-12-28,11:00:00,Muscat,Oman Club,0.0,2.0,A,2.0,3.15,3.25,2.25,1.62,3.0,6.0,1.18,1.41
2020-12-28,13:15:00,Al Suwaiq,Al-Nahda,1.0,0.0,H,2.3,3.05,2.7,2.25,1.51,4.0,5.0,1.37,1.57
2021-01-07,10:40:00,Al Nasr,Oman Club,1.0,0.0,H,1.83,3.1,3.8,2.25,1.62,8.0,3.0,1.59,1.32
2021-01-07,13:00:00,Sohar,Al Seeb,0.0,1.0,A,5.5,4.2,1.39,2.5,1.5,3.0,7.0,1.38,1.79
2021-01-08,10:00:00,Al-Nahda,Bahla,1.0,1.0,D,2.0,3.3,3.25,2.1,1.7,5.0,2.0,1.78,0.88
2021-01-08,10:20:00,Dhofar,Muscat,2.0,0.0,H,1.24,5.25,8.0,1.6,2.3,6.0,2.0,1.87,0.37
2021-01-08,12:20:00,Al Musannah,Al Suwaiq,1.0,0.0,H,2.55,3.1,2.4,1.95,1.85,4.0,6.0,1.07,1.69
2021-01-08,13:45:00,Al Ittihad,Al-Rustaq,1.0,2.0,A,,,,,,,,0.74,1.11
