Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,B365>2.5,B365<2.5,HST,AST,HomeXG,AwayXG
2020-08-21,13:00:00,Zagłębie Lubin,Lech Poznań,2.0,1.0,H,3.2,3.6,2.1,1.57,2.35,5.0,7.0,1.5,2.45
2020-08-22,10:00:00,Cracovia Kraków,Pogoń Szczecin,2.0,1.0,H,2.15,3.25,3.4,2.1,1.7,3.0,4.0,1.21,1.33
2020-08-22,12:30:00,Śląsk Wrocław,Piast Gliwice,2.0,0.0,H,2.7,3.05,2.65,2.05,1.74,5.0,3.0,1.48,1.25
2020-08-22,15:00:00,Raków Częstochowa,Legia Warszawa,1.0,2.0,A,3.7,3.5,1.91,1.77,2.0,4.0,6.0,1.39,1.81
2020-08-23,07:30:00,Wisła Płock,Stal Mielec,1.0,1.0,D,2.15,3.4,3.15,1.91,1.87,2.0,9.0,1.16,2.01
2020-08-23,10:00:00,Warta Poznań,Lechia Gdańsk,0.0,1.0,A,3.65,3.4,2.0,1.8,1.95,6.0,2.0,1.67,0.82
2020-08-23,12:30:00,Górnik Zabrze,Podbeskidzie,4.0,2.0,H,1.91,3.45,3.85,1.8,2.0,6.0,6.0,1.77,1.53
2020-08-24,13:00:00,Jagiellonia Białystok,Wisła Kraków,1.0,1.0,D,2.25,3.35,3.0,1.8,2.0,5.0,5.0,2.23,1.51
2020-08-28,13:00:00,Zagłębie Lubin,Warta Poznań,1.0,0.0,H,1.65,3.7,5.05,1.8,1.95,6.0,0.0,2.38,0.77
2020-08-28,15:30:00,Stal Mielec,Górnik Zabrze,0.0,2.0,A,2.55,3.45,2.5,1.77,2.0,0.0,8.0,0.75,2.37
2020-08-29,10:00:00,Lechia Gdańsk,Raków Częstochowa,1.0,3.0,A,2.65,3.2,2.6,1.8,2.0,3.0,7.0,1.11,2.14
2020-08-29,12:30:00,Wisła Kraków,Śląsk Wrocław,1.0,3.0,A,2.55,3.1,2.75,2.05,1.74,4.0,6.0,1.44,1.88
2020-08-29,15:00:00,Legia Warszawa,Jagiellonia Białystok,1.0,2.0,A,1.44,4.4,6.4,1.71,2.1,8.0,3.0,2.7,0.8
2020-08-30,07:30:00,Piast Gliwice,Pogoń Szczecin,0.0,1.0,A,2.1,3.15,3.6,2.15,1.67,4.0,3.0,1.64,1.18
2020-08-30,10:00:00,Podbeskidzie,Cracovia Kraków,2.0,2.0,D,3.1,3.25,2.25,1.95,1.8,3.0,6.0,0.98,1.86
2020-08-30,12:30:00,Lech Poznań,Wisła Płock,2.0,2.0,D,1.35,4.9,7.75,1.69,2.1,6.0,5.0,2.38,1.47
2020-09-11,13:00:00,Jagiellonia Białystok,Podbeskidzie,2.0,2.0,D,1.87,3.55,3.9,1.77,2.0,4.0,7.0,2.02,1.65
2020-09-11,15:30:00,Wisła Płock,Legia Warszawa,0.0,1.0,A,5.45,4.25,1.53,1.74,2.05,5.0,3.0,1.4,1.12
2020-09-12,10:00:00,Cracovia Kraków,Stal Mielec,1.0,1.0,D,1.74,3.65,4.3,1.87,1.87,4.0,5.0,1.79,1.43
2020-09-12,12:30:00,Warta Poznań,Piast Gliwice,0.0,0.0,D,3.3,3.3,2.15,2.15,1.69,3.0,3.0,1.34,1.32
2020-09-12,15:00:00,Śląsk Wrocław,Lech Poznań,3.0,3.0,D,3.05,3.35,2.25,1.77,2.0,8.0,8.0,2.21,2.4
2020-09-13,10:00:00,Pogoń Szczecin,Wisła Kraków,2.0,2.0,D,2.0,3.4,3.5,1.91,1.87,4.0,4.0,1.65,1.32
2020-09-13,12:30:00,Górnik Zabrze,Lechia Gdańsk,3.0,0.0,H,1.91,3.45,3.8,1.67,2.15,8.0,0.0,2.47,0.78
2020-09-14,13:00:00,Raków Częstochowa,Zagłębie Lubin,2.0,1.0,H,2.05,3.55,3.25,1.74,2.05,6.0,4.0,1.7,1.53
2020-09-18,13:00:00,Podbeskidzie,Raków Częstochowa,1.0,4.0,A,3.3,3.45,2.1,1.83,1.91,5.0,9.0,1.26,2.33
2020-09-18,15:30:00,Wisła Kraków,Wisła Płock,0.0,3.0,A,2.05,3.4,3.35,1.91,1.83,4.0,5.0,1.65,1.75
2020-09-19,10:00:00,Lechia Gdańsk,Stal Mielec,4.0,2.0,H,2.2,3.4,3.1,1.69,2.1,7.0,5.0,2.55,1.3
2020-09-19,12:30:00,Pogoń Szczecin,Śląsk Wrocław,1.0,0.0,H,2.15,3.3,3.2,1.95,1.8,4.0,4.0,1.6,1.44
2020-09-19,15:00:00,Legia Warszawa,Górnik Zabrze,1.0,3.0,A,1.54,4.05,5.65,1.69,2.1,6.0,6.0,1.8,1.36
2020-09-20,10:00:00,Zagłębie Lubin,Cracovia Kraków,1.0,1.0,D,2.3,3.2,3.1,1.77,2.0,6.0,6.0,2.25,1.56
2020-09-20,12:30:00,Lech Poznań,Warta Poznań,1.0,0.0,H,1.48,4.35,5.9,1.71,2.1,5.0,3.0,1.91,1.05
2020-09-21,13:00:00,Piast Gliwice,Jagiellonia Białystok,0.0,1.0,A,2.0,3.35,3.6,1.91,1.87,6.0,6.0,2.27,1.44
2020-09-25,13:00:00,Wisła Płock,Warta Poznań,1.0,3.0,A,1.95,3.3,3.9,2.2,1.62,5.0,6.0,1.47,1.92
2020-09-25,15:30:00,Górnik Zabrze,Wisła Kraków,0.0,0.0,D,1.62,4.0,4.8,1.65,2.2,4.0,2.0,1.82,1.32
2020-09-26,10:00:00,Cracovia Kraków,Raków Częstochowa,2.0,2.0,D,2.6,3.35,2.55,1.87,1.91,9.0,5.0,2.24,1.61
2020-09-26,12:30:00,Lechia Gdańsk,Podbeskidzie,4.0,0.0,H,1.65,4.1,4.6,1.59,2.3,12.0,2.0,3.05,0.9
2020-09-26,15:00:00,Jagiellonia Białystok,Zagłębie Lubin,0.0,1.0,A,2.25,3.55,2.85,1.74,2.05,2.0,6.0,1.4,1.65
2020-09-28,13:00:00,Stal Mielec,Piast Gliwice,3.0,2.0,H,3.2,3.45,2.1,1.91,1.83,4.0,7.0,1.17,2.4
2020-10-02,13:00:00,Raków Częstochowa,Wisła Płock,3.0,0.0,H,1.62,3.95,4.85,1.8,1.95,9.0,0.0,2.02,0.81
2020-10-02,15:30:00,Śląsk Wrocław,Cracovia Kraków,3.0,1.0,H,2.25,3.3,3.05,1.77,2.0,10.0,6.0,2.71,1.79
2020-10-03,10:00:00,Podbeskidzie,Stal Mielec,1.0,0.0,H,2.45,3.45,2.6,1.62,2.25,4.0,3.0,1.32,1.22
2020-10-03,15:00:00,Zagłębie Lubin,Górnik Zabrze,2.0,0.0,H,2.3,3.3,2.95,1.8,1.95,6.0,5.0,1.31,2.02
2020-10-04,12:30:00,Piast Gliwice,Lech Poznań,1.0,4.0,A,2.8,3.35,2.4,1.83,1.95,4.0,9.0,1.46,2.16
2020-10-17,10:00:00,Cracovia Kraków,Piast Gliwice,1.0,0.0,H,2.45,3.2,2.8,2.1,1.71,4.0,6.0,0.93,2.04
2020-10-17,12:30:00,Górnik Zabrze,Raków Częstochowa,1.0,3.0,A,2.7,3.4,2.45,1.74,2.05,4.0,8.0,1.32,2.18
2020-10-17,15:00:00,Jagiellonia Białystok,Lech Poznań,2.0,1.0,H,4.05,3.85,1.77,1.67,2.15,6.0,7.0,1.42,2.43
2020-10-18,07:30:00,Wisła Płock,Śląsk Wrocław,1.0,0.0,H,2.95,3.15,2.4,1.95,1.8,3.0,5.0,1.61,1.83
2020-10-18,10:00:00,Stal Mielec,Wisła Kraków,0.0,6.0,A,2.7,3.25,2.5,1.83,1.95,4.0,13.0,1.26,2.47
2020-10-18,12:30:00,Legia Warszawa,Zagłębie Lubin,2.0,1.0,H,1.62,3.9,4.95,1.65,2.2,3.0,4.0,1.9,1.27
2020-10-19,13:00:00,Podbeskidzie,Warta Poznań,1.0,2.0,A,2.35,3.25,2.95,1.91,1.83,3.0,4.0,1.41,1.39
2020-10-19,15:30:00,Lechia Gdańsk,Pogoń Szczecin,0.0,1.0,A,2.35,3.35,2.9,1.87,1.91,3.0,7.0,1.54,1.81
2020-10-21,13:00:00,Legia Warszawa,Śląsk Wrocław,2.0,1.0,H,1.53,4.1,5.65,1.83,1.95,4.0,3.0,1.78,0.77
2020-10-23,13:00:00,Piast Gliwice,Wisła Płock,2.0,2.0,D,1.91,3.3,4.0,2.05,1.74,7.0,6.0,2.25,1.33
2020-10-23,15:30:00,Zagłębie Lubin,Lechia Gdańsk,1.0,1.0,D,2.2,3.45,3.05,1.71,2.1,4.0,6.0,1.4,2.38
2020-10-24,10:00:00,Wisła Kraków,Podbeskidzie,3.0,0.0,H,1.87,3.65,3.8,1.65,2.2,8.0,6.0,1.78,1.85
2020-10-24,12:30:00,Śląsk Wrocław,Jagiellonia Białystok,1.0,0.0,H,2.25,3.35,3.05,1.8,2.0,3.0,3.0,1.1,1.17
2020-10-24,15:00:00,Pogoń Szczecin,Legia Warszawa,0.0,0.0,D,3.6,3.35,2.0,2.15,1.67,3.0,5.0,1.27,1.88
2020-10-25,11:00:00,Raków Częstochowa,Stal Mielec,2.0,1.0,H,1.34,5.1,7.5,1.62,2.25,9.0,3.0,2.53,0.89
2020-10-25,13:30:00,Lech Poznań,Cracovia Kraków,1.0,1.0,D,1.53,4.3,5.35,1.62,2.25,10.0,3.0,2.77,1.28
2020-10-26,14:00:00,Warta Poznań,Górnik Zabrze,0.0,1.0,A,3.15,3.3,2.2,2.05,1.74,3.0,8.0,1.07,2.08
2020-10-28,14:00:00,Wisła Kraków,Lechia Gdańsk,1.0,3.0,A,2.6,3.3,2.6,1.8,2.0,8.0,8.0,1.79,2.11
2020-10-30,14:00:00,Pogoń Szczecin,Jagiellonia Białystok,3.0,0.0,H,2.1,3.3,3.4,1.95,1.87,6.0,3.0,2.07,0.83
2020-11-02,14:00:00,Warta Poznań,Legia Warszawa,0.0,3.0,A,6.75,4.15,1.47,1.87,1.91,3.0,6.0,0.92,1.3
2020-11-07,11:00:00,Stal Mielec,Warta Poznań,0.0,1.0,A,2.75,3.15,2.6,2.15,1.69,6.0,3.0,1.35,1.49
2020-11-07,13:30:00,Cracovia Kraków,Jagiellonia Białystok,3.0,1.0,H,2.2,3.25,3.3,2.0,1.8,6.0,5.0,1.32,1.26
2020-11-07,16:00:00,Śląsk Wrocław,Górnik Zabrze,0.0,0.0,D,2.45,3.45,2.7,1.74,2.1,7.0,4.0,2.01,2.2
2020-11-08,11:00:00,Legia Warszawa,Lech Poznań,2.0,1.0,H,2.5,3.45,2.6,1.71,2.1,7.0,8.0,1.92,1.82
2020-11-08,13:30:00,Raków Częstochowa,Wisła Kraków,0.0,0.0,D,1.57,4.05,5.25,1.61,2.3,7.0,4.0,1.87,1.45
2020-11-09,14:00:00,Pogoń Szczecin,Podbeskidzie,1.0,1.0,D,1.45,4.45,6.0,1.67,2.2,6.0,2.0,2.18,1.37
2020-11-20,14:00:00,Lechia Gdańsk,Śląsk Wrocław,3.0,2.0,H,2.2,3.4,3.15,1.83,1.95,6.0,6.0,1.09,0.85
