Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,B365>2.5,B365<2.5,HST,AST,HomeXG,AwayXG
2020-09-20,11:00:00,Pedras Salgadas,Montalegre,0.0,0.0,D,2.35,3.25,2.4,1.75,2.05,,,0.0,0.0
2020-09-20,11:00:00,Merelinense,Maria da Fonte,1.0,0.0,H,1.91,3.35,3.1,1.72,2.07,,,0.0,0.0
2020-09-20,11:00:00,Mirandela,Cerveira,2.0,0.0,H,1.65,3.5,3.85,1.75,2.05,11.0,3.0,2.06,1.05
2020-09-20,11:00:00,Vianense,Vilaverdense,0.0,0.0,D,1.74,3.45,3.75,1.96,1.69,,,0.0,0.0
2020-09-20,11:00:00,Sporting Braga II,Bragança,3.0,0.0,H,1.48,3.85,4.7,1.66,2.15,10.0,2.0,2.73,0.51
2020-09-20,11:00:00,Vidago,Águia FC Vimioso,2.0,1.0,H,1.91,3.4,3.4,1.65,2.2,9.0,7.0,2.21,1.58
2020-10-04,11:00:00,Águia FC Vimioso,Pedras Salgadas,1.0,1.0,D,,,,,,,,0.0,0.0
2020-10-04,11:00:00,Montalegre,Mirandela,0.0,2.0,A,,,,,,,,0.0,0.0
2020-10-04,11:00:00,Cerveira,Merelinense,0.0,0.0,D,4.26,3.8,1.63,1.7,2.1,4.0,5.0,1.16,1.78
2020-10-04,11:00:00,Bragança,Vidago,0.0,0.0,D,,,,,,,,0.0,0.0
2020-10-04,11:00:00,Maria da Fonte,Vianense,1.0,0.0,H,1.87,3.4,3.56,1.95,1.85,2.0,0.0,1.09,0.9
2020-10-04,11:00:00,Vilaverdense,Sporting Braga II,1.0,4.0,A,3.36,3.38,1.93,1.75,2.05,3.0,8.0,0.99,1.74
2020-10-17,11:00:00,Merelinense,Vianense,2.0,0.0,H,1.14,4.2,4.5,1.78,2.03,4.0,4.0,1.2,1.26
2020-10-18,11:00:00,Pedras Salgadas,Bragança,1.0,2.0,A,,,,,,,,0.0,0.51
2020-10-18,11:00:00,Mirandela,Águia FC Vimioso,1.0,1.0,D,1.2,3.75,3.7,1.95,1.85,,,2.06,1.58
2020-10-18,11:00:00,Sporting Braga II,Maria da Fonte,5.0,1.0,H,1.45,3.7,5.2,1.91,1.69,9.0,3.0,2.03,0.68
2020-10-18,11:00:00,Vidago,Vilaverdense,0.0,0.0,D,1.95,3.35,3.0,1.67,1.95,2.0,6.0,1.01,1.79
2020-10-18,11:00:00,Cerveira,Montalegre,0.0,1.0,A,3.2,3.1,1.95,2.2,1.65,2.0,4.0,1.28,1.28
2020-10-24,08:00:00,Bragança,Mirandela,0.0,1.0,A,2.9,3.05,2.1,2.1,1.7,3.0,4.0,1.01,1.32
2020-11-08,12:00:00,Águia FC Vimioso,Merelinense,0.0,2.0,A,,,,,,,,0.0,1.78
2020-10-24,11:00:00,Montalegre,Merelinense,1.0,0.0,H,,,,,,,,0.0,1.78
2020-10-24,11:00:00,Vilaverdense,Pedras Salgadas,2.0,2.0,D,1.91,3.0,3.35,2.35,1.57,4.0,4.0,1.38,1.78
2020-10-25,12:00:00,Águia FC Vimioso,Cerveira,0.0,2.0,A,,,,,,,,0.0,1.05
2020-10-25,12:00:00,Maria da Fonte,Vidago,2.0,2.0,D,,,,,,,,1.09,0.0
2020-10-25,12:00:00,Vianense,Sporting Braga II,0.0,4.0,A,5.85,4.2,1.34,1.75,2.05,5.0,6.0,1.01,2.1
2020-11-07,12:00:00,Sporting Braga II,Vidago,3.0,1.0,H,1.1,7.23,23.77,,,,,2.38,0.0
2020-11-08,12:00:00,Bragança,Montalegre,0.0,1.0,A,,,,,,,,1.01,1.28
2020-11-08,12:00:00,Maria da Fonte,Mirandela,2.0,2.0,D,,,,,,,,1.09,1.32
2020-11-08,12:00:00,Vilaverdense,Cerveira,2.0,1.0,H,1.85,3.2,1.78,2.25,1.63,4.0,4.0,1.56,1.07
2020-11-08,12:00:00,Vianense,Pedras Salgadas,2.0,1.0,H,,,,,,,,1.01,1.78
