Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,B365>2.5,B365<2.5,HST,AST,HomeXG,AwayXG
2020-09-20,11:00:00,Pedras Rubras,Amarante,1.0,0.0,H,2.35,3.15,2.5,1.95,1.85,4.0,4.0,0.8,1.68
2020-09-20,11:00:00,Coimbrões,Marítimo II,3.0,0.0,H,2.35,3.25,2.4,1.75,2.05,7.0,5.0,2.06,1.53
2020-09-20,12:00:00,Gondomar SC,Salgueiros,1.0,1.0,D,2.25,3.05,2.7,1.91,1.69,5.0,6.0,1.62,1.93
2020-09-20,12:00:00,Leça,CD Trofense,0.0,0.0,D,1.8,3.4,3.8,,,5.0,6.0,1.29,1.62
2020-09-20,12:00:00,Câmara de Lobos,Paredes,1.0,2.0,A,4.55,3.45,1.57,1.74,1.87,7.0,5.0,1.8,1.51
2020-09-20,12:00:00,CF União,Vila Real,0.0,0.0,D,2.25,2.8,2.85,1.77,1.83,,,0.0,0.0
2020-10-03,13:00:00,Amarante,CF União,8.0,0.0,H,2.2,3.2,2.88,2.2,1.65,,,0.0,0.0
2021-02-21,13:00:00,Câmara de Lobos,Vila Real,0.0,0.0,D,,,,,,,,1.8,1.0
2020-10-04,11:00:00,Salgueiros,Coimbrões,1.0,0.0,H,2.42,3.4,2.5,1.85,1.95,6.0,3.0,1.76,1.22
2020-10-04,11:00:00,Paredes,Leça,0.0,1.0,A,2.22,3.4,2.74,2.1,1.7,5.0,3.0,1.4,1.45
2020-10-04,11:00:00,Vila Real,Gondomar SC,0.0,1.0,A,2.74,3.4,2.22,2.0,1.8,0.0,7.0,0.71,1.97
2020-10-04,12:00:00,Marítimo II,Câmara de Lobos,7.0,1.0,H,1.45,4.15,4.55,1.4,2.5,9.0,4.0,2.15,1.13
2020-10-04,14:00:00,CD Trofense,Pedras Rubras,2.0,0.0,H,1.91,3.1,3.35,2.05,1.59,4.0,5.0,1.8,1.15
2021-02-21,13:00:00,CF União,Pedras Rubras,0.0,0.0,D,,,,,,,,0.0,1.04
2020-10-18,08:15:00,Gondomar SC,Amarante,3.0,0.0,H,2.25,3.0,2.75,2.1,1.59,5.0,3.0,1.38,1.05
2020-10-18,11:00:00,CF União,CD Trofense,1.0,3.0,A,37.71,15.0,1.0,,,,,0.0,1.62
2020-10-18,11:00:00,Pedras Rubras,Paredes,2.0,1.0,H,2.1,3.0,2.9,2.2,1.65,,,0.8,1.51
2020-10-18,11:00:00,Coimbrões,Vila Real,0.0,0.0,D,1.77,2.7,4.7,1.95,1.67,,,2.06,0.0
2020-10-18,12:00:00,Câmara de Lobos,Leça,0.0,4.0,A,11.0,5.9,1.13,1.61,2.05,,,1.8,1.45
2020-10-24,11:00:00,Paredes,CF União,3.0,1.0,H,1.22,5.3,7.0,1.45,2.68,,,1.4,0.0
2020-10-25,08:00:00,Salgueiros,Câmara de Lobos,2.0,0.0,H,1.09,6.9,12.0,1.4,2.88,8.0,4.0,1.92,1.06
2020-10-25,08:00:00,Vila Real,Marítimo II,1.0,5.0,A,2.8,3.25,2.1,1.95,1.85,6.0,7.0,1.87,1.73
2020-10-25,12:00:00,Amarante,Coimbrões,3.0,0.0,H,2.0,3.15,3.05,1.91,1.69,5.0,5.0,1.35,1.26
2020-10-25,12:00:00,CD Trofense,Gondomar SC,2.0,1.0,H,2.15,2.5,3.55,2.05,1.59,8.0,2.0,1.94,0.69
2020-11-04,12:00:00,Gondomar SC,Paredes,0.0,0.0,D,1.77,3.0,4.05,2.45,1.43,3.0,6.0,1.41,1.46
2020-11-04,12:00:00,Coimbrões,CD Trofense,1.0,1.0,D,,,,,,,,2.06,1.62
2020-11-08,12:00:00,Amarante,Salgueiros,0.0,0.0,D,2.15,3.25,2.7,1.95,1.69,5.0,6.0,1.11,1.54
2020-11-08,12:00:00,Paredes,Coimbrões,1.0,0.0,H,2.1,2.5,3.75,2.3,1.5,5.0,4.0,1.52,1.09
2020-11-15,08:00:00,Pedras Rubras,Salgueiros,0.0,0.0,D,,,,,,,,0.8,1.73
2020-11-18,12:00:00,Leça,Gondomar SC,2.0,0.0,H,2.4,3.0,2.6,2.1,1.59,4.0,2.0,1.31,0.87
2020-11-29,08:00:00,Salgueiros,CD Trofense,0.0,1.0,A,2.4,2.6,2.95,2.3,1.49,4.0,4.0,1.19,1.05
2020-11-29,08:00:00,Coimbrões,Leça,2.0,5.0,A,4.4,3.45,1.59,2.05,1.75,,,2.06,1.45
2020-11-29,08:00:00,Vila Real,Amarante,1.0,2.0,A,,,,,,,,1.29,1.37
2020-11-29,08:00:00,Gondomar SC,Pedras Rubras,2.0,0.0,H,1.95,3.15,3.25,2.15,1.56,8.0,6.0,1.88,1.49
2020-12-02,12:00:00,Leça,Pedras Rubras,2.0,1.0,H,1.41,3.65,6.0,1.91,1.71,5.0,4.0,1.3,1.07
2020-12-05,08:00:00,CD Trofense,Vila Real,3.0,0.0,H,1.16,5.5,9.5,1.5,2.3,4.0,4.0,1.31,0.92
2020-12-06,08:00:00,Amarante,Câmara de Lobos,0.0,0.0,D,1.01,14.0,18.0,,,,,1.23,1.09
