Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,B365>2.5,B365<2.5,HST,AST,HomeXG,AwayXG
2020-10-18,11:00:00,Espinho,Canelas 2010,0.0,3.0,A,,,,,,,,2.14,0.86
2020-09-19,11:00:00,Espinho,Anadia,0.0,1.0,A,1.67,3.25,4.05,2.0,1.8,8.0,5.0,2.14,1.1
2020-09-20,11:00:00,Castro Daire,Valadares Gaia,2.0,0.0,H,1.64,3.5,4.3,1.87,1.87,3.0,7.0,0.68,1.55
2020-09-20,11:00:00,Lusitania Lourosa,Lusitano FCV,2.0,1.0,H,1.75,3.4,3.75,1.82,1.82,7.0,3.0,2.1,0.81
2020-09-20,11:00:00,São João Ver,Sanjoanense,1.0,1.0,D,,,,,,,,0.0,0.0
2020-09-20,11:00:00,Vila Cortez,Águeda,2.0,1.0,H,,,,,,,,0.0,0.0
2020-09-21,16:00:00,SC Beira-Mar,Canelas 2010,0.0,2.0,A,1.91,3.0,3.45,2.2,1.53,7.0,5.0,1.78,0.86
2020-10-03,11:00:00,Valadares Gaia,Espinho,2.0,1.0,H,3.2,3.3,2.0,2.0,1.8,3.0,3.0,1.03,0.84
2020-10-04,11:00:00,Sanjoanense,Vila Cortez,5.0,0.0,H,1.67,3.75,4.0,1.8,2.0,16.0,2.0,3.39,0.65
2020-10-04,11:00:00,Anadia,Lusitania Lourosa,1.0,1.0,D,2.32,3.2,2.74,2.15,1.68,3.0,2.0,0.93,0.9
2020-10-04,11:00:00,Lusitano FCV,São João Ver,1.0,2.0,A,2.5,3.2,2.52,1.95,1.85,2.0,3.0,0.8,1.33
2020-10-04,11:00:00,Canelas 2010,Castro Daire,4.0,0.0,H,2.52,3.0,2.63,2.3,1.6,9.0,2.0,2.23,0.51
2020-10-05,12:00:00,Águeda,SC Beira-Mar,0.0,2.0,A,2.75,2.7,2.4,2.15,1.56,3.0,8.0,1.32,1.67
2020-10-18,11:00:00,SC Beira-Mar,Sanjoanense,2.0,0.0,H,1.91,3.15,3.25,2.05,1.59,12.0,5.0,2.57,1.2
2020-10-18,11:00:00,São João Ver,Vila Cortez,7.0,0.0,H,1.22,5.25,7.25,1.71,1.91,16.0,0.0,3.55,0.34
2020-10-18,11:00:00,Castro Daire,Águeda,1.0,0.0,H,1.2,3.75,3.8,1.85,1.95,3.0,3.0,1.62,0.93
2020-10-18,11:00:00,Lusitano FCV,Anadia,1.0,1.0,D,4.6,3.5,1.56,2.0,1.8,6.0,5.0,1.09,1.39
2020-10-23,16:15:00,Águeda,Espinho,1.0,0.0,H,2.62,3.06,2.28,2.2,2.2,2.0,2.0,0.89,1.41
2020-10-25,12:00:00,Sanjoanense,Castro Daire,0.0,0.0,D,1.7,3.2,1.95,1.95,1.85,4.0,3.0,1.44,0.99
2020-10-25,12:00:00,Anadia,São João Ver,1.0,0.0,H,1.55,3.2,2.2,1.95,1.85,5.0,5.0,1.09,1.08
2020-10-25,12:00:00,Vila Cortez,SC Beira-Mar,0.0,4.0,A,,,,,,,,0.0,1.67
2020-10-25,12:00:00,Canelas 2010,Lusitania Lourosa,2.0,0.0,H,2.45,2.45,3.05,2.15,1.56,3.0,0.0,0.46,0.04
2020-11-07,11:30:00,Águeda,Lusitano FCV,1.0,0.0,H,2.12,3.3,2.98,1.91,1.91,4.0,9.0,1.13,2.04
2020-11-07,16:00:00,SC Beira-Mar,Castro Daire,2.0,0.0,H,1.89,3.11,3.35,1.95,1.83,8.0,0.0,2.0,0.47
2020-11-08,12:00:00,Vila Cortez,Espinho,0.0,8.0,A,,,,,,,,0.0,1.13
2020-11-08,12:00:00,Sanjoanense,Lusitania Lourosa,2.0,1.0,H,2.9,3.05,2.15,2.1,1.59,5.0,5.0,1.1,1.5
2020-11-14,08:00:00,Espinho,Sanjoanense,3.0,3.0,D,,,,,,,,2.14,1.2
2020-11-15,08:00:00,Lusitania Lourosa,Valadares Gaia,5.0,2.0,H,1.4,4.0,6.5,1.75,2.05,11.0,7.0,2.4,1.47
2020-11-15,08:00:00,Lusitano FCV,Canelas 2010,0.0,2.0,A,1.55,3.83,5.45,,,,,0.94,0.86
2020-11-15,08:00:00,São João Ver,SC Beira-Mar,0.0,0.0,D,2.35,3.25,1.48,2.15,1.67,5.0,7.0,1.33,1.53
2020-11-18,12:00:00,Canelas 2010,Anadia,0.0,1.0,A,1.57,3.15,5.25,2.45,1.43,5.0,5.0,1.61,1.6
2020-11-22,08:00:00,Lusitania Lourosa,Águeda,3.0,2.0,H,1.23,3.75,3.5,1.95,1.85,6.0,5.0,1.87,1.21
2020-11-22,08:00:00,Valadares Gaia,Lusitano FCV,2.0,1.0,H,,,,,,6.0,5.0,1.83,1.14
2020-11-25,12:00:00,Anadia,Valadares Gaia,2.0,1.0,H,1.45,3.75,5.25,1.87,1.77,4.0,2.0,1.18,0.91
2020-11-29,08:00:00,Espinho,SC Beira-Mar,1.0,0.0,H,,,,,,,,2.14,1.6
2020-11-29,08:00:00,Lusitania Lourosa,Vila Cortez,5.0,1.0,H,,,,1.13,4.4,,,2.12,0.49
2020-11-29,08:00:00,São João Ver,Castro Daire,1.0,1.0,D,1.5,3.2,2.3,2.3,1.6,8.0,5.0,1.66,0.94
2020-11-29,08:00:00,Anadia,Águeda,0.0,0.0,D,1.33,4.35,6.0,1.62,2.25,2.0,3.0,0.95,0.78
2020-12-05,08:00:00,Águeda,Valadares Gaia,5.0,2.0,H,2.1,3.3,3.0,2.1,1.59,7.0,7.0,1.35,1.38
2020-12-06,08:00:00,SC Beira-Mar,Lusitania Lourosa,1.0,2.0,A,2.35,2.9,2.7,2.35,1.57,,,2.12,0.81
2020-12-06,08:00:00,Canelas 2010,São João Ver,2.0,1.0,H,1.69,3.0,4.55,2.05,1.62,7.0,5.0,1.7,1.42
2020-12-13,08:00:00,Lusitano FCV,Sanjoanense,0.0,0.0,D,1.95,3.27,1.7,1.9,1.9,3.0,3.0,1.43,1.24
2020-12-13,08:00:00,Valadares Gaia,São João Ver,1.0,1.0,D,2.85,3.3,2.05,1.91,1.71,5.0,4.0,1.17,1.09
2020-12-19,08:00:00,Valadares Gaia,Sanjoanense,0.0,1.0,A,3.75,3.15,1.8,2.1,1.61,4.0,3.0,1.31,0.81
2020-12-19,08:00:00,Canelas 2010,Águeda,2.0,1.0,H,1.34,4.25,5.75,2.0,1.67,6.0,6.0,1.69,1.24
2020-12-20,08:00:00,São João Ver,Espinho,2.0,0.0,H,1.95,3.0,3.35,2.2,1.54,6.0,4.0,1.58,1.18
2020-12-20,08:00:00,Lusitano FCV,SC Beira-Mar,0.0,4.0,A,,,,,,,,1.1,1.6
2020-12-20,08:00:00,Lusitania Lourosa,Castro Daire,2.0,0.0,H,1.14,3.8,4.5,1.95,1.85,8.0,3.0,1.97,0.69
2020-12-23,12:00:00,Valadares Gaia,Canelas 2010,1.0,1.0,D,5.75,3.4,1.08,1.85,1.95,3.0,3.0,1.25,0.77
2021-01-03,08:00:00,Espinho,Lusitania Lourosa,2.0,3.0,A,,,,,,,,2.14,0.81
2021-01-03,08:00:00,Castro Daire,Lusitano FCV,2.0,0.0,H,1.3,3.5,3.0,1.9,1.9,4.0,2.0,1.34,0.47
2021-01-03,08:00:00,Sanjoanense,Canelas 2010,2.0,0.0,H,2.8,2.85,2.3,2.4,1.47,5.0,11.0,1.09,2.5
2021-01-03,08:00:00,São João Ver,Águeda,1.0,0.0,H,1.69,3.2,4.25,2.15,1.57,5.0,3.0,0.97,0.76
2021-01-03,08:00:00,Vila Cortez,Valadares Gaia,0.0,5.0,A,,,,,,,,0.0,1.33
2021-01-08,16:00:00,Águeda,Sanjoanense,1.0,1.0,D,3.4,3.15,2.05,2.2,1.6,6.0,4.0,1.72,1.32
2021-01-10,08:00:00,Canelas 2010,Vila Cortez,1.0,0.0,H,1.11,9.27,26.64,,,,,1.54,0.49
2021-01-10,08:00:00,Lusitania Lourosa,São João Ver,1.0,2.0,A,1.54,3.4,5.0,2.0,1.65,5.0,8.0,1.56,1.52
2021-01-10,08:00:00,Lusitano FCV,Espinho,2.0,0.0,H,,,,,,,,1.1,1.14
2021-01-16,12:00:00,Anadia,Espinho,1.0,0.0,H,1.25,3.1,3.3,2.25,1.62,5.0,4.0,0.97,1.39
2021-01-17,12:00:00,Sanjoanense,São João Ver,0.0,0.0,D,1.68,3.0,2.0,2.35,1.57,5.0,5.0,1.68,1.05
2021-01-17,12:00:00,Águeda,Vila Cortez,1.0,0.0,H,1.02,8.0,8.75,1.4,2.88,7.0,2.0,1.82,0.62
2021-01-20,08:00:00,Sanjoanense,Anadia,1.0,1.0,D,2.85,2.6,2.45,2.45,1.43,6.0,5.0,1.93,1.25
2021-01-24,08:00:00,Lusitania Lourosa,Anadia,1.0,1.0,D,1.83,3.1,3.6,2.1,1.61,5.0,4.0,1.42,1.52
2021-01-24,12:00:00,Espinho,Valadares Gaia,1.0,0.0,H,,,,,,,,2.14,1.33
2021-01-24,12:00:00,Vila Cortez,Sanjoanense,0.0,1.0,A,,,,,,,,0.0,1.14
2021-01-24,12:00:00,São João Ver,Lusitano FCV,0.0,0.0,D,1.07,5.5,6.0,1.8,2.0,5.0,3.0,1.32,0.58
2021-01-24,12:00:00,Castro Daire,Canelas 2010,2.0,1.0,H,2.55,3.04,1.4,2.42,1.47,3.0,5.0,0.88,1.65
2021-01-27,15:00:00,Vila Cortez,Anadia,0.0,6.0,A,10.5,9.8,1.01,1.49,2.5,0.0,11.0,0.34,2.15
2021-01-31,12:00:00,Sanjoanense,SC Beira-Mar,0.0,0.0,D,1.95,3.0,1.72,2.4,1.53,8.0,4.0,1.87,1.67
2021-01-31,12:00:00,Anadia,Lusitano FCV,1.0,0.0,H,1.08,4.28,5.75,2.06,1.65,,,1.02,1.01
2021-01-31,12:00:00,Vila Cortez,São João Ver,0.0,3.0,A,8.75,9.2,1.02,1.41,2.91,0.0,6.0,0.37,2.16
2021-01-31,12:00:00,Canelas 2010,Espinho,1.0,0.0,H,1.19,3.6,3.8,2.35,1.57,2.0,5.0,0.97,1.23
2021-01-31,12:00:00,Valadares Gaia,Lusitania Lourosa,0.0,1.0,A,2.65,3.6,1.4,1.7,2.1,2.0,3.0,1.38,1.22
2021-02-03,14:00:00,SC Beira-Mar,Anadia,0.0,1.0,A,1.7,3.2,1.95,2.3,1.6,3.0,4.0,1.48,0.91
2021-02-07,12:00:00,São João Ver,Anadia,2.0,0.0,H,1.55,3.0,2.2,3.4,1.33,5.0,2.0,1.21,0.9
2021-02-07,12:00:00,Lusitano FCV,Valadares Gaia,0.0,2.0,A,1.69,3.5,2.0,1.95,1.74,,,1.1,1.33
2021-02-07,12:00:00,Castro Daire,Sanjoanense,1.0,1.0,D,1.68,3.1,2.05,2.3,1.6,3.0,5.0,1.27,1.07
2021-02-07,12:00:00,Lusitania Lourosa,Canelas 2010,0.0,0.0,D,1.38,3.2,2.7,2.35,1.57,4.0,0.0,1.45,0.72
2021-02-07,14:00:00,SC Beira-Mar,Vila Cortez,3.0,0.0,H,1.04,11.0,41.0,1.3,3.5,7.0,2.0,1.86,0.7
2021-02-09,12:00:00,Espinho,Águeda,1.0,0.0,H,1.32,3.3,2.85,2.3,1.6,5.0,0.0,1.5,0.39
2021-02-10,12:00:00,Valadares Gaia,Castro Daire,1.0,0.0,H,2.15,3.1,1.58,2.15,1.67,6.0,4.0,1.37,1.27
2021-02-10,12:00:00,Canelas 2010,SC Beira-Mar,2.0,0.0,H,1.7,3.2,1.95,2.7,1.44,4.0,4.0,1.39,1.02
2021-02-11,17:30:00,Vila Cortez,Lusitano FCV,1.0,3.0,A,6.0,4.15,1.34,1.65,2.0,0.0,6.0,0.24,1.03
2021-02-13,12:00:00,Sanjoanense,Espinho,1.0,1.0,D,1.55,3.0,2.2,2.25,1.62,4.0,3.0,1.29,1.08
2021-02-13,12:00:00,Castro Daire,Vila Cortez,2.0,2.0,D,1.02,10.0,8.5,1.36,3.1,6.0,5.0,1.77,1.2
2021-02-14,12:00:00,Águeda,Lusitania Lourosa,1.0,1.0,D,2.8,3.5,1.35,2.15,1.67,4.0,5.0,0.71,1.81
2021-02-14,12:00:00,Canelas 2010,Lusitano FCV,1.0,0.0,H,1.08,4.33,6.25,2.1,1.7,7.0,2.0,2.13,1.02
2021-02-14,12:00:00,Valadares Gaia,Anadia,1.0,2.0,A,3.2,3.5,1.3,2.15,1.67,4.0,7.0,0.97,1.6
2021-02-14,13:00:00,SC Beira-Mar,São João Ver,3.0,1.0,H,1.67,3.2,2.08,2.3,1.6,6.0,4.0,1.28,1.66
2021-02-16,12:00:00,Castro Daire,Espinho,0.0,1.0,A,1.62,3.4,2.05,2.25,1.62,3.0,3.0,0.82,0.98
2021-02-17,12:00:00,Valadares Gaia,SC Beira-Mar,2.0,1.0,H,3.38,3.26,2.04,,,,,1.29,1.47
2021-02-20,12:00:00,Lusitano FCV,Águeda,2.0,1.0,H,2.4,2.88,2.9,2.6,1.48,6.0,5.0,1.28,1.5
2021-02-20,12:00:00,Lusitania Lourosa,Sanjoanense,1.0,1.0,D,,,,,,,,1.82,1.13
2021-02-21,12:00:00,Espinho,Vila Cortez,4.0,0.0,H,,,,,,,,1.82,0.7
2021-02-21,12:00:00,Anadia,Canelas 2010,3.0,0.0,H,1.5,3.0,2.35,2.35,1.57,5.0,7.0,0.98,1.75
2021-02-21,12:00:00,Castro Daire,SC Beira-Mar,2.0,1.0,H,2.2,3.2,1.55,2.4,1.53,6.0,5.0,1.29,1.71
2021-02-21,12:00:00,São João Ver,Valadares Gaia,0.0,0.0,D,1.17,3.75,4.05,2.1,1.7,5.0,4.0,1.86,1.1
2021-02-24,12:00:00,Lusitano FCV,Lusitania Lourosa,0.0,0.0,D,3.75,3.5,1.2,2.05,1.75,,,1.15,1.09
2021-02-24,17:30:00,SC Beira-Mar,Águeda,1.0,1.0,D,1.5,3.5,5.25,2.05,1.61,2.0,6.0,0.94,1.35
2021-02-28,12:00:00,Castro Daire,São João Ver,0.0,3.0,A,1.95,3.2,1.72,2.7,1.44,4.0,5.0,1.52,1.36
