Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,B365>2.5,B365<2.5,HST,AST,HomeXG,AwayXG
2020-09-10,16:00:00,GD Estoril Praia,FC Arouca,1.0,0.0,H,1.83,3.2,4.6,2.4,1.54,4.0,4.0,1.08,1.79
2020-09-12,13:00:00,FC Vizela,UD Oliveirense,2.0,1.0,H,2.2,3.0,3.1,2.0,1.8,6.0,3.0,1.64,0.88
2020-09-13,07:15:00,Cova Piedade,CD Mafra,0.0,4.0,A,2.7,3.3,2.5,2.0,1.77,2.0,10.0,0.8,2.2
2020-09-13,12:00:00,Leixões,Casa Pia,2.0,2.0,D,1.47,4.1,6.65,1.95,1.8,5.0,4.0,1.86,1.23
2020-09-13,14:00:00,Benfica II,Vilafranquense,3.0,2.0,H,2.0,3.35,3.55,1.87,1.91,7.0,6.0,1.86,1.33
2020-09-13,14:30:00,Varzim,Porto II,1.0,0.0,H,1.95,3.45,3.7,2.0,1.77,6.0,4.0,1.34,1.69
2020-09-14,15:45:00,FC Penafiel,Sporting Covilhã,1.0,0.0,H,2.5,2.95,2.95,2.35,1.56,4.0,0.0,1.15,0.72
2020-09-18,12:00:00,UD Oliveirense,FC Penafiel,2.0,1.0,H,2.55,2.9,2.95,2.65,1.47,5.0,4.0,1.17,1.18
2020-09-18,13:00:00,GD Chaves,Varzim,0.0,0.0,D,1.8,3.55,4.25,2.25,1.62,5.0,0.0,2.35,0.51
2020-09-18,14:00:00,Vilafranquense,CD Feirense,0.0,4.0,A,4.15,3.45,1.83,2.05,1.74,3.0,9.0,1.1,2.08
2020-09-19,07:00:00,Casa Pia,Benfica II,0.0,6.0,A,3.25,3.35,2.15,2.0,1.77,3.0,8.0,0.76,1.8
2020-09-19,11:30:00,CD Mafra,Academico Viseu,1.0,0.0,H,1.83,3.2,4.6,2.35,1.56,4.0,0.0,1.36,0.71
2020-09-19,11:30:00,FC Arouca,Leixões,0.0,0.0,D,2.45,3.05,2.9,2.35,1.57,0.0,2.0,0.98,0.67
2020-09-19,13:00:00,Porto II,FC Vizela,4.0,1.0,H,2.65,3.05,2.75,2.1,1.71,0.0,3.0,0.73,1.07
2020-09-19,14:00:00,Sporting Covilhã,Cova Piedade,1.0,3.0,A,1.67,3.75,4.85,2.15,1.67,7.0,5.0,2.35,1.28
2020-09-20,07:15:00,Associação Académica de Coimbra OAF,GD Estoril Praia,1.0,0.0,H,2.2,3.15,3.35,2.2,1.62,3.0,4.0,1.11,1.44
2020-09-22,14:00:00,FC Vizela,Sporting Covilhã,2.0,1.0,H,1.8,3.6,4.15,2.3,1.59,4.0,3.0,1.26,0.96
2020-09-22,14:00:00,CD Feirense,Casa Pia,2.0,1.0,H,1.19,6.1,14.5,1.69,2.1,5.0,3.0,2.11,0.89
