Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,B365>2.5,B365<2.5,HST,AST,HomeXG,AwayXG
2021-03-19,14:45:00,Drogheda United,Waterford,1.0,0.0,H,2.0,3.35,3.8,2.2,1.65,8.0,2.0,2.32,1.35
2021-03-19,16:45:00,Shamrock Rovers,St Patrick's Athl.,1.0,1.0,D,1.62,3.75,5.1,2.1,1.65,7.0,2.0,0.0,0.0
2021-03-20,15:00:00,Finn Harps,Bohemians,1.0,0.0,H,3.35,3.35,2.05,2.3,1.58,2.0,3.0,1.21,1.33
2021-03-20,15:00:00,Longford Town,Derry City,2.0,0.0,H,3.1,3.25,2.2,1.9,1.86,7.0,4.0,1.81,1.16
2021-03-20,15:00:00,Sligo Rovers,Dundalk,1.0,1.0,D,3.9,3.45,1.85,1.9,1.85,5.0,2.0,1.35,0.99
2021-03-26,14:45:00,Dundalk,Finn Harps,1.0,2.0,A,1.44,4.2,6.0,1.85,1.85,5.0,5.0,2.03,1.46
2021-03-26,16:45:00,Waterford,Sligo Rovers,1.0,2.0,A,3.75,3.4,1.85,2.1,1.65,5.0,6.0,1.21,1.8
2021-03-27,13:00:00,St Patrick's Athl.,Drogheda United,2.0,1.0,H,1.62,3.6,5.75,2.4,1.54,7.0,6.0,2.16,1.16
2021-03-27,13:00:00,Bohemians,Longford Town,2.0,2.0,D,1.56,3.75,6.0,2.2,1.65,5.0,6.0,1.35,1.45
2021-04-02,13:45:00,Longford Town,Sligo Rovers,0.0,1.0,A,3.99,3.36,1.94,2.01,1.75,3.0,6.0,1.14,1.37
2021-04-02,15:45:00,Shamrock Rovers,Dundalk,2.0,1.0,H,1.91,3.25,4.26,2.23,1.62,6.0,7.0,1.84,1.65
2021-04-03,14:00:00,Drogheda United,Finn Harps,1.0,1.0,D,2.45,3.25,2.8,2.34,1.53,5.0,4.0,1.44,1.71
2021-04-03,14:00:00,Derry City,Waterford,1.0,2.0,A,1.83,3.21,4.07,2.11,1.65,5.0,4.0,1.94,1.0
2021-04-03,14:00:00,Bohemians,St Patrick's Athl.,0.0,1.0,A,2.69,2.92,2.53,2.34,1.53,0.0,2.0,1.35,0.0
2021-04-09,13:45:00,St Patrick's Athl.,Derry City,2.0,0.0,H,1.8,3.3,4.7,2.55,1.45,6.0,0.0,1.52,0.49
2021-04-09,15:45:00,Dundalk,Bohemians,0.0,1.0,A,1.94,3.4,3.8,2.23,1.62,4.0,3.0,1.58,1.19
2021-04-10,14:00:00,Longford Town,Drogheda United,0.0,4.0,A,2.2,3.2,3.2,2.23,1.62,2.0,5.0,0.89,0.92
2021-04-10,14:00:00,Sligo Rovers,Shamrock Rovers,1.0,1.0,D,4.9,3.25,1.76,1.91,1.86,2.0,3.0,0.69,0.83
2021-04-10,14:00:00,Finn Harps,Waterford,2.0,1.0,H,1.76,3.25,4.9,2.5,1.5,7.0,3.0,1.88,0.89
2021-04-13,15:45:00,Derry City,Shamrock Rovers,0.0,2.0,A,4.5,3.4,1.72,1.9,1.8,0.0,5.0,0.83,1.46
2021-04-16,13:45:00,Waterford,Bohemians,0.0,1.0,A,3.95,3.47,1.79,2.15,1.63,5.0,10.0,1.21,2.44
2021-04-16,15:45:00,Derry City,Drogheda United,1.0,1.0,D,2.56,3.4,2.52,2.29,1.55,3.0,3.0,1.44,1.13
2021-04-17,14:00:00,Dundalk,St Patrick's Athl.,1.0,1.0,D,2.25,3.0,2.9,2.05,1.7,6.0,6.0,1.62,1.65
2021-04-17,14:00:00,Shamrock Rovers,Longford Town,2.0,1.0,H,1.18,5.5,17.0,1.8,1.95,11.0,4.0,2.62,1.11
2021-04-17,14:00:00,Sligo Rovers,Finn Harps,1.0,0.0,H,1.87,3.1,3.9,2.2,1.61,8.0,3.0,1.8,1.01
