Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,B365>2.5,B365<2.5,HST,AST,HomeXG,AwayXG
2020-08-08,10:00:00,Khimki,CSKA Moskva,0.0,2.0,A,4.6,3.5,1.75,1.95,1.75,5.0,6.0,1.85,1.9
2020-08-08,12:30:00,Tambov,Rostov,0.0,1.0,A,3.85,3.2,2.05,2.05,1.7,2.0,6.0,1.13,1.33
2020-08-09,11:00:00,Ufa,Krasnodar,0.0,3.0,A,4.1,3.15,2.0,2.45,1.48,3.0,10.0,0.8,2.65
2020-08-09,13:00:00,Arsenal Tula,Akhmat Grozny,0.0,0.0,D,2.5,3.05,2.95,2.3,1.59,2.0,3.0,1.01,1.26
2020-08-09,14:00:00,Spartak Moskva,FK Sochi,2.0,2.0,D,1.61,3.9,5.4,2.1,1.69,7.0,5.0,1.71,1.68
2020-08-10,11:00:00,Ural,Dinamo Moskva,0.0,2.0,A,3.55,3.25,2.05,2.35,1.57,3.0,8.0,1.62,2.06
2020-08-11,12:00:00,Rotor Volgograd,Zenit,0.0,2.0,A,8.75,5.15,1.32,1.77,2.0,7.0,6.0,1.54,1.89
2020-08-11,14:00:00,Rubin Kazan,Lokomotiv Moskva,0.0,2.0,A,3.1,3.0,2.45,2.45,1.53,4.0,5.0,1.62,1.37
2020-08-14,12:00:00,Arsenal Tula,Ufa,2.0,3.0,A,2.35,2.9,3.4,3.05,1.36,8.0,5.0,2.32,0.92
2020-08-14,13:00:00,FK Sochi,Khimki,1.0,1.0,D,1.95,3.3,3.95,2.25,1.61,6.0,6.0,1.82,1.55
2020-08-14,14:00:00,Spartak Moskva,Akhmat Grozny,2.0,0.0,H,1.56,3.9,6.0,2.0,1.77,5.0,4.0,1.93,0.97
2020-08-15,09:30:00,Dinamo Moskva,Rotor Volgograd,0.0,0.0,D,1.74,3.35,5.25,2.25,1.62,4.0,3.0,2.2,0.7
2020-08-15,09:30:00,Rubin Kazan,Ural,1.0,1.0,D,2.0,3.25,3.85,2.15,1.67,6.0,6.0,2.12,1.68
2020-08-15,12:00:00,CSKA Moskva,Tambov,2.0,1.0,H,1.37,4.95,7.25,1.83,1.91,4.0,6.0,1.41,1.37
2020-08-15,13:00:00,Lokomotiv Moskva,Krasnodar,1.0,0.0,H,2.6,3.05,2.85,2.0,1.77,9.0,4.0,1.86,1.89
2020-08-15,14:00:00,Rostov,Zenit,0.0,2.0,A,4.35,3.6,1.8,2.0,1.77,7.0,6.0,2.26,1.7
2020-08-18,12:00:00,FK Sochi,Rubin Kazan,3.0,2.0,H,2.4,3.1,3.1,2.5,1.51,7.0,7.0,1.44,1.98
2020-08-18,13:00:00,Tambov,Khimki,1.0,0.0,H,2.7,3.05,2.7,2.4,1.56,3.0,4.0,0.72,1.92
2020-08-18,14:00:00,Krasnodar,Arsenal Tula,2.0,0.0,H,1.39,4.75,7.0,1.77,2.0,8.0,5.0,1.9,1.41
