Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,B365>2.5,B365<2.5,HST,AST,HomeXG,AwayXG
2020-10-17,12:00:00,Al Shabab,Abha,1.0,0.0,H,1.93,3.4,3.36,1.6,2.3,10.0,3.0,0.0,0.0
2020-10-17,12:10:00,Al Taawon,Al Faisaly,1.0,1.0,D,2.75,3.25,2.25,1.7,2.05,2.0,4.0,0.59,1.08
2020-10-17,14:00:00,Al Wahda,Al Quadisiya,2.0,1.0,H,1.69,3.5,4.24,1.73,2.08,8.0,5.0,1.84,1.27
2020-10-17,15:15:00,Al Hilal,Al-Ain,1.0,0.0,H,1.13,6.4,14.0,1.68,1.99,8.0,3.0,1.78,0.86
2020-10-18,12:00:00,Al Batin,Al Ahli,0.0,1.0,A,4.45,3.95,1.56,,,4.0,8.0,1.44,1.58
2020-10-18,12:00:00,Al Nassr,Al Fateh,1.0,2.0,A,1.41,4.3,5.6,,,7.0,8.0,1.98,1.71
2020-10-18,12:20:00,Dhamk,Al Raed,2.0,3.0,A,2.3,3.35,2.58,,,6.0,8.0,1.58,1.7
2020-10-18,14:00:00,Al Ittihad,Al Ittifaq,1.0,2.0,A,2.25,3.28,3.24,,,3.0,8.0,1.0,1.81
2020-10-22,09:40:00,Abha,Al Hilal,1.0,1.0,D,5.5,4.33,1.47,1.53,2.4,5.0,6.0,0.0,0.0
2020-10-22,12:05:00,Al Taawon,Al Nassr,1.0,0.0,H,2.55,3.5,2.55,1.85,1.95,4.0,6.0,0.59,0.0
2020-10-22,13:55:00,Al Ahli,Al Wahda,1.0,0.0,H,1.83,3.35,3.95,1.8,2.0,5.0,5.0,0.0,0.0
2020-10-23,11:40:00,Al Quadisiya,Dhamk,2.0,1.0,H,2.5,3.4,2.88,1.8,1.95,7.0,4.0,2.01,1.15
2020-10-23,12:05:00,Al Raed,Al Shabab,2.0,2.0,D,3.8,3.6,1.83,1.8,2.0,4.0,7.0,0.0,0.0
2020-10-23,13:55:00,Al Faisaly,Al Batin,2.0,1.0,H,1.77,3.55,3.95,1.7,2.1,4.0,7.0,0.0,0.0
2020-10-24,11:40:00,Al Ittifaq,Al-Ain,2.0,1.0,H,1.3,4.75,8.0,1.62,2.25,8.0,7.0,2.01,1.93
2020-10-24,13:55:00,Al Fateh,Al Ittihad,2.0,2.0,D,2.38,3.4,2.5,1.95,1.85,6.0,7.0,0.0,0.0
2020-10-29,11:50:00,Al Batin,Al Raed,2.0,1.0,H,2.55,3.6,2.4,2.0,1.8,4.0,3.0,1.44,1.7
2020-10-29,13:50:00,Al Quadisiya,Al Taawon,1.0,0.0,H,1.73,3.5,4.0,1.85,1.95,7.0,5.0,1.95,1.44
2020-10-30,09:40:00,Al-Ain,Al Fateh,2.0,4.0,A,2.3,3.4,2.5,2.1,1.7,4.0,6.0,0.0,1.71
2020-10-30,13:50:00,Al Wahda,Al Faisaly,1.0,2.0,A,1.7,3.6,4.33,1.95,1.85,4.0,6.0,1.84,1.08
2020-10-31,11:50:00,Al Hilal,Dhamk,2.0,0.0,H,1.2,6.0,9.0,1.4,2.88,8.0,4.0,1.78,1.15
2020-10-31,12:15:00,Abha,Al Ittifaq,3.0,2.0,H,2.9,3.3,2.15,1.85,1.95,6.0,4.0,0.0,1.81
2020-10-31,13:50:00,Al Ittihad,Al Ahli,2.0,0.0,H,2.7,2.95,2.0,1.78,1.78,4.0,7.0,1.0,1.58
2020-11-01,13:50:00,Al Shabab,Al Nassr,2.0,1.0,H,1.82,3.88,3.79,1.97,1.74,6.0,6.0,1.7,1.34
2020-11-05,13:45:00,Al Wahda,Al Raed,2.0,3.0,A,1.8,3.65,3.45,1.74,1.74,0.0,4.0,0.44,0.7
2020-11-06,09:35:00,Dhamk,Al Faisaly,0.0,0.0,D,3.0,3.6,2.0,1.8,2.0,4.0,2.0,1.58,1.08
2020-11-06,11:30:00,Al Ittifaq,Al Hilal,0.0,2.0,A,4.0,3.75,1.67,1.75,2.05,5.0,6.0,1.52,1.34
2020-11-06,11:45:00,Al Batin,Abha,3.0,0.0,H,2.25,3.5,2.63,1.85,1.95,7.0,4.0,1.44,0.0
2020-11-06,13:45:00,Al Ittihad,Al Taawon,1.0,1.0,D,1.6,3.85,4.5,1.71,1.71,3.0,5.0,1.0,1.44
2020-11-07,09:35:00,Al-Ain,Al Ahli,3.0,4.0,A,1.61,3.55,4.4,1.74,1.91,9.0,7.0,2.06,1.58
