Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,B365>2.5,B365<2.5,HST,AST,HomeXG,AwayXG
2021-02-17,09:00:00,Inđija,Mladost Lučani,1.0,0.0,H,2.45,3.0,2.65,2.0,1.65,6.0,0.0,1.48,0.62
2020-07-31,14:00:00,Spartak Subotica,Zlatibor Čajetina,3.0,0.0,H,1.25,5.05,8.0,1.91,1.71,5.0,3.0,1.41,1.34
2020-07-31,14:00:00,Bačka Topola,Vojvodina,2.0,2.0,D,2.25,3.1,2.8,1.95,1.67,7.0,9.0,2.18,2.14
2020-07-31,15:00:00,Mladost Lučani,Javor Ivanjica,2.0,1.0,H,1.42,4.05,5.65,1.8,1.8,5.0,7.0,1.4,1.65
2020-08-01,12:30:00,Napredak,Partizan,1.0,3.0,A,8.25,5.05,1.24,1.71,1.91,3.0,8.0,1.08,2.28
2020-08-01,14:30:00,Radnički Niš,Metalac GM,3.0,0.0,H,1.17,5.75,10.0,1.71,1.91,7.0,2.0,1.98,0.52
2020-08-01,14:30:00,Mačva Šabac,Bačka Palanka,1.0,0.0,H,2.35,2.95,2.8,2.2,1.51,5.0,4.0,1.27,1.65
2020-08-01,14:30:00,Proleter Novi Sad,Rad Beograd,2.0,0.0,H,1.44,4.0,5.55,1.87,1.71,4.0,6.0,1.28,1.6
2020-08-01,14:30:00,Čukarički,Inđija,3.0,0.0,H,1.34,4.4,6.45,1.77,1.83,8.0,3.0,2.34,1.17
2020-08-01,14:30:00,Voždovac,Radnik Surdulica,1.0,3.0,A,1.49,3.9,5.1,1.67,1.95,3.0,6.0,1.17,1.6
2020-08-01,14:30:00,Red Star Belgrade,Novi Pazar,3.0,0.0,H,1.05,13.0,17.0,1.2,4.33,12.0,3.0,0.0,0.0
2020-08-05,12:00:00,Novi Pazar,Partizan,3.0,2.0,H,10.0,5.45,1.19,1.5,2.25,4.0,14.0,1.31,2.96
2020-08-05,12:00:00,Inđija,Voždovac,0.0,1.0,A,2.4,3.2,2.55,1.74,1.87,6.0,8.0,1.94,1.7
2020-08-05,14:00:00,Red Star Belgrade,Radnički Niš,3.0,0.0,H,1.19,5.65,9.25,1.45,2.35,9.0,4.0,2.69,1.14
2020-08-05,14:00:00,Metalac GM,Mačva Šabac,2.0,1.0,H,1.8,3.15,4.0,2.05,1.61,7.0,3.0,1.66,1.13
2020-08-05,14:00:00,Bačka Palanka,Spartak Subotica,1.0,3.0,A,2.9,3.25,2.1,1.95,1.85,4.0,6.0,1.46,1.53
2020-08-05,14:00:00,Radnik Surdulica,Mladost Lučani,2.0,3.0,A,1.65,3.55,4.25,1.8,1.8,4.0,5.0,1.57,1.51
2020-08-05,14:00:00,Rad Beograd,Bačka Topola,1.0,3.0,A,5.2,3.85,1.49,1.77,1.83,3.0,7.0,1.55,1.84
2020-08-05,14:00:00,Javor Ivanjica,Napredak,3.0,0.0,H,1.87,3.25,3.6,1.77,1.83,4.0,3.0,1.79,1.32
2020-08-05,14:00:00,Zlatibor Čajetina,Proleter Novi Sad,0.0,2.0,A,2.85,3.05,2.25,2.05,1.61,6.0,5.0,2.23,1.5
2020-08-05,16:00:00,Vojvodina,Čukarički,2.0,2.0,D,1.65,3.35,4.65,1.91,1.69,5.0,10.0,1.59,2.37
2020-08-09,13:30:00,Mačva Šabac,Red Star Belgrade,0.0,3.0,A,13.75,7.75,1.08,1.49,2.3,0.0,5.0,0.59,2.16
2020-08-09,14:00:00,Napredak,Radnik Surdulica,2.0,1.0,H,2.1,3.25,2.95,1.8,1.8,8.0,5.0,1.87,1.37
2020-08-09,14:00:00,Mladost Lučani,Inđija,2.0,0.0,H,1.48,3.95,5.15,1.77,1.83,6.0,4.0,1.84,1.27
2020-08-09,14:00:00,Bačka Topola,Zlatibor Čajetina,5.0,1.0,H,1.14,6.45,11.25,1.57,2.1,8.0,2.0,2.18,0.96
2020-08-09,14:00:00,Spartak Subotica,Metalac GM,4.0,1.0,H,1.16,6.35,10.0,1.32,2.85,10.0,4.0,1.41,0.52
2020-08-09,14:00:00,Radnički Niš,Novi Pazar,2.0,1.0,H,1.13,6.85,11.25,1.49,2.3,4.0,5.0,1.21,1.19
2020-08-09,15:30:00,Čukarički,Rad Beograd,3.0,0.0,H,1.15,6.25,11.0,1.57,2.1,7.0,4.0,2.24,2.02
2020-08-09,15:30:00,Voždovac,Vojvodina,1.0,3.0,A,3.75,3.55,1.74,1.8,1.8,6.0,7.0,1.79,1.54
2020-08-09,15:30:00,Proleter Novi Sad,Bačka Palanka,1.0,1.0,D,1.67,3.6,4.15,1.91,1.71,2.0,4.0,0.92,1.15
2020-08-09,15:30:00,Partizan,Javor Ivanjica,4.0,0.0,H,1.04,9.75,16.0,1.31,2.9,9.0,3.0,2.04,1.3
2020-10-17,11:00:00,Mladost Lučani,Mačva Šabac,2.0,1.0,H,1.32,4.7,6.8,1.74,1.87,6.0,0.0,2.15,0.52
2020-08-14,14:00:00,Red Star Belgrade,Spartak Subotica,3.0,2.0,H,1.15,6.3,10.75,1.39,2.55,9.0,5.0,2.68,1.23
2020-08-15,12:00:00,Inđija,Napredak,1.0,0.0,H,2.4,3.1,2.65,2.1,1.59,5.0,3.0,1.26,1.21
2020-08-15,14:00:00,Novi Pazar,Javor Ivanjica,2.0,3.0,A,2.5,3.15,2.45,1.77,1.83,7.0,8.0,1.57,1.86
2020-08-15,14:00:00,Radnik Surdulica,Partizan,0.0,2.0,A,7.5,5.2,1.26,1.5,2.25,4.0,11.0,1.05,2.24
