Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,B365>2.5,B365<2.5,HST,AST,HomeXG,AwayXG
2020-08-22,12:00:00,Tabor Sežana,Koper,1.0,0.0,H,2.4,3.1,2.7,2.15,1.59,6.0,5.0,1.81,1.38
2020-08-22,14:00:00,Domžale,Bravo,1.0,2.0,A,2.1,3.25,3.1,1.8,1.83,10.0,9.0,1.85,1.91
2020-08-22,15:45:00,Celje,Mura,0.0,2.0,A,2.4,3.2,2.6,1.8,1.83,2.0,9.0,0.99,2.34
2020-08-22,20:00:00,Maribor,Aluminij,3.0,0.0,H,1.18,6.05,10.25,1.47,2.4,,,0.0,0.0
2020-08-29,12:00:00,Bravo,Gorica,4.0,1.0,H,1.77,3.55,3.85,1.57,2.15,10.0,4.0,2.72,1.4
2020-08-29,16:00:00,Aluminij,Celje,0.0,0.0,D,3.0,3.2,2.15,1.85,1.95,4.0,3.0,1.44,1.97
2020-08-30,11:00:00,Mura,Tabor Sežana,3.0,0.0,H,1.56,3.9,4.75,1.83,1.8,5.0,3.0,0.69,0.46
2020-08-30,13:00:00,Koper,Olimpija,1.0,1.0,D,3.0,3.55,2.0,1.67,2.0,5.0,5.0,1.04,1.39
2020-08-30,15:15:00,Domžale,Maribor,1.0,1.0,D,4.25,3.3,1.74,1.69,2.0,8.0,6.0,2.12,1.84
2020-09-12,13:00:00,Maribor,Bravo,4.0,1.0,H,1.43,4.35,5.65,1.49,2.35,6.0,6.0,1.33,2.05
2020-09-12,15:15:00,Celje,Domžale,1.0,2.0,A,2.1,3.5,2.9,1.67,2.0,2.0,7.0,1.19,1.63
2020-09-13,11:00:00,Tabor Sežana,Aluminij,3.0,1.0,H,2.2,3.15,2.95,1.65,2.05,5.0,8.0,1.53,2.67
2020-09-13,13:00:00,Gorica,Koper,2.0,4.0,A,2.45,3.4,2.45,1.65,2.0,7.0,5.0,1.99,1.12
2020-09-13,15:15:00,Olimpija,Mura,0.0,0.0,D,2.6,3.45,2.25,1.65,2.05,3.0,4.0,0.95,1.65
2020-09-19,10:45:00,Bravo,Koper,0.0,0.0,D,1.87,3.5,3.55,1.56,2.2,5.0,6.0,1.61,1.29
2020-09-19,13:00:00,Maribor,Celje,2.0,2.0,D,1.54,3.85,4.9,1.54,2.2,12.0,5.0,2.87,1.76
2020-09-20,11:00:00,Domžale,Tabor Sežana,3.0,1.0,H,1.95,3.45,3.3,1.59,2.1,11.0,2.0,2.68,1.16
2020-09-20,13:00:00,Aluminij,Olimpija,1.0,0.0,H,2.95,3.45,2.1,1.59,2.15,8.0,4.0,1.92,1.24
2020-09-20,15:30:00,Mura,Gorica,1.0,0.0,H,1.32,4.8,6.6,1.54,2.2,5.0,4.0,1.78,1.79
2020-09-26,10:30:00,Tabor Sežana,Maribor,3.0,1.0,H,4.05,3.75,1.69,1.51,2.3,6.0,4.0,1.39,1.73
2020-09-26,12:30:00,Gorica,Aluminij,2.0,0.0,H,2.2,3.4,2.8,1.67,2.0,3.0,2.0,0.89,1.11
2020-09-27,10:45:00,Celje,Bravo,2.0,0.0,H,1.67,3.7,4.15,1.59,2.1,10.0,6.0,2.24,1.68
2020-09-27,13:00:00,Koper,Mura,1.0,3.0,A,3.95,3.65,1.71,1.77,1.87,6.0,6.0,1.36,2.44
2020-09-27,15:15:00,Olimpija,Domžale,3.0,2.0,H,2.1,3.8,2.7,1.47,2.4,6.0,5.0,1.52,1.15
2020-09-30,15:00:00,Olimpija,Gorica,1.0,0.0,H,1.67,3.9,4.0,1.5,2.3,,,1.23,1.59
2020-10-03,12:00:00,Domžale,Gorica,1.0,1.0,D,1.53,3.9,5.1,1.43,2.5,4.0,6.0,1.74,1.39
2020-10-04,10:15:00,Bravo,Mura,2.0,1.0,H,3.85,3.55,1.74,1.77,1.87,6.0,6.0,1.64,1.46
2020-10-04,13:00:00,Celje,Tabor Sežana,2.0,1.0,H,1.74,3.5,3.95,1.91,1.74,7.0,2.0,2.22,0.71
2020-10-04,15:15:00,Maribor,Olimpija,1.0,1.0,D,2.1,3.35,3.0,1.54,2.25,5.0,6.0,1.5,2.05
2020-10-13,12:00:00,Aluminij,Koper,1.0,1.0,D,2.85,3.35,2.2,1.78,1.95,2.0,0.0,1.68,1.26
2020-10-17,10:45:00,Koper,Domžale,2.0,0.0,H,2.35,3.75,2.4,1.49,2.35,6.0,2.0,1.8,1.47
2020-10-17,13:00:00,Gorica,Maribor,0.0,4.0,A,3.7,3.35,1.83,1.62,2.05,2.0,9.0,0.93,2.44
2020-10-18,10:00:00,Tabor Sežana,Bravo,2.0,0.0,H,2.65,3.65,2.15,1.67,2.0,7.0,5.0,1.98,1.97
2020-10-18,12:00:00,Olimpija,Celje,1.0,0.0,H,2.15,3.15,3.05,1.83,1.8,7.0,0.0,2.07,0.88
2020-10-18,14:00:00,Mura,Aluminij,1.0,2.0,A,1.4,4.45,5.7,1.57,2.15,6.0,6.0,2.36,1.34
2020-10-24,10:45:00,Celje,Gorica,1.0,1.0,D,1.57,3.65,5.1,1.91,1.74,6.0,6.0,2.28,1.59
2020-10-24,13:00:00,Maribor,Koper,1.0,1.0,D,1.47,3.85,5.7,1.56,2.2,7.0,6.0,2.5,1.54
2020-10-25,08:00:00,Bravo,Aluminij,1.0,1.0,D,2.05,3.25,3.15,2.0,1.65,3.0,6.0,1.13,1.59
2020-10-25,10:00:00,Tabor Sežana,Olimpija,2.0,1.0,H,3.8,3.55,1.77,1.59,2.15,4.0,4.0,1.49,1.57
2020-10-25,13:30:00,Domžale,Mura,1.0,1.0,D,5.4,4.2,1.45,1.59,2.1,8.0,6.0,2.1,1.97
2020-10-28,12:00:00,Gorica,Tabor Sežana,2.0,1.0,H,2.5,3.45,2.4,1.91,1.77,5.0,5.0,1.03,2.15
2020-10-28,14:00:00,Koper,Celje,3.0,0.0,H,2.75,3.2,2.3,2.05,1.75,8.0,2.0,1.77,1.8
2020-10-29,11:45:00,Olimpija,Bravo,2.0,0.0,H,1.91,3.25,3.65,1.83,1.83,4.0,3.0,1.56,1.13
2020-10-29,13:30:00,Mura,Maribor,2.0,0.0,H,2.55,3.05,2.6,1.8,2.0,8.0,3.0,1.57,1.84
2020-11-02,13:00:00,Mura,Celje,0.0,0.0,D,1.77,3.8,3.6,1.91,1.77,4.0,4.0,1.75,1.67
2020-11-02,16:15:00,Aluminij,Maribor,1.0,3.0,A,4.05,4.0,1.65,1.61,2.15,4.0,10.0,1.59,2.42
2020-11-03,12:00:00,Koper,Tabor Sežana,2.0,1.0,H,1.87,3.3,3.8,1.95,1.74,6.0,7.0,2.0,2.17
2020-11-03,14:00:00,Gorica,Olimpija,0.0,2.0,A,4.1,4.05,1.62,1.67,2.05,6.0,7.0,1.75,2.11
2020-11-06,13:00:00,Celje,Aluminij,4.0,0.0,H,1.88,3.45,3.35,1.75,1.75,6.0,5.0,1.81,1.72
2020-11-07,10:00:00,Tabor Sežana,Mura,0.0,0.0,D,3.45,3.6,1.87,1.77,1.91,7.0,3.0,1.86,1.82
2020-11-07,12:00:00,Olimpija,Koper,1.0,2.0,A,1.65,3.8,4.25,1.87,1.8,5.0,6.0,1.74,1.52
2020-11-07,14:00:00,Maribor,Domžale,4.0,3.0,H,1.34,4.55,7.25,1.57,2.2,9.0,6.0,2.56,1.37
2020-11-07,16:00:00,Gorica,Bravo,0.0,0.0,D,2.7,3.45,2.25,1.71,1.95,4.0,3.0,1.93,1.04
2020-11-14,13:00:00,Aluminij,Domžale,1.0,2.0,A,2.45,3.6,2.35,1.48,2.4,4.0,5.0,1.17,1.48
2020-11-21,09:45:00,Bravo,Maribor,1.0,2.0,A,3.95,3.95,1.67,1.57,2.2,7.0,7.0,2.01,1.82
2020-11-21,13:15:00,Mura,Olimpija,0.0,1.0,A,2.1,3.2,3.15,2.0,1.69,5.0,6.0,1.44,1.59
2020-11-21,16:00:00,Koper,Gorica,1.0,1.0,D,1.74,3.25,4.35,1.74,1.95,8.0,4.0,2.38,1.21
2020-11-24,14:00:00,Gorica,Mura,0.0,1.0,A,4.2,3.35,1.74,2.05,1.65,4.0,4.0,1.82,1.54
2020-11-22,11:00:00,Aluminij,Tabor Sežana,0.0,0.0,D,2.25,3.35,2.75,1.74,1.95,4.0,7.0,1.13,1.82
2020-11-22,13:00:00,Domžale,Celje,0.0,1.0,A,2.4,3.35,2.6,1.74,1.95,4.0,4.0,2.04,1.31
2020-11-24,12:00:00,Koper,Bravo,2.0,1.0,H,2.0,3.15,3.55,1.87,1.8,5.0,6.0,1.66,1.49
2020-11-25,09:30:00,Tabor Sežana,Domžale,1.0,1.0,D,2.3,3.6,2.55,1.59,2.15,4.0,4.0,1.78,1.26
2020-11-25,13:00:00,Celje,Maribor,0.0,2.0,A,3.4,3.3,1.95,1.57,2.2,0.0,9.0,1.22,1.99
2020-11-26,13:00:00,Olimpija,Aluminij,3.0,0.0,H,1.38,4.25,6.5,1.83,1.83,6.0,6.0,1.22,1.28
2020-11-28,10:15:00,Mura,Koper,2.0,1.0,H,1.95,3.15,3.55,2.1,1.62,5.0,3.0,2.21,0.92
2020-11-28,13:15:00,Maribor,Tabor Sežana,1.0,0.0,H,1.39,4.4,6.0,1.61,2.1,8.0,4.0,2.01,1.26
2020-11-29,09:15:00,Bravo,Celje,2.0,1.0,H,2.5,3.0,2.7,1.77,1.91,8.0,5.0,2.1,1.58
2020-11-29,11:15:00,Aluminij,Gorica,2.0,1.0,H,2.2,3.4,2.85,1.74,1.95,9.0,8.0,2.21,1.74
2020-11-29,13:15:00,Domžale,Olimpija,3.0,1.0,H,3.15,3.05,2.15,1.87,1.8,5.0,6.0,1.63,2.11
2020-12-02,09:00:00,Gorica,Domžale,0.0,2.0,A,3.0,3.5,2.05,1.71,1.95,5.0,5.0,1.17,1.41
2020-12-02,11:00:00,Mura,Bravo,0.0,0.0,D,1.62,3.45,4.85,1.77,1.91,5.0,4.0,1.69,1.24
2020-12-02,13:15:00,Koper,Aluminij,1.0,0.0,H,1.62,3.3,5.5,1.75,1.95,4.0,7.0,1.54,2.25
2020-12-03,12:45:00,Olimpija,Maribor,2.0,0.0,H,2.65,2.95,2.55,1.95,1.74,5.0,4.0,1.62,2.11
2020-12-05,11:00:00,Domžale,Koper,1.0,1.0,D,2.4,2.95,2.9,1.87,1.8,7.0,5.0,1.78,1.53
