Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,B365>2.5,B365<2.5,HST,AST,HomeXG,AwayXG
2021-02-23,21:30:00,Liverpool FC Montevideo,CD Universidad Católica,2.0,1.0,H,2.05,3.5,3.4,2.1,1.7,7.0,5.0,2.21,1.53
2021-02-24,19:15:00,César Vallejo,Caracas,0.0,0.0,D,1.42,3.1,2.65,2.6,1.48,4.0,2.0,1.24,0.7
2021-02-24,21:30:00,Royal Pari,Guaraní,1.0,4.0,A,2.55,3.5,1.45,1.85,1.95,4.0,7.0,1.71,1.67
2021-03-02,21:30:00,CD Universidad Católica,Liverpool FC Montevideo,3.0,0.0,H,1.33,4.5,8.0,1.57,2.35,6.0,5.0,1.9,1.87
2021-03-03,19:15:00,Caracas,César Vallejo,2.0,0.0,H,1.49,3.0,2.5,2.6,1.48,6.0,3.0,1.54,1.28
2021-03-03,21:30:00,Guaraní,Royal Pari,1.0,1.0,D,1.13,5.0,6.25,1.44,2.7,7.0,3.0,1.61,1.54
2021-03-09,19:15:00,Santos,Deportivo Lara,2.0,1.0,H,1.08,4.75,6.7,1.95,1.85,8.0,4.0,1.92,1.19
2021-03-09,19:15:00,Wanderers,Bolívar,1.0,0.0,H,1.42,3.4,2.6,2.05,1.75,8.0,4.0,2.51,1.51
2021-03-09,21:30:00,Unión Española,CSD Independiente del Valle,1.0,0.0,H,2.0,3.5,1.72,1.73,2.08,3.0,5.0,0.96,1.37
2021-03-10,19:15:00,CD Universidad Católica,Libertad,0.0,1.0,A,1.73,3.5,5.0,2.2,1.65,5.0,6.0,2.13,1.54
2021-03-10,21:30:00,Grêmio,Ayacucho,6.0,1.0,H,1.02,7.5,10.5,1.48,2.6,15.0,4.0,3.14,0.91
2021-03-10,21:30:00,Universidad Chile,San Lorenzo,1.0,1.0,D,1.9,3.1,1.83,2.88,1.4,6.0,5.0,1.36,1.25
2021-03-10,21:30:00,Caracas,Junior,1.0,2.0,A,2.35,3.2,1.55,2.88,1.4,3.0,9.0,1.18,2.46
2021-03-11,21:30:00,Guaraní,Atlético Nacional,0.0,2.0,A,1.75,3.1,1.95,2.4,1.53,5.0,6.0,1.88,1.28
2021-03-16,19:15:00,Bolívar,Wanderers,5.0,0.0,H,1.03,8.0,8.75,1.44,2.7,5.0,0.0,1.17,0.41
2021-03-16,19:15:00,Deportivo Lara,Santos,1.0,1.0,D,3.15,3.4,1.32,2.2,1.65,3.0,4.0,1.05,1.26
2021-03-16,21:30:00,Ayacucho,Grêmio,1.0,2.0,A,4.4,4.33,1.18,1.65,2.2,8.0,7.0,2.07,1.63
2021-03-16,21:30:00,CSD Independiente del Valle,Unión Española,6.0,2.0,H,1.06,6.5,7.25,1.44,2.7,9.0,3.0,2.31,1.15
2021-03-17,19:15:00,Libertad,CD Universidad Católica,2.0,2.0,D,1.62,3.5,5.25,2.05,1.75,3.0,3.0,0.74,0.92
2021-03-17,21:30:00,San Lorenzo,Universidad Chile,2.0,0.0,H,1.06,4.75,7.5,1.8,2.0,8.0,4.0,1.82,1.09
2021-03-17,21:30:00,Junior,Caracas,3.0,1.0,H,1.1,4.5,6.0,1.85,1.95,8.0,3.0,2.29,1.23
2021-03-18,21:30:00,Atlético Nacional,Guaraní,3.0,0.0,H,1.2,3.8,4.1,2.0,1.8,6.0,2.0,1.63,1.08
2021-04-06,21:30:00,San Lorenzo,Santos,1.0,3.0,A,1.65,3.0,2.2,2.7,1.44,5.0,8.0,1.81,2.07
2021-04-07,21:30:00,Libertad,Atlético Nacional,1.0,0.0,H,1.62,3.0,2.25,2.4,1.53,5.0,5.0,1.35,1.33
2021-04-08,21:30:00,Bolívar,Junior,2.0,1.0,H,1.25,3.75,3.75,2.1,1.7,7.0,2.0,2.38,0.49
2021-04-09,19:15:00,CSD Independiente del Valle,Grêmio,2.0,1.0,H,1.91,3.4,4.3,2.13,1.64,5.0,2.0,1.9,0.66
2021-04-13,21:30:00,Santos,San Lorenzo,2.0,2.0,D,1.68,3.5,2.05,2.0,1.8,5.0,9.0,1.59,2.22
2021-04-14,19:15:00,Grêmio,CSD Independiente del Valle,1.0,2.0,A,1.59,3.7,4.6,1.91,1.93,7.0,7.0,1.53,2.07
2021-04-14,21:30:00,Atlético Nacional,Libertad,4.0,1.0,H,1.31,3.5,3.2,2.1,1.7,5.0,3.0,1.42,1.96
2021-04-15,21:30:00,Junior,Bolívar,3.0,0.0,H,1.11,5.0,6.0,1.57,2.35,7.0,2.0,1.59,1.35
2021-04-20,19:15:00,Argentinos Juniors,Nacional,2.0,0.0,H,2.05,3.15,4.0,2.4,1.56,5.0,4.0,1.53,1.35
2021-04-20,19:15:00,Santos,Barcelona,0.0,2.0,A,1.8,3.55,4.45,2.05,1.74,3.0,5.0,1.22,1.27
2021-04-20,19:15:00,Deportivo Táchira,Olimpia,3.0,2.0,H,3.6,3.45,2.05,2.1,1.74,7.0,8.0,1.94,1.97
2021-04-20,19:15:00,Club Always Ready,Internacional,2.0,0.0,H,2.65,3.35,2.6,2.0,1.77,9.0,3.0,2.17,1.2
2021-04-20,21:30:00,Sporting Cristal,São Paulo,0.0,3.0,A,3.7,4.2,1.23,1.8,2.0,3.0,6.0,1.17,1.49
2021-04-20,21:30:00,Vélez Sarsfield,Flamengo,2.0,3.0,A,2.4,3.4,1.5,1.8,2.0,3.0,6.0,1.03,1.56
2021-04-21,19:00:00,The Strongest,Boca Juniors,0.0,1.0,A,1.87,3.65,4.0,1.95,1.83,0.0,5.0,1.55,1.05
2021-04-21,19:00:00,Deportivo La Guaira,Atlético Mineiro,1.0,1.0,D,7.25,4.75,1.39,1.8,2.0,7.0,9.0,1.38,2.91
2021-04-21,21:00:00,Universitario,Palmeiras,2.0,3.0,A,6.0,4.5,1.09,1.95,1.85,4.0,5.0,1.02,1.93
2021-04-21,21:00:00,Rentistas,Racing Club,1.0,1.0,D,4.5,4.0,1.17,2.15,1.67,3.0,11.0,1.02,2.78
2021-04-21,21:00:00,CSD Independiente del Valle,Defensa y Justicia,1.0,1.0,D,1.17,4.2,4.5,1.7,2.1,7.0,2.0,2.46,0.54
2021-04-21,23:00:00,Unión La Calera,LDU Quito,2.0,2.0,D,1.95,3.1,1.75,2.0,1.8,4.0,5.0,1.41,1.48
2021-04-21,23:00:00,América de Cali,Cerro Porteño,0.0,2.0,A,1.65,3.2,2.1,2.5,1.5,4.0,5.0,1.39,1.13
2021-04-22,19:00:00,Fluminense,River Plate,1.0,1.0,D,3.75,3.45,2.0,1.8,2.0,4.0,4.0,1.19,1.39
2021-04-22,21:00:00,Atlético Nacional,Universidad Católica,2.0,0.0,H,1.3,3.5,3.25,2.05,1.75,4.0,0.0,0.83,0.48
2021-04-22,23:00:00,Junior,Santa Fe,1.0,1.0,D,2.1,3.05,3.9,2.4,1.56,4.0,4.0,1.4,1.12
2021-04-27,19:15:00,Atlético Mineiro,América de Cali,2.0,1.0,H,1.37,4.9,8.0,1.83,1.95,8.0,3.0,2.24,1.03
2021-04-27,19:15:00,LDU Quito,Vélez Sarsfield,3.0,1.0,H,1.65,4.05,4.85,1.8,2.0,8.0,4.0,1.79,1.22
2021-04-27,19:15:00,Flamengo,Unión La Calera,4.0,1.0,H,1.11,9.75,16.0,1.36,3.05,10.0,2.0,2.26,0.68
2021-04-27,21:30:00,Palmeiras,CSD Independiente del Valle,5.0,0.0,H,1.22,3.8,3.8,1.9,1.9,9.0,3.0,1.58,1.03
2021-04-27,21:30:00,Internacional,Deportivo Táchira,4.0,0.0,H,1.04,5.75,8.5,1.65,2.2,10.0,3.0,2.16,1.12
2021-04-27,21:30:00,Boca Juniors,Santos,2.0,0.0,H,1.16,4.2,4.6,2.05,1.75,6.0,0.0,1.42,0.72
2021-04-28,19:00:00,Defensa y Justicia,Universitario,3.0,0.0,H,1.22,5.5,9.5,1.57,2.25,9.0,2.0,2.1,0.56
2021-04-28,19:00:00,Cerro Porteño,Deportivo La Guaira,0.0,0.0,D,1.3,4.75,8.0,1.8,1.9,4.0,0.0,2.17,0.2
2021-04-28,19:00:00,Nacional,Atlético Nacional,4.0,4.0,D,2.45,3.15,2.65,2.25,1.57,6.0,8.0,1.56,2.09
2021-04-28,21:00:00,River Plate,Junior,2.0,1.0,H,1.1,5.25,6.0,1.7,2.1,8.0,5.0,2.2,1.66
2021-04-28,21:00:00,Santa Fe,Fluminense,1.0,2.0,A,1.72,3.2,2.0,2.4,1.53,6.0,6.0,1.82,1.37
2021-04-28,23:00:00,Olimpia,Club Always Ready,2.0,1.0,H,1.23,4.5,3.75,1.53,2.4,4.0,4.0,1.75,1.09
2021-04-28,23:00:00,Barcelona,The Strongest,4.0,0.0,H,1.07,6.0,6.75,1.57,2.35,6.0,2.0,1.56,0.45
2021-04-29,19:00:00,Racing Club,Sporting Cristal,2.0,1.0,H,1.41,4.17,5.22,1.77,2.0,6.0,9.0,1.46,2.58
2021-04-29,19:00:00,Universidad Católica,Argentinos Juniors,0.0,2.0,A,2.25,3.25,3.0,1.96,1.8,5.0,5.0,1.38,1.07
2021-04-29,21:00:00,São Paulo,Rentistas,2.0,0.0,H,1.02,8.0,9.75,1.44,2.7,7.0,3.0,2.07,0.67
2021-05-04,19:15:00,Atlético Mineiro,Cerro Porteño,4.0,0.0,H,1.41,4.8,6.75,1.74,2.05,9.0,3.0,2.12,1.15
2021-05-04,19:15:00,Santos,The Strongest,5.0,0.0,H,1.2,6.75,13.0,1.56,2.4,9.0,7.0,2.1,1.77
2021-05-04,19:15:00,Unión La Calera,Vélez Sarsfield,0.0,2.0,A,3.55,3.45,2.05,1.8,1.95,3.0,6.0,1.29,1.28
2021-05-04,21:30:00,Barcelona,Boca Juniors,1.0,0.0,H,1.65,3.0,2.1,2.35,1.57,3.0,3.0,0.84,1.12
2021-05-04,21:30:00,Defensa y Justicia,Palmeiras,1.0,2.0,A,4.2,3.8,1.2,2.1,1.7,5.0,5.0,1.51,1.51
2021-05-04,21:30:00,LDU Quito,Flamengo,2.0,3.0,A,2.35,3.6,1.52,1.75,2.05,3.0,6.0,1.49,1.41
2021-05-05,19:00:00,Racing Club,São Paulo,0.0,0.0,D,3.6,3.35,2.1,2.25,1.65,5.0,3.0,1.61,0.82
2021-05-05,19:00:00,CSD Independiente del Valle,Universitario,4.0,0.0,H,1.13,8.75,14.0,1.43,2.75,6.0,0.0,1.41,0.38
2021-05-05,21:00:00,Rentistas,Sporting Cristal,0.0,0.0,D,2.1,3.2,1.65,2.05,1.75,5.0,5.0,1.82,1.59
2021-05-05,21:00:00,Internacional,Olimpia,6.0,1.0,H,1.13,4.0,5.25,1.67,2.15,11.0,2.0,2.31,0.89
2021-05-05,23:00:00,Universidad Católica,Nacional,3.0,1.0,H,2.1,3.6,3.25,1.83,1.95,6.0,2.0,1.89,0.78
2021-05-06,19:00:00,Atlético Nacional,Argentinos Juniors,0.0,2.0,A,2.95,3.05,2.55,2.2,1.65,3.0,4.0,1.03,1.3
2021-05-06,19:00:00,Club Always Ready,Deportivo Táchira,2.0,0.0,H,1.17,7.75,14.0,1.49,2.55,12.0,3.0,3.07,0.97
2021-05-06,21:00:00,Santa Fe,River Plate,0.0,0.0,D,3.9,3.8,1.22,2.05,1.75,3.0,5.0,1.14,1.7
2021-05-06,21:00:00,Junior,Fluminense,1.0,1.0,D,2.3,3.1,1.55,2.4,1.53,5.0,5.0,1.65,1.48
2021-05-06,23:00:00,Deportivo La Guaira,América de Cali,0.0,0.0,D,3.5,3.0,2.3,2.4,1.54,3.0,5.0,0.89,2.21
