Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,B365>2.5,B365<2.5,HST,AST,HomeXG,AwayXG
2021-02-27,01:30:00,Gyeongnam,Anyang,1.0,2.0,A,1.91,3.55,3.3,1.87,1.77,3.0,6.0,1.37,1.42
2021-02-27,04:00:00,Ansan Greeners,Sangju Sangmu,1.0,1.0,D,5.0,3.85,1.58,1.77,2.03,4.0,5.0,1.15,1.74
2021-02-27,04:00:00,Jeonnam Dragons,Asan Mugunghwa,0.0,0.0,D,1.87,2.85,4.65,2.25,1.53,6.0,2.0,1.72,0.92
2021-02-28,01:30:00,Bucheon 1995,Daejeon Citizen,1.0,2.0,A,3.05,2.95,2.3,2.05,1.62,5.0,10.0,1.14,2.72
2021-02-28,04:00:00,Busan I'Park,Seoul E-Land,0.0,3.0,A,2.1,3.0,3.35,2.15,1.67,4.0,6.0,1.53,1.53
2021-03-06,01:30:00,Asan Mugunghwa,Bucheon 1995,0.0,1.0,A,2.4,3.2,2.75,2.15,1.67,3.0,2.0,1.37,0.86
2021-03-06,04:00:00,Seoul E-Land,Sangju Sangmu,4.0,0.0,H,2.8,3.25,2.35,2.0,1.72,5.0,2.0,0.9,0.59
2021-03-06,04:00:00,Anyang,Ansan Greeners,1.0,2.0,A,1.82,3.25,3.8,1.65,2.25,3.0,5.0,1.29,1.04
2021-03-07,01:30:00,Daejeon Citizen,Busan I'Park,1.0,2.0,A,2.53,3.24,2.77,2.12,1.67,6.0,4.0,1.62,1.09
2021-03-07,04:00:00,Jeonnam Dragons,Gyeongnam,1.0,0.0,H,2.75,3.0,2.45,2.15,1.57,2.0,2.0,0.53,0.82
2021-03-13,01:30:00,Ansan Greeners,Gyeongnam,1.0,2.0,A,2.93,2.99,2.41,2.15,1.62,4.0,6.0,0.89,1.46
2021-03-13,04:00:00,Asan Mugunghwa,Busan I'Park,4.0,0.0,H,4.08,3.5,1.87,2.1,1.67,7.0,13.0,1.57,2.5
2021-03-14,01:30:00,Seoul E-Land,Jeonnam Dragons,1.0,1.0,D,2.4,2.8,3.05,2.05,1.65,2.0,4.0,1.21,1.16
2021-03-14,04:00:00,Bucheon 1995,Anyang,0.0,0.0,D,3.2,3.2,2.1,2.25,1.61,2.0,4.0,0.69,1.71
2021-03-14,06:30:00,Daejeon Citizen,Sangju Sangmu,1.0,2.0,A,2.04,3.35,3.3,2.0,1.8,5.0,7.0,1.48,1.55
2021-03-20,01:30:00,Bucheon 1995,Jeonnam Dragons,1.0,1.0,D,3.1,3.0,2.2,2.6,1.43,7.0,3.0,1.55,1.31
2021-03-20,04:00:00,Anyang,Daejeon Citizen,0.0,1.0,A,2.75,3.0,2.45,2.25,1.61,0.0,10.0,0.44,2.36
2021-03-20,06:30:00,Ansan Greeners,Asan Mugunghwa,1.0,0.0,H,2.45,3.0,2.7,2.35,1.55,3.0,5.0,0.99,1.75
2021-03-21,01:30:00,Gyeongnam,Seoul E-Land,0.0,0.0,D,2.63,3.0,2.5,2.25,1.62,4.0,0.0,1.21,0.58
2021-03-21,04:00:00,Busan I'Park,Sangju Sangmu,2.0,1.0,H,2.9,3.05,2.3,2.0,1.67,8.0,10.0,1.27,2.46
2021-04-03,01:30:00,Asan Mugunghwa,Gyeongnam,2.0,1.0,H,3.58,3.21,2.18,1.99,1.73,5.0,3.0,1.38,1.29
2021-04-03,04:00:00,Busan I'Park,Ansan Greeners,1.0,1.0,D,1.99,3.21,2.97,2.0,1.72,2.0,2.0,0.78,0.73
2021-04-04,01:30:00,Jeonnam Dragons,Daejeon Citizen,1.0,2.0,A,2.88,2.76,2.78,2.45,1.48,6.0,6.0,1.99,2.08
2021-04-04,04:00:00,Sangju Sangmu,Anyang,0.0,0.0,D,1.92,3.39,3.54,2.1,1.67,5.0,3.0,1.09,1.3
2021-04-04,06:30:00,Seoul E-Land,Bucheon 1995,4.0,0.0,H,1.7,3.2,4.6,2.2,1.61,10.0,3.0,2.02,0.99
2021-04-10,04:00:00,Seoul E-Land,Asan Mugunghwa,0.0,1.0,A,1.75,3.1,6.6,2.23,1.62,4.0,5.0,1.37,1.41
2021-04-10,06:30:00,Sangju Sangmu,Bucheon 1995,1.0,0.0,H,1.65,3.6,5.0,2.1,1.68,5.0,3.0,1.76,0.86
2021-04-11,01:30:00,Ansan Greeners,Jeonnam Dragons,0.0,1.0,A,3.75,3.15,1.91,2.1,1.61,3.0,7.0,1.41,1.63
