Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,B365>2.5,B365<2.5,HST,AST,HomeXG,AwayXG
2023-08-26,15:30:00,Deportivo La Coruña,Rayo Majadahonda,0.0,0.0,D,1.4,4.0,6.5,2.1,1.7,9.0,2.0,2.3,0.45
2023-08-26,15:30:00,Osasuna II,UE Cornellà,1.0,0.0,H,1.83,3.1,4.0,2.6,1.48,4.0,6.0,1.11,1.58
2023-08-26,16:30:00,Unionistas de Salamanca CF,Sestao River Club,0.0,0.0,D,1.85,3.1,4.0,2.6,1.48,8.0,5.0,2.2,1.09
2023-08-26,16:30:00,Gimnàstic de Tarragona,Arenteiro,1.0,0.0,H,1.53,3.4,5.75,2.5,1.5,11.0,2.0,2.33,0.83
2023-08-27,15:30:00,CD Lugo,CD Teruel,2.0,1.0,H,1.7,3.25,4.5,2.4,1.53,4.0,3.0,1.15,0.79
2023-08-27,15:30:00,Real Sociedad II,SD Tarazona,1.0,0.0,H,1.62,3.5,4.75,2.2,1.65,3.0,2.0,1.48,0.66
2023-08-27,15:30:00,Real Unión,CE Sabadell FC,2.0,1.0,H,2.2,3.0,3.1,2.4,1.53,5.0,6.0,1.29,1.74
2023-08-27,16:30:00,CF Fuenlabrada,Cultural y Deportiva Leonesa,0.0,1.0,A,3.0,3.0,2.2,2.4,1.53,6.0,3.0,1.66,1.3
2023-08-27,16:30:00,SD Logroñés,Barcelona II,1.0,0.0,H,3.0,2.9,2.25,2.25,1.62,2.0,0.0,0.34,0.6
2023-08-27,16:30:00,SD Ponferradina,Celta de Vigo II,2.0,1.0,H,2.05,3.2,3.2,2.08,1.73,5.0,7.0,0.99,1.85
2023-09-02,15:30:00,Unionistas de Salamanca CF,Cultural y Deportiva Leonesa,1.0,0.0,H,2.2,3.0,3.25,2.48,1.48,6.0,4.0,1.5,1.28
2023-09-02,15:30:00,Celta de Vigo II,SD Tarazona,1.0,0.0,H,1.67,3.4,4.75,2.08,1.67,6.0,4.0,1.46,0.78
