Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,B365>2.5,B365<2.5,HST,AST,HomeXG,AwayXG
2024-10-27,08:00:00,Illescas,Colonia Moscardó,0.0,1.0,A,2.2,3.1,2.9,2.63,1.44,6.0,5.0,1.63,1.65
2024-10-27,08:00:00,Rayo Majadahonda,UD Melilla,0.0,0.0,D,1.85,3.1,4.0,2.38,1.53,6.0,0.0,1.91,0.77
2024-08-31,07:00:00,Tenerife II,UD Melilla,3.0,1.0,H,2.25,2.8,3.1,2.5,1.5,7.0,4.0,1.88,1.44
2024-08-31,15:00:00,Rayo Majadahonda,UB Conquense,2.0,1.0,H,1.85,2.8,4.75,2.75,1.4,6.0,4.0,2.17,1.08
2024-08-31,16:00:00,CP Cacereño,Móstoles,3.0,0.0,H,1.8,3.0,4.5,2.5,1.5,10.0,3.0,2.36,0.91
2024-09-01,06:00:00,Guadalajara,Atlético Paso,2.0,0.0,H,1.9,3.0,4.0,2.5,1.5,5.0,3.0,1.81,1.46
2024-09-01,07:00:00,AD Unión Adarve,CDA Navalcarnero,1.0,2.0,A,2.2,2.9,3.2,2.38,1.53,11.0,5.0,2.37,1.45
2024-09-01,07:00:00,SS Reyes,Getafe II,1.0,2.0,A,1.95,3.2,3.6,2.35,1.57,5.0,7.0,1.56,1.73
2024-09-01,08:00:00,Unión Sur Yaiza,Illescas,2.0,1.0,H,2.4,2.9,2.8,2.5,1.5,,,0.0,0.0
2024-09-01,13:30:00,Real Madrid III,CD Coria,3.0,3.0,D,1.7,3.11,4.36,2.2,1.55,7.0,7.0,1.67,1.99
2024-09-01,14:00:00,Talavera CF,Colonia Moscardó,1.0,0.0,H,1.87,3.02,3.64,2.3,1.5,7.0,7.0,1.75,1.48
2024-09-07,13:00:00,Colonia Moscardó,CP Cacereño,1.0,2.0,A,3.6,3.0,1.95,2.35,1.57,6.0,6.0,1.81,1.64
2024-09-07,14:00:00,CDA Navalcarnero,Real Madrid III,2.0,1.0,H,2.05,3.2,3.2,2.15,1.67,5.0,5.0,1.83,1.21
2024-09-08,06:30:00,Getafe II,AD Unión Adarve,2.0,0.0,H,1.85,3.1,3.9,2.5,1.5,5.0,2.0,1.61,0.96
