Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,B365>2.5,B365<2.5,HST,AST,HomeXG,AwayXG
2021-04-10,10:00:00,Malmö FF,Hammarby,3.0,2.0,H,1.77,3.75,4.2,1.6,2.33,4.0,4.0,1.9,0.89
2021-04-10,12:30:00,Örebro,IFK Göteborg,0.0,0.0,D,3.35,3.25,2.15,2.0,1.9,3.0,3.0,1.24,1.38
2021-04-11,10:00:00,Halmstad,Häcken,1.0,0.0,H,3.6,3.45,2.05,1.91,1.87,5.0,2.0,1.74,1.01
2021-04-11,10:00:00,Mjällby,Varberg,0.0,0.0,D,2.1,3.35,3.45,2.05,1.77,2.0,3.0,1.3,1.16
2021-04-11,12:30:00,Elfsborg,Djurgården,0.0,2.0,A,2.9,3.3,2.4,1.91,1.87,5.0,4.0,1.21,0.85
2021-04-11,12:30:00,Norrköping,Sirius,1.0,1.0,D,1.56,4.1,6.0,1.54,2.4,6.0,5.0,1.45,1.03
2021-04-12,14:00:00,AIK,Degerfors,2.0,0.0,H,1.85,3.6,4.25,1.97,1.75,8.0,4.0,2.11,1.22
2021-04-12,14:00:00,Kalmar,Östersunds FK,0.0,0.0,D,2.1,3.25,3.75,1.95,1.76,4.0,0.0,1.51,0.59
2021-04-17,10:00:00,Hammarby,Mjällby,2.0,0.0,H,1.5,4.0,5.2,1.57,2.25,3.0,6.0,1.45,1.87
2021-04-18,10:00:00,Häcken,Malmö FF,1.0,2.0,A,3.65,3.6,1.95,1.87,1.91,6.0,8.0,1.41,1.54
2021-04-18,10:00:00,Degerfors,Kalmar,0.0,1.0,A,2.2,3.4,3.25,2.0,1.8,0.0,6.0,0.37,1.79
2021-04-18,10:00:00,Östersunds FK,Örebro,5.0,0.0,H,2.7,3.15,2.7,2.05,1.74,6.0,3.0,0.96,1.11
2021-04-18,12:30:00,Sirius,Halmstad,1.0,0.0,H,2.4,3.2,3.05,2.0,1.77,4.0,4.0,1.42,1.06
2021-04-18,12:30:00,Djurgården,Norrköping,1.0,0.0,H,2.1,3.6,3.3,1.8,2.0,3.0,0.0,1.91,0.88
2021-04-19,14:00:00,Varberg,Elfsborg,1.0,3.0,A,3.65,3.5,2.0,1.95,1.83,5.0,5.0,2.07,1.86
2021-04-19,14:00:00,IFK Göteborg,AIK,2.0,0.0,H,2.85,3.1,2.6,2.25,1.62,6.0,5.0,1.45,1.59
2021-04-24,10:00:00,Häcken,Sirius,1.0,2.0,A,1.71,3.5,5.5,1.91,1.91,9.0,6.0,2.6,1.68
2021-04-25,10:00:00,Norrköping,Halmstad,2.0,1.0,H,1.8,3.65,4.4,1.83,1.91,9.0,2.0,2.27,0.8
