Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,B365>2.5,B365<2.5,HST,AST,HomeXG,AwayXG
2021-04-17,08:00:00,Växjö,AIK Women,1.0,1.0,D,2.01,3.5,2.9,1.78,2.06,6.0,2.0,1.27,0.6
2021-04-17,10:00:00,Djurgården W,KIF Örebro,1.0,0.0,H,2.8,3.55,2.04,1.76,2.09,2.0,0.0,0.62,0.5
2021-04-18,09:00:00,Vittsjö,Piteå Women,2.0,1.0,H,1.6,3.95,4.6,1.76,1.96,5.0,6.0,1.25,1.24
2021-04-18,09:00:00,Hammarby,Häcken W,0.0,1.0,A,7.75,5.25,1.3,1.58,2.23,4.0,2.0,1.24,1.29
2021-04-18,10:00:00,Eskilstuna United,Kristianstad,1.0,1.0,D,3.05,3.8,1.97,1.58,2.23,5.0,6.0,1.43,1.41
2021-04-18,12:00:00,Linköping,Rosengard Women,0.0,1.0,A,4.0,4.0,1.65,1.56,2.3,0.0,10.0,0.67,2.22
2021-04-23,14:00:00,Häcken W,Växjö,2.0,0.0,H,1.08,8.5,17.0,1.35,2.94,10.0,6.0,2.47,0.99
2021-04-24,09:00:00,Rosengard Women,Hammarby,3.0,1.0,H,1.1,7.75,13.91,1.38,2.81,15.0,5.0,2.83,1.41
2021-04-24,09:00:00,Kristianstad,Djurgården W,2.0,1.0,H,1.33,4.85,6.58,1.53,2.4,,,0.0,0.0
2021-04-24,10:00:00,KIF Örebro,Vittsjö,1.0,0.0,H,2.67,3.7,2.15,1.69,2.04,2.0,9.0,0.53,2.33
2021-04-24,11:00:00,AIK Women,Linköping,1.0,2.0,A,6.58,4.85,1.33,1.57,2.25,3.0,13.0,0.77,3.14
2021-04-25,10:00:00,Piteå Women,Eskilstuna United,0.0,2.0,A,2.8,3.4,2.17,1.75,1.95,,,0.0,0.0
2021-04-30,14:00:00,Växjö,Kristianstad,0.0,1.0,A,4.5,3.75,1.72,1.73,2.08,5.0,4.0,1.35,1.18
2021-05-01,09:00:00,Hammarby,KIF Örebro,5.0,0.0,H,1.85,3.5,3.5,1.63,2.15,12.0,3.0,3.16,1.07
2021-05-02,10:00:00,Eskilstuna United,Rosengard Women,0.0,2.0,A,5.5,4.6,1.4,1.42,2.65,3.0,13.0,0.98,3.04
2021-05-02,10:00:00,Djurgården W,AIK Women,1.0,2.0,A,1.6,3.8,4.1,1.6,2.2,5.0,5.0,1.85,1.27
2021-05-02,10:00:00,Vittsjö,Häcken W,1.0,1.0,D,6.0,5.0,1.33,1.35,2.94,5.0,10.0,1.32,2.02
2021-05-07,14:00:00,Kristianstad,Vittsjö,1.0,0.0,H,2.05,3.5,2.95,1.73,2.0,,,0.0,2.33
2021-05-08,08:00:00,AIK Women,Hammarby,2.0,2.0,D,4.7,4.1,1.48,1.5,2.4,7.0,12.0,1.62,3.03
2021-05-08,11:00:00,Häcken W,Linköping,0.0,1.0,A,1.33,4.75,6.5,1.5,2.4,10.0,6.0,2.31,1.24
2021-05-09,08:00:00,Piteå Women,Växjö,1.0,0.0,H,2.15,3.5,2.75,1.77,1.94,,,0.0,0.99
2021-05-09,11:00:00,KIF Örebro,Eskilstuna United,1.0,1.0,D,3.7,3.8,1.77,1.68,2.06,,,0.53,0.0
2021-05-09,11:00:00,Rosengard Women,Djurgården W,3.0,0.0,H,1.08,9.0,13.0,1.53,2.4,10.0,0.0,2.84,0.85
2021-05-13,09:00:00,Vittsjö,AIK Women,4.0,0.0,H,1.25,4.9,8.5,1.57,2.28,13.0,3.0,2.83,0.75
2021-05-13,10:00:00,Linköping,Piteå Women,4.0,3.0,H,1.57,3.75,4.8,1.6,2.2,8.0,5.0,1.75,0.95
2021-05-14,14:00:00,Växjö,Rosengard Women,0.0,1.0,A,10.0,6.5,1.17,1.6,2.2,0.0,6.0,0.48,1.59
2021-05-16,10:00:00,Piteå Women,KIF Örebro,0.0,2.0,A,2.13,3.34,3.26,1.78,2.06,,,0.0,0.79
2021-05-17,13:30:00,Djurgården W,Häcken W,1.0,4.0,A,11.0,5.0,1.25,1.57,2.25,7.0,10.0,1.58,2.31
2021-05-17,14:00:00,Eskilstuna United,Hammarby,1.0,1.0,D,2.45,3.25,2.5,1.7,2.05,6.0,4.0,1.76,1.01
2021-05-18,13:30:00,Linköping,Kristianstad,1.0,1.0,D,1.99,3.4,3.1,1.81,1.99,7.0,5.0,2.3,1.43
2021-05-22,09:00:00,Hammarby,Djurgården W,3.0,2.0,H,1.83,3.84,3.72,1.55,2.29,6.0,9.0,1.56,2.27
2021-05-22,10:00:00,Häcken W,Eskilstuna United,3.0,0.0,H,1.25,5.75,9.8,1.45,2.56,12.0,4.0,2.73,1.08
2021-05-22,11:00:00,KIF Örebro,Växjö,4.0,1.0,H,2.05,3.35,3.05,1.85,1.95,6.0,2.0,0.91,0.6
2021-05-23,09:00:00,Kristianstad,AIK Women,1.0,1.0,D,1.32,5.25,7.8,1.55,2.3,7.0,5.0,2.48,1.14
2021-05-23,10:00:00,Linköping,Vittsjö,0.0,0.0,D,2.05,3.25,3.1,1.7,2.05,8.0,4.0,1.9,1.07
2021-05-23,10:00:00,Rosengard Women,Piteå Women,1.0,0.0,H,1.11,8.0,23.0,1.36,2.89,10.0,0.0,2.45,0.13
2021-05-28,14:00:00,Växjö,Linköping,0.0,0.0,D,5.4,4.1,1.43,2.15,1.67,4.0,8.0,0.87,1.7
2021-05-29,08:00:00,AIK Women,Rosengard Women,0.0,7.0,A,16.94,8.64,1.11,1.25,3.56,2.0,16.0,0.47,3.43
2021-05-29,09:00:00,Hammarby,Kristianstad,3.0,1.0,H,2.56,3.58,2.56,1.82,1.99,8.0,6.0,1.92,1.83
2021-05-30,10:00:00,Eskilstuna United,Vittsjö,1.0,1.0,D,2.19,3.31,2.43,1.65,2.11,5.0,6.0,1.3,1.48
2021-05-30,10:00:00,Piteå Women,Djurgården W,1.0,0.0,H,2.56,3.38,2.53,1.89,1.93,,,0.0,1.56
2021-05-30,12:00:00,KIF Örebro,Häcken W,0.0,3.0,A,7.02,5.75,1.26,1.75,1.96,0.0,11.0,0.13,2.6
2021-06-04,13:30:00,Kristianstad,Rosengard Women,0.0,0.0,D,6.95,4.7,1.38,1.57,2.28,5.0,2.0,1.62,1.37
2021-06-04,14:00:00,Linköping,Hammarby,3.0,3.0,D,1.84,3.78,3.65,1.57,2.28,8.0,4.0,2.09,1.23
2021-06-05,09:00:00,Vittsjö,Växjö,1.0,0.0,H,1.5,4.24,5.75,1.63,2.15,5.0,4.0,2.01,0.94
2021-06-05,10:00:00,Djurgården W,Eskilstuna United,1.0,0.0,H,3.3,3.65,1.85,1.65,2.12,4.0,2.0,0.97,0.71
2021-06-05,11:00:00,AIK Women,KIF Örebro,2.0,0.0,H,2.84,3.92,2.11,1.56,2.29,9.0,9.0,1.73,2.21
2021-06-06,10:00:00,Häcken W,Piteå Women,0.0,0.0,D,1.12,8.06,13.47,1.26,3.48,9.0,3.0,2.83,0.58
2021-06-20,08:00:00,Växjö,Djurgården W,0.0,0.0,D,2.4,3.5,2.45,1.8,2.0,2.0,0.0,0.39,0.07
2021-06-20,10:00:00,Häcken W,AIK Women,10.0,0.0,H,1.08,8.75,18.0,1.23,3.75,19.0,3.0,4.26,0.6
2021-06-20,10:00:00,Piteå Women,Hammarby,0.0,3.0,A,3.45,3.95,1.83,1.57,2.25,2.0,7.0,0.77,1.35
2021-06-20,12:00:00,KIF Örebro,Kristianstad,0.0,2.0,A,4.5,4.0,1.6,1.77,1.95,3.0,5.0,1.08,1.62
2021-06-21,14:00:00,Rosengard Women,Vittsjö,3.0,1.0,H,1.23,5.6,8.2,1.42,2.65,10.0,4.0,2.31,1.24
2021-06-21,14:00:00,Eskilstuna United,Linköping,1.0,0.0,H,3.15,3.5,1.96,1.7,2.05,6.0,4.0,1.31,1.48
2021-06-24,12:00:00,Hammarby,Växjö,2.0,1.0,H,1.25,5.5,9.0,1.45,2.68,7.0,3.0,1.77,0.87
2021-06-27,09:00:00,Kristianstad,Piteå Women,6.0,1.0,H,1.33,5.5,7.0,1.55,2.36,9.0,2.0,1.85,0.69
2021-06-27,10:00:00,Rosengard Women,Häcken W,2.0,0.0,H,2.01,3.6,3.27,1.65,2.11,7.0,4.0,1.63,1.29
2021-06-27,11:00:00,AIK Women,Eskilstuna United,0.0,2.0,A,4.55,3.63,1.75,1.73,2.14,0.0,9.0,0.16,2.09
2021-06-28,13:00:00,Vittsjö,Djurgården W,0.0,1.0,A,1.7,3.6,4.0,1.95,1.85,5.0,4.0,2.46,1.15
2021-06-28,13:30:00,Linköping,KIF Örebro,4.0,1.0,H,1.41,4.4,5.5,1.72,2.0,10.0,7.0,2.32,1.93
2021-07-01,14:00:00,Piteå Women,AIK Women,4.0,0.0,H,1.49,4.1,4.7,1.57,2.28,5.0,0.0,0.91,0.33
2021-07-02,14:00:00,Växjö,Eskilstuna United,0.0,2.0,A,3.48,3.43,2.07,1.97,1.83,6.0,4.0,1.29,0.86
2021-07-02,14:00:00,Häcken W,Kristianstad,6.0,2.0,H,1.36,4.55,7.94,1.64,2.13,12.0,9.0,2.94,1.66
2021-07-03,09:00:00,KIF Örebro,Rosengard Women,0.0,0.0,D,16.16,7.78,1.13,1.25,3.56,2.0,7.0,0.34,1.93
2021-07-03,09:00:00,Hammarby,Vittsjö,0.0,1.0,A,2.23,3.39,3.15,1.74,1.98,4.0,9.0,1.09,1.99
2021-07-04,10:00:00,Djurgården W,Linköping,2.0,2.0,D,3.25,3.5,1.9,1.67,2.05,7.0,4.0,1.68,1.71
2021-07-07,13:00:00,Vittsjö,Kristianstad,0.0,0.0,D,2.2,3.32,3.01,2.0,1.78,6.0,4.0,1.41,1.38
2021-07-07,13:00:00,Linköping,Häcken W,0.0,3.0,A,4.92,4.2,1.55,1.52,2.38,4.0,12.0,0.93,2.79
2021-07-07,13:30:00,Eskilstuna United,AIK Women,1.0,0.0,H,1.26,5.55,8.54,1.34,2.99,5.0,0.0,1.99,0.44
2021-07-07,14:00:00,Djurgården W,Piteå Women,3.0,0.0,H,2.09,3.24,3.32,1.97,1.83,6.0,4.0,1.64,1.15
2021-07-08,14:00:00,KIF Örebro,Hammarby,2.0,3.0,A,3.35,3.5,1.83,2.3,1.57,4.0,9.0,1.16,2.75
2021-07-08,14:00:00,Rosengard Women,Växjö,5.0,0.0,H,1.06,7.8,18.0,1.24,3.64,16.0,2.0,3.3,0.54
2021-08-14,11:00:00,AIK Women,Kristianstad,1.0,1.0,D,9.5,5.75,1.25,1.5,2.41,2.0,9.0,0.52,2.04
2021-08-20,14:00:00,Växjö,Vittsjö,0.0,0.0,D,4.4,3.73,1.53,1.8,1.91,5.0,4.0,1.2,1.04
2021-08-20,14:00:00,Hammarby,Eskilstuna United,0.0,2.0,A,1.99,3.37,2.85,1.68,1.83,5.0,7.0,1.41,2.06
2021-08-21,10:30:00,AIK Women,Djurgården W,1.0,0.0,H,3.92,3.75,1.7,1.55,2.29,5.0,3.0,1.3,0.87
2021-08-22,09:30:00,Piteå Women,Linköping,1.0,1.0,D,3.53,3.02,1.8,1.68,1.83,,,0.84,1.85
