Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,B365>2.5,B365<2.5,HST,AST,HomeXG,AwayXG
2020-09-18,14:00:00,Thun,Stade Lausanne-Ouchy,2.0,2.0,D,1.62,3.9,4.2,1.42,2.55,7.0,7.0,1.34,1.7
2020-09-18,15:00:00,Grasshopper,Winterthur,3.0,2.0,H,1.67,3.85,4.05,1.43,2.5,5.0,5.0,1.13,1.75
2020-09-19,12:30:00,Kriens,Neuchâtel Xamax,3.0,1.0,H,2.35,3.75,2.4,1.47,2.4,4.0,3.0,1.12,1.05
2020-09-19,12:30:00,FC Schaffhausen,Chiasso,5.0,2.0,H,1.87,3.6,3.3,1.65,2.05,7.0,3.0,1.83,1.36
2020-09-19,13:30:00,Aarau,Wil,1.0,3.0,A,2.05,3.85,2.75,1.44,2.45,4.0,8.0,1.53,1.75
2020-09-25,14:00:00,Neuchâtel Xamax,FC Schaffhausen,0.0,3.0,A,2.0,3.6,3.0,1.45,2.4,3.0,5.0,0.99,1.79
2020-09-25,15:00:00,Winterthur,Aarau,5.0,2.0,H,1.83,3.95,3.15,1.31,3.0,8.0,7.0,1.64,1.82
2020-09-26,12:30:00,Wil,Thun,3.0,1.0,H,2.4,3.5,2.45,1.45,2.45,4.0,3.0,0.93,1.21
2020-09-26,13:00:00,Stade Lausanne-Ouchy,Kriens,2.0,1.0,H,2.15,3.55,2.75,1.38,2.65,4.0,2.0,1.83,0.65
2020-09-27,11:00:00,Chiasso,Grasshopper,0.0,2.0,A,4.5,4.15,1.54,1.32,2.9,2.0,7.0,1.42,1.94
2020-10-02,15:00:00,Thun,Neuchâtel Xamax,1.0,3.0,A,1.74,4.3,3.3,1.36,2.75,4.0,7.0,2.08,1.78
2020-10-03,12:30:00,Kriens,Winterthur,0.0,2.0,A,2.6,3.8,2.15,1.35,2.8,5.0,3.0,2.27,1.25
2020-10-03,14:00:00,Aarau,Chiasso,2.0,1.0,H,1.62,4.25,3.8,1.26,3.3,7.0,7.0,1.96,2.01
2020-10-03,14:00:00,Grasshopper,Wil,3.0,0.0,H,1.59,3.8,4.6,1.4,2.6,4.0,0.0,1.04,0.63
2020-10-04,09:45:00,FC Schaffhausen,Stade Lausanne-Ouchy,1.0,3.0,A,2.1,3.45,2.9,1.47,2.4,2.0,4.0,0.45,0.76
2020-10-16,14:00:00,Stade Lausanne-Ouchy,Aarau,1.0,1.0,D,1.69,4.2,3.55,1.3,3.05,5.0,8.0,1.54,1.95
2020-10-16,14:30:00,Chiasso,Thun,0.0,2.0,A,3.15,3.65,1.91,1.41,2.55,5.0,10.0,1.35,2.32
2020-10-16,15:00:00,Neuchâtel Xamax,Grasshopper,1.0,0.0,H,2.5,3.7,2.25,1.4,2.6,3.0,0.0,1.26,1.69
2020-10-16,15:00:00,Winterthur,FC Schaffhausen,2.0,2.0,D,2.1,3.6,2.85,1.4,2.6,3.0,3.0,0.88,0.87
2020-10-16,15:00:00,Wil,Kriens,0.0,1.0,A,2.65,3.55,2.2,1.45,2.45,8.0,7.0,1.88,1.58
2020-10-19,15:00:00,FC Schaffhausen,Aarau,1.0,2.0,A,2.45,3.3,2.9,1.55,1.55,2.0,3.0,0.64,1.47
2020-10-20,14:00:00,Stade Lausanne-Ouchy,Chiasso,4.0,1.0,H,1.34,4.75,6.15,1.32,2.9,14.0,3.0,2.93,1.13
2020-10-20,14:00:00,Thun,Winterthur,0.0,1.0,A,2.45,3.6,2.35,1.33,2.9,3.0,5.0,1.47,1.5
2020-10-20,14:00:00,Neuchâtel Xamax,Wil,2.0,1.0,H,2.15,3.4,3.1,1.62,2.25,6.0,6.0,1.21,1.6
2020-10-20,14:30:00,Kriens,Grasshopper,5.0,2.0,H,3.05,3.55,2.0,1.47,2.4,7.0,3.0,1.51,1.11
2020-10-23,15:00:00,Kriens,Thun,1.0,2.0,A,2.15,3.6,2.7,1.45,2.4,7.0,5.0,1.47,1.89
2020-10-24,12:30:00,Wil,Stade Lausanne-Ouchy,0.0,0.0,D,2.7,3.5,2.2,1.51,2.3,4.0,5.0,1.47,1.78
2020-10-24,13:30:00,Aarau,Neuchâtel Xamax,3.0,1.0,H,2.15,3.6,2.75,1.42,2.55,6.0,5.0,1.89,1.61
2020-10-24,14:00:00,Grasshopper,FC Schaffhausen,2.0,1.0,H,1.71,3.9,3.7,1.47,2.4,4.0,4.0,1.17,1.31
2020-10-29,16:00:00,Stade Lausanne-Ouchy,Grasshopper,1.0,2.0,A,2.5,3.4,2.5,1.6,1.6,6.0,3.0,1.69,1.05
2020-10-30,16:00:00,Thun,Aarau,1.0,0.0,H,2.13,3.7,2.63,1.45,1.45,4.0,5.0,1.08,1.29
2020-10-31,13:30:00,Chiasso,Wil,1.0,1.0,D,2.85,3.65,2.1,1.56,2.25,5.0,6.0,1.73,1.45
2020-10-31,15:00:00,FC Schaffhausen,Kriens,3.0,1.0,H,2.2,3.8,2.6,1.51,2.3,4.0,2.0,1.05,0.75
2020-11-02,16:00:00,Grasshopper,Thun,1.0,1.0,D,2.05,3.87,3.35,1.44,1.44,2.0,2.0,1.05,1.04
2020-11-03,15:30:00,Aarau,Kriens,2.0,2.0,D,2.04,3.84,3.28,1.4,1.4,3.0,3.0,1.14,0.77
2020-11-03,16:00:00,Wil,FC Schaffhausen,1.0,1.0,D,2.32,3.58,2.9,1.55,1.55,4.0,6.0,1.16,1.39
2020-11-07,13:30:00,Kriens,Chiasso,0.0,0.0,D,1.8,3.65,3.65,1.43,2.5,9.0,4.0,2.08,1.25
2020-11-08,10:45:00,FC Schaffhausen,Thun,1.0,1.0,D,2.45,3.5,2.45,1.57,2.2,2.0,2.0,0.85,0.73
