Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,B365>2.5,B365<2.5,HST,AST,HomeXG,AwayXG
2020-09-11,13:00:00,Menemen Belediyespor,Altınordu,0.0,2.0,A,2.4,3.05,2.7,1.91,1.74,2.0,4.0,0.95,1.01
2020-09-12,10:30:00,Ümraniyespor,Bandırmaspor,2.0,1.0,H,3.05,3.3,2.05,1.57,2.15,3.0,4.0,1.08,1.35
2020-09-12,10:30:00,Boluspor,Keçiörengücü,0.0,1.0,A,2.4,3.05,2.75,1.91,1.74,2.0,5.0,0.87,1.32
2020-09-12,13:00:00,Osmanlıspor,Eskişehirspor,1.0,0.0,H,2.05,3.45,3.0,1.62,2.05,6.0,3.0,1.51,1.05
2020-09-13,10:30:00,Bursaspor,Adana Demirspor,1.0,3.0,A,3.0,3.35,2.1,1.83,1.8,4.0,4.0,1.4,1.54
2020-09-13,13:00:00,Adanaspor,İstanbulspor,1.0,0.0,H,3.25,3.3,2.0,2.0,1.69,4.0,3.0,1.31,0.87
2020-09-13,13:00:00,Altay,Samsunspor,0.0,0.0,D,1.83,3.2,3.95,1.8,1.83,5.0,3.0,1.45,0.98
2020-09-14,13:00:00,Akhisar Belediyespor,Tuzlaspor,0.0,0.0,D,2.55,3.15,2.5,1.83,1.8,5.0,3.0,1.65,1.44
2020-09-14,13:00:00,Balıkesirspor,Giresunspor,3.0,1.0,H,,,,1.78,2.08,6.0,4.0,1.45,1.43
2020-09-18,13:00:00,Eskişehirspor,Adanaspor,0.0,0.0,D,4.05,3.8,1.67,1.74,1.91,4.0,5.0,1.17,1.81
2020-09-19,08:00:00,Bandırmaspor,Akhisar Belediyespor,1.0,0.0,H,1.83,3.4,3.7,1.87,1.77,3.0,7.0,1.2,1.69
2020-09-19,08:00:00,Tuzlaspor,Balıkesirspor,1.0,0.0,H,1.91,3.3,3.45,1.91,1.74,2.0,3.0,1.19,0.81
