Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,B365>2.5,B365<2.5,HST,AST,HomeXG,AwayXG
2020-10-16,11:15:00,Al Wahda,Hatta,6.0,0.0,H,1.26,5.1,7.5,1.47,2.35,12.0,2.0,2.55,0.92
2020-10-16,11:15:00,Al Dhafra,Ajman,4.0,1.0,H,2.15,3.25,2.85,1.8,1.8,7.0,4.0,1.46,1.83
2020-10-16,14:00:00,Al Fujairah,Al Sharjah,2.0,4.0,A,5.7,4.2,1.4,1.47,2.35,4.0,13.0,1.24,2.71
2020-10-16,14:00:00,Al Wasl,Bani Yas,1.0,4.0,A,1.59,3.75,4.35,1.59,2.1,7.0,7.0,2.25,1.62
2020-10-17,11:15:00,Al Ittihad Kalba,Shabab Al Ahli Dubai,0.0,3.0,A,4.0,3.75,1.67,1.63,2.25,4.0,9.0,1.01,3.07
2020-10-17,11:15:00,Al Ain,Al Khaleej,2.0,0.0,H,1.29,5.0,7.0,1.65,2.2,4.0,3.0,1.73,0.88
2020-10-17,14:00:00,Al Nasr,Al Jazira,1.0,1.0,D,1.8,3.3,3.75,1.65,2.0,3.0,4.0,1.24,1.32
2020-10-22,11:15:00,Hatta,Al Wasl,2.0,4.0,A,3.45,4.1,1.69,1.31,2.85,4.0,5.0,1.16,1.08
2020-10-22,11:15:00,Al Fujairah,Bani Yas,1.0,3.0,A,3.65,3.8,1.71,1.5,2.25,4.0,7.0,1.25,1.65
2020-10-22,14:00:00,Al Sharjah,Al Wahda,2.0,1.0,H,2.0,3.9,2.75,1.28,3.0,10.0,6.0,2.33,1.53
2020-10-23,11:15:00,Al Khaleej,Al Nasr,0.0,1.0,A,4.0,4.2,1.6,1.48,2.6,4.0,5.0,0.9,1.92
2020-10-23,11:15:00,Al Jazira,Al Dhafra,1.0,1.0,D,1.47,4.2,4.85,1.42,2.45,5.0,5.0,1.29,1.16
2020-10-23,14:00:00,Ajman,Al Ittihad Kalba,0.0,1.0,A,3.85,3.3,1.8,1.56,2.15,5.0,6.0,1.31,1.5
2020-10-23,14:00:00,Shabab Al Ahli Dubai,Al Ain,1.0,1.0,D,2.1,3.6,2.8,1.5,2.5,8.0,4.0,2.16,1.47
2020-10-29,11:15:00,Al Dhafra,Al Fujairah,3.0,1.0,H,1.91,3.45,3.3,1.51,2.25,4.0,10.0,0.9,2.5
2020-10-29,11:15:00,Al Jazira,Al Ittihad Kalba,2.0,0.0,H,1.56,3.65,4.9,1.44,2.4,7.0,3.0,2.5,0.96
2020-10-29,14:00:00,Al Wasl,Al Nasr,0.0,3.0,A,4.15,3.8,1.61,1.56,2.15,3.0,5.0,1.48,1.75
2020-10-30,11:15:00,Ajman,Hatta,0.0,0.0,D,1.77,3.55,3.7,1.49,2.3,0.0,3.0,0.75,1.16
2020-10-30,11:15:00,Al Wahda,Shabab Al Ahli Dubai,1.0,1.0,D,3.1,3.05,2.15,1.51,2.25,4.0,9.0,1.49,2.46
2020-10-30,14:00:00,Al Ain,Al Sharjah,1.0,2.0,A,1.87,3.5,3.35,1.45,2.4,7.0,5.0,2.6,1.49
2020-10-30,14:00:00,Bani Yas,Al Khaleej,5.0,0.0,H,1.48,3.75,5.5,1.67,2.0,8.0,4.0,2.09,1.2
2020-11-03,11:00:00,Al Fujairah,Al Ain,1.0,1.0,D,7.25,5.25,1.27,1.35,2.7,3.0,4.0,1.03,1.69
2020-11-03,11:00:00,Al Sharjah,Al Dhafra,5.0,0.0,H,1.41,4.5,5.25,1.37,2.65,9.0,3.0,2.35,1.0
2020-11-03,14:00:00,Al Nasr,Ajman,3.0,0.0,H,1.17,6.0,10.0,1.48,2.35,10.0,3.0,2.54,0.79
